K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H0,0.5,0.02604,0.02649,0.02481,0.02598,0.02481,0.02598,0.02362,0.04588,0.02598,0.04455,0.21284213485816655,0.2207081388149379,0.22489222559871916,0.24552325775169645,0.22489222559871916,0.24552325775169645,0.24552325775284267,0.20539239955096394,0.24552325775169645,0.2053923995497998,0.0012414077046010914,0.0025495647753707206,-0.006012339405261965,-0.00475352292225508,-0.006012339405261968,-0.004753522922255079,-0.0047535229221021364,0.0511120509759418,-0.004753522922255079,0.051112050975644543
1,0.7,1,0.4,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H0,0.5,0.02574,0.02616,0.0244,0.0261,0.0244,0.0261,0.02351,0.04342,0.0261,0.04218,0.21330799151741708,0.22155707382972564,0.2245285568576466,0.24636812444740186,0.22452855685764664,0.24636812444740183,0.24636812444834869,0.20448790587598842,0.24636812444740186,0.20448790587480153,9.501717208634801e-4,0.0021821376041875787,-0.005404082750518365,-0.004431458274142193,-0.005404082750518362,-0.00443145827414216,-0.0044314582739438954,0.0451912192963865,-0.004431458274142186,0.045191219296117656
1,0.7,1,0.4,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H0,0.5,0.02541,0.02607,0.02432,0.02596,0.02432,0.02596,0.02348,0.0407,0.02596,0.03938,0.21217598169298277,0.22013001260304674,0.22368547575004352,0.24451919655347845,0.2236854757500435,0.24451919655347845,0.24451919655447313,0.20224933227365213,0.24451919655347845,0.20224933227245126,9.955539644913745e-4,0.0016436225300160852,-0.004683850238468353,-0.004649459304894453,-0.0046838502384683525,-0.004649459304894467,-0.004649459304720491,0.03973868698371349,-0.004649459304894445,0.03973868698347169
1,0.7,1,0.4,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H0,0.5,0.02508,0.02553,0.02435,0.02506,0.02435,0.02506,0.0228,0.03757,0.02506,0.03628,0.21127865990022485,0.21926046514874056,0.22293166544753326,0.24401705507125557,0.22293166544753326,0.24401705507125554,0.24401705507263888,0.2003469528398965,0.24401705507125557,0.20034695283868742,2.9208483978020253e-4,8.038811633056999e-4,-0.0046114205377878114,-0.004496771307008626,-0.004611420537787812,-0.004496771307008639,-0.004496771306929319,0.033833409362947035,-0.0044967713070086434,0.033833409362738695
1,0.7,1,0.4,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H0,0.5,0.02492,0.02558,0.02431,0.0253,0.02431,0.0253,0.02293,0.03437,0.0253,0.03341,0.21122257699900565,0.21902383727105654,0.22243527179463363,0.24365146191187295,0.22243527179463363,0.24365146191187295,0.2436514619129357,0.19923789821998145,0.24365146191187298,0.19923789821875523,3.777610247453377e-5,4.4480479744507116e-4,-0.00457669625608038,-0.004870749444641343,-0.00457669625608038,-0.004870749444641337,-0.004870749444507042,0.02781560736606738,-0.00487074944464135,0.02781560736589651
1,0.7,1,0.4,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H0,0.5,0.02608,0.02578,0.02547,0.02654,0.02547,0.02654,0.02426,0.03425,0.02654,0.0331,0.21175810930508582,0.2195848544389812,0.22319766609540695,0.2444354512400454,0.22319766609540695,0.2444354512400454,0.24443545124113178,0.19906270501041906,0.24443545124004537,0.19906270500919004,1.3621880603021291e-4,4.7531780803978645e-4,-0.0038281068611774514,-0.004202081806658137,-0.003828106861177449,-0.00420208180665815,-0.004202081806540077,0.022514899537678268,-0.00420208180665815,0.022514899537536916
1,0.7,1,0.4,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H0,0.5,0.02493,0.02539,0.02443,0.026,0.02443,0.026,0.02383,0.03124,0.026,0.03032,0.21067869714862236,0.21865105274051527,0.221934927158721,0.24291629155607278,0.221934927158721,0.2429162915560728,0.24291629155724656,0.19792736801277158,0.24291629155607278,0.19792736801153293,4.4584137213902114e-4,3.099012537930372e-4,-0.0025723530490882654,-0.003280038806774889,-0.0025723530490882654,-0.003280038806774894,-0.0032800388066869255,0.017474381416478484,-0.0032800388067749007,0.017474381416367063
1,0.7,1,0.4,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H0,0.5,0.02534,0.0259,0.02471,0.02539,0.02471,0.02539,0.02308,0.02981,0.02539,0.02871,0.2106074271069493,0.21886753586162644,0.22137641459269072,0.2424926212659082,0.22137641459269072,0.2424926212659082,0.24249262126705218,0.19723060927126643,0.2424926212659082,0.1972306092700237,-5.645237830654948e-4,-8.567557281298728e-4,-0.002986140208708612,-0.004010825695685157,-0.002986140208708613,-0.004010825695685142,-0.004010825695611616,0.011159489834041416,-0.004010825695685149,0.01115948983397217
1,0.7,1,0.4,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H0,0.5,0.02532,0.02555,0.02494,0.02545,0.02494,0.02545,0.02299,0.02719,0.02545,0.02628,0.21084304970610254,0.21897956492864146,0.22122571557566537,0.24206967384071726,0.22122571557566537,0.2420696738407173,0.2420696738418852,0.19708171786084064,0.24206967384071723,0.19708171785958936,-2.456266874880924e-4,-8.466837445531952e-4,-0.002412002232377855,-0.0038970799185560415,-0.002412002232377856,-0.0038970799185560298,-0.003897079918503671,0.005643625801533182,-0.003897079918556036,0.005643625801497613
1,0.7,1,0.4,1,0,0,0,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H0,0.5,0.02482,0.02452,0.02463,0.02479,0.02463,0.02479,0.02257,0.0256,0.02479,0.0249,0.20965260135379776,0.2175690521148635,0.22075606949094628,0.24166252028137483,0.22075606949094628,0.24166252028137475,0.2416625202825511,0.19615798464481563,0.24166252028137478,0.1961579846435693,-7.076512705032567e-4,-0.0013547811334204778,-0.002278532682867751,-0.004190728050473802,-0.0022785326828677526,-0.004190728050473768,-0.004190728050437399,2.631298157869859e-4,-0.004190728050473796,2.631298157871501e-4
