K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.71825,0.68854,0.66656,0.60475,0.66656,0.60475,0.57816,0.89883,0.60475,0.89533,0.23493863754975264,0.2425216633007621,0.2473224060523215,0.2661062125179107,0.24732240608536585,0.266106212537062,0.2661062126822744,0.24704939160023356,0.2661062124765606,0.24704939141398022,0.0022760785691540364,0.0017851369345496092,-0.0016264577915698823,-6.407996571748443e-4,-0.0016264577790319965,-6.40799650454111e-4,-6.407995886285018e-4,0.1102607334557138,-6.407995776282711e-4,0.11026073339287566
1,0.7,1,0.4,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.72056,0.69083,0.66959,0.60658,0.66959,0.60658,0.58053,0.88981,0.60658,0.88625,0.234196446360467,0.2412040194708706,0.2467657872928759,0.26510080416781856,0.24676578732634194,0.2651008041821323,0.2651008043068965,0.2407055768675239,0.2651008041359318,0.24070557671077566,0.0015034732411880636,0.001056434148403495,-0.002403632018137421,-0.0019696656309127936,-0.002403632005039037,-0.001969665624468892,-0.001969665572467512,0.09741532504380995,-0.001969665573296774,0.09741532499093816
1,0.7,1,0.4,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.72235,0.69412,0.67369,0.61126,0.67369,0.61126,0.58588,0.88047,0.61126,0.87648,0.23387166610553262,0.24114786906955,0.24660795836066485,0.26540814432509313,0.246607958370067,0.26540814432778587,0.26540814440731,0.23649502519979704,0.2654081442715142,0.23649502509815015,0.002443945166849737,0.0020369053750318262,-7.230623478491529e-4,-4.6127683958676593e-4,-7.230623436137198e-4,-4.6127683869444174e-4,-4.612768059128019e-4,0.08635177214442635,-4.612767932191062e-4,0.08635177211147037
1,0.7,1,0.4,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.72842,0.70011,0.67955,0.61641,0.67955,0.61641,0.5916,0.87224,0.61641,0.86829,0.23282746305212382,0.23966574081277545,0.24516947048735924,0.2636812038882285,0.24516947049242593,0.2636812038882239,0.2636812039537947,0.2321232049321627,0.2636812038622903,0.2321232048491577,0.003940047071999712,0.0032791731245529676,9.145561889185526e-4,6.987699339401562e-4,9.145561910113049e-4,6.987699339426162e-4,6.987699594456858e-4,0.07611771466366539,6.987699628383105e-4,0.0761177146380861
1,0.7,1,0.4,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.73369,0.70414,0.68471,0.62269,0.68471,0.62269,0.59802,0.86257,0.62269,0.85863,0.23135891131694772,0.238614086510108,0.24350714130645368,0.26204500880720316,0.243507141314197,0.26204500880761034,0.262045008849875,0.22673011760340328,0.2620450087752125,0.22673011754848957,0.0033161526506870344,0.0027830703950002425,7.938784100081411e-4,5.831090777074284e-4,7.938784136399175e-4,5.831090774393191e-4,5.831090938912454e-4,0.0634894205621445,5.831091013780782e-4,0.06348942054549711
1,0.7,1,0.4,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.7358,0.70789,0.68869,0.62499,0.68869,0.62499,0.60108,0.85176,0.62499,0.84793,0.23022790713809302,0.2371813509603425,0.24238378775040612,0.26041479336722256,0.24238378775040612,0.26041479336722256,0.2604147934005761,0.22304438461982531,0.2604147933494859,0.22304438457867698,0.002249983031155673,0.0022271966326650895,4.995487041589713e-5,5.5265421921763356e-5,4.995487041589423e-5,5.526542192175835e-5,5.52654334637543e-5,0.051202487049587526,5.526543526100826e-5,0.05120248703788577
1,0.7,1,0.4,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.73848,0.70966,0.69322,0.62925,0.69322,0.62925,0.60591,0.84019,0.62925,0.8361,0.23015598621750485,0.23704398003752897,0.24183262090787946,0.25959938213472045,0.24183262091347338,0.25959938213472045,0.25959938216071654,0.22029220854366094,0.2595993821170322,0.22029220850943643,0.0029425517565418767,0.002305630191055853,0.0012596631332802645,5.007518186903979e-4,0.00125966313523872,5.007518186903953e-4,5.007518278154846e-4,0.0391015466888647,5.00751831339343e-4,0.03910154667969162
1,0.7,1,0.4,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.74439,0.71586,0.69855,0.63236,0.69855,0.63236,0.60971,0.83151,0.63236,0.82688,0.2281531058186731,0.23554038187599446,0.23972802431663776,0.25835503642887125,0.23972802431867093,0.25835503643126023,0.25835503644681274,0.217046676480735,0.25835503641813773,0.21704667646128598,0.004015313230439837,0.003272368456073051,0.0022454860007329867,0.0010326704702927512,0.002245486001629703,0.0010326704711850713,0.0010326704758761476,0.028230691143889576,0.0010326704775845887,0.028230691139172735
1,0.7,1,0.4,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.74743,0.72021,0.70267,0.63768,0.70267,0.63768,0.61518,0.81827,0.63768,0.81367,0.2276164379642331,0.23448279709798295,0.23895904655499506,0.25653110581087984,0.23895904655499506,0.2565311058108799,0.2565311058184134,0.21504159860451671,0.2565311058039838,0.21504159859549346,0.004042754858325373,0.003480225551868925,0.0023669155439410405,7.700101182156086e-4,0.002366915543941043,7.700101182155678e-4,7.700101199924058e-4,0.016274736439691066,7.700101225540395e-4,0.016274736437915157
1,0.7,1,0.4,1.8,0,0,0,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.74961,0.72227,0.70655,0.64113,0.70655,0.64113,0.6194,0.80779,0.64113,0.80298,0.22613604482371724,0.23286206692235054,0.2374578224971144,0.25459159309121876,0.2374578224971144,0.2545915930912188,0.2545915930970773,0.21312756970670424,0.2545915930870913,0.21312756970015942,0.0035462134856257418,0.0024394905721860753,0.0023826210932503342,9.26950983586785e-5,0.0023826210932503347,9.269509835865125e-5,9.269509953596685e-5,0.004652079700094607,9.26951012383995e-5,0.0046520796989482135
1,0.7,1,0.4,1.8,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.75163,0.72344,0.70857,0.64024,0.70857,0.64024,0.61823,0.79173,0.64024,0.78651,0.22573848690700882,0.2324419282856536,0.23741243942681142,0.254707285894099,0.23741243942681145,0.254707285894099,0.2547072858981429,0.21268667501429123,0.25470728588794095,0.21268667500970048,0.0027753475971890613,0.0013277115852744026,0.0023061670877384645,-4.2203640380654553e-4,0.0023061670877384624,-4.220364038065854e-4,-4.2203640313039407e-4,-0.008262557400755186,-4.2203640188182766e-4,-0.008262557401364928
1,0.7,1,0.4,1.8,0.11111111111111105,0.11111111111111105,0.11111111111111105,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.75716,0.7287,0.71614,0.64658,0.71614,0.64658,0.62543,0.78015,0.64658,0.77542,0.22520452023462542,0.23193932709927015,0.23618585239829548,0.2540150143128735,0.23618585239829548,0.2540150143128735,0.25401501431509865,0.21295330882980273,0.254015014309221,0.2129533088273971,0.004112426247082551,0.0027087622271074595,0.0041033604906064005,8.543850768475953e-4,0.0041033604906064005,8.54385076847588e-4,8.543850770450093e-4,-0.01842530228476038,8.543850787568378e-4,-0.018425302284852913
1,0.7,1,0.4,1.8,0.16666666666666663,0.16666666666666663,0.16666666666666663,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.76023,0.73113,0.71949,0.65215,0.71949,0.65215,0.6313,0.76444,0.65215,0.75923,0.2232036923726295,0.2300563350061117,0.23412002316526062,0.2514557339410372,0.2341200231653773,0.2514557339410372,0.2514557339432374,0.2128975361068824,0.2514557339384254,0.2128975361045617,0.00392895640094355,0.0023809881756795036,0.00370231497846514,3.4504384340582354e-4,0.0037023149785025446,3.4504384340582484e-4,3.4504384371903996e-4,-0.03108086325217403,3.450438431655087e-4,-0.03108086325233837
1,0.7,1,0.4,1.8,0.2222222222222222,0.2222222222222222,0.2222222222222222,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.7637,0.73435,0.72311,0.65711,0.72311,0.65711,0.63605,0.7494,0.65711,0.74408,0.2226569824182909,0.22924549753408582,0.23352759681139934,0.2504161035045149,0.23352759681139934,0.2504161035045149,0.2504161035053984,0.21408806817005516,0.2504161035037635,0.21408806816921436,0.00401109742560545,0.00208035907599104,0.004190168799192687,3.9602359423284334e-4,0.0041901687991926905,3.960235942328309e-4,3.9602359432530995e-4,-0.04258489897707164,3.960235940763207e-4,-0.04258489897698327
1,0.7,1,0.4,1.8,0.2777777777777777,0.2777777777777777,0.2777777777777777,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.76407,0.73555,0.72579,0.65749,0.72579,0.65749,0.63867,0.73341,0.65749,0.72812,0.22383388242411026,0.2302800380986833,0.23459124888227192,0.2511774086396866,0.23459124888227192,0.25117740863968663,0.25117740864003346,0.21734072590710465,0.25117740863991667,0.21734072590691844,0.0045079822952155645,0.002320275864850493,0.0048446979965040115,5.767875081331894e-5,0.004844697996504009,5.767875081333641e-5,5.7678750893515565e-5,-0.05396325637620276,5.767875128404088e-5,-0.05396325637605668
1,0.7,1,0.4,1.8,0.33333333333333326,0.33333333333333326,0.33333333333333326,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.76969,0.74126,0.73218,0.66603,0.73218,0.66603,0.64676,0.71968,0.66603,0.71380999999999994,0.22144965236131853,0.22763304338483736,0.23195943905860783,0.24835555300804307,0.23195943905860783,0.24835555300804307,0.2483555530082519,0.21874456272129736,0.2483555530068411,0.21874456272122256,0.004594310506857145,0.0019107909276494812,0.005878067751551059,0.0013744212268749865,0.005878067751551057,0.0013744212268749978,0.0013744212271158966,-0.06560131381472567,0.0013744212269474261,-0.0656013138147107
1,0.7,1,0.4,1.8,0.38888888888888884,0.38888888888888884,0.38888888888888884,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.77293,0.74307,0.7363,0.66785,0.7363,0.66785,0.64881,0.70337,0.66785,0.69732,0.2207581411981673,0.22713207704271066,0.23084314780777712,0.24726407324440094,0.23084314780758375,0.247264073244401,0.24726407324462624,0.22164868292886947,0.24726407323470423,0.2216486829288287,0.005115275475620753,0.0018452254764894233,0.0070782858372322776,0.001140001986699069,0.00707828583717185,0.0011400019866990997,0.0011400019871501681,-0.07687866673500757,0.001140001984070376,-0.07687866673517356
1,0.7,1,0.4,1.8,0.4444444444444444,0.4444444444444444,0.4444444444444444,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.77575,0.74505,0.73965,0.66933,0.73965,0.66933,0.65097,0.68569,0.66933,0.67965,0.21999959500702668,0.22607965027705432,0.23060420276745006,0.2467598908444987,0.23060420276745003,0.24675989084337369,0.24675989084496194,0.22538724510409602,0.2467598908401872,0.22538724510391572,0.005044374333798311,0.0013944476677362034,0.0067281222072601895,1.7987108391802063e-4,0.006728122207260187,1.7987108354645484e-4,1.7987108461714623e-4,-0.0885112348177633,1.798710825938727e-4,-0.08851123481815269
1,0.7,1,0.4,1.8,0.5,0.5,0.5,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H1,0.5,0.77943,0.74914,0.74414,0.67433,0.74414,0.67433,0.6567,0.66898,0.67433,0.66274,0.21899081873400456,0.2250908134611023,0.22927082343984156,0.2453780359273454,0.22927082343998445,0.24537803592734542,0.24537803592744933,0.2290470960919029,0.2453780359199097,0.22904709609209606,0.005447268595193341,0.001516561653422791,0.007673841588615515,5.244393857727485e-4,0.007673841588664489,5.244393857727346e-4,5.244393865871303e-4,-0.09994987940272029,5.244393835793733e-4,-0.09994987940319755
