K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.71389,0.69821,0.6777,0.64032,0.6777,0.64032,0.61907,0.83197,0.64032,0.82727,0.23014246914956124,0.23832141462020093,0.23943459127284125,0.2555480078499173,0.2394345912728411,0.255548007849917,0.25554800785521004,0.21455982749464353,0.2555480078413293,0.2145598274882888,-0.013461502133142242,-5.681337038785275e-4,-0.015852620243112108,0.0010371104701057572,-0.015852620243111324,0.0010371104701064322,0.001037110471136308,0.023886307606149924,0.0010371104735929437,0.02388630760503134
1,0.7,1,1.8,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.71768,0.69744,0.68042,0.6382,0.68042,0.6382,0.61694,0.8317,0.6382,0.82714,0.23016813968542077,0.23870716975129375,0.2393483191197154,0.25606536288758874,0.23934831911967416,0.2560653628875885,0.25606536289758386,0.21470493214305245,0.2560653628909496,0.2147049321293508,-0.01117837079259737,-6.365362344066894e-4,-0.013500384604765934,-1.4106337578367055e-5,-0.013500384604778705,-1.4106337577900968e-5,-1.410633452660299e-5,0.0229363329788631,-1.4106334385740128e-5,0.022936332975730205
1,0.7,1,1.8,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.71997,0.69917,0.68549,0.64106,0.68549,0.64106,0.61938,0.82753,0.64106,0.82328,0.23100801697728013,0.23976895073923687,0.23998649603355024,0.25675110362376624,0.23998649603354946,0.2567511036237655,0.2567511036293374,0.2151802980097761,0.25675110361953474,0.21518029800303326,-0.008869172636833844,6.635454420744805e-4,-0.010605202087169939,0.0015355117830632861,-0.010605202087169651,0.0015355117830638109,0.0015355117842067879,0.020784025054320695,0.0015355117864456697,0.020784025053159547
1,0.7,1,1.8,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.72361,0.70003,0.68919,0.6416,0.68919,0.6416,0.62031,0.82587,0.6416,0.82134,0.23012232244464878,0.23863898421073254,0.23914794991658062,0.25598238559561115,0.23914794991653213,0.255982385595611,0.25598238560447373,0.2144847866938607,0.25598238559388764,0.21448478668369908,-0.007011884733257329,8.477668507458188e-4,-0.008749051567670935,0.0012031374151284997,-0.008749051567692755,0.001203137415129163,0.0012031374172252808,0.018401313767662904,0.001203137417904281,0.018401313765495024
1,0.7,1,1.8,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.72634,0.69989,0.69253,0.63961,0.69253,0.63961,0.61775,0.82109,0.63961,0.81643,0.22993766854409678,0.2387999898620664,0.2387238409960709,0.2562227719975122,0.2387238409960708,0.25622277199751203,0.2562227720070684,0.21435735917018395,0.25622277199117993,0.21435735915955706,-0.004892618293539174,0.001299423889050724,-0.006558179432491337,9.45497361495691e-4,-0.006558179432490754,9.454973614961426e-4,9.454973637790712e-4,0.016230707905694867,9.45497363301535e-4,0.01623070790337445
1,0.7,1,1.8,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.72926,0.70104,0.69598,0.64131,0.69598,0.64131,0.61869,0.8188,0.64131,0.81412,0.22889076775781075,0.23725881862255913,0.23778431762715863,0.2545415878752696,0.23778431762715832,0.25454158787526937,0.25454158788045633,0.2130938744749453,0.2545415878661106,0.21309387446858208,-0.0041998564845720865,4.945813920980062e-4,-0.0054310764058654,3.6848977516843254e-4,-0.0054310764058649015,3.684897751690949e-4,3.6848977633104643e-4,0.013180085062651586,3.684897805811507e-4,0.01318008506147011
1,0.7,1,1.8,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.72994,0.70015,0.69694,0.63989,0.69694,0.63989,0.61787,0.81525,0.63989,0.81061,0.22954177025130007,0.23828351183620167,0.23875241745550893,0.2563002729783435,0.23875241745550832,0.25630027297834307,0.2563002729864906,0.21405147029406563,0.2563002729728362,0.2140514702838948,-0.0022763912203200443,0.0013864428426936487,-0.0035372816792721157,4.010486114817176e-4,-0.003537281679271488,4.0104861148204744e-4,4.010486136804188e-4,0.011294957861885236,4.0104861407767124e-4,0.011294957859798435
1,0.7,1,1.8,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.731,0.69957,0.69787,0.63898,0.69787,0.63898,0.61724,0.81048,0.63898,0.80552,0.22945822369000332,0.2385497482614094,0.23829617374234324,0.25625873436282426,0.23829617374619333,0.25625873436282415,0.2562587343759727,0.21348854845320997,0.25625873435743535,0.2134885484376763,-0.002120866649733128,1.622576120698973e-4,-0.002806143689508412,-5.1535337243118e-4,-0.002806143688607855,-5.153533724305306e-4,-5.15353368941262e-4,0.007298921420425872,-5.153533663867565e-4,0.007298921416863492
1,0.7,1,1.8,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.73516,0.70058,0.70394,0.64106,0.70394,0.64106,0.61958,0.80812,0.64106,0.80316,0.2292591581406311,0.2382992925928474,0.23811524504085724,0.25539151015310535,0.23811524504085713,0.25539151015310524,0.25539151016271805,0.21329746458890142,0.2553915101502574,0.21329746457699636,7.773892181250309e-4,0.0012740855791357466,2.385641323660162e-4,1.1746133060411679e-4,2.3856413236685676e-4,1.1746133060472488e-4,1.1746133318661996e-4,0.006032852909983376,1.1746133360918295e-4,0.006032852907424886
1,0.7,1,1.8,1.8,0,0,0,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.73605,0.69938,0.70424,0.63805,0.70424,0.63805,0.61614,0.80476,0.63805,0.80007,0.23049382936608923,0.23962794456798836,0.23882108591275555,0.25629642381280054,0.2388210859164463,0.2562964238128001,0.256296423821954,0.21466391366590956,0.2562964238076084,0.2146639136551241,0.00210080201930609,0.0011393473485582846,0.0016486195275688994,-4.4027200389177147e-4,0.001648619528526828,-4.4027200389110116e-4,-4.40272002003366e-4,0.0038224630323439265,-4.4027200088363986e-4,0.003822463030492263
