K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1,0.5,0.73778,0.72552,0.67918,0.64097,0.67918,0.64097,0.61898,0.83251,0.64097,0.82819,0.226352889931044,0.23291390250577745,0.23861851589044508,0.2549360480096831,0.23861851589037317,0.2549360480096831,0.2549360480170007,0.21407845379488766,0.2549360480009837,0.21407845378624452,-0.006233679201103504,0.004195369432444403,-0.015654503614084138,6.72675331171785e-4,-0.015654503614104164,6.726753311717455e-4,6.726753328050172e-4,0.023953424720579285,6.726753335877387e-4,0.023953424718855466
1,0.7,1,0.4,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1,0.5,0.73576,0.72206,0.67874,0.63801,0.67874,0.63801,0.61545,0.8273,0.63801,0.82297,0.22643778691944505,0.23337953265817282,0.23892467555668548,0.25584460332671666,0.23892467555668548,0.25584460332671666,0.2558446033324864,0.21391613175660648,0.2558446033226141,0.21391613175038887,-0.0062643335493855696,0.003017091391460609,-0.014853910369505147,-5.679970401404248e-4,-0.014853910369505145,-5.679970401404699e-4,-5.679970390772965e-4,0.020909661196316452,-5.679970376789976e-4,0.02090966119516387
1,0.7,1,0.4,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1,0.5,0.7386,0.72385,0.68283,0.6379,0.68283,0.6379,0.61611,0.82709,0.6379,0.82263,0.22767136775451416,0.23404060210279679,0.24004984511790706,0.25689791464249884,0.24004984511765634,0.25689791464249884,0.25689791465473644,0.214918413652779,0.25689791464041695,0.214918413638833,-0.003616437906220764,0.004169483947836983,-0.011370598874155171,3.133657227520436e-4,-0.011370598874238106,3.133657227520834e-4,3.1336572575131724e-4,0.020388223791989277,3.1336572658632314e-4,0.02038822378899223
1,0.7,1,0.4,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1,0.5,0.74111,0.72347,0.68854,0.64118,0.68854,0.64118,0.61962,0.82463,0.64118,0.82015,0.2269419814006447,0.23398364005213884,0.23883701877137942,0.25635373014092827,0.23883701877522157,0.25635373014237955,0.25635373015278357,0.21400661077636593,0.2563537301378601,0.21400661076403504,-0.002664305100942713,0.003852191706732805,-0.009264465802244633,6.404003067260131e-4,-0.009264465800809639,6.404003076183094e-4,6.404003102111138e-4,0.018067019212397766,6.4040031074304e-4,0.01806701920975465
1,0.7,1,0.4,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1,0.5,0.74444,0.72484,0.69347,0.64222,0.69347,0.64222,0.62027,0.82219,0.64222,0.81819,0.2268458678846157,0.23353196153011235,0.23846918592029936,0.25559545126005795,0.23846918592029936,0.25559545126005795,0.2555954512698289,0.21385841629825939,0.25559545125842903,0.21385841628711658,-8.527347612494009e-4,0.004678269298900225,-0.006459534516493105,0.0015623178680896506,-0.006459534516493107,0.0015623178680896125,0.0015623178702486864,0.016356696547719658,0.0015623178714940563,0.01635669654552394
1,0.7,1,0.4,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1,0.5,0.74507,0.72293,0.69481,0.64066,0.69481,0.64066,0.6192,0.81749,0.64066,0.81299,0.2271318510177935,0.23415931321405284,0.2387533773107334,0.2563602148015394,0.23875337731393004,0.2563602148043666,0.25636021481457427,0.21432991191697556,0.2563602148018954,0.21432991190399697,-3.7467805716455773e-4,0.003627060682497574,-0.0048209348121571165,0.00100858732456632,-0.0048209348112334014,0.0010085873254586555,0.001008587327930434,0.013286044974662755,0.0010085873287876297,0.013286044972172369
1,0.7,1,0.4,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1,0.5,0.74504,0.72164,0.69844,0.63952,0.69844,0.63952,0.61735,0.8156,0.63952,0.81109,0.22622619467866414,0.23339988962194808,0.23750268548510794,0.25540596080817946,0.2375026854878946,0.25540596081030176,0.2554059608202245,0.2132008182963995,0.2554059608038764,0.21320081828521414,4.929068021967452e-4,0.0029499982105940428,-0.0029481481180414697,9.427775227212101e-4,-0.0029481481174061974,9.427775236134778e-4,9.427775259839977e-4,0.010883729595665767,9.427775262656308e-4,0.010883729593289735
1,0.7,1,0.4,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1,0.5,0.74668,0.72268,0.69953,0.6407,0.69953,0.6407,0.61917,0.81293,0.6407,0.80791,0.22669904355896467,0.2335550365581303,0.23789730473127874,0.2552116366209835,0.23789730473127874,0.2552116366209835,0.25521163662853735,0.213744931411307,0.25521163661661916,0.2137449314026111,0.001014651851632155,0.002850463492699038,-0.0019233477009080945,2.920925868892263e-4,-0.001923347700908094,2.9209258688921104e-4,2.920925886333012e-4,0.008399973044483457,2.9209258950821913e-4,0.008399973042645998
1,0.7,1,0.4,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1,0.5,0.74877,0.72305,0.70411,0.64058,0.70411,0.64058,0.61908,0.80935,0.64058,0.80449,0.22672977460317592,0.23367629956370695,0.23812697698910812,0.2558344302554535,0.23812697698910812,0.25583443025545355,0.25583443026267666,0.21389353557982788,0.255834430255754,0.2138935355719486,0.002966335383745249,0.003053207100544368,0.0011635051699249372,8.937910492995237e-4,0.0011635051699249396,8.937910492995713e-4,8.937910509363157e-4,0.007421530263328031,8.937910505624548e-4,0.007421530261760099
1,0.7,1,0.4,1.8,0,0,0,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1,0.5,0.74834,0.72033,0.70541,0.63855,0.70541,0.63855,0.61655,0.8043,0.63855,0.79997,0.22714537457718606,0.23382786263420788,0.2382234402364344,0.25575780005947485,0.2382234402364344,0.25575780005947485,0.255757800069106,0.21393890085195003,0.2557578000548651,0.2139389008389371,0.0032795016479273595,0.0021822380659185007,0.0018644072472029148,5.298102228409366e-5,0.0018644072472029142,5.298102228412253e-5,5.2981025248962006e-5,0.0038801330748247263,5.298102609873735e-5,0.0038801330718729486
