K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0_1,0.5,0.01918,0.0224,0.02121,0.02545,0.02121,0.02545,0.02332,0.03163,0.02545,0.03059,0.21356383771071058,0.2231758247941433,0.2214171082318936,0.24103316369150654,0.2214171082318923,0.24103316369150604,0.24103316369268057,0.19680201571385833,0.24103316369150607,0.19680201571260483,-0.02250848001328474,-0.012202346917915441,-0.01744895530828531,-0.004516220154040121,-0.017448955308285045,-0.0045162201540402125,-0.004516220154007181,0.01873317378485932,-0.0045162201540401925,0.01873317378474085
1,0.7,1,1.8,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0_1,0.5,0.02115,0.02409,0.02247,0.02629,0.02247,0.02629,0.02401,0.03304,0.02629,0.03195,0.21424593247386184,0.22416547728988614,0.22248817276686347,0.24235035217197498,0.2224881727668622,0.2423503521719746,0.2423503521731446,0.19779126673748926,0.2423503521719746,0.19779126673623762,-0.019914244722818438,-0.009812222106446321,-0.017121996488930345,-0.003997492590444595,-0.017121996488930338,-0.003997492590444765,-0.003997492590408706,0.019008836381665836,-0.003997492590444759,0.019008836381545744
1,0.7,1,1.8,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0_1,0.5,0.02054,0.02348,0.02115,0.02524,0.02115,0.02524,0.02287,0.03186,0.02524,0.03103,0.21317915168261792,0.22273966093240075,0.2219053075702694,0.2413833170632275,0.2219053075702679,0.241383317063227,0.2413833170643948,0.19663180150158982,0.24138331706322702,0.1966318015003426,-0.01813520348297421,-0.007962119817072682,-0.016865248159698254,-0.004080966983692032,-0.016865248159698018,-0.004080966983691926,-0.0040809669836534765,0.018954435895696214,-0.004080966983691938,0.018954435895576303
1,0.7,1,1.8,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0_1,0.5,0.02109,0.02402,0.0213,0.02595,0.0213,0.02595,0.02367,0.03193,0.02595,0.03105,0.2129525201095215,0.2227960977241104,0.22122027797021254,0.24116824996619934,0.22122027797021165,0.2411682499661989,0.24116824996737138,0.19631286041016424,0.24116824996619887,0.19631286040891766,-0.0158400444534923,-0.005880407126158119,-0.0161748357229534,-0.0035141034246514427,-0.016174835722953217,-0.0035141034246515997,-0.0035141034246152047,0.01900260303673662,-0.003514103424651604,0.019002603036617344
1,0.7,1,1.8,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0_1,0.5,0.02091,0.02443,0.02152,0.02606,0.02152,0.02606,0.02391,0.03144,0.02606,0.03046,0.21270641270904592,0.22324057079816007,0.22144863282530128,0.24206574964141947,0.2214486328253001,0.24206574964141847,0.2420657496425879,0.19629641595217162,0.2420657496414185,0.1962964159509308,-0.014896588862451083,-0.004521520159273325,-0.0171951686302179,-0.004470573895300166,-0.017195168630218242,-0.004470573895300221,-0.0044705738952664975,0.018608246750495883,-0.004470573895300228,0.01860824675037681
1,0.7,1,1.8,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0_1,0.5,0.02216,0.02534,0.0212,0.02562,0.0212,0.02562,0.02344,0.03227,0.02562,0.0313,0.21351054085219218,0.22349145403138201,0.22213461045282856,0.24180034439273984,0.22213461045282734,0.24180034439273915,0.24180034439391557,0.197268611677566,0.24180034439273912,0.197268611676314,-0.012116629863742248,-0.0015551577112355728,-0.016563260581006517,-0.0036730619221573375,-0.016563260581006326,-0.00367306192215742,-0.0036730619221180794,0.019682539908857426,-0.003673061922157407,0.019682539908730277
1,0.7,1,1.8,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0_1,0.5,0.02255,0.02554,0.02149,0.02574,0.02149,0.02574,0.02335,0.0327,0.02574,0.03177,0.2130863683901786,0.22281377353121545,0.2220785635885863,0.24164177536455086,0.22207856358858483,0.2416417753645502,0.24164177536571768,0.19673300548833286,0.2416417753645502,0.1967330054870913,-0.01015947992728416,4.8075437699180985e-4,-0.01663969936122187,-0.0033922054856959497,-0.016639699361221966,-0.003392205485696029,-0.0033922054856600757,0.01953210176342862,-0.003392205485696033,0.01953210176330849
1,0.7,1,1.8,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0_1,0.5,0.02283,0.02643,0.02126,0.02563,0.02126,0.02563,0.02332,0.03182,0.02563,0.03089,0.2133029452885308,0.22327619184341405,0.22246574679595993,0.24217724424627407,0.2224657467959586,0.2421772442462731,0.2421772442474477,0.19703414746744868,0.2421772442462731,0.19703414746620035,-0.009746567779194772,6.50234138739317e-4,-0.01811991831746601,-0.00556622057187906,-0.018119918317465844,-0.005566220571879187,-0.005566220571851802,0.01777016815361004,-0.005566220571879202,0.01777016815349714
1,0.7,1,1.8,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0_1,0.5,0.02371,0.02691,0.02068,0.02462,0.02068,0.02462,0.02225,0.03297,0.02462,0.03171,0.2131775844938098,0.22330925105965474,0.22213616101648656,0.24154577400002167,0.22213616101648556,0.24154577400002086,0.24154577400119046,0.1971208037308095,0.24154577400002086,0.1971208037295622,-0.007625557971666397,0.0029612486310306193,-0.01804063250724486,-0.005039315395495616,-0.018040632507244893,-0.005039315395495363,-0.005039315395464959,0.018641753621777356,-0.0050393153954953794,0.0186417536216586
1,0.7,1,1.8,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0_1,0.5,0.02368,0.02671,0.02089,0.02499,0.02089,0.02499,0.02282,0.0315,0.02499,0.03051,0.2128025602203609,0.22268419801114656,0.22170405565809578,0.2411252643689771,0.22170405565809437,0.24112526436897588,0.24112526437014564,0.19678430374749653,0.24112526436897588,0.19678430374624725,-0.005389039185420474,0.005032654418739607,-0.017265244112862267,-0.004660875085773041,-0.017265244112862115,-0.004660875085773231,-0.004660875085738334,0.01803670820974585,-0.00466087508577326,0.01803670820963082
