K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.01974,0.02174,0.02191,0.0262,0.02191,0.0262,0.0241,0.03212,0.0262,0.03112,0.2121417225858714,0.21940639722472163,0.22270578090151436,0.24246029104851544,0.22270578090151436,0.24246029104851546,0.24246029104968642,0.1973278355401651,0.2424602910485155,0.19732783553891503,-0.02315712670828409,-0.013750740129951883,-0.016249956862573,-0.003099172114933332,-0.016249956862573002,-0.0030991721149332936,-0.0030991721148924,0.019397380746289057,-0.0030991721149333184,0.019397380746165007
1,0.7,1,0.4,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.01981,0.02238,0.0212,0.02565,0.0212,0.02565,0.0235,0.03109,0.02565,0.03028,0.21100056426704525,0.21801208823764712,0.2217280058563179,0.24162099992684055,0.2217280058563179,0.24162099992684052,0.24162099992801622,0.19640894853784735,0.24162099992684055,0.19640894853660346,-0.021274369415791684,-0.012049751686081868,-0.017233648628145616,-0.004680966477649112,-0.01723364862814562,-0.004680966477649079,-0.004680966477618949,0.018631644598034052,-0.00468096647764909,0.018631644597915532
1,0.7,1,0.4,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02136,0.0243,0.02235,0.02637,0.02235,0.02637,0.0242,0.03324,0.02637,0.03232,0.2114869486005711,0.21865567477951928,0.22241362083432864,0.2418606065785001,0.22241362083432864,0.24186060657850011,0.24186060657967307,0.19759266603393763,0.24186060657850011,0.19759266603268888,-0.0179538677263469,-0.008703705205484032,-0.015959089509931124,-0.002874402959235562,-0.01595908950993112,-0.0028744029592356153,-0.0028744029591933136,0.019429897716950327,-0.0028744029592356213,0.019429897716826267
1,0.7,1,0.4,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02151,0.02399,0.02205,0.02635,0.02205,0.02635,0.02395,0.03233,0.02635,0.03132,0.2105535330331726,0.21825817294762778,0.2223125778204635,0.24254788672066577,0.2223125778204635,0.24254788672066577,0.24254788672184038,0.19729701695697613,0.24254788672066577,0.1972970169557252,-0.01457960500432864,-0.005618415512116945,-0.015847382973129286,-0.0034063646978950445,-0.015847382973129282,-0.0034063646978950255,-0.0034063646978548913,0.02040150998666678,-0.00340636469789503,0.020401509986537798
1,0.7,1,0.4,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02135,0.02468,0.02121,0.02542,0.02121,0.02542,0.02285,0.03213,0.02542,0.03112,0.21074142730641315,0.2186331468532668,0.22189876531674965,0.24210326032763455,0.22189876531674965,0.24210326032763455,0.24210326032884658,0.19702409527039416,0.24210326032763455,0.19702409526914863,-0.011933871309398674,-0.00292172784475801,-0.015851505354108838,-0.00301264553311666,-0.015851505354108834,-0.0030126455331166385,-0.003012645533083855,0.020155814685774556,-0.003012645533116671,0.020155814685645042
1,0.7,1,0.4,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02185,0.02483,0.02124,0.02549,0.02124,0.02549,0.02352,0.03211,0.02549,0.03103,0.21032671050196045,0.2180731125684363,0.22176668312972023,0.24204302463436342,0.22176668312972023,0.24204302463436336,0.24204302463559998,0.1968149194989301,0.2420430246343634,0.19681491949768326,-0.009951366254457514,-6.84104672638338e-4,-0.01639808962812337,-0.003463742542138162,-0.016398089628123363,-0.003463742542138138,-0.003463742542113791,0.019837723561710728,-0.00346374254213816,0.0198377235615871
1,0.7,1,0.4,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.0232,0.02561,0.02138,0.02588,0.02138,0.02588,0.02391,0.03219,0.02588,0.03111,0.21060121749845354,0.21846372640624687,0.22214314178517058,0.24262836936596918,0.22214314178517058,0.2426283693659692,0.24262836936714455,0.19738116948927814,0.2426283693659692,0.197381169488026,-0.008097281788001152,7.353921798804069e-4,-0.016511592783207966,-0.00382933796672728,-0.01651159278320797,-0.0038293379667272663,-0.0038293379666932336,0.01929103361468287,-0.003829337966727292,0.01929103361456419
1,0.7,1,0.4,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02415,0.02702,0.02165,0.02546,0.02165,0.02546,0.02321,0.03244,0.02546,0.03152,0.21059397260478707,0.21819297274783378,0.22246973580456786,0.24190478648122896,0.22246973580456786,0.24190478648122896,0.2419047864824241,0.19750544349527835,0.24190478648122896,0.19750544349402746,-0.005668286643516975,0.003572456243739011,-0.017043268087443667,-0.0038065263024120526,-0.017043268087443667,-0.0038065263024120682,-0.003806526302378746,0.019174690178148858,-0.003806526302412079,0.01917469017802879
1,0.7,1,0.4,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02413,0.02701,0.02164,0.0257,0.02164,0.0257,0.02343,0.03158,0.0257,0.03073,0.2103351785087422,0.21821782220816224,0.22262803679302096,0.24239815783615046,0.22262803679302096,0.24239815783615043,0.24239815783732424,0.19711888803586383,0.24239815783615046,0.19711888803461508,-0.003971859703778176,0.004880259503887206,-0.018150667969313642,-0.005265807811235419,-0.018150667969313642,-0.005265807811235399,-0.00526580781120619,0.018235822543773764,-0.005265807811235425,0.018235822543656764
1,0.7,1,0.4,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02531,0.02799,0.02175,0.02526,0.02175,0.02526,0.02312,0.03279,0.02526,0.03171,0.21018144408233846,0.21816472249352276,0.22212100484061795,0.24141424921747248,0.22212100484061795,0.24141424921747245,0.2414142492186639,0.19751437320785667,0.24141424921747245,0.19751437320660903,2.0630220269324511e-4,0.009310546533987022,-0.016465678117639722,-0.003128732771494229,-0.016465678117639722,-0.0031287327714942556,-0.003128732771458201,0.019868500612520996,-0.0031287327714942647,0.019868500612393817
1,0.7,1,0.4,1,-0.2282587,0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02637,0.0282,0.02179,0.02592,0.02179,0.02592,0.02375,0.03209,0.02592,0.03105,0.21015208699189597,0.21814703618776118,0.22232687903026596,0.24243490003950946,0.222326879030266,0.2424349000395095,0.2424349000406804,0.19745073111041248,0.24243490003950946,0.1974507311091642,0.002944035821569216,0.011688262424632966,-0.01596076582284066,-0.0029489598387622993,-0.015960765822840662,-0.0029489598387622937,-0.002948959838718661,0.019679272285342494,-0.002948959838762291,0.01967927228521717
1,0.7,1,0.4,1,-0.2282587,0.11111111111111105,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02698,0.02992,0.02138,0.02539,0.02138,0.02539,0.02289,0.03276,0.02539,0.0318,0.21054150125764293,0.21854299402097874,0.22229726384110352,0.24204909573674402,0.22229726384110352,0.24204909573674402,0.24204909573791442,0.197774894620924,0.24204909573674405,0.19777489461967196,0.005595362197451112,0.014539413958008224,-0.016381136862133782,-0.0035665383636581255,-0.016381136862133782,-0.0035665383636580973,-0.003566538363620965,0.019855454432905404,-0.0035665383636581294,0.019855454432780948
1,0.7,1,0.4,1,-0.2282587,0.16666666666666663,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02662,0.02953,0.02108,0.02605,0.02108,0.02605,0.02365,0.03182,0.02605,0.03069,0.209972840747081,0.21807129742074038,0.22254189868665378,0.24238993468592396,0.22254189868665378,0.24238993468592396,0.24238993468709139,0.1973160843795149,0.24238993468592399,0.19731608437826423,0.0067665911104584225,0.015494500530995412,-0.01758304433836004,-0.004595872858510661,-0.017583044338360044,-0.004595872858510691,-0.004595872858475221,0.018749829410678164,-0.004595872858510676,0.018749829410558555
1,0.7,1,0.4,1,-0.2282587,0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02867,0.03164,0.0216,0.02591,0.0216,0.02591,0.02366,0.03263,0.02591,0.03171,0.2100984323797971,0.21843189408978134,0.22198927573303567,0.24222581066144272,0.22198927573303567,0.24222581066144272,0.24222581066261772,0.19764179241510282,0.24222581066144272,0.197641792413851,0.010373788883258144,0.018861321168296006,-0.01649488011971531,-0.004039213370468849,-0.016494880119715314,-0.004039213370468875,-0.004039213370432566,0.019259922193121056,-0.004039213370468884,0.019259922192997454
