K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.01847,0.01678,0.0289,0.02518,0.0289,0.02518,0.02315,0.0199,0.02518,0.01924,0.21149940680183993,0.2218796068184288,0.22020312575120093,0.24137402060615046,0.22020312575120093,0.24137402060615043,0.24137402060732369,0.19716006213987589,0.24137402060615049,0.1971600621386269,-0.025539822434274752,-0.03689700634562954,0.013345979883949987,-0.004499579463698786,0.013345979883949987,-0.0044995794636987635,-0.0044995794636675124,-0.021304762212827094,-0.004499579463698799,-0.021304762212690512
1,0.7,1,0.4,1,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.01935,0.01751,0.02902,0.02533,0.02902,0.02533,0.02322,0.0197,0.02533,0.019,0.21148238397525265,0.22141599574303403,0.22020910087359533,0.2413774320605185,0.22020910087359533,0.2413774320605185,0.24137743206170073,0.19759844501843532,0.24137743206051854,0.19759844501718812,-0.022091932138731406,-0.033210577796425673,0.01399941672639413,-0.0033871604254447018,0.013999416726394128,-0.0033871604254447013,-0.003387160425406265,-0.02057873325912922,-0.003387160425444717,-0.0205787332590005
1,0.7,1,0.4,1,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02004,0.01789,0.02978,0.02566,0.02978,0.02566,0.02319,0.02025,0.02566,0.01963,0.21110346753723766,0.22092933566441683,0.22040901174547772,0.2413488988826424,0.22040901174547772,0.24134889888264244,0.2413488988838122,0.19786391971997744,0.24134889888264244,0.19786391971873443,-0.020608927767475294,-0.03189476626902035,0.01314293134413487,-0.004631284601940195,0.01314293134413487,-0.0046312846019401785,-0.004631284601907751,-0.021868967688304347,-0.004631284601940182,-0.021868967688165146
1,0.7,1,0.4,1,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.0212,0.019,0.02992,0.02649,0.02992,0.02649,0.02406,0.01999,0.02649,0.01938,0.21076400765574285,0.2203454131880151,0.22053444297233818,0.2414769481589132,0.22053444297233818,0.2414769481589132,0.24147694816008813,0.1980698697716217,0.24147694815891318,0.1980698697703759,-0.01730376038839132,-0.028455974092256465,0.013891577497431033,-0.003986412164796741,0.01389157749743103,-0.003986412164796726,-0.003986412164764653,-0.021292781824559508,-0.003986412164796733,-0.021292781824426357
1,0.7,1,0.4,1,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02117,0.01899,0.02895,0.02506,0.02895,0.02506,0.02288,0.02053,0.02506,0.01972,0.2110767116667607,0.22052168236530337,0.22072457301257695,0.241771319477509,0.22072457301257695,0.241771319477509,0.2417713194786829,0.1984768963659488,0.241771319477509,0.19847689636470076,-0.014658633059605543,-0.026119348907553026,0.014136486914972162,-0.0036919883412845573,0.014136486914972162,-0.0036919883412845937,-0.003691988341248256,-0.021156873021924587,-0.0036919883412845677,-0.021156873021789813
1,0.7,1,0.4,1,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02313,0.02083,0.0296,0.02639,0.0296,0.02639,0.02426,0.0206,0.02639,0.02007,0.2107236831992434,0.22054810601925406,0.22085753131023927,0.24269427099356625,0.22085753131023925,0.24269427099356625,0.24269427099473875,0.19792105301324653,0.24269427099356625,0.19792105301200122,-0.012622921378476672,-0.0238771839351197,0.013118059273969827,-0.004502132456558824,0.013118059273969826,-0.004502132456558823,-0.004502132456525407,-0.02149824356151237,-0.0045021324565588244,-0.021498243561377472
1,0.7,1,0.4,1,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02236,0.0208,0.02954,0.02602,0.02954,0.02602,0.02367,0.02042,0.02602,0.01958,0.21052344583160587,0.21979890372894048,0.22108197340120023,0.24224877046295165,0.22108197340120023,0.24224877046295168,0.24224877046413043,0.1980678120384549,0.2422487704629517,0.19806781203720156,-0.00937472663189442,-0.020613277327473978,0.013750128234220607,-0.00401460158432065,0.01375012823422061,-0.004014601584320606,-0.004014601584287101,-0.02103551571413178,-0.004014601584320641,-0.021035515713996096
1,0.7,1,0.4,1,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02378,0.02094,0.03008,0.02556,0.03008,0.02556,0.02334,0.02042,0.02556,0.01972,0.21093875790650446,0.21988026867284088,0.22124899181094793,0.24204794378832387,0.22124899181094793,0.24204794378832387,0.24204794378950176,0.19887221418608936,0.24204794378832387,0.19887221418483506,-0.006932689980383919,-0.018298018306682578,0.01375376568328284,-0.0039133643224498384,0.013753765683282838,-0.003913364322449825,-0.0039133643224156895,-0.021242584641296466,-0.0039133643224498514,-0.021242584641161404
1,0.7,1,0.4,1,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02397,0.02172,0.02915,0.02556,0.02915,0.02556,0.02322,0.02051,0.02556,0.01978,0.21042350284435804,0.21920996124571684,0.22084255030407862,0.24153366559596612,0.22084255030407862,0.24153366559596612,0.24153366559713602,0.19792289385280734,0.24153366559596612,0.19792289385156286,-0.004595039984734165,-0.016213872867081175,0.013850767377493104,-0.004438561405562077,0.013850767377493108,-0.004438561405562107,-0.004438561405531946,-0.021128194231034278,-0.00443856140556212,-0.021128194230898675
1,0.7,1,0.4,1,0.2513144,0,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02443,0.02196,0.02889,0.02526,0.02889,0.02526,0.02308,0.01987,0.02526,0.01927,0.2102011446170207,0.2190443793889406,0.2206449123760678,0.2417662172571723,0.2206449123760678,0.24176621725717232,0.24176621725836014,0.19799626716732413,0.24176621725717232,0.19799626716607702,-0.0026085079054029687,-0.013984191917296123,0.0134349093546486,-0.004238117190599978,0.013434909354648604,-0.004238117190599959,-0.004238117190573222,-0.02160065671563541,-0.004238117190599972,-0.021600656715497227
