K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.01959,0.02499,0.01744,0.02528,0.01744,0.02528,0.02287,0.04186,0.02528,0.04069,0.2113503982285052,0.21731803029227897,0.22444990260961512,0.24142457556401248,0.22444990260961514,0.24142457556401245,0.24142457556518215,0.20017091669947093,0.24142457556401248,0.200170916698216,-0.023170086858260244,-0.002059284370736169,-0.03424187749834227,-0.0031272131748881515,-0.03424187749834226,-0.0031272131748881216,-0.003127213174847951,0.04173178868385738,-0.0031272131748881576,0.04173178868359549
1,0.7,1,0.4,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02031,0.02461,0.01876,0.02601,0.01876,0.02601,0.02389,0.03967,0.02601,0.03854,0.2109839763440901,0.2172912003340656,0.22426936328696143,0.24196258754487335,0.22426936328696143,0.24196258754487332,0.24196258754604508,0.19910507323925897,0.24196258754487332,0.1991050732380133,-0.02040860899555104,-0.0017817197084913547,-0.030747573568186633,-0.004013936866450651,-0.030747573568186633,-0.004013936866450663,-0.004013936866417211,0.03716002745021726,-0.004013936866450691,0.03716002744998303
1,0.7,1,0.4,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02032,0.02422,0.01851,0.02496,0.01851,0.02496,0.02271,0.03644,0.02496,0.03549,0.21025402976107097,0.21725666395556917,0.22288832781591783,0.24120200911359843,0.22288832781591783,0.2412020091135984,0.24120200911477005,0.19788739687401208,0.24120200911359846,0.19788739687276016,-0.01876220668047005,-0.002519752273726042,-0.027766457815711156,-0.004115884977913517,-0.027766457815711156,-0.004115884977913505,-0.004115884977877652,0.03177260261778189,-0.004115884977913519,0.03177260261758028
1,0.7,1,0.4,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02221,0.02609,0.02092,0.02658,0.02092,0.02658,0.02453,0.03582,0.02658,0.0348,0.21150989530296582,0.2186857544881593,0.22377917473753164,0.2425332971457467,0.22377917473753164,0.24253329714574667,0.24253329714691807,0.19823972401465678,0.24253329714574667,0.198239724013408,-0.015751443300461715,-0.002169062705575732,-0.024052183260621123,-0.004509310713704716,-0.024052183260621123,-0.004509310713704709,-0.004509310713674546,0.02752398472931504,-0.004509310713704725,0.02752398472914119
1,0.7,1,0.4,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02186,0.02542,0.02063,0.02586,0.02063,0.02586,0.0235,0.03405,0.02586,0.03291,0.2103657037581846,0.2177310642337342,0.2220273898438666,0.2413200570453926,0.2220273898438666,0.2413200570453926,0.2413200570465668,0.19737744318173978,0.2413200570453926,0.19737744318049114,-0.013006148998757162,-0.001609071789856002,-0.019869021551056,-0.0034335812864623528,-0.019869021551055997,-0.003433581286462372,-0.0034335812864238675,0.0234895953404485,-0.0034335812864623914,0.02348959534029889
1,0.7,1,0.4,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02238,0.02586,0.0214,0.02566,0.0214,0.02566,0.02354,0.03188,0.02566,0.03095,0.20994488104325487,0.2178087410291126,0.22129616466852908,0.24164729118346165,0.22129616466852908,0.24164729118346162,0.2416472911846355,0.19669700895983974,0.24164729118346165,0.19669700895859066,-0.00977357477903176,-9.418773010024569e-4,-0.015234812546721748,-0.0027414737645074737,-0.015234812546721745,-0.002741473764507492,-0.0027414737644655767,0.019218458123121944,-0.002741473764507509,0.01921845812299801
1,0.7,1,0.4,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02286,0.02475,0.02169,0.02563,0.02169,0.02563,0.0233,0.03022,0.02563,0.02921,0.21000744239772484,0.21831864920255767,0.22132707719953376,0.24222488158121733,0.22132707719953376,0.2422248815812173,0.24222488158238636,0.19661844833679315,0.2422248815812173,0.1966184483355433,-0.00798377903552073,-0.0013662247466222006,-0.012936220756354743,-0.003611427053834225,-0.012936220756354743,-0.003611427053834248,-0.0036114270537932446,0.014701520686122856,-0.003611427053834233,0.014701520686030421
1,0.7,1,0.4,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02385,0.02513,0.02338,0.02578,0.02338,0.02578,0.02361,0.02918,0.02578,0.02828,0.21075563675683287,0.21855325171960016,0.2223086959025931,0.24288486722841302,0.2223086959025931,0.24288486722841304,0.24288486722958852,0.19691864987946572,0.24288486722841304,0.1969186498782132,-0.005750657154393255,-0.0017229349209788118,-0.009005085124704203,-0.0037981774710804505,-0.009005085124704203,-0.0037981774710804427,-0.0037981774710424553,0.00952284328030771,-0.003798177471080447,0.009522843280248093
1,0.7,1,0.4,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02391,0.02427,0.02368,0.0247,0.02368,0.0247,0.02249,0.02671,0.0247,0.02573,0.20997941368402875,0.21806727439831716,0.2208139826492628,0.24145489092207328,0.2208139826492628,0.24145489092207328,0.24145489092324263,0.1962233890970716,0.24145489092207328,0.19622338909582232,-0.004423224567138908,-0.003070501709191426,-0.0068058486826115235,-0.005167121732247646,-0.006805848682611521,-0.005167121732247615,-0.005167121732215308,0.003991487392655242,-0.005167121732247639,0.003991487392628718
1,0.7,1,0.4,1,0,0,0,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02487,0.02533,0.02471,0.02538,0.02471,0.02538,0.023,0.025,0.02538,0.02425,0.20967306577034203,0.2178394566098497,0.22034128048994728,0.24119689212769174,0.22034128048994728,0.24119689212769171,0.2411968921288635,0.19567792397342135,0.24119689212769171,0.19567792397217462,-8.65435290123179e-4,-0.0015224078237326395,-0.0018933837248847154,-0.0035175730763862285,-0.0018933837248847117,-0.0035175730763862133,-0.003517573076347421,5.836360726740691e-4,-0.0035175730763862224,5.836360726705903e-4
1,0.7,1,0.4,1,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02572,0.02563,0.02598,0.0266,0.02598,0.0266,0.02444,0.02425,0.0266,0.02335,0.21048981498833705,0.2186539908786548,0.22134251600091265,0.24283881167089472,0.22134251600091265,0.24283881167089474,0.2428388116720683,0.19709597892902228,0.24283881167089474,0.19709597892777383,0.001933422747097598,-0.0012859058569159884,0.0016291966870368643,-0.0034914056508848876,0.0016291966870368632,-0.0034914056508848794,-0.003491405650844281,-0.004209957515929219,-0.00349140565088488,-0.0042099575159030185
1,0.7,1,0.4,1,0.11111111111111105,0.11111111111111105,0.11111111111111105,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02512,0.02346,0.02558,0.02489,0.02558,0.02489,0.02222,0.02195,0.02489,0.02105,0.20911571155759145,0.21704769265055698,0.21999087451549515,0.24111495252053475,0.21999087451549515,0.24111495252053475,0.24111495252171017,0.19630127435827496,0.24111495252053478,0.19630127435702874,0.0034221769788746136,-0.0019952506337783957,0.00429466203930648,-0.004394222661904934,0.004294662039306479,-0.004394222661904926,-0.004394222661869482,-0.009561738636204088,-0.004394222661904916,-0.00956173863614656
1,0.7,1,0.4,1,0.16666666666666663,0.16666666666666663,0.16666666666666663,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02764,0.02601,0.02834,0.02692,0.02834,0.02692,0.02457,0.02174,0.02692,0.02105,0.2106592258595171,0.21882340086616148,0.2212499149313351,0.2424212474419906,0.2212499149313351,0.24242124744199062,0.24242124744317753,0.19762897164013524,0.24242124744199062,0.19762897163888676,0.006237479855810621,-0.0017119187302556892,0.008744437841570784,-0.00376209249474966,0.008744437841570784,-0.003762092494749662,-0.0037620924947185212,-0.014198859008257975,-0.0037620924947496725,-0.014198859008164607
1,0.7,1,0.4,1,0.2222222222222222,0.2222222222222222,0.2222222222222222,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02675,0.02442,0.02829,0.02557,0.02829,0.02557,0.02348,0.02009,0.02557,0.01938,0.2100697662186725,0.21825011351778156,0.220692934578921,0.2423766662126813,0.220692934578921,0.2423766662126813,0.24237666621384976,0.19796924434325153,0.24237666621268128,0.19796924434200908,0.00743565876654139,-0.0029364584847856295,0.011097099706510318,-0.004532890060330271,0.011097099706510322,-0.004532890060330297,-0.004532890060295019,-0.019153211369258044,-0.004532890060330279,-0.0191532113691384
1,0.7,1,0.4,1,0.2777777777777777,0.2777777777777777,0.2777777777777777,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02756,0.02437,0.02932,0.02563,0.02932,0.02563,0.02332,0.01915,0.02563,0.01849,0.21011880439759417,0.21759275577494236,0.22107486754506495,0.2418150529928841,0.22107486754506495,0.24181505299288408,0.24181505299405306,0.1984781070189416,0.2418150529928841,0.1984781070176915,0.009945636789499742,-0.003007545808398339,0.014912610549939788,-0.004820794336859649,0.01491261054993979,-0.004820794336859653,-0.004820794336826984,-0.02407563819304514,-0.0048207943368596675,-0.024075638192893826
1,0.7,1,0.4,1,0.33333333333333326,0.33333333333333326,0.33333333333333326,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H0,0.5,0.02913,0.02535,0.03132,0.02654,0.03132,0.02654,0.02432,0.01848,0.02654,0.01783,0.21034488731707351,0.2183966199477841,0.22093698958723687,0.2423436407906476,0.22093698958723687,0.2423436407906476,0.2423436407918226,0.19914122360110725,0.24234364079064763,0.19914122359985897,0.012677434963498161,-0.002307835703486697,0.01863589267355003,-0.003976953119661668,0.01863589267355003,-0.00397695311966166,-0.003976953119628777,-0.028162892904228576,-0.003976953119661685,-0.028162892904050857
