K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.70728,0.70275,0.66255,0.639,0.66255,0.639,0.61681,0.85787,0.639,0.85389,0.23023334910250268,0.2377243577679414,0.24037286127432933,0.2553176023270519,0.2403728612741034,0.2553176023265334,0.25531760233224715,0.21737233755784355,0.2553176023203382,0.21737233755112148,-0.019319663503653463,5.053834991464085e-4,-0.026670130486510374,-0.0013779059743354762,-0.026670130486591413,-0.0013779059745114863,-0.0013779059733065237,0.04440068101628801,-0.0013779059724057137,0.044400681014846295
1,0.7,1,1.8,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.70955,0.70026,0.66562,0.63737,0.66562,0.63737,0.61522,0.8533,0.63737,0.849,0.22984976077706967,0.2377631072451811,0.23941974663998555,0.25491752648268073,0.2394197466399854,0.2549175264826805,0.2549175264896564,0.21635728777533594,0.2549175264806567,0.21635728776660484,-0.01696054571486363,5.683580124061677e-4,-0.02376147916890465,-0.0014177495344908444,-0.02376147916890426,-0.0014177495344902718,-0.0014177495329735618,0.040112211508810725,-0.0014177495332410813,0.04011221150708366
1,0.7,1,1.8,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.71535,0.70257,0.67345,0.64048,0.67345,0.64048,0.61848,0.84868,0.64048,0.84448,0.22962670329562318,0.23782503509815298,0.23910772722290444,0.25518160926556205,0.23910772722598447,0.25518160926556155,0.25518160927728034,0.2151487078886124,0.25518160926197947,0.2151487078737158,-0.014191903644957194,0.0010868222325614992,-0.020064832301466492,-6.362525011824713e-4,-0.020064832300541166,-6.362525011822055e-4,-6.36252497690684e-4,0.03585869739695679,-6.362524957131222e-4,0.03585869739336029
1,0.7,1,1.8,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.71972,0.70394,0.68044,0.64198,0.68044,0.64198,0.62035,0.8434,0.64198,0.83949,0.22919554536291953,0.23733470150226477,0.23858134561999075,0.25443012920053554,0.2385813456199656,0.2544301292005354,0.2544301292091526,0.21501643217517152,0.2544301291932926,0.2150164321653727,-0.010788814687497112,0.002093530499141883,-0.015508217481507599,9.149382294708072e-4,-0.015508217481521555,9.149382294712031e-4,9.149382314751861e-4,0.03176388526409966,9.14938233173963e-4,0.03176388526200084
1,0.7,1,1.8,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.72066,0.70207,0.6818,0.6395,0.6818,0.6395,0.61721,0.83671,0.6395,0.83265,0.2297138101272887,0.2382090382013049,0.23863618172075954,0.2555520135281462,0.23863618172384385,0.2555520135312109,0.25555201354230817,0.21493613874990963,0.25555201353126705,0.2149361387362592,-0.009429107967496039,0.001308988533844982,-0.013972388659918303,-7.774441267177898e-4,-0.013972388658985027,-7.774441258250022e-4,-7.77444123037359e-4,0.026977304892646606,-7.774441217777777e-4,0.026977304889769117
1,0.7,1,1.8,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.72386,0.70032,0.68618,0.63704,0.68618,0.63704,0.61592,0.83135,0.63704,0.8267,0.22950605022689027,0.23839231221623286,0.23835684285933678,0.25545692958346716,0.23835684285930978,0.255456929583467,0.2554569295870355,0.21402588285900728,0.2554569295769152,0.21402588285427226,-0.007665852207767001,2.542392364931002e-4,-0.01113063193663758,-0.0015685905678283897,-0.011130631936648882,-0.0015685905678279656,-0.0015685905671939462,0.021624152193379632,-0.001568590565331399,0.021624152192661988
1,0.7,1,1.8,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.72944,0.70291,0.69334,0.64135,0.69334,0.64135,0.61915,0.82509,0.64135,0.82086,0.22889606897065942,0.23776922106723838,0.2378958372144152,0.2552934738627591,0.23789583721455568,0.255293473862759,0.2552934738678579,0.21367752157865968,0.2552934738530262,0.21367752157302536,-0.0038504602096093403,0.0020717641641832046,-0.006495119710202275,2.2160513954232034e-4,-0.006495119710161178,2.21605139542816e-4,2.2160514059351284e-4,0.01826070384027408,2.2160514220003876e-4,0.01826070383922091
1,0.7,1,1.8,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.73142,0.7021,0.69795,0.63973,0.69795,0.63973,0.61814,0.81768,0.63973,0.8132,0.2300295136123176,0.2391176089544998,0.2387820046182904,0.2563516783423531,0.23878200461834703,0.2563516783424071,0.2563516783497273,0.2143956071475124,0.2563516783367569,0.21439560713918296,-0.001926693391851438,0.0016468912634540565,-0.0038544140214159923,1.2526458331040208e-4,-0.003854414021396662,1.252645833292783e-4,1.2526458497212975e-4,0.013355714347609043,1.252645852692413e-4,0.013355714345934836
1,0.7,1,1.8,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.73366,0.70148,0.6996,0.63907,0.6996,0.63907,0.61624,0.81069,0.63907,0.80611,0.2298690616660904,0.23922045975715517,0.23840433514228349,0.256403543934347,0.23840433514228332,0.2564035439343404,0.2564035439405903,0.2142040706000293,0.2564035439241825,0.21420407059233348,2.3928670187194504e-4,0.0018258630777568303,-0.0010623981872670725,2.0693415139188536e-4,-0.001062398187266462,2.0693415139077118e-4,2.0693415280743623e-4,0.008287542993862971,2.069341545619855e-4,0.008287542992456829
1,0.7,1,1.8,1.8,0,0,0,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.73869,0.70271,0.707,0.63883,0.707,0.63883,0.61783,0.80755999999999994,0.63883,0.80275,0.22939712099088444,0.2383888458430174,0.23788136012273364,0.25557619090282263,0.23788136012273345,0.25557619090282235,0.2555761909102977,0.2136492495784459,0.25557619089382333,0.21364924956948633,0.003262835622107581,0.0024334198651354104,0.0027389113296909925,6.175427125112474e-4,0.002738911329691709,6.175427125117838e-4,6.175427142495544e-4,0.004517421490676593,6.175427150970997e-4,0.004517421488888473
