K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H1,0.5,0.7083,0.66629,0.72714,0.63936,0.72714,0.63936,0.61733,0.77508,0.63936,0.76988,0.2280367221668346,0.23653685933031648,0.23798285502542485,0.2553774533098153,0.23798285502542485,0.2553774533098153,0.25537745332035966,0.2145241060614249,0.25537745330729067,0.21452410604914304,-0.023237671093592014,-0.031560994186805365,0.01643015624109609,4.5038475787988354e-4,0.016430156241096085,4.503847578799026e-4,4.503847607317498e-4,-0.016233511178102133,4.503847577828283e-4,-0.01623351118079368
1,0.7,1,0.4,1.8,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H1,0.5,0.71058,0.66906,0.72543,0.63868,0.72543,0.63868,0.6165,0.77327,0.63868,0.76752,0.2284783475917866,0.23710563287581107,0.2386549246552645,0.256410408001637,0.2386549246552645,0.256410408001637,0.25641040800868053,0.21548086326119598,0.25641040799681264,0.21548086325360713,-0.021861476172091096,-0.03019415451641639,0.0150636230139049,-1.785716583118381e-4,0.015063623013904903,-1.7857165831185938e-4,-1.785716566667853e-4,-0.01729302477439917,-1.785716573281098e-4,-0.017293024775882713
1,0.7,1,0.4,1.8,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H1,0.5,0.71789,0.6742,0.72699,0.63892,0.72699,0.63892,0.6171,0.7752,0.63892,0.76969,0.22742892225377645,0.2362767439051415,0.23791150460547064,0.2558736211333932,0.23791150460547067,0.2558736211333931,0.25587362114136675,0.21437829368000852,0.2558736211348239,0.2143782936698383,-0.018256235364301935,-0.027080054861595055,0.01592884421450115,8.093496913702551e-5,0.015928844214501154,8.09349691370386e-5,8.093497147533921e-5,-0.016970440450292522,8.093497185349726e-5,-0.01697044045246697
1,0.7,1,0.4,1.8,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H1,0.5,0.72134,0.67995,0.72668,0.64093,0.72668,0.64093,0.61958,0.77552,0.64093,0.77034,0.2274255555902913,0.2357783266808736,0.2378097038964526,0.25516403265649384,0.2378097038964526,0.2551640326564939,0.25516403266445814,0.21495136185474503,0.2551640326516923,0.21495136184472569,-0.014844389207242408,-0.02380711660493412,0.016820803510706736,8.713323076938183e-4,0.01682080351070673,8.713323076938201e-4,8.713323097391218e-4,-0.016493207383836375,8.713323114927682e-4,-0.016493207385711996
1,0.7,1,0.4,1.8,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H1,0.5,0.72513,0.68332,0.72689,0.64159,0.72689,0.64159,0.61956,0.77527,0.64159,0.77021,0.22706092156825133,0.23523088516646737,0.2379034107980661,0.25535097988626276,0.23790341080200256,0.25535097988626276,0.2553509798973203,0.2147264104840935,0.25535097988332595,0.21472641047184607,-0.012317273458160383,-0.021457466893400483,0.01697976364727799,9.223127765974847e-4,0.016979763648316687,9.223127765974764e-4,9.223127795203787e-4,-0.01690974443343848,9.223127798013238e-4,-0.01690974443618078
1,0.7,1,0.4,1.8,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H1,0.5,0.72751,0.68479,0.72487,0.63883,0.72487,0.63883,0.61751,0.77319,0.63883,0.76819,0.2275361645460723,0.2356008981447037,0.23861093553320312,0.25602873833463596,0.23861093553320312,0.25602873833463596,0.2560287383444347,0.21528485348880638,0.25602873833313233,0.21528485347792076,-0.010306539880157608,-0.019473248757324733,0.016077299937129173,2.737713298664087e-4,0.016077299937129176,2.7377132986642277e-4,2.737713319896315e-4,-0.01709809221387005,2.7377133360001737e-4,-0.017098092215825648
1,0.7,1,0.4,1.8,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H1,0.5,0.73222,0.69091,0.72632,0.64094,0.72632,0.64094,0.61841,0.77429,0.64094,0.76885,0.22651298884422288,0.23438681975253367,0.23769933647508165,0.25499648438082606,0.23769933647508165,0.254996484380826,0.2549964843881285,0.21440792665882502,0.2549964843716597,0.21440792664972613,-0.00809170487186942,-0.017044443316427575,0.015570439981346312,2.818659967437958e-4,0.01557043998134631,2.8186599674377396e-4,2.818659984770867e-4,-0.017225227449682537,2.818660007078558e-4,-0.017225227451279947
1,0.7,1,0.4,1.8,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H1,0.5,0.73756,0.69596,0.7256,0.63955,0.7256,0.63955,0.61753,0.7757,0.63955,0.7705,0.22629967180119606,0.23406152288455315,0.2377327336615631,0.2553150574592773,0.2377327336615631,0.2553150574592709,0.2553150574662185,0.213991925577116,0.2553150574479552,0.21399192556876337,-0.005489321251828369,-0.01527224298820917,0.015524931025466149,-6.087662278753209e-4,0.015524931025466145,-6.087662278772469e-4,-6.087662260643601e-4,-0.018007323958601728,-6.087662223442442e-4,-0.018007323960138752
1,0.7,1,0.4,1.8,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H1,0.5,0.73832,0.69674,0.72379,0.63974,0.72379,0.63974,0.61756,0.77317,0.63974,0.76807,0.22738941253042885,0.234885703943724,0.2386620112776826,0.2562100509176835,0.2386620112776826,0.25621005091768356,0.2562100509285473,0.21539750838932498,0.25621005091562354,0.21539750837636665,-0.0028808918728933097,-0.012384271753610385,0.015214866363370822,-3.5726922167024695e-4,0.015214866363370815,-3.5726922167026543e-4,-3.572692191217082e-4,-0.01794138144541556,-3.572692174102618e-4,-0.01794138144779652
1,0.7,1,0.4,1.8,0.2513144,0,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H1,0.5,0.7441,0.70179,0.72582,0.63997,0.72582,0.63997,0.61769,0.77434,0.63997,0.76939,0.22697064945409684,0.2345161775663737,0.23885657104515498,0.2567178952001353,0.23885657104515498,0.2567178952001353,0.2567178952050219,0.2150602674321344,0.25671789519120536,0.21506026742672582,3.756741379992206e-4,-0.009534471213821184,0.016062053255260677,-1.0973756369225114e-4,0.016062053255260673,-1.0973756369224753e-4,-1.0973756289979367e-4,-0.017076078434642896,-1.0973756145254419e-4,-0.017076078435218064
