K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.04258,0.04352,0.02967,0.02598,0.02967,0.02598,0.02364,0.04092,0.02598,0.03946,0.22259459545036347,0.2325746377315507,0.22709045084782398,0.24921593014513335,0.22709045084782392,0.24921593014513327,0.2492159301461421,0.20575136809478672,0.2492159301451333,0.20575136809388567,0.05194491892653317,0.05652720241314576,0.016345448475566196,-0.004580499304573114,0.01634544847556615,-0.004580499304573089,-0.0045804993043560335,0.043589428694155476,-0.0045804993045730985,0.043589428693959674
1,0.7,1,1.8,1,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.04132,0.04247,0.03009,0.02542,0.03009,0.02542,0.02305,0.04207,0.02542,0.04066,0.22124582825586633,0.23134486645627186,0.22630884168212206,0.2485835887157513,0.226308841682122,0.24858358871575117,0.2485835887164272,0.20544419180902387,0.24858358871575117,0.20544419180812284,0.04779494466366315,0.05115527341760597,0.015367143663804863,-0.004888716685001417,0.015367143663804837,-0.004888716685001347,-0.0048887166847093565,0.04274824204395655,-0.004888716685001376,0.04274824204375973
1,0.7,1,1.8,1,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03973,0.03984,0.03056,0.02648,0.03056,0.02648,0.02368,0.04218,0.02648,0.04062,0.22130930301395912,0.23095240746201348,0.22680114489942185,0.24895822118571062,0.22680114489942174,0.2489582211857105,0.24895822118638927,0.2061156422437818,0.2489582211857105,0.20611564224288248,0.045372837112652706,0.04692692020586432,0.016345457970173803,-0.004388689267433118,0.016345457970173765,-0.004388689267433188,-0.004388689267147521,0.042387283984927464,-0.004388689267433158,0.042387283984735916
1,0.7,1,1.8,1,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03871,0.03849,0.02987,0.02609,0.02987,0.02609,0.02343,0.04138,0.02609,0.04015,0.22006118886002296,0.2294338809878994,0.22652242016987872,0.24890082159948743,0.22652242016987867,0.24890082159948734,0.24890082160009042,0.20529450388554676,0.24890082159948732,0.20529450388464482,0.04237192980189795,0.04266216643490277,0.015870026021429263,-0.004121747294571971,0.015870026021429246,-0.004121747294571993,-0.004121747294257417,0.04321463756743694,-0.004121747294572008,0.04321463756724049
1,0.7,1,1.8,1,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03705,0.03693,0.02888,0.02514,0.02888,0.02514,0.0226,0.04056,0.02514,0.03922,0.21956535651855044,0.22954854938522512,0.22590018514609747,0.2486489271161659,0.22590018514609733,0.24864892711616543,0.24864892711716854,0.20530849051338426,0.2486489271161654,0.20530849051247924,0.03900130635035621,0.03736891420328401,0.015875666108868924,-0.004727869349598522,0.0158756661088689,-0.004727869349598587,-0.004727869349375101,0.04237587425949852,-0.004727869349598574,0.04237587425930147
1,0.7,1,1.8,1,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03641,0.03534,0.02925,0.02506,0.02925,0.02506,0.02256,0.04094,0.02506,0.03961,0.2195401878192135,0.22885476058113366,0.2264448407547117,0.24807716099737573,0.2264448407547115,0.24807716099737553,0.24807716099808436,0.20517320195618222,0.2480771609973755,0.2051732019552838,0.03583950087825696,0.033225772592433186,0.015644334893740997,-0.004293852153103629,0.015644334893740904,-0.004293852153103687,-0.004293852152823799,0.04189790866031791,-0.004293852153103702,0.041897908660128345
1,0.7,1,1.8,1,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03594,0.0339,0.03028,0.02616,0.03028,0.02616,0.02337,0.04112,0.02616,0.03971,0.2192640626981654,0.22865873872753498,0.2259335399872743,0.24767220075164426,0.225933539987274,0.24767220075164414,0.2476722007522824,0.20547701605060223,0.24767220075164414,0.20547701604970461,0.03358161127599805,0.029078459755839125,0.016076921108452637,-0.00418147182116234,0.016076921108452456,-0.004181471821162423,-0.004181471820861556,0.04259824268726703,-0.004181471821162424,0.042598242687068855
1,0.7,1,1.8,1,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03375,0.03193,0.02916,0.02475,0.02916,0.02475,0.02226,0.04066,0.02475,0.03929,0.218625257809479,0.22814791537950443,0.2258795357924579,0.24787140619992254,0.22587953579245743,0.24787140619992223,0.24787140620059753,0.20496624414846537,0.24787140619992223,0.20496624414755957,0.030146776486068717,0.024036993591611457,0.01544965609366442,-0.004998239367692757,0.015449656093664232,-0.00499823936769278,-0.004998239367400207,0.042360023207422604,-0.0049982393676928074,0.042360023207226864
1,0.7,1,1.8,1,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03407,0.03128,0.0304,0.02524,0.0304,0.02524,0.02265,0.04154,0.02524,0.0401,0.21905483439665605,0.22827053020195365,0.22638835147217345,0.24767654531045072,0.22638835147217276,0.24767654531044994,0.2476765453110685,0.20578399861298818,0.24767654531044994,0.20578399861209046,0.02887517581723228,0.021260752444102957,0.016835710705625725,-0.0036730537597645923,0.01683571070562552,-0.0036730537597648013,-0.003673053759459242,0.04348891149360414,-0.0036730537597648113,0.04348891149340032
1,0.7,1,1.8,1,0.2513144,0,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03266,0.03052,0.03007,0.02587,0.03007,0.02587,0.0233,0.04117,0.02587,0.0399,0.2185253771692962,0.22883421129726284,0.2262112427853012,0.24871877286495273,0.2262112427853005,0.2487187728649524,0.24871877286557467,0.20565338894513527,0.2487187728649524,0.20565338894422305,0.024690042680589996,0.015768935847365186,0.015345196811436606,-0.005162162265772208,0.015345196811436345,-0.005162162265772498,-0.005162162265466873,0.04251401497942269,-0.005162162265772471,0.04251401497922416
