K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0_1,0.5,0.01772,0.02498,0.0171,0.02612,0.0171,0.02612,0.02465,0.00878,0.02612,0.0085,0.20607130351123437,0.21279277796882734,0.21516767919269578,0.22994259606473907,0.21516767919269575,0.22994259606473902,0.22994259606529416,0.20579196029049313,0.2299425960642218,0.205791960289884,-0.030334393300379375,-0.0013432760632127996,-0.03740211335377027,-0.0019140167628874825,-0.03740211335377027,-0.001914016762887517,-0.0019140167630292426,-0.08266695377905067,-0.001914016762769766,-0.08266695377885365
1,0.7,1,1.8,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0_1,0.5,0.01826,0.02493,0.0173,0.02509,0.0173,0.02509,0.02367,0.00982,0.02509,0.00949,0.20715932843504267,0.21446486156990935,0.2163197671150512,0.23217582549457264,0.2163197671150512,0.23217582549457252,0.23217582549523377,0.20341352129919574,0.23217582549442842,0.20341352129850485,-0.027540806746194153,-0.0019391248387473105,-0.03418714242540378,-0.0030475674441144867,-0.03418714242540378,-0.003047567444114511,-0.0030475674442708074,-0.07379964051948282,-0.003047567443877357,-0.07379964051923861
1,0.7,1,1.8,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0_1,0.5,0.01975,0.02546,0.01813,0.02544,0.01813,0.02544,0.02395,0.01167,0.02544,0.01134,0.2074512063916945,0.21583547308588322,0.21598592984613596,0.23273894031817477,0.21598592984613596,0.23273894031817458,0.23273894031894327,0.20083412099480016,0.23273894031814146,0.20083412099397085,-0.023633605260525624,-0.0015069621514216607,-0.029505370804253445,-0.0027558163310136812,-0.02950537080425343,-0.0027558163310137016,-0.002755816331174659,-0.06383092068086132,-0.002755816331054894,-0.06383092068054406
1,0.7,1,1.8,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0_1,0.5,0.01993,0.02499,0.0191,0.02515,0.0191,0.02515,0.02348,0.01304,0.02515,0.01268,0.20856502921804013,0.21723594230165663,0.2169563078916216,0.23471741142567096,0.21695630789162149,0.23471741142567085,0.23471741142654523,0.19993613995882187,0.2347174114256236,0.1999361399579332,-0.020843461139717724,-0.0018883886815604487,-0.026055998627285932,-0.0033781075934144634,-0.026055998627285918,-0.0033781075934144656,-0.0033781075935807627,-0.05541904160821585,-0.0033781075933159727,-0.05541904160797163
1,0.7,1,1.8,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0_1,0.5,0.02025,0.02497,0.01981,0.0256,0.01981,0.0256,0.02405,0.01406,0.0256,0.01365,0.20785007325476199,0.21699688282435747,0.2166587931281999,0.23517536334536251,0.21665879312819972,0.23517536334536235,0.235175363346327,0.19704873177374896,0.23517536334535236,0.19704873177277715,-0.01772546512301531,-0.0019219209649350235,-0.022061011645835175,-0.0031213069489477675,-0.022061011645835103,-0.003121306948947754,-0.003121306949103854,-0.04685541636691288,-0.0031213069489840714,-0.046855416366684666
1,0.7,1,1.8,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0_1,0.5,0.02224,0.02596,0.02124,0.02555,0.02124,0.02555,0.02373,0.01596,0.02555,0.01551,0.20940221471666365,0.21866651244087357,0.21770340617187875,0.2365228468239256,0.21770340617187842,0.23652284682392527,0.236522846824984,0.19661623347186644,0.23652284682392172,0.19661623347080426,-0.013914271440064387,-0.0012727638200225844,-0.017410497058559675,-0.002475919069460722,-0.017410497058559758,-0.002475919069460637,-0.0024759190695915973,-0.036363178515286546,-0.0024759190694828765,-0.03636317851509272
1,0.7,1,1.8,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0_1,0.5,0.02213,0.02492,0.0218,0.02527,0.0218,0.02527,0.02357,0.01792,0.02527,0.01734,0.20971382581813827,0.21929235569391395,0.21797188608298365,0.2372784644274012,0.21797188608298323,0.23727846442740072,0.23727846442852676,0.19503805534648086,0.23727846442740075,0.1950380553453455,-0.010638913676719276,-0.0013142373044955065,-0.013548946830530312,-0.003056645790431881,-0.013548946830530281,-0.0030566457904319414,-0.0030566457905340685,-0.027424266133752935,-0.003056645790431961,-0.027424266133595637
1,0.7,1,1.8,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0_1,0.5,0.02351,0.02522,0.02224,0.02531,0.02224,0.02531,0.02313,0.02055,0.02531,0.01995,0.21135014486135922,0.22121535723074834,0.21936047356978294,0.23923875998824484,0.21936047356978233,0.23923875998824398,0.23923875998941835,0.19569371875343478,0.23923875998824398,0.19569371875223718,-0.007735671645250044,-0.0021705612810821277,-0.009727265535037603,-0.0038865370669819797,-0.009727265535037565,-0.003886537066981916,-0.0038865370670524675,-0.017888426266908546,-0.0038865370669819255,-0.017888426266797784
1,0.7,1,1.8,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0_1,0.5,0.02341,0.02455,0.02332,0.02504,0.02332,0.02504,0.02301,0.0229,0.02504,0.02221,0.21128195454754528,0.22140478910811026,0.21966793981296479,0.23977557627827945,0.21966793981296365,0.23977557627827897,0.23977557627946633,0.19543339417131636,0.23977557627827897,0.19543339417008118,-0.004583142340696524,-0.0019895459298983832,-0.006158878799504317,-0.004112512806999715,-0.006158878799504323,-0.0041125128069998155,-0.004112512807019562,-0.00892770613567934,-0.004112512806999835,-0.008927706135623895
1,0.7,1,1.8,1,0,0,0,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0_1,0.5,0.0251,0.02581,0.02521,0.02601,0.02521,0.02601,0.02363,0.02633,0.02601,0.02554,0.21332871976763831,0.2237363892076192,0.221084214981395,0.24161317646630584,0.22108421498139386,0.241613176466305,0.24161317646747438,0.19739973628032592,0.241613176466305,0.19739973627907673,-7.762672364205206e-4,-0.001494564574220307,-0.0013756802407736248,-0.0033122149142364565,-0.0013756802407734882,-0.003312214914236411,-0.0033122149141928334,6.651519893170859e-4,-0.003312214914236428,6.651519893089794e-4
1,0.7,1,1.8,1,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0_1,0.5,0.02487,0.02505,0.02554,0.02536,0.02554,0.02536,0.02307,0.02838,0.02536,0.02734,0.21255681832927142,0.22377436112139287,0.22068532181677292,0.24271314606017955,0.2206853218167714,0.2427131460601784,0.24271314606129438,0.19661054683948476,0.2427131460601784,0.19661054683825185,0.0017710529746263824,-0.002230493104565049,0.002126718210953913,-0.003845556090925834,0.0021267182109539246,-0.003845556090925717,-0.0038455560908218058,0.009462269833690891,-0.003845556090925722,0.009462269833632454
1,0.7,1,1.8,1,0.11111111111111105,0.11111111111111105,0.11111111111111105,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0_1,0.5,0.02483,0.02447,0.02564,0.02472,0.02564,0.02472,0.02249,0.03114,0.02472,0.02997,0.21409376913726724,0.2256501529552363,0.2221750992749567,0.2442165543027895,0.22217509927495427,0.24421655430278832,0.24421655430380076,0.19863971729101007,0.2442165543027883,0.19863971728983373,0.003413035783281652,-0.0035396236003113757,0.004281792768305712,-0.0055354951215296115,0.00428179276830525,-0.005535495121529878,-0.005535495121366832,0.01752842180626053,-0.0055354951215298535,0.017528421806152227
1,0.7,1,1.8,1,0.16666666666666663,0.16666666666666663,0.16666666666666663,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0_1,0.5,0.02745,0.02476,0.02766,0.02513,0.02766,0.02513,0.02265,0.03496,0.02513,0.03373,0.2162106294540154,0.22722928970406397,0.2242754407426647,0.2460242695665071,0.2242754407426616,0.24602426956650547,0.24602426956743567,0.20082862853275255,0.2460242695665055,0.20082862853165928,0.0075614039231953955,-0.00311474652306345,0.008946475539170384,-0.005009468871988933,0.00894647553916962,-0.0050094688719895175,-0.00500946887177529,0.0277990413852056,-0.005009468871989516,0.027799041385052264
