K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.76265,0.758,0.70505,0.66292,0.70505,0.66292,0.64418,0.77169,0.66292,0.7666,0.22333901441402507,0.23218848186691235,0.2327956351905801,0.24918303293763813,0.23279563519071517,0.2491830329376382,0.2491830329384424,0.2105430760026669,0.24918303293371177,0.21054307600137948,0.0038722878394229572,0.021434655582250387,-0.012834407805746469,2.121349707216652e-4,-0.012834407805701319,2.1213497072156853e-4,2.1213497116095802e-4,-0.03443707994593597,2.1213497008999534e-4,-0.034437079946456096
1,0.7,1,1.8,1.8,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.75948,0.75192,0.70682,0.66516,0.70682,0.66516,0.64635,0.77262,0.66516,0.76722,0.22289514491910703,0.23139909550704288,0.23204644332630892,0.24827874237418723,0.23204644332630886,0.2482787423741872,0.24827874237451414,0.21031739323037926,0.2482787423680076,0.21031739323027668,0.002220045956567436,0.018427498134529253,-0.011645074026586946,0.0014466009608879453,-0.01164507402658695,0.0014466009608878777,0.0014466009611696978,-0.033592436846845326,0.0014466009588488358,-0.03359243684706388
1,0.7,1,1.8,1.8,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.75302,0.74099,0.70422,0.65995,0.70422,0.65995,0.64125,0.76982,0.65995,0.76427,0.22401644149781325,0.23220279344125327,0.233135951368304,0.24900667549482725,0.23313595136830406,0.24900667549482727,0.24900667549521835,0.21130024171481732,0.24900667548734703,0.2113002417142728,-0.0024067971582244657,0.012236328142730086,-0.013465651739785247,-8.311457203221567e-4,-0.013465651739785272,-8.311457203222689e-4,-8.311457200183736e-4,-0.03552837264270525,-8.311457226537586e-4,-0.03552837264306016
1,0.7,1,1.8,1.8,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.75114,0.73579,0.70625,0.66343,0.70625,0.66343,0.64439,0.77162,0.66343,0.76637,0.22397119226188117,0.2323325079185856,0.23304409058042083,0.2495736885394374,0.23304409058042086,0.2495736885394374,0.24957368853978695,0.21100646506489884,0.2495736885354597,0.21100646506474108,-0.004494117679784232,0.009155907088805324,-0.01249431851161695,4.612115997864708e-4,-0.012494318511616937,4.612115997865232e-4,4.6121160009294723e-4,-0.03445013819320815,4.6121159880151206e-4,-0.03445013819344921
1,0.7,1,1.8,1.8,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.74534,0.73064,0.70464,0.66226,0.70464,0.66226,0.64291,0.77293,0.66226,0.76741,0.22340843969707083,0.23161355241646817,0.23201476146959674,0.248585625950187,0.23201476146832073,0.248585625950187,0.248585625950568,0.210867818179087,0.2485856259453412,0.21086781817761724,-0.007163526925969488,0.005255175894594642,-0.012855889632165333,-1.1297476363981932e-5,-0.01285588963252995,-1.1297476363977307e-5,-1.1297476045405585e-5,-0.03401740766705424,-1.1297477805142686e-5,-0.03401740766767828
1,0.7,1,1.8,1.8,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.74152,0.72347,0.70521,0.66244,0.70521,0.66244,0.64416,0.77015,0.66244,0.76471,0.22431271556724613,0.2324203255196049,0.23288030548631794,0.24894016601979785,0.2328803054863179,0.24894016601979774,0.24894016601995306,0.21146597848804177,0.24894016601677266,0.21146597848811413,-0.01019324164075116,8.87757574557133e-4,-0.012997699651182042,-8.966782211816085e-5,-0.012997699651182132,-8.966782211818342e-5,-8.96678218815815e-5,-0.03476748055106379,-8.966782291122768e-5,-0.034767480551231876
1,0.7,1,1.8,1.8,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.73687,0.71735,0.70607,0.66267,0.70607,0.66267,0.64432,0.77179,0.66267,0.76652,0.22415545250029134,0.23230915501183586,0.23256533507111735,0.2486830430758976,0.23256533507111748,0.24868304307589761,0.24868304307606923,0.21103702573344293,0.24868304306965783,0.21103702573349706,-0.011395225310545612,-0.0018043964995758765,-0.011624726740082547,0.0010868982171928353,-0.011624726740082664,0.0010868982171927254,0.00108689821743103,-0.03336722276780789,0.0010868982157622884,-0.033367222767985524
1,0.7,1,1.8,1.8,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.73107,0.70942,0.70409,0.661,0.70409,0.661,0.64202,0.76919,0.661,0.76377,0.2248185707275818,0.23297360783528617,0.2326180300035252,0.248729112815297,0.23261803000352532,0.24872911281529708,0.24872911281648222,0.21130086591790267,0.2487291128140016,0.2113008659167879,-0.0161975587184736,-0.007549977752725637,-0.01404467377255545,-0.001382800303946229,-0.014044673772555574,-0.0013828003039464778,-0.0013828003034114648,-0.03537689389737199,-0.0013828003041899105,-0.03537689389784485
1,0.7,1,1.8,1.8,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.72932,0.70761,0.70742,0.66373,0.70742,0.66373,0.64478,0.77192,0.66373,0.767,0.2245310098324177,0.2331220895193361,0.23261147669655982,0.24908749730844487,0.2326114766965597,0.24908749730844493,0.2490874973086294,0.21046758278617952,0.249087497305147,0.21046758278621766,-0.017542996311381037,-0.009748335463247704,-0.012502504180673535,7.223980678142057e-4,-0.012502504180673687,7.223980678140155e-4,7.223980680660884e-4,-0.0341646471798331,7.223980665944839e-4,-0.03416464718002022
1,0.7,1,1.8,1.8,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.7238,0.69854,0.70426,0.66231,0.70426,0.66231,0.64386,0.77081,0.66231,0.76574,0.22507031605279484,0.2335371415513493,0.232791208810747,0.24892457675222254,0.23279120881046517,0.248924576752466,0.24892457675278135,0.21119036796759405,0.2489245767475606,0.21119036796725157,-0.02096382217487181,-0.014416164486340774,-0.013405212679143448,-2.9808152022053967e-4,-0.013405212679232644,-2.980815201331053e-4,-2.9808151983329805e-4,-0.034694051789156674,-2.9808152153431845e-4,-0.034694051789467426
