K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.78891,0.766,0.70318,0.61286,0.70318,0.61286,0.58695,0.83768,0.61286,0.83284,0.240895211654317,0.24910846759249933,0.24496203406561634,0.2634592398843037,0.24496203408097517,0.2634592398909497,0.26345923998238496,0.22495261916477058,0.26345923985636893,0.2249526190515079,0.05662804861905463,0.060255455872816686,0.018907888069621202,4.310006002881178e-5,0.018907888074547814,4.3100063000201075e-5,4.310009882775609e-5,0.04736031500325502,4.310010672832872e-5,0.04736031496725836
1,0.7,1,1.8,1.8,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.78529,0.75791,0.70196,0.61185,0.70196,0.61185,0.5866,0.8367,0.61185,0.83171,0.24122638912252037,0.24945177863308113,0.2460569932043551,0.26460008136627156,0.2460569932250702,0.2646000813707883,0.2646000814641463,0.22605325778451335,0.26460008134410173,0.22605325767002507,0.052801207085455555,0.05563969614199963,0.018115015331139666,-1.7624717703597289e-4,0.018115015337302306,-1.7624717521415786e-4,-1.7624713938104938e-4,0.046457455453490476,-1.7624713730287906e-4,0.046457455417984975
1,0.7,1,1.8,1.8,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.78073,0.75253,0.70289,0.6128,0.70289,0.6128,0.58794,0.8367,0.6128,0.83166,0.24032410078256594,0.24825495367457195,0.24572767395558648,0.2643094840601419,0.2457276739603837,0.26430948406477206,0.26430948413378025,0.2252857206341653,0.26430948400936277,0.22528572054619936,0.05000550082387374,0.05110112783347703,0.018324889396016,-4.288124336468249e-4,0.018324889397800772,-4.288124318621474e-4,-4.288124034547928e-4,0.04675260679326432,-4.288123956919831e-4,0.04675260676554067
1,0.7,1,1.8,1.8,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.776,0.74379,0.70359,0.61194,0.70359,0.61194,0.5871,0.83685,0.61194,0.8321,0.24048199781750904,0.24863270890856096,0.24639601757321763,0.2651037895692891,0.24639601758041374,0.265103789571772,0.26510378965220127,0.22591943335836315,0.26510378952601477,0.22591943325186647,0.04708596633480047,0.04650796755454913,0.01893055253235234,-9.846968083234653e-6,0.018930552535143592,-9.846967332775656e-6,-9.846932757305463e-6,0.047475186583217165,-9.846927761501947e-6,0.0474751865490939
1,0.7,1,1.8,1.8,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.77233,0.73822,0.70242,0.61279,0.70242,0.61279,0.58748,0.83575,0.61279,0.8312,0.2395163630455929,0.24768968309011516,0.24624121893176332,0.2649581536648965,0.24624121894116116,0.2649581536673166,0.2649581537481188,0.2256320489283793,0.2649581536180748,0.22563204882258295,0.04351876157663317,0.042006037525835635,0.01826944581371176,-3.3664716388877736e-4,0.01826944581649541,-3.366471628494129e-4,-3.3664712926338356e-4,0.046346795691250504,-3.3664712233505526e-4,0.04634679565762804
1,0.7,1,1.8,1.8,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.76987,0.73399,0.70459,0.61352,0.70459,0.61352,0.5885,0.8376,0.61352,0.83294,0.2394211373965511,0.2474566112979496,0.24623575004714038,0.265313787117408,0.24623575005638526,0.2653137871173947,0.2653137872036168,0.2254197190568153,0.26531378708062026,0.22541971894966364,0.04162702211730923,0.038910465434489346,0.019273745073773853,0.001064493776981585,0.019273745076807895,0.001064493776975109,0.0010644938110111195,0.04760302651430567,0.001064493824437977,0.0476030264800007
1,0.7,1,1.8,1.8,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.76366,0.72426,0.70143,0.61172,0.70143,0.61172,0.58632,0.837,0.61172,0.83242,0.23821915724254789,0.24597168258259997,0.24571639603637283,0.26434289729655486,0.24571639604583245,0.26434289729797794,0.26434289738126404,0.2253146093448752,0.2643428972650506,0.22531460923651891,0.03730660279449188,0.032602165572743674,0.01811264339569957,-0.0010602158820980571,0.01811264339983195,-0.0010602158812355583,-0.0010602158465862653,0.04715701026230211,-0.0010602158472637405,0.04715701022776466
1,0.7,1,1.8,1.8,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.75828,0.71831,0.70131,0.61304,0.70131,0.61304,0.58739,0.83584,0.61304,0.83152,0.23843118823473866,0.2467289350371456,0.2459980267772926,0.26473212754328634,0.2459980267834219,0.2647321275473973,0.2647321276266735,0.22552614916327413,0.26473212749927433,0.2255261490639159,0.03426053471234816,0.02891627245595394,0.0176491077590006,-5.422702837967284e-4,0.017649107761632355,-5.42270282107921e-4,-5.422702496033273e-4,0.04675233359720146,-5.422702420813297e-4,0.04675233356479404
1,0.7,1,1.8,1.8,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.75646,0.71408,0.70522,0.61509,0.70522,0.61509,0.58967,0.83774,0.61509,0.83313,0.23814133910458032,0.24636542875641343,0.2459849059645501,0.2648794845879829,0.24598490597439912,0.2648794845897815,0.26487948466210043,0.22609545420021085,0.26487948454219296,0.2260954541136932,0.03309712799190882,0.026120049884051845,0.019560520614923593,0.0011104648558572826,0.019560520618881028,0.0011104648571280465,0.0011104648851903653,0.04808013624694983,0.001110464895607666,0.048080136217771303
1,0.7,1,1.8,1.8,0.2513144,0,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1_1,0.5,0.75292,0.70697,0.70526,0.61589,0.70526,0.61589,0.59141,0.83711,0.61589,0.83302,0.2386822974803441,0.24693287341790124,0.2464545215439615,0.2649083832487789,0.24645452155500702,0.2649083832516452,0.2649083833321469,0.22629966758460354,0.2649083832160626,0.22629966748177718,0.03052817182124278,0.022112534017251596,0.01972781327477507,0.0013920130046299445,0.01972781327834289,0.0013920130055230502,0.0013920130381068407,0.048558987862142765,0.0013920130423047963,0.04855898783016039
