K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.77794,0.77514,0.70542,0.66389,0.70542,0.66389,0.6446,0.77082,0.66389,0.76557,0.2213948441758822,0.2285295489077634,0.2324586339717877,0.24868333872958198,0.23245863397156313,0.24868333872958204,0.2486833387300101,0.21073392892732937,0.24868333872716328,0.21073392892648815,0.009104447216395525,0.02638824297605748,-0.012397517496579084,6.980217245702707e-4,-0.012397517496659564,6.980217245702684e-4,6.980217249541976e-4,-0.03391630597359001,6.980217238653162e-4,-0.03391630597405988
1,0.7,1,0.4,1.8,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.77364,0.76934,0.70667,0.66285,0.70667,0.66285,0.64317,0.77126,0.66285,0.76599,0.2213471754953344,0.22844763870712695,0.2324697785301219,0.2486388086112174,0.2324697785301219,0.24863880861121745,0.24863880861214976,0.21085944570917325,0.24863880860705412,0.21085944570828205,0.006089609772833884,0.021594513571434912,-0.012044540206297836,5.759720913356068e-4,-0.012044540206297834,5.759720913356072e-4,5.759720917971627e-4,-0.03365090286570946,5.759720901507936e-4,-0.03365090286611153
1,0.7,1,0.4,1.8,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.76603,0.76043,0.70347,0.65929,0.70347,0.65929,0.64034,0.77124,0.65929,0.76553,0.22111034788524705,0.2275385787394603,0.23244911986536695,0.2485467322538603,0.2324491198651425,0.24854673225386026,0.24854673225440804,0.21080247980153702,0.2485467322518697,0.21080247980121478,0.0011659957660112017,0.015185825524941137,-0.013650268111354353,-8.586100496971311e-4,-0.013650268111421534,-8.586100496971298e-4,-8.586100493554701e-4,-0.03482241540986407,-8.586100495789473e-4,-0.03482241541014522
1,0.7,1,0.4,1.8,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.76204,0.7543,0.70605,0.66124,0.70605,0.66124,0.64284,0.77006,0.66124,0.76488,0.22216288665209358,0.22867271700840147,0.2335690182020836,0.25013266229324527,0.2335690182020836,0.2501326622932453,0.2501326622960763,0.21108925506922716,0.2501326622882237,0.2110892550658201,-0.0012313816328387297,0.011707495330558993,-0.012239208791936757,8.751901286543353e-4,-0.012239208791936757,8.751901286543007e-4,8.751901296907127e-4,-0.034319096654745855,8.751901278762107e-4,-0.034319096655718674
1,0.7,1,0.4,1.8,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.75923,0.74972,0.70739,0.66319,0.70739,0.66319,0.64387,0.77156,0.66319,0.76616,0.22104330611351272,0.22752365437139876,0.23254641068214735,0.24895433288354166,0.23254641068214735,0.2489543328835417,0.2489543328837731,0.21043575893445168,0.24895433288152405,0.21043575893446315,-0.004387163500841249,0.00707716045452283,-0.011950315782381047,9.551497177568925e-4,-0.011950315782381043,9.551497177568764e-4,9.551497180341745e-4,-0.033863652118086486,9.55149717329437e-4,-0.033863652118285466
1,0.7,1,0.4,1.8,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.75481,0.74271,0.70729,0.66442,0.70729,0.66442,0.64467,0.77119,0.66442,0.76581,0.22194469623208282,0.22800596521431496,0.23318183752129545,0.24881931089716838,0.2331818375210058,0.24881931089716844,0.24881931089804035,0.2113050916849284,0.24881931089379047,0.2113050916842544,-0.007422851296025769,0.002541899337333572,-0.011818290722984844,9.760901892163925e-4,-0.01181829072307399,9.760901892163943e-4,9.760901897149864e-4,-0.03368456527939039,9.760901878581462e-4,-0.03368456527982491
1,0.7,1,0.4,1.8,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.74785,0.73322,0.70484,0.66018,0.70484,0.66018,0.64165,0.76989,0.66018,0.76478,0.22163704617503546,0.22770985474624997,0.23256793396213166,0.24858644932118576,0.23256793396173744,0.24858644932118576,0.2485864493218946,0.21101494210921654,0.24858644931488258,0.21101494210865407,-0.012569836960432327,-0.004151084170310713,-0.013387236560155433,-5.396643715414211e-4,-0.013387236560289638,-5.396643715414339e-4,-5.396643711404533e-4,-0.0346491010599061,-5.396643718504746e-4,-0.03464910106024542
1,0.7,1,0.4,1.8,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.74057,0.72484,0.70397,0.66205,0.70397,0.66205,0.64328,0.76878,0.66205,0.76384,0.22255056574019128,0.22897160377145445,0.23335026237384232,0.24969542104957243,0.23335026237384235,0.24969542104957249,0.24969542104978348,0.21165033254650367,0.24969542104555628,0.21165033254648488,-0.01628613537325258,-0.009198571352662634,-0.013243884716716198,-1.3408564331789222e-4,-0.01324388471671619,-1.3408564331786912e-4,-1.3408564305439677e-4,-0.03522303984109206,-1.3408564453878252e-4,-0.03522303984128981
1,0.7,1,0.4,1.8,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.73773,0.71964,0.70778,0.66635,0.70778,0.66635,0.64699,0.77318,0.66635,0.76778,0.22214383692345824,0.22851877031729906,0.23278505676508526,0.249152447151125,0.23278505676508526,0.24915244715141763,0.24915244715264878,0.21110916119410797,0.2491524471511355,0.21110916119289963,-0.01784132059909408,-0.01228738258242305,-0.011122495973376941,0.0021996820889159403,-0.011122495973376943,0.002199682089014142,0.0021996820896191963,-0.03334925590938424,0.002199682089010463,-0.033349255909922514
1,0.7,1,0.4,1.8,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.7299,0.7095,0.70356,0.66152,0.70356,0.66152,0.64272,0.77019,0.66152,0.76513,0.22246215502247615,0.22941878993727405,0.232150937797132,0.24874894509346385,0.232150937797132,0.24874894509346387,0.24874894509471623,0.21091557324591687,0.2487489450894962,0.21091557324459484,-0.023511569877983408,-0.0190379535612806,-0.013925394800749995,-1.804218843907215e-4,-0.013925394800749998,-1.804218843907171e-4,-1.8042188376292745e-4,-0.03528276746272312,-1.8042188539956638e-4,-0.03528276746329547
