K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02719,0.02794,0.0253,0.02622,0.0253,0.02622,0.02449,0.01275,0.02622,0.01237,0.2075173365298438,0.21730854588044646,0.21559504206139307,0.23547208412086085,0.21559504206139304,0.23547208412086065,0.2354720841217785,0.20079898793872844,0.23547208412086018,0.20079898793777992,0.003077077250367903,0.004872166847936928,-0.0032660095624764524,-0.0036802321419752673,-0.003266009562476448,-0.0036802321419752027,-0.0036802321421368946,-0.05810003455168684,-0.003680232141968289,-0.058100034551415276
1,0.7,1,1.8,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02607,0.02669,0.02458,0.02483,0.02458,0.02483,0.02331,0.01339,0.02483,0.01302,0.20729042099525172,0.2169102173334153,0.21490849173031557,0.23448095546276648,0.2149084917303154,0.23448095546276637,0.23448095546374084,0.19889900237461722,0.23448095546276637,0.19889900237361843,0.0035473584799312627,0.004423568699727222,-0.0021147189134466554,-0.0035967261209962427,-0.0021147189134466957,-0.0035967261209962622,-0.0035967261211509024,-0.05140909899676379,-0.0035967261209962527,-0.051409098996507696
1,0.7,1,1.8,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02588,0.02678,0.02493,0.02501,0.02493,0.02501,0.02337,0.01478,0.02501,0.01436,0.2091317956334887,0.21879488559185542,0.21697205684340867,0.23671906495332332,0.21697205684340864,0.23671906495332312,0.2367190649543572,0.19860103353420278,0.23671906495332312,0.19860103353315006,0.002027635929379124,0.003279796991778978,-0.0032188126378518596,-0.004144538350053936,-0.0032188126378518756,-0.004144538350053951,-0.004144538350196331,-0.0454742365114704,-0.004144538350053954,-0.04547423651123463
1,0.7,1,1.8,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02476,0.02546,0.02454,0.02506,0.02454,0.02506,0.02305,0.01567,0.02506,0.01503,0.20817627779248682,0.2180239759811546,0.21646512370398943,0.2365064454359971,0.21646512370398927,0.23650644543599683,0.23650644543707744,0.1966737115359641,0.2365064454359818,0.1966737115348689,0.0020517178119956766,0.003108317383016847,-0.002605135929519231,-0.0034814623521409005,-0.002605135929519145,-0.0034814623521409044,-0.00348146235227117,-0.03913252365910278,-0.003481462352089939,-0.03913252365888603
1,0.7,1,1.8,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02584,0.02557,0.02454,0.02556,0.02454,0.02556,0.02367,0.01794,0.02556,0.01743,0.209635196849803,0.2195602578847117,0.2174188324995135,0.23733154975983278,0.21741883249951313,0.23733154975983245,0.2373315497609552,0.19693782288089606,0.23733154975983248,0.19693782287975659,0.0014779299156041103,0.0019455051347046796,-0.0025337693560660004,-0.003882849610384065,-0.002533769356065969,-0.003882849610384067,-0.0038828496104976544,-0.032741020115764005,-0.00388284961038408,-0.03274102011557405
1,0.7,1,1.8,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02495,0.02519,0.02399,0.02483,0.02399,0.02483,0.02298,0.01813,0.02483,0.01757,0.2091911445120972,0.2191598466066128,0.21717358087222655,0.23702754748720295,0.21717358087222624,0.23702754748720228,0.2370275474883572,0.19509279782934863,0.2370275474872023,0.19509279782817707,9.973655659949784e-4,0.0013497796178780475,-0.002296018983901715,-0.0037448438245444105,-0.002296018983901671,-0.003744843824544278,-0.0037448438246381185,-0.026499061914204213,-0.0037448438245442817,-0.026499061914044865
1,0.7,1,1.8,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02578,0.02643,0.02435,0.02508,0.02435,0.02508,0.02311,0.02074,0.02508,0.02004,0.21101707048199933,0.2214682004585223,0.21862135343102124,0.23910591188452512,0.21862135343102074,0.23910591188452474,0.23910591188570302,0.19637674877979344,0.23910591188452474,0.19637674877858835,-2.555896955724484e-4,-1.3247749011449143e-4,-0.003084226244137152,-0.004338716628452675,-0.003084226244137135,-0.0043387166284526235,-0.004338716628517487,-0.020653075977740458,-0.004338716628452619,-0.02065307597761448
1,0.7,1,1.8,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02621,0.02662,0.02576,0.02656,0.02576,0.02656,0.0245,0.02264,0.02656,0.02194,0.2121583491893042,0.2228545875694757,0.22009749195216483,0.24096579992229666,0.2200974919521644,0.24096579992229603,0.2409657999234849,0.19650581301025066,0.24096579992229605,0.19650581300902017,8.931346360389761e-4,4.751311855251877e-4,-8.421581480677231e-4,-0.00275938797186875,-8.421581480677095e-4,-0.002759387971868724,-0.002759387971895011,-0.012105944980401266,-0.0027593879718687243,-0.01210594498032865
1,0.7,1,1.8,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02471,0.02518,0.02408,0.02549,0.02408,0.02549,0.02328,0.02348,0.02549,0.02283,0.2119467684933429,0.22272251154322578,0.22016838892008853,0.2412514425180233,0.2201683889200876,0.24125144251802258,0.24125144251920377,0.19574896867940483,0.24125144251802255,0.19574896867816494,-8.720050532060897e-4,-0.0012983868284145862,-0.002208979086391239,-0.004029841933888093,-0.002208979086391232,-0.00402984193388801,-0.004029841933883427,-0.0066357332239945265,-0.004029841933888022,-0.0066357332239520474
1,0.7,1,1.8,1,0,0,0,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02498,0.02485,0.0254,0.02574,0.0254,0.02574,0.02329,0.02532,0.02574,0.02454,0.21264780325524849,0.22285887804157964,0.22074985053619092,0.2411042790386167,0.22074985053618973,0.24110427903861578,0.24110427903979995,0.19646943194018943,0.24110427903861575,0.1964694319389409,-8.363656342312346e-4,-0.0016489501147725432,-0.001206665222224098,-0.003332551631313135,-0.0012066652222243062,-0.0033325516313131294,-0.003332551631273844,3.7750502137270524e-4,-0.0033325516313131055,3.775050213686001e-4
1,0.7,1,1.8,1,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02583,0.02571,0.02553,0.02639,0.02553,0.02639,0.02389,0.02831,0.02639,0.02745,0.21425277763495781,0.22526510000724517,0.22216923927563872,0.2431802742668371,0.2221692392756367,0.24318027426683567,0.24318027426799568,0.19744569328755782,0.2431802742668357,0.19744569328631528,-0.0014067224675435761,-0.0021687171210500815,-0.0010862217973105495,-0.00264864368988675,-0.0010862217973102953,-0.002648643689887055,-0.002648643689809495,0.007699260646777043,-0.0026486436898870767,0.007699260646729402
1,0.7,1,1.8,1,0.11111111111111105,0.11111111111111105,0.11111111111111105,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02484,0.02542,0.0251,0.02652,0.0251,0.02652,0.02407,0.03071,0.02652,0.0296,0.21421573327946028,0.22497580628128858,0.22231487275431477,0.24322607062764276,0.22231487275431258,0.2432260706276414,0.24322607062873716,0.19809222783711697,0.24322607062764134,0.19809222783589353,-0.0027062611825418173,-0.003635223988047982,-0.0014888052791497783,-0.002939744258766135,-0.0014888052791501138,-0.002939744258766308,-0.0029397442586477835,0.014452758371759558,-0.002939744258766319,0.014452758371670413
1,0.7,1,1.8,1,0.16666666666666663,0.16666666666666663,0.16666666666666663,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02307,0.02316,0.0239,0.02518,0.0239,0.02518,0.02256,0.03223,0.02518,0.03103,0.21475102365746013,0.2257275991911387,0.22270473879561983,0.24391076259591624,0.22270473879561686,0.24391076259591474,0.2439107625969426,0.19968962812844587,0.24391076259591474,0.1996896281272548,-0.0041953728680119194,-0.0054167989497379485,-0.0021843173834163857,-0.0039081754901298974,-0.0021843173834170324,-0.003908175490130435,-0.0039081754899693184,0.02075449463753708,-0.003908175490130445,0.020754494637410668
