K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02379,0.02375,0.02455,0.0253,0.02455,0.0253,0.0237,0.01225,0.0253,0.01187,0.20501809360383996,0.2127311382489537,0.21471777519536642,0.23479736240108762,0.21471777519536642,0.23479736240108762,0.23479736240200522,0.20042325920341078,0.23479736240108248,0.20042325920246445,-0.004533667617779484,-0.005555606073432462,-0.0026569093544537396,-0.0035380453446091937,-0.002656909354453741,-0.0035380453446091976,-0.0035380453447728024,-0.057771917185625986,-0.003538045344580267,-0.057771917185356424
1,0.7,1,0.4,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02372,0.02393,0.02456,0.02549,0.02456,0.02549,0.0237,0.01358,0.02549,0.01303,0.2051528359726795,0.2127190881807558,0.21503735966545467,0.23472501223868494,0.21503735966545467,0.23472501223868494,0.23472501223966247,0.19846210222906097,0.23472501223868236,0.19846210222806243,-0.0038645719532029244,-0.004909114048526848,-0.002079609673952588,-0.0032057907027552668,-0.0020796096739525882,-0.0032057907027552893,-0.0032057907029107656,-0.0510444111468676,-0.003205790702773056,-0.0510444111466125
1,0.7,1,0.4,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02476,0.02484,0.02519,0.02587,0.02519,0.02587,0.02421,0.01481,0.02587,0.01423,0.205997920709279,0.21378359830547394,0.21584063154644886,0.23610200067899834,0.21584063154644886,0.23610200067899828,0.23610200068002468,0.19781728274450286,0.23610200067899828,0.1978172827434592,-0.0031378481506376347,-0.004417871173007595,-0.0015776139023298747,-0.0029493430876891794,-0.001577613902329872,-0.0029493430876891542,-0.002949343087830594,-0.04466964285963574,-0.0029493430876891954,-0.04466964285940318
1,0.7,1,0.4,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02399,0.02426,0.02474,0.02572,0.02474,0.02572,0.02393,0.01585,0.02572,0.01536,0.20687417179069836,0.21483292045122918,0.21682786462088566,0.23699250592935023,0.21682786462088566,0.2369925059293502,0.2369925059304292,0.19752505345894128,0.2369925059293502,0.1975250534578431,-0.004682395911994768,-0.005627292628809418,-0.003398321185714173,-0.004199726246453494,-0.003398321185714175,-0.004199726246453475,-0.004199726246586812,-0.040009788876591866,-0.0041997262464534895,-0.04000978887637141
1,0.7,1,0.4,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02474,0.02425,0.02559,0.02571,0.02559,0.02571,0.02377,0.01757,0.02571,0.01699,0.20833799149662519,0.21599940030940365,0.21845337726238348,0.23878957075569027,0.21845337726238348,0.2387895707556903,0.23878957075682142,0.19724907065844413,0.23878957075569027,0.19724907065730446,-0.004187400813466075,-0.005556104564319157,-0.0032152567786706463,-0.005010247107726911,-0.0032152567786706467,-0.005010247107726931,-0.005010247107845831,-0.033255747075630435,-0.005010247107726917,-0.033255747075440746
1,0.7,1,0.4,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02479,0.02479,0.02496,0.02535,0.02496,0.02535,0.02343,0.019,0.02535,0.01845,0.20796071332255703,0.21602658647935535,0.21803287598824456,0.23844525915166817,0.21803287598824456,0.2384452591516682,0.23844525915282194,0.19656385617897837,0.2384452591516682,0.1965638561778056,-0.0010947061550664555,-0.002034545327992737,-9.07862470351114e-4,-0.0024729114559545675,-9.078624703511124e-4,-0.002472911455954554,-0.0024729114560374504,-0.02514454497034062,-0.0024729114559545735,-0.02514454497019248
1,0.7,1,0.4,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02448,0.02459,0.02555,0.02592,0.02555,0.02592,0.02413,0.01996,0.02592,0.0193,0.2083737895482489,0.21584592671132546,0.21894645798680826,0.23857941920298223,0.21894645798680826,0.23857941920298226,0.23857941920416123,0.19607732701442268,0.23857941920298226,0.19607732701321534,-0.002924634990872753,-0.003574860813092094,-0.0028126618015202366,-0.003657687098863032,-0.002812661801520235,-0.0036576870988630503,-0.003657687098930046,-0.02046209051089812,-0.003657687098863066,-0.02046209051077234
1,0.7,1,0.4,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02374,0.02426,0.02424,0.02482,0.02424,0.02482,0.02261,0.02159,0.02482,0.02083,0.20829807077049972,0.21631990216566843,0.21885833101516008,0.2397582408477973,0.21885833101516008,0.23975824084779726,0.23975824084899108,0.19539874459431653,0.2397582408477973,0.1953987445930853,-0.002082609696903327,-0.0028697405799122623,-0.0021890279979837075,-0.003652544552607028,-0.0021890279979837057,-0.0036525445526070185,-0.003652544552641216,-0.013614171294551879,-0.003652544552607052,-0.013614171294465119
1,0.7,1,0.4,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.0257,0.02557,0.02529,0.02653,0.02529,0.02653,0.0241,0.02389,0.02653,0.02302,0.20999701093259146,0.21815816965424967,0.2205882716808111,0.24152480478384608,0.2205882716808111,0.24152480478384605,0.2415248047850362,0.19645333965315281,0.24152480478384605,0.19645333965190892,-4.2034489638135116e-5,-6.822191580711366e-4,-5.482726866036235e-4,-0.001964918416041082,-5.482726866036233e-4,-0.0019649184160411156,-0.0019649184160335977,-0.005495480164727735,-0.0019649184160411195,-0.005495480164690474
1,0.7,1,0.4,1,0,0,0,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02503,0.02447,0.02463,0.02581,0.02463,0.02581,0.02364,0.0259,0.02581,0.02505,0.20976360675762273,0.217684515977843,0.22066818532967833,0.24165461584837925,0.22066818532967833,0.24165461584837927,0.24165461584954973,0.19606373150744705,0.24165461584837925,0.1960637315062005,-9.685914886875383e-4,-0.0016275833178668545,-0.0022924234749291585,-0.003925927223723245,-0.002292423474929159,-0.003925927223723242,-0.003925927223686257,1.3283887423227756e-4,-0.00392592722372325,1.3283887423292708e-4
1,0.7,1,0.4,1,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02535,0.0254,0.02556,0.02595,0.02556,0.02595,0.02348,0.02832,0.02595,0.02745,0.21070754267712868,0.21879358194847645,0.22210669074939787,0.24341534010309063,0.22210669074939787,0.24341534010309063,0.2434153401042324,0.19703153795238137,0.24341534010309063,0.19703153795114542,-5.86142763748318e-4,-0.001262327831423199,-0.0019433623034646637,-0.0037085769428537867,-0.0019433623034646613,-0.003708576942853815,-0.0037085769427736763,0.006759468311425623,-0.0037085769428538157,0.006759468311379686
1,0.7,1,0.4,1,0.11111111111111105,0.11111111111111105,0.11111111111111105,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02507,0.02518,0.02482,0.02512,0.02482,0.02512,0.02297,0.03018,0.02512,0.02932,0.21121083330454005,0.2193015428366355,0.2229479518444897,0.24433361587868382,0.2229479518444897,0.2443336158786838,0.2443336158797765,0.1982009531877182,0.24433361587868382,0.1982009531865007,-3.3734447949298964e-4,-0.0010482322080116568,-0.0025074364605116267,-0.004684498778547312,-0.0025074364605116254,-0.004684498778547283,-0.004684498778430426,0.013713943582025243,-0.004684498778547302,0.013713943581939019
1,0.7,1,0.4,1,0.16666666666666663,0.16666666666666663,0.16666666666666663,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02488,0.0252,0.02437,0.02561,0.02437,0.02561,0.02325,0.03288,0.02561,0.03151,0.2116470337030491,0.21970998916762516,0.2227354449781711,0.24413705174386974,0.2227354449781711,0.24413705174386974,0.24413705174490127,0.19916568048387392,0.24413705174386974,0.19916568048268168,0.001193370558409569,9.438110317745828e-4,-0.00200796094325562,-0.0034889430777116483,-0.002007960943255622,-0.0034889430777116323,-0.0034889430775481302,0.021072208854836898,-0.0034889430777116123,0.02107220885470701
1,0.7,1,0.4,1,0.2222222222222222,0.2222222222222222,0.2222222222222222,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02519,0.02513,0.02504,0.02575,0.02504,0.02575,0.02332,0.03436,0.02575,0.03328,0.21280958027283173,0.22074575584905956,0.22436068556937994,0.2456812224816917,0.22436068556937994,0.24568122248169172,0.24568122248264915,0.20062958079869964,0.2456812224816917,0.20062958079755638,3.4526417735590245e-4,1.0669629321542561e-4,-0.0037262334558333275,-0.004956045229601089,-0.0037262334558333275,-0.00495604522960111,-0.0049560452294077,0.026937730281089225,-0.004956045229601102,0.026937730280933544
1,0.7,1,0.4,1,0.2777777777777777,0.2777777777777777,0.2777777777777777,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02607,0.02578,0.02528,0.02572,0.02528,0.02572,0.02327,0.03822,0.02572,0.03696,0.21407644005501944,0.2218700709826159,0.22559424720124152,0.24659132978791828,0.22559424720124152,0.24659132978791828,0.24659132978878423,0.2036825545837349,0.24659132978791828,0.20368255458265655,0.001786562993161141,0.0014529287643457228,-0.002650632276799714,-0.00450178112221573,-0.002650632276799717,-0.004501781122215758,-0.004501781121992423,0.03482265389820203,-0.004501781122215739,0.03482265389801639
1,0.7,1,0.4,1,0.33333333333333326,0.33333333333333326,0.33333333333333326,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02619,0.0262,0.02494,0.02598,0.02494,0.02598,0.02337,0.04107,0.02598,0.0398,0.21407354285593444,0.22206374337830806,0.22563869142808035,0.24753217480142573,0.22563869142808035,0.2475321748014257,0.24753217480225811,0.20431733974958569,0.2475321748014257,0.20431733974857957,0.003507859269578903,0.0033474499315639932,-0.0016278568037788792,-0.0036923859450896236,-0.0016278568037788792,-0.0036923859450896236,-0.0036923859448328286,0.042381418982548276,-0.00369238594508962,0.042381418982334905
1,0.7,1,0.4,1,0.38888888888888884,0.38888888888888884,0.38888888888888884,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02515,0.02626,0.02468,0.02561,0.02468,0.02561,0.02314,0.04338,0.02561,0.04185,0.21528550508220598,0.22360822542084297,0.22677815356561426,0.2489051815917151,0.22677815356561426,0.24890518159171507,0.24890518159231184,0.20693130615112723,0.24890518159171504,0.20693130615021188,0.0015580433491003433,0.0020229465244272315,-0.004222605447922642,-0.00560941096995374,-0.004222605447922643,-0.005609410969953736,-0.005609410969644281,0.04776811857989942,-0.005609410969953744,0.047768118579676055
1,0.7,1,0.4,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.0257,0.02641,0.02425,0.02494,0.02425,0.02494,0.02256,0.04751,0.02494,0.04603,0.21567647327775755,0.22385196897204848,0.2275163689194771,0.25010659965559034,0.2275163689194771,0.25010659965559034,0.2501065996564048,0.2093553938823628,0.25010659965559034,0.2093553938815508,0.003166871142155102,0.003479390244994663,-0.0038955426541299795,-0.006198951493856709,-0.0038955426541299803,-0.006198951493856698,-0.006198951493597328,0.05528654494174942,-0.006198951493856702,0.0552865449415255
1,0.7,1,0.4,1,0.5,0.5,0.5,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02609,0.02664,0.02421,0.0255,0.02421,0.0255,0.02291,0.05097,0.0255,0.04929,0.21675151330210418,0.2248115762823434,0.22900534734015462,0.2517439659082127,0.22900534734015462,0.25174396590821274,0.25174396590857556,0.21224077722432894,0.2517439659082127,0.21224077722363807,0.003382761596960489,0.003992847376752436,-0.004395487952697085,-0.0060301361782819736,-0.004395487952697086,-0.006030136178281982,-0.006030136177928825,0.06273004363193725,-0.006030136178281969,0.06273004363171196
