K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.71033,0.67241,0.66944,0.6007,0.66944,0.6007,0.58141,0.6695,0.6007,0.66366,0.22379706495717813,0.23247925103730782,0.23300481988645902,0.2507398885180845,0.2330048198867405,0.25073988851808454,0.2507398885179,0.23008719447558057,0.25073988851162504,0.23008719447623852,-0.038592029817249775,-0.04022810425081848,-0.04373464382620836,-0.04899306119897144,-0.04373464382610719,-0.04899306119897156,-0.04899306119806252,-0.1034144763295347,-0.04899306120099197,-0.10341447633029939
1,0.7,1,1.8,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.71695,0.67971,0.67869,0.60735,0.67869,0.60735,0.58868,0.68871,0.60735,0.6833,0.22373699184206688,0.23238722224819305,0.23253495678775232,0.25049049062671974,0.23253495678765432,0.2504904906267198,0.25049049062663165,0.22498944102581775,0.25049049062565265,0.22498944102629553,-0.03242570119093967,-0.0343733004712444,-0.036841616895252394,-0.04224159753610949,-0.0368416168952772,-0.04224159753610968,-0.04224159753539124,-0.0902059732629594,-0.04224159753640049,-0.09020597326355514
1,0.7,1,1.8,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.71898,0.68335,0.68134,0.612,0.68134,0.612,0.59312,0.70442,0.612,0.69837,0.22334764656831127,0.23204907865331376,0.23224335655337475,0.25031469429885406,0.2322433565533748,0.2503146942988541,0.25031469429883807,0.22087592189672256,0.2503146942985133,0.22087592189702304,-0.02866826839241753,-0.030443538489692733,-0.03244556585247265,-0.03759969905183418,-0.03244556585247281,-0.03759969905183438,-0.03759969905131246,-0.07965074908332119,-0.03759969905146131,-0.07965074908374638
1,0.7,1,1.8,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.72348,0.68536,0.68602,0.61423,0.68602,0.61423,0.5941,0.71947,0.61423,0.71372,0.2238191532708369,0.23285951063583699,0.2323334779712114,0.25046304227871624,0.2323334779712114,0.25046304227871624,0.2504630422788955,0.21826125125008805,0.2504630422772379,0.21826125125012116,-0.02463661495562507,-0.026491207618114816,-0.02823417020453758,-0.03332787658513949,-0.028234170204537574,-0.03332787658513939,-0.03332787658478574,-0.06864212277469567,-0.03332787658554308,-0.06864212277496724
1,0.7,1,1.8,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.72585,0.68977,0.6894,0.61772,0.6894,0.61772,0.59749,0.73591,0.61772,0.73043,0.22389972879377523,0.2329897261181466,0.2322838394206501,0.25039618760203564,0.23228383942065015,0.25039618760203564,0.2503961876032857,0.21529801512876368,0.2503961876021276,0.21529801512756122,-0.01982512490724711,-0.021975548097456582,-0.022860110066634954,-0.028075193413910793,-0.02286011006663502,-0.028075193413910703,-0.028075193413476234,-0.056280154490905863,-0.028075193413837442,-0.056280154491266506
1,0.7,1,1.8,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.72832,0.69195,0.69318,0.62314,0.69318,0.62314,0.60309,0.75117,0.62314,0.74566,0.22453415024073434,0.23357898379109718,0.23341136271468002,0.2513838555027521,0.23341136271468005,0.25138385550275216,0.25138385550332665,0.2138678052684633,0.25138385550230385,0.2138678052680334,-0.016478585680538563,-0.018116484364023227,-0.019101648554705173,-0.02330017939201511,-0.0191016485547051,-0.023300179392015022,-0.023300179391966946,-0.045508993943786734,-0.023300179391273667,-0.04550899394376863
1,0.7,1,1.8,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.72894,0.69273,0.69483,0.62497,0.69483,0.62497,0.60424,0.76337,0.62497,0.75819,0.2258238467927543,0.2347965684625471,0.23416374033386222,0.2521097971181825,0.23416374033386225,0.2521097971181824,0.2521097971190124,0.21238047501779944,0.25210979711348036,0.21238047501707077,-0.012033772199410812,-0.013475695637063358,-0.014424635842867862,-0.018290623616547524,-0.014424635842867883,-0.01829062361654746,-0.018290623616619057,-0.03368368217356589,-0.018290623616469822,-0.03368368217344012
1,0.7,1,1.8,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.7339,0.69575,0.70073,0.63212,0.70073,0.63212,0.61099,0.77802,0.63212,0.77254,0.2272488356062353,0.23654558277252227,0.23560138370389794,0.2535702125144598,0.23560138370389785,0.2535702125144597,0.25357021251693673,0.2126932616921212,0.25357021251471745,0.21269326168916966,-0.00628242800376445,-0.007658366388348401,-0.007771822434025999,-0.011065757407659176,-0.007771822434025834,-0.011065757407658854,-0.011065757407255902,-0.020472818555548448,-0.011065757407345618,-0.02047281855590605
1,0.7,1,1.8,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.73514,0.69811,0.70197,0.63418,0.70197,0.63418,0.61332,0.79028,0.63418,0.78554,0.22853116958926326,0.23754971710655817,0.23700126643985062,0.25453062866819415,0.2370012664398502,0.25453062866819376,0.25453062867187204,0.21327600615395773,0.25453062866661785,0.2132760061496707,-0.0021533238729757893,-0.0031950631933843187,-0.0033082916836862045,-0.005922308152037669,-0.0033082916836858693,-0.005922308152037113,-0.005922308151305474,-0.00846282491306698,-0.005922308149561839,-0.00846282491376009
1,0.7,1,1.8,1.8,0,0,0,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.73988,0.70299,0.70589,0.6399,0.70589,0.6399,0.61852,0.80663,0.6399,0.80183,0.22884977069849136,0.23791132937402595,0.23779436056308412,0.2558171742338328,0.23779436056308406,0.2558171742338326,0.2558171742391277,0.2131390090745633,0.25581717422140804,0.21313900906826094,0.0024938825674551955,0.0015053173141477759,0.002100805145076488,8.459139303901723e-5,0.002100805145077338,8.459139303960362e-5,8.459139418449466e-5,0.004040608608661128,8.459139745962434e-5,0.004040608607551939
