K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.70547,0.6719,0.67243,0.60138,0.67243,0.60138,0.58276,0.67016,0.60138,0.66404,0.22287305785211292,0.23047976904400386,0.23177709595617324,0.24958822794402633,0.23177709595617324,0.24958822794402635,0.2495882279440687,0.2290332056428371,0.24958822793983954,0.22903320564314592,-0.04724079352298724,-0.051279881774384695,-0.042987186358480166,-0.04894116128764525,-0.042987186358480166,-0.04894116128764526,-0.04894116128664979,-0.10306343114267295,-0.04894116128898396,-0.1030634311435596
1,0.7,1,0.4,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.71158,0.67983,0.67773,0.60822,0.67773,0.60822,0.58969,0.69001,0.60822,0.68388,0.22197112587677575,0.22928113826832355,0.2315640213748348,0.24969273056366123,0.2315640213748348,0.24969273056366126,0.24969273056353922,0.22461923828213282,0.24969273056265223,0.22461923828257158,-0.04100568966497505,-0.04445334644935508,-0.037034173056697234,-0.0423111662039234,-0.03703417305669724,-0.04231116620392336,-0.042311166203213284,-0.09076397795855648,-0.04231116620419964,-0.09076397795916369
1,0.7,1,0.4,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.71677,0.68512,0.67995,0.6091,0.67995,0.6091,0.59015,0.70443,0.6091,0.69893,0.22207701470211694,0.22933880636699466,0.23226247601592623,0.2503595702043006,0.23226247601592623,0.25035957020430066,0.25035957020460525,0.2212141720821093,0.2503595702006254,0.22121417208205915,-0.03633737656613991,-0.03952655464946126,-0.03322453114854432,-0.03874230153671981,-0.03322453114854431,-0.03874230153671981,-0.03874230153610962,-0.07976393712962,-0.038742301537807916,-0.07976393713014195
1,0.7,1,0.4,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.72084,0.6894,0.68357,0.61389,0.68357,0.61389,0.59454,0.72008,0.61389,0.71438,0.2219631026875394,0.22918317614122802,0.23224136367352138,0.25022533730810287,0.23224136367352138,0.25022533730810287,0.2502253373084711,0.2182084439765291,0.2502253373074308,0.21820844397645522,-0.0310726475098288,-0.03415270977219984,-0.028315493422304886,-0.03331514565356987,-0.02831549342230489,-0.03331514565356985,-0.03331514565316473,-0.06825696260324711,-0.03331514565396235,-0.06825696260356945
1,0.7,1,0.4,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.72453,0.69274,0.68928,0.62034,0.68928,0.62034,0.60041,0.73387,0.62034,0.72831,0.22237582443130013,0.22969961028859767,0.23263542818375313,0.2503267500548174,0.23263542818356314,0.2503267500548174,0.250326750055293,0.2155600982460944,0.2503267500524578,0.21556009824582084,-0.02623069471857578,-0.02876725410594607,-0.023588844544839914,-0.027399691683476238,-0.023588844544901323,-0.027399691683476207,-0.02739969168324811,-0.05743113903856373,-0.02739969168425126,-0.05743113903872023
1,0.7,1,0.4,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.73,0.69891,0.69169,0.62215,0.69169,0.62215,0.60162,0.75036,0.62215,0.74495,0.22297336972710088,0.2302418561340135,0.23335482024967827,0.25111497509862674,0.23335482024967827,0.2511149750986267,0.25111497509899294,0.2139757451111949,0.25111497509460323,0.2139757451107487,-0.020281956314172785,-0.022568029389845895,-0.018533634012081465,-0.022390573142453178,-0.01853363401208147,-0.022390573142453206,-0.022390573142466088,-0.04512833702815528,-0.022390573142760932,-0.04512833702814358
1,0.7,1,0.4,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.73681,0.70672,0.6977,0.63021,0.6977,0.63021,0.60934,0.76375,0.63021,0.7583,0.22362154595705538,0.23068784406000517,0.23403249451401298,0.2519207231201197,0.23403249451401298,0.25192072312011976,0.2519207231223932,0.21295207301670865,0.2519207231177064,0.21295207301429941,-0.014106904876566732,-0.016101279567804206,-0.013039098554250754,-0.016776370372275147,-0.013039098554250752,-0.01677637037227515,-0.016776370371955965,-0.03300182697426046,-0.01677637036979155,-0.03300182697451954
1,0.7,1,0.4,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.74054,0.71098,0.69965,0.63192,0.69965,0.63192,0.61089,0.77868,0.63192,0.77345,0.22509585014304995,0.23214053620809905,0.2362827689530711,0.25421136479124035,0.2362827689530711,0.25421136479124035,0.2542113647923198,0.21267786362409874,0.25421136478991135,0.21267786362303123,-0.007847702234704256,-0.010075741457652122,-0.007315032507102504,-0.010916214779891175,-0.007315032507102503,-0.010916214779891232,-0.010916214780049074,-0.020122267852914464,-0.010916214777560211,-0.020122267852708757
1,0.7,1,0.4,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.7431,0.71498,0.70229,0.63434,0.70229,0.63434,0.6121,0.79144,0.63434,0.78649,0.22608298227511614,0.23309230468730763,0.2372282463928133,0.25509222518434743,0.2372282463928133,0.2550922251843475,0.25509222519070457,0.2135888026884383,0.25509222517727337,0.21358880268080738,-0.0031879231516118278,-0.004785103094278146,-0.0034580972994579856,-0.006248124859359073,-0.0034580972994579817,-0.006248124859359077,-0.006248124857998064,-0.008875945434534517,-0.006248124857277995,-0.008875945435853667
1,0.7,1,0.4,1.8,0,0,0,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.75217,0.72388,0.70818,0.64145,0.70818,0.64145,0.62016,0.80683,0.64145,0.80206,0.2269466196072935,0.23422085243284813,0.23812691292397706,0.25628111530035663,0.23812691292397706,0.25628111530035663,0.2562811153059923,0.21384678737793553,0.2562811152949774,0.2138467873712263,0.005083658712057176,0.0040173579978422125,0.003842696108062617,0.0017526604904335103,0.0038426961080626197,0.0017526604904335118,0.001752660491509643,0.005371979522570379,0.0017526604937806094,0.005371979521530466
