K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.03184,0.03333,0.02469,0.02515,0.02469,0.02515,0.02346,0.01197,0.02515,0.01161,0.2081089453894147,0.21743561629996835,0.21516466319991498,0.23478438758023512,0.21516466319991495,0.234784387580235,0.23478438758116088,0.1997449542774899,0.2347843875802305,0.19974495427653655,0.024064797092792502,0.02923438774201423,-9.679433125633338e-4,-0.0023256273529870183,-9.679433125633508e-4,-0.002325627352987027,-0.0023256273531404295,-0.05602331115106885,-0.0023256273530037896,-0.05602331115080648
1,0.7,1,1.8,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.03096,0.03207,0.02489,0.02531,0.02489,0.02531,0.02373,0.0124,0.02531,0.01199,0.20751054446961098,0.2166571779298487,0.2151158419745572,0.23457645388385046,0.21511584197455716,0.23457645388385034,0.2345764538847713,0.1999000579218835,0.23457645388385023,0.19990005792093277,0.018543882196431178,0.022496361850291507,-0.0012443556040294202,-0.0029230963866197393,-0.0012443556040294197,-0.0029230963866198247,-0.0029230963867796747,-0.05675905413510689,-0.002923096386623959,-0.05675905413483906
1,0.7,1,1.8,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02916,0.02995,0.02536,0.02618,0.02536,0.02618,0.0243,0.01232,0.02618,0.0119,0.20756509816917054,0.21686223246854097,0.21531486448314907,0.23506941992654976,0.21531486448314907,0.2350694199265497,0.2350694199274781,0.19975282880522133,0.23506941992652408,0.1997528288042667,0.01313755377124869,0.01630320139353584,-0.0014828569543974283,-0.0025384472784578645,-0.0014828569543974273,-0.0025384472784578914,-0.0025384472786180866,-0.056514923938114206,-0.0025384472785454745,-0.05651492393784736
1,0.7,1,1.8,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02772,0.02863,0.02478,0.02586,0.02478,0.02586,0.02429,0.01236,0.02586,0.01197,0.20714354329558227,0.21690041273497113,0.21466704213890644,0.2344714001390557,0.21466704213890642,0.2344714001390556,0.23447140013997847,0.19997873439292374,0.23447140013904355,0.19997873439197186,0.008319502073884417,0.010078296882131228,-0.001293019125636884,-0.0025013493057321865,-0.0012930191256368677,-0.002501349305732139,-0.0025013493058872707,-0.05662374640424749,-0.002501349305764377,-0.0566237464039829
1,0.7,1,1.8,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02562,0.02633,0.02436,0.02541,0.02436,0.02541,0.02381,0.01217,0.02541,0.01174,0.20690401275227818,0.2163715707380665,0.21483864550073808,0.23414732890929787,0.21483864550073797,0.2341473289092976,0.234147328910221,0.19979323128849036,0.23414732890929207,0.19979323128753684,0.0031329440196716314,0.0035941665375806555,-0.0019949009935338142,-0.0035800010771347836,-0.001994900993533836,-0.003580001077134678,-0.003580001077293715,-0.056985286884098256,-0.0035800010771043825,-0.056985286883830616
1,0.7,1,1.8,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02486,0.02548,0.02522,0.02561,0.02522,0.02561,0.02384,0.01234,0.02561,0.01188,0.20756676398346716,0.2176300815495727,0.2153055315182039,0.23520808000199125,0.21530553151820378,0.23520808000199114,0.23520808000291535,0.2004699104678746,0.23520808000199112,0.20046991046691873,-0.0012332340847247458,-0.001770115272361593,-9.76923742769816e-4,-0.002395398511330244,-9.76923742769795e-4,-0.002395398511330233,-0.0023953985114842217,-0.056924145384149964,-0.002395398511330246,-0.05692414538388324
1,0.7,1,1.8,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02309,0.02307,0.02481,0.0244,0.02481,0.0244,0.02289,0.01204,0.0244,0.01155,0.2079156431103326,0.21808259470981606,0.21540657371581054,0.23500097522416896,0.21540657371581037,0.23500097522416855,0.23500097522509175,0.20102593241910413,0.23500097522416835,0.20102593241814404,-0.0079031552203239,-0.009848479585360554,-0.0029046574683201784,-0.00480557584088556,-0.002904657468320177,-0.004805575840885522,-0.004805575841048723,-0.05827185226141,-0.004805575840882582,-0.05827185226113396
1,0.7,1,1.8,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02205,0.02143,0.02406,0.02498,0.02406,0.02498,0.02324,0.01223,0.02498,0.01175,0.2080015417044269,0.21837268460283593,0.21510843319190748,0.23477406248484742,0.2151084331919073,0.23477406248484714,0.23477406248577048,0.20054325564573117,0.23477406248483493,0.20054325564477413,-0.012316848365426097,-0.015050939412144186,-0.002708762641226695,-0.0035841814603459676,-0.002708762641226648,-0.003584181460345916,-0.003584181460507032,-0.058285338906448325,-0.0035841814602970853,-0.05828533890617274
1,0.7,1,1.8,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02052,0.02036,0.02389,0.02505,0.02389,0.02505,0.02345,0.01239,0.02505,0.01187,0.20790911368089962,0.21871962591369007,0.21458289529376082,0.2342964250316294,0.21458289529376023,0.23429642503162895,0.234296425032557,0.2000579216302424,0.23429642503162879,0.20005792162928623,-0.01619272682276412,-0.020319198845287538,-0.002166943909059939,-0.0035448351744209127,-0.0021669439090600006,-0.003544835174420865,-0.0035448351745810385,-0.05781075107053382,-0.003544835174423581,-0.05781075107026273
1,0.7,1,1.8,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02002,0.01959,0.02431,0.02505,0.02431,0.02505,0.02339,0.01217,0.02505,0.01178,0.20894615650961723,0.22056813472364922,0.21498385146288443,0.23514424967168038,0.21498385146288349,0.23514424967167952,0.23514424967260017,0.1999215015926242,0.235144249671668,0.19992150159167432,-0.019714940579379944,-0.025193843588905356,-0.0013376402582968726,-0.003004734410458553,-0.0013376402582966536,-0.0030047344104586282,-0.0030047344106186656,-0.05654190135491525,-0.0030047344105127833,-0.05654190135464863
