K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.05104,0.05693,0.02454,0.02559,0.02454,0.02559,0.02282,0.0508,0.02559,0.04896,0.22900555681478,0.24175408529339568,0.2289158240020272,0.2513117921709508,0.22891582400202715,0.2513117921709506,0.25131179217156446,0.21274076884559961,0.2513117921709506,0.21274076884492943,0.0720876566426266,0.08688117016723536,-0.0026150087537325974,-0.004735586629100825,-0.0026150087537326256,-0.004735586629100847,-0.004735586628815554,0.06402035816261649,-0.004735586629100849,0.06402035816239968
1,0.7,1,1.8,1,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.04737,0.05243,0.02495,0.0255,0.02495,0.0255,0.02299,0.05017,0.0255,0.04853,0.22651620135652265,0.23885963387864378,0.22842048159474493,0.25086873056164005,0.2284204815947449,0.25086873056164,0.25086873056231795,0.2110765206586177,0.25086873056164,0.21107652065795288,0.06535265287940514,0.07929963659417695,-0.003395225706118576,-0.005351110856327816,-0.0033952257061185495,-0.005351110856327844,-0.00535111085605014,0.06316685013333141,-0.005351110856327865,0.06316685013311711
1,0.7,1,1.8,1,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.04571,0.04969,0.02448,0.02482,0.02448,0.02482,0.02219,0.05056,0.02482,0.04883,0.22580215394856384,0.237733890057585,0.2281330122907714,0.25039603171664737,0.22813301229077132,0.25039603171664737,0.25039603171704006,0.21257713906012793,0.25039603171664737,0.21257713905945658,0.06103367175256173,0.07391477304409545,-0.001573239096575144,-0.0035186302392170134,-0.0015732390965752007,-0.003518630239217146,-0.0035186302388829313,0.06482833860908502,-0.0035186302392171435,0.06482833860886504
1,0.7,1,1.8,1,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.04243,0.0465,0.02449,0.02472,0.02449,0.02472,0.02247,0.05032,0.02472,0.04863,0.22410966170219904,0.23573083533283185,0.2285880712950481,0.25092258032581305,0.22858807129504805,0.2509225803258131,0.25092258032730336,0.21193356057017015,0.2509225803258131,0.2119335605695056,0.0532992049286457,0.065093094607229507,-0.003667390519983279,-0.005437280888384857,-0.0036673905199833047,-0.005437280888384923,-0.00543728088828071,0.06315778426845986,-0.005437280888384879,0.06315778426824759
1,0.7,1,1.8,1,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.04112,0.04457,0.02491,0.02582,0.02491,0.02582,0.02294,0.05151,0.02582,0.04997,0.22346711366670494,0.23500812865223203,0.22877198347483424,0.2512270958642163,0.22877198347483413,0.2512270958642163,0.25122709586660413,0.21249431266360022,0.2512270958642163,0.2124943126629266,0.04873996053120043,0.059241818500546085,-0.002449400290721578,-0.004669791633839223,-0.002449400290721627,-0.00466979163383931,-0.004669791633953366,0.06456225232531337,-0.004669791633839312,0.06456225232509104
1,0.7,1,1.8,1,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.03753,0.04067,0.02408,0.02446,0.02408,0.02446,0.02173,0.04969,0.02446,0.04808,0.2216321926305185,0.2323473626304274,0.22790313619745003,0.24962378684315564,0.22790313619744995,0.24962378684315556,0.2496237868438075,0.21177091430623968,0.2496237868431556,0.2117709143055689,0.04197015133905947,0.051288007922776685,-0.0037216415515463437,-0.006096552214442348,-0.0037216415515464382,-0.0060965522144424125,-0.006096552214157405,0.06332051660980124,-0.006096552214442421,0.06332051660958202
1,0.7,1,1.8,1,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.03741,0.03976,0.02517,0.02664,0.02517,0.02664,0.02387,0.05184,0.02664,0.05007,0.22231234641406325,0.2333193318669224,0.2290598421909525,0.2516183158731594,0.22905984219095238,0.2516183158731594,0.2516183158817029,0.21289161571224394,0.2516183158812994,0.2128916157115792,0.03794995179153784,0.04595212476461306,-0.0017037323979044257,-0.004213107616346022,-0.0017037323979044961,-0.004213107616346234,-0.0042131076175642435,0.06454789637296068,-0.004213107617898757,0.06454789637274382
1,0.7,1,1.8,1,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.03573,0.03852,0.02585,0.02698,0.02585,0.02698,0.02413,0.05286,0.02698,0.0511,0.22154294891276705,0.23282833923195584,0.22865962351488422,0.25157064507938165,0.22865962351488422,0.2515706450793818,0.2515706450798782,0.2133973076585374,0.2515706450793933,0.21339730765786577,0.03406837223999984,0.041120705245414876,-4.909008583682516e-5,-0.002012776919071546,-4.9090085836803254e-5,-0.002012776919071934,-0.002012776918755942,0.06621685972103095,-0.0020127769191092514,0.06621685972080146
1,0.7,1,1.8,1,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.03382,0.03511,0.02564,0.02633,0.02564,0.02633,0.02349,0.05202,0.02633,0.05007,0.22130281348207467,0.23213865848302342,0.2297849395301901,0.2523734264178648,0.22978493953018977,0.25237342641786464,0.2523734264262591,0.2128675252622909,0.25237342642591803,0.21286752526162644,0.025566334191961235,0.031156009983828493,-0.0032597750193824136,-0.005731129130902622,-0.003259775019382557,-0.00573112913090284,-0.0057311291323268,0.06364283694139512,-0.005731129132675618,0.06364283694117998
1,0.7,1,1.8,1,0.2513144,0,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.03218,0.03407,0.02519,0.02598,0.02519,0.02598,0.02324,0.05268,0.02598,0.05112,0.22081876000922673,0.23118595686925011,0.22961918368309553,0.2513362786836393,0.2296191836830949,0.251336278683639,0.2513362786840657,0.21294719504294035,0.2513362786837195,0.21294719504226675,0.020621035835163313,0.025251027094575555,-0.0030302035818922284,-0.004928953821721683,-0.0030302035818924526,-0.0049289538217221675,-0.004928953821395796,0.06389503006352525,-0.004928953821362155,0.06389503006330698
