K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02508,0.02496,0.02514,0.02468,0.02514,0.02468,0.02346,0.00441,0.02468,0.00431,0.20282655073890363,0.21177392176242008,0.2102263744851484,0.2285555785684331,0.21022637448514406,0.22855557856840203,0.22855557856874212,0.22481066881082906,0.22855557856341507,0.22481066881025724,-0.0010690028181095607,-0.0014005305534236857,-0.0011920102432875996,-0.0028789740300891905,-0.0011920102432635565,-0.002878974030029569,-0.0028789740301871933,-0.12397230283697941,-0.0028789740277838155,-0.1239723028366051
1,0.7,1,1.8,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02534,0.02538,0.025,0.02559,0.025,0.02559,0.02416,0.00572,0.02559,0.00558,0.202809162443523,0.21226624373296443,0.21007540501650987,0.22898459510318936,0.21007540501650976,0.22898459510318928,0.2289845951035974,0.21810408241141546,0.22898459510131414,0.21810408241082765,-2.405106355063949e-4,-7.436417189367145e-4,-4.7448467842129257e-4,-0.002067295667235667,-4.744846784213279e-4,-0.0020672956672356632,-0.0020672956673520406,-0.10987003210978065,-0.002067295666835595,-0.10987003210947274
1,0.7,1,1.8,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02418,0.02425,0.02426,0.02516,0.02426,0.02516,0.02391,0.00663,0.02516,0.0065,0.20365205406029868,0.21314186528487303,0.21116583155145197,0.2301775476213398,0.21116583155145036,0.23017754762133977,0.23017754762186518,0.21204720752835998,0.2301775476207149,0.21204720752772993,-1.5209839595241312e-5,-8.020418038556819e-4,-1.5026393230577594e-4,-0.0018193277408070914,-1.502639322926643e-4,-0.0018193277408070814,-0.0018193277409427617,-0.09605407155116523,-0.001819327740835448,-0.09605407155083882
1,0.7,1,1.8,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02419,0.02391,0.02419,0.02448,0.02419,0.02448,0.02291,0.00802,0.02448,0.00773,0.20498992288957943,0.2143657625845699,0.21263323022795527,0.2315105892441584,0.21263323022795516,0.2315105892441583,0.23151058924481582,0.20679499059805967,0.2315105892440931,0.20679499059733464,-0.0013638283868123403,-0.0017463615392845388,-0.0016384894114098226,-0.0031157272746245163,-0.0016384894114097872,-0.0031157272746245063,-0.003115727274780018,-0.0831831772471023,-0.0031157272744461078,-0.08318317724681773
1,0.7,1,1.8,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02422,0.02497,0.02455,0.02551,0.02455,0.02551,0.024,0.01018,0.02551,0.00986,0.2052926713973672,0.2149010919609377,0.21272787680124566,0.23214902535405682,0.2127278768012456,0.23214902535405674,0.23214902535484833,0.20227849160917583,0.23214902535395587,0.20227849160833206,-6.800842621297419e-4,-0.0012481446543563628,-9.320454834312514e-4,-0.002329074269794561,-9.320454834312171e-4,-0.0023290742697944485,-0.00232907426995299,-0.0686787588411763,-0.0023290742696097564,-0.06867875884089417
1,0.7,1,1.8,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02564,0.02606,0.02571,0.02597,0.02571,0.02597,0.02427,0.01359,0.02597,0.0132,0.20855603110570653,0.21872327597477983,0.21612057772639232,0.23602992819757537,0.21612057772639223,0.2360299281975751,0.23602992819851867,0.20074579911441898,0.2360299281975751,0.20074579911344861,-9.851472299105973e-4,-0.0014605310769966547,-0.0011432504821198759,-0.0026597705461250806,-0.0011432504821198507,-0.0026597705461251105,-0.0026597705462817964,-0.0552120063806335,-0.0026597705461251153,-0.05521200638036926
1,0.7,1,1.8,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.0248,0.02487,0.02492,0.02537,0.02492,0.02537,0.02368,0.01521,0.02537,0.01461,0.20837544829396587,0.21873483134114646,0.21631356146140973,0.2366471248703118,0.21631356146140962,0.23664712487031153,0.23664712487136935,0.19725032338315399,0.23664712487031153,0.1972503233820827,-0.001603435536631393,-0.0021586004515407936,-0.002124228604771452,-0.003775501858503894,-0.0021242286047714705,-0.0037755018585037986,-0.0037755018586429962,-0.04171529223248512,-0.0037755018585038246,-0.04171529223225977
1,0.7,1,1.8,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02431,0.02474,0.02428,0.02529,0.02428,0.02529,0.02346,0.01747,0.02529,0.01683,0.20937599949913188,0.21975728370233966,0.21703118796286452,0.23748283420633282,0.21703118796286405,0.23748283420633215,0.23748283420748062,0.19566155571417415,0.23748283420633212,0.1956615557130103,-0.0016331098857661902,-0.0020742797841957032,-0.0023047786958849794,-0.003971424383786082,-0.0023047786958850683,-0.0039714243837860935,-0.003971424383886366,-0.028299971829198457,-0.0039714243837860935,-0.028299971829030972
1,0.7,1,1.8,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02441,0.02469,0.02455,0.02477,0.02455,0.02477,0.0227,0.02176,0.02477,0.02102,0.21141626253240728,0.2217872403223469,0.219312652439905,0.23930619664504274,0.21931265243990422,0.23930619664504205,0.23930619664624458,0.1962055287536806,0.23930619664504205,0.19620552875245043,-0.0027782772912261135,-0.0033934159622618417,-0.0034002011581408713,-0.004918969555036204,-0.003400201158140897,-0.004918969555036291,-0.004918969555084765,-0.015078703229097233,-0.004918969555036288,-0.015078703229001929
1,0.7,1,1.8,1,0,0,0,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02409,0.0245,0.02438,0.02551,0.02438,0.02551,0.02307,0.02517,0.02551,0.02436,0.21276766189372764,0.22331887535669323,0.22073638914209467,0.2415598225803046,0.22073638914209337,0.24155982258030387,0.241559822581478,0.19649560584294762,0.24155982258030384,0.19649560584169687,-0.0015371134035917064,-0.0018874775376180053,-0.001925623561186778,-0.0033056160519022762,-0.001925623561186738,-0.003305616051902437,-0.0033056160518628516,6.944438470993116e-5,-0.0033056160519024515,6.944438471030244e-5
