K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.03493,0.03626,0.02577,0.02575,0.02577,0.02575,0.02432,0.01241,0.02575,0.01208,0.20741632292909448,0.21489169685337806,0.2154957619789121,0.2348444644969203,0.2154957619789121,0.23484446449692034,0.2348444644978422,0.2004120856835934,0.23484446449692034,0.20041208568263955,0.028652442470362794,0.033382340968359535,-8.990449403814303e-4,-0.002386028951082566,-8.990449403814308e-4,-0.002386028951082562,-0.002386028951239683,-0.05679368291940135,-0.0023860289510825813,-0.056793682919134184
1,0.7,1,0.4,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.032,0.03313,0.02482,0.0253,0.02482,0.0253,0.0238,0.01247,0.0253,0.01214,0.2051062673890115,0.21277163504224203,0.2139750707396719,0.23410412263570116,0.2139750707396719,0.23410412263570116,0.23410412263662683,0.19920847596995267,0.23410412263570113,0.19920847596900404,0.022812296106541126,0.026619049583891247,-0.001563459875178228,-0.0035611498815764277,-0.0015634598751782264,-0.003561149881576466,-0.0035611498817378342,-0.05649140529533967,-0.0035611498815764737,-0.0564914052950752
1,0.7,1,0.4,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.03052,0.03148,0.02454,0.02533,0.02454,0.02533,0.0238,0.01239,0.02533,0.01191,0.20614591138407848,0.2139417323217607,0.21511549844054567,0.23484497855859232,0.21511549844054567,0.2348449785585923,0.23484497855951886,0.20068314746542062,0.2348449785585923,0.20068314746446458,0.016370617797862443,0.0192849400769601,-0.0017502098397273959,-0.002842696968990306,-0.0017502098397273948,-0.0028426969689903,-0.002842696969147633,-0.057178096994578306,-0.002842696968990311,-0.05717809699430972
1,0.7,1,0.4,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.0282,0.02874,0.02492,0.02569,0.02492,0.02569,0.02393,0.01224,0.02569,0.01188,0.20528238110908534,0.21278308690763603,0.21504826941434435,0.234714386640728,0.21504826941434435,0.23471438664072802,0.23471438664165065,0.20036222392905653,0.23471438664072103,0.20036222392810196,0.011083947738351868,0.012578556329668792,-0.0012798220154906774,-0.002440882646962169,-0.0012798220154906779,-0.0024408826469622027,-0.002440882647116336,-0.0563946606765088,-0.0024408826469945037,-0.05639466067624369
1,0.7,1,0.4,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.02673,0.02677,0.0247,0.02559,0.0247,0.02559,0.024,0.01263,0.02559,0.01219,0.20443951417657127,0.2117940608900038,0.21433865841588434,0.23389217936190462,0.21433865841588434,0.23389217936190465,0.2338921793628236,0.19897576527133065,0.23389217936188575,0.19897576527038208,0.005424166753342952,0.006038773868980444,-0.001125844809108606,-0.002061232900308484,-0.0011258448091086058,-0.0020612329003084967,-0.002061232900461461,-0.05622468361222542,-0.0020612329002668173,-0.05622468361196113
1,0.7,1,0.4,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.02421,0.02403,0.02463,0.0246,0.02463,0.0246,0.02291,0.01257,0.0246,0.01224,0.20539001936733617,0.21290877688855983,0.21528565166501767,0.23489426570482713,0.21528565166501767,0.23489426570482716,0.23489426570574912,0.20052114109663996,0.23489426570482713,0.20052114109568375,-0.0023068642526565923,-0.003022382268518021,-0.0028755301332031714,-0.004063475517010224,-0.002875530133203176,-0.004063475517010212,-0.004063475517173998,-0.057864182778138325,-0.004063475517010216,-0.057864182777863385
1,0.7,1,0.4,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.02269,0.02204,0.02464,0.0245,0.02464,0.0245,0.02277,0.01211,0.0245,0.01179,0.2052100593168957,0.2130148657660093,0.21505377615502208,0.2345737393747676,0.21505377615502208,0.2345737393747676,0.23457373937569032,0.20015626293859473,0.2345737393747676,0.20015626293764066,-0.008013561622917477,-0.010077807868644413,-0.0020323474792956816,-0.003344863855133316,-0.002032347479295682,-0.0033448638551333123,-0.0033448638552918022,-0.05747280130044177,-0.003344863855133332,-0.057472801300172204
1,0.7,1,0.4,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.02102,0.0207,0.02473,0.02533,0.02473,0.02533,0.02351,0.01198,0.02533,0.01164,0.20567032893189952,0.2135887381423523,0.21502988029054576,0.23422378766548932,0.21502988029054576,0.2342237876654893,0.23422378766641544,0.19998943504181146,0.23422378766548932,0.19998943504085445,-0.014226463529623144,-0.01787728666292174,-0.0022168007053443694,-0.003986811144962755,-0.002216800705344373,-0.00398681114496278,-0.003986811145122627,-0.05707780596397393,-0.0039868111449627985,-0.05707780596370551
1,0.7,1,0.4,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.01981,0.01923,0.02472,0.02546,0.02472,0.02546,0.02373,0.01237,0.02546,0.01197,0.20686629726738368,0.21542122947133194,0.21554818356422473,0.23548493463520628,0.21554818356422473,0.23548493463520628,0.23548493463613474,0.20125451578017228,0.23548493463520628,0.20125451577921563,-0.02101852756984149,-0.025907942364976084,-0.002793941978302432,-0.004646770468004125,-0.002793941978302432,-0.004646770468004178,-0.004646770468170027,-0.05817891271096456,-0.004646770468004153,-0.058178912710691304
1,0.7,1,0.4,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.01878,0.01795,0.02529,0.02561,0.02529,0.02561,0.02384,0.0125,0.02561,0.01216,0.20657435436533603,0.21540796677272597,0.21487556458436627,0.23449568562528258,0.21487556458436627,0.23449568562528258,0.23449568562620646,0.19974977531233776,0.2344956856252725,0.19974977531138666,-0.025146452143748704,-0.0312234936680156,-0.0011747753235738557,-0.0030896524102965567,-0.0011747753235738583,-0.0030896524102965585,-0.00308965241045445,-0.05640870977314015,-0.003089652410260273,-0.0564087097728762
1,0.7,1,0.4,1,-0.2282587,0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.01733,0.01633,0.02539,0.0257,0.02539,0.0257,0.02395,0.01238,0.0257,0.01195,0.2084234527065576,0.217872284445298,0.215722980742316,0.23540236821539734,0.215722980742316,0.23540236821539737,0.23540236821631955,0.20020749851755176,0.23540236821539184,0.20020749851659958,-0.030857915153576505,-0.03827903722917394,-2.9595911985121564e-4,-0.001838175628137325,-2.9595911985121434e-4,-0.001838175628137345,-0.0018381756282946804,-0.05608642777016054,-0.0018381756281519053,-0.05608642776989384
1,0.7,1,0.4,1,-0.2282587,0.11111111111111105,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.01679,0.01516,0.02498,0.02508,0.02498,0.02508,0.02357,0.01203,0.02508,0.01172,0.20860140003783004,0.21871186404620638,0.21442532705441505,0.2345166227924054,0.21442532705441505,0.2345166227924054,0.2345166227933255,0.19986296738479944,0.23451662279239494,0.199862967383847,-0.03785248652401087,-0.046398777099890855,-0.001211827213454828,-0.0028078762586898776,-0.0012118272134548276,-0.002807876258689885,-0.002807876258845912,-0.05685917407899457,-0.0028078762587224384,-0.056859174078727356
1,0.7,1,0.4,1,-0.2282587,0.16666666666666663,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.01452,0.01344,0.02469,0.02506,0.02469,0.02506,0.02345,0.01248,0.02506,0.01206,0.21004562915768998,0.22088183506353362,0.2147154677771338,0.2348305297569944,0.2147154677771338,0.2348305297569944,0.23483052975791738,0.19975475811723928,0.23483052975699442,0.19975475811628904,-0.04311255268463821,-0.053090851197808944,-4.1216087653655846e-4,-0.002039787733630818,-4.1216087653655814e-4,-0.0020397877336308266,-0.0020397877337875693,-0.05543843152321684,-0.002039787733630832,-0.05543843152295436
1,0.7,1,0.4,1,-0.2282587,0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.0142,0.01303,0.02533,0.02519,0.02533,0.02519,0.02356,0.01252,0.02519,0.01206,0.2120950677334105,0.22327729831937665,0.21534930677258846,0.23490787982139205,0.21534930677258846,0.23490787982139208,0.23490787982231637,0.20043515521514238,0.23490787982139133,0.20043515521418684,-0.050722437730830475,-0.0614919669495124,-0.0019258829241038669,-0.0031106053846547085,-0.0019258829241038625,-0.003110605384654694,-0.00311060538481208,-0.05692881923195365,-0.003110605384664903,-0.056928819231686474
1,0.7,1,0.4,1,-0.2282587,0.2777777777777777,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.01296,0.01195,0.02512,0.02532,0.02512,0.02532,0.02374,0.01241,0.02532,0.01197,0.21416344799307502,0.22591534916952433,0.2156708714163849,0.23525906496853505,0.2156708714163849,0.23525906496853502,0.23525906496946178,0.20055332934754677,0.23525906496853502,0.20055332934659273,-0.0568457716037088,-0.06912407238112965,-0.002172324905102629,-0.0038987628917667495,-0.0021723249051026263,-0.0038987628917667456,-0.0038987628919287514,-0.05675888777159728,-0.0038987628917667486,-0.05675888777132998
