K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.05863,0.06502,0.02426,0.0242,0.02426,0.0242,0.02194,0.05118,0.0242,0.04937,0.23184714084170654,0.24380857124844268,0.2288630272414717,0.25054250400161815,0.2288630272414717,0.25054250400161815,0.2505425040025164,0.21243706775003135,0.25054250400161815,0.21243706774935625,0.08690073125400978,0.10229139741608038,-0.0031341012951081027,-0.004995811642566398,-0.003134101295108101,-0.004995811642566411,-0.004995811642347174,0.06406869949710677,-0.004995811642566413,0.06406869949688883
1,0.7,1,0.4,1,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.05394,0.06049,0.02393,0.02518,0.02393,0.02518,0.02249,0.05017,0.02518,0.04853,0.22894146864177187,0.2401752316454616,0.22890233975235777,0.2511887807387915,0.22890233975235777,0.2511887807387915,0.2511887807391191,0.21190636862495307,0.2511887807387915,0.21190636862427992,0.07985751955025076,0.09436751999168108,-0.004201407702678286,-0.006006770955049964,-0.004201407702678287,-0.006006770955049981,-0.006006770954698017,0.06321389060875658,-0.006006770955049971,0.06321389060853798
1,0.7,1,0.4,1,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.0533,0.05859,0.02586,0.02611,0.02586,0.02611,0.02333,0.05202,0.02611,0.05027,0.2282337352181206,0.23919248187808367,0.22957931623613587,0.2517222377657307,0.22957931623613587,0.2517222377657307,0.2517222377660747,0.21288469461146253,0.2517222377657307,0.21288469461098922,0.07494366715018433,0.08808863511376687,-0.0022327143162544725,-0.004136335747317382,-0.00223271431625447,-0.004136335747317392,-0.0041363357469741706,0.06454863611807804,-0.004136335747317376,0.0645486361174865
1,0.7,1,0.4,1,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.04974,0.05378,0.02475,0.02555,0.02475,0.02555,0.02305,0.05086,0.02555,0.04913,0.2254114828629631,0.23547200134689072,0.22896768045585292,0.2511203011327899,0.22896768045585292,0.2511203011327899,0.25112030113309347,0.21178930541193397,0.2511203011327899,0.21178930541126756,0.06753509488782768,0.07946977000596042,-0.0035384266222627855,-0.005569253630144273,-0.003538426622262784,-0.005569253630144281,-0.005569253629785036,0.06377527078757549,-0.00556925363014427,0.06377527078735569
1,0.7,1,0.4,1,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.04617,0.05048,0.02452,0.02542,0.02452,0.02542,0.02287,0.05048,0.02542,0.04888,0.22321471551186406,0.23311477215297347,0.22815140778484885,0.2502783835728471,0.22815140778484885,0.2502783835728471,0.25027838357354537,0.21177673909535874,0.2502783835728471,0.21177673909469094,0.061411855087425485,0.07203526570577382,-0.003258898394769662,-0.005708464273261811,-0.0032588983947696654,-0.005708464273261823,-0.005708464272976186,0.06351793028293122,-0.005708464273261812,0.06351793028271471
1,0.7,1,0.4,1,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.04439,0.04755,0.02534,0.02597,0.02534,0.02597,0.02315,0.051,0.02597,0.0491,0.22221412457878648,0.23152869232181378,0.22864421723706602,0.25105638303642774,0.22864421723706602,0.25105638303642774,0.25105638303673455,0.21212710131999493,0.25105638303642774,0.21212710131932944,0.05585881339576734,0.0655228249211081,-0.0025227705382549308,-0.004628410418756664,-0.0025227705382549308,-0.004628410418756663,-0.004628410418401091,0.06429306349201143,-0.0046284104187566824,0.06429306349179413
1,0.7,1,0.4,1,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.04104,0.04382,0.02495,0.02536,0.02495,0.02536,0.0227,0.05029,0.02536,0.04845,0.22087615313207792,0.23013952142063704,0.22880354242561962,0.2521921905779321,0.22880354242561962,0.252192190577932,0.2521921905802487,0.21217282246000965,0.2521921905779321,0.21217282245933905,0.047508166813342766,0.055761248599199044,-0.004109602321197895,-0.006591513161450564,-0.004109602321197894,-0.006591513161450541,-0.006591513161430198,0.06288186208628772,-0.006591513161450561,0.06288186208607079
1,0.7,1,0.4,1,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.0391,0.0414,0.02508,0.02525,0.02508,0.02525,0.02255,0.05194,0.02525,0.05028,0.21950614419090567,0.22809109255679857,0.22851386366765952,0.25044929080172873,0.22851386366765952,0.2504492908017288,0.250449290802468,0.2121532527778451,0.2504492908017288,0.21215325277717967,0.0418201157090686,0.049189598742512136,-0.003305922016903398,-0.0052201111995561,-0.0033059220169034,-0.005220111199556139,-0.005220111199303908,0.06356312453236412,-0.005220111199556128,0.06356312453214892
1,0.7,1,0.4,1,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.03546,0.03778,0.02463,0.02547,0.02463,0.02547,0.0228,0.0519,0.02547,0.05007,0.21797488771816712,0.22627056769098738,0.22865359602026672,0.2507441923949612,0.22865359602026672,0.25074419239496126,0.2507441923953267,0.21199954752108432,0.25074419239496126,0.21199954752041594,0.0344459288496327,0.04034580194493048,-0.003887147992366416,-0.0059652381518866685,-0.003887147992366416,-0.0059652381518866884,-0.005965238151545526,0.06311418655255073,-0.005965238151886669,0.06311418655233612
1,0.7,1,0.4,1,0.2513144,0,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.03378,0.03481,0.02465,0.02557,0.02465,0.02557,0.02268,0.0513,0.02557,0.04964,0.21751022907471992,0.22571479288911622,0.22800412347213628,0.25023224587903836,0.22800412347213628,0.25023224587903836,0.2502322458793499,0.21195093365762027,0.25023224587906745,0.2119509336569518,0.02858302890591213,0.03290010048343158,-0.0032214956896587624,-0.005870702925971471,-0.0032214956896587637,-0.005870702925971458,-0.0058707029256229405,0.06370795393038536,-0.005870702925709659,0.06370795393016904
