K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02489,0.02465,0.02437,0.02484,0.02437,0.02484,0.02379,0.00436,0.02484,0.00429,0.20051886427173232,0.2075096555380737,0.20946835901907712,0.2274591152314765,0.209468359019083,0.22745911523137435,0.22745911523178883,0.22366390627550553,0.2274591152261499,0.22366390627500568,4.862351834909132e-4,-4.1979200542941505e-4,-2.6149359395392636e-4,-0.0011565913990984286,-2.6149359396853377e-4,-0.0011565913989740328,-0.0011565913992403806,-0.12264918934691395,-0.0011565913980227072,-0.12264918934660635
1,0.7,1,0.4,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02527,0.02504,0.02489,0.02546,0.02489,0.02546,0.02406,0.00574,0.02546,0.00561,0.20100720413268877,0.20852629378504858,0.21019548937009516,0.22933213335318572,0.21019548937009516,0.2293321333531857,0.2293321333535942,0.2176975447840504,0.22933213335152514,0.2176975447834964,-6.724671551435314e-4,-0.0015122632764058557,-0.001395335381499436,-0.002398626803914954,-0.0013953353814994374,-0.002398626803914987,-0.0023986268040333933,-0.11038570459668562,-0.0023986268033255207,-0.11038570459642515
1,0.7,1,0.4,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02529,0.02487,0.02496,0.02472,0.02496,0.02472,0.02328,0.00632,0.02472,0.00612,0.20203273972322905,0.20908480733658882,0.21131847838518303,0.2299877453747447,0.21131847838518303,0.2299877453747447,0.22998774537527036,0.2120313105146324,0.22998774537401842,0.2120313105139846,-9.691256874246068e-4,-0.001856657200297376,-0.0016759090902066912,-0.002891572008441654,-0.0016759090902066906,-0.0028915720084416677,-0.0028915720085824553,-0.09719846699386189,-0.002891572008671485,-0.0971984669935151
1,0.7,1,0.4,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02512,0.02461,0.02521,0.02543,0.02521,0.02543,0.02392,0.00853,0.02543,0.00822,0.20352752284843084,0.21097642896144939,0.21338078949172604,0.2323679999304331,0.21338078949172604,0.2323679999304331,0.23236799993109467,0.20771665236548095,0.23236799993021015,0.20771665236474976,-0.0018433960724346255,-0.0027055750510417338,-0.0025988809515339736,-0.003908113190667905,-0.0025988809515339714,-0.003908113190667916,-0.003908113190827908,-0.08366589329934966,-0.003908113190554139,-0.08366589329906136
1,0.7,1,0.4,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02514,0.02472,0.02528,0.02592,0.02528,0.02592,0.02446,0.01028,0.02592,0.00989,0.20401827029791977,0.2115276153026047,0.21415944710887477,0.23404930776893978,0.21415944710887477,0.23404930776893976,0.23404930776974356,0.20294215850825043,0.23404930776892946,0.20294215850740105,-2.0434923096670658e-4,-8.178478684712151e-4,-0.0011895900901972532,-0.002615276766134385,-0.0011895900901972532,-0.0026152767661343852,-0.0026152767662978725,-0.06915360798490586,-0.0026152767661858276,-0.0691536079846225
1,0.7,1,0.4,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02577,0.02556,0.02549,0.02608,0.02549,0.02608,0.02446,0.01315,0.02608,0.01275,0.20527897313158294,0.21291799842460318,0.2151392386359648,0.23455589087543136,0.2151392386359648,0.23455589087543136,0.23455589087636725,0.20000533132759388,0.23455589087543136,0.20000533132662768,-4.7226104376976204e-4,-0.001456053104336575,-0.0014741576165536575,-0.0029351659659795242,-0.0014741576165536562,-0.00293516596597953,-0.0029351659661344567,-0.055244418297234844,-0.002935165965979561,-0.055244418296971264
1,0.7,1,0.4,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02556,0.02489,0.02472,0.02514,0.02472,0.02514,0.02316,0.01508,0.02514,0.01463,0.20638549138214526,0.21435013152501842,0.21669616364374278,0.23664088247376588,0.21669616364374278,0.23664088247376588,0.23664088247482795,0.19783901137874452,0.23664088247376588,0.19783901137767115,-0.0014786449189805116,-0.002381958411546377,-0.002375212061819729,-0.003983668160623874,-0.002375212061819728,-0.003983668160623897,-0.003983668160763007,-0.04247115028415089,-0.003983668160623897,-0.04247115028392323
1,0.7,1,0.4,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02483,0.02508,0.02475,0.02551,0.02475,0.02551,0.0236,0.01803,0.02551,0.01733,0.20730754110711508,0.21524305134809907,0.21750385428947208,0.2376195769188886,0.21750385428947208,0.23761957691888863,0.2376195769200346,0.19603644448227794,0.23761957691888863,0.19603644448111385,-6.699114631537177e-4,-0.0010806263282369145,-0.0018517895585291521,-0.0024606459840125676,-0.0018517895585291534,-0.0024606459840125928,-0.0024606459841065805,-0.02775849008066992,-0.002460645984012613,-0.027758490080505627
1,0.7,1,0.4,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02499,0.02498,0.02485,0.02592,0.02485,0.02592,0.02369,0.02264,0.02592,0.02194,0.20957040081501863,0.21764451360466652,0.21988987011254163,0.24063604925019763,0.21988987011254163,0.2406360492501976,0.24063604925139284,0.19674906984134138,0.24063604925019763,0.19674906984011004,-5.437913266665832e-4,-0.0010268266874085344,-0.001983188867957479,-0.0031996112230156513,-0.0019831888679574796,-0.003199611223015664,-0.003199611223051452,-0.013634041792269779,-0.003199611223015659,-0.013634041792183877
1,0.7,1,0.4,1,0,0,0,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02438,0.02574,0.02487,0.02605,0.02487,0.02605,0.02379,0.0259,0.02605,0.02499,0.2100425999136544,0.21831838887520655,0.22062314071964434,0.24181301258621662,0.22062314071964434,0.2418130125862166,0.24181301258738755,0.19687613471656093,0.24181301258621662,0.19687613471531806,-0.0014127418192948363,-0.0020577805527571473,-0.0027025824591259263,-0.004201950014277817,-0.0027025824591259268,-0.00420195001427782,-0.004201950014246806,-3.359568840357595e-4,-0.004201950014277807,-3.3595688403051914e-4
1,0.7,1,0.4,1,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02476,0.02503,0.02462,0.02577,0.02462,0.02577,0.02315,0.03076,0.02577,0.02979,0.21112586526003357,0.21954157068118377,0.22230729617098366,0.24421067132035493,0.22230729617098366,0.24421067132035493,0.2442106713214428,0.19800105257717993,0.24421067132035493,0.19800105257595652,-0.0016977641890666144,-0.0025439148414266055,-0.003199667180700772,-0.005062149114844055,-0.003199667180700771,-0.005062149114844044,-0.005062149114726659,0.013696072008907595,-0.005062149114844084,0.013696072008824948
1,0.7,1,0.4,1,0.11111111111111105,0.11111111111111105,0.11111111111111105,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02482,0.02521,0.02474,0.02521,0.02474,0.02521,0.02251,0.03641,0.02521,0.03492,0.21326522391176764,0.22123977059250577,0.22432027781047376,0.24538993726127134,0.22432027781047376,0.24538993726127134,0.2453899372625505,0.20132920433732598,0.24538993726127134,0.2013292043361913,-3.113307862457099e-4,-0.0010888595425967162,-0.0017141679757563912,-0.003581364029944008,-0.0017141679757563895,-0.003581364029944007,-0.0035813640297970677,0.028848831995858117,-0.0035813640299440057,0.028848831995690466
1,0.7,1,0.4,1,0.16666666666666663,0.16666666666666663,0.16666666666666663,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02468,0.02513,0.02471,0.02556,0.02471,0.02556,0.02337,0.04123,0.02556,0.03973,0.21448099897815187,0.2228217962280184,0.2262003694844012,0.24844652259555378,0.2262003694844012,0.2484465225955538,0.24844652259627045,0.2049561690067151,0.2484465225955538,0.2049561690057155,-5.575243620938065e-4,-0.0013132020371599072,-0.0023152830476796107,-0.004159591917673141,-0.002315283047679612,-0.004159591917673164,-0.004159591917380544,0.04307273691962379,-0.004159591917673167,0.04307273691940056
1,0.7,1,0.4,1,0.2222222222222222,0.2222222222222222,0.2222222222222222,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02502,0.02473,0.02469,0.02546,0.02469,0.02546,0.02268,0.04814,0.02546,0.04659,0.2159509947114883,0.2242889838695769,0.22783255914495507,0.2498514199695164,0.22783255914495507,0.2498514199695164,0.2498514199704006,0.20948873723129544,0.2498514199695164,0.20948873723050002,-0.0010582271474013478,-0.0021667637898936673,-0.0026738388568405785,-0.004955747400253677,-0.0026738388568405764,-0.0049557474002536826,-0.004955747400012002,0.0567809860867414,-0.004955747400253671,0.056780986086513205
1,0.7,1,0.4,1,0.2777777777777777,0.2777777777777777,0.2777777777777777,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02457,0.02515,0.02374,0.02515,0.02374,0.02515,0.02229,0.05374,0.02515,0.05202,0.21725830979982103,0.2256206664571462,0.22937681940702612,0.2520229508340622,0.22937681940702614,0.2520229508340622,0.2520229508345018,0.21429556421366983,0.2520229508339445,0.21429556421313303,-0.00205952442531037,-0.002826716651116451,-0.0036554784018078225,-0.005884888957512726,-0.003655478401807822,-0.005884888957512704,-0.005884888957206697,0.06979769237575636,-0.005884888957752232,0.0697976923755641
