K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.80407,0.78015,0.73707,0.67036,0.73707,0.67036,0.65167,0.74812,0.67036,0.74238,0.22302059672712377,0.23080548733598255,0.23011649821623748,0.2470332387027762,0.23011649821583188,0.24703323870243193,0.2470332387029547,0.21308657165508585,0.24703323869613622,0.21308657165481318,0.0290910901633758,0.032286403606996264,0.0028977033543776806,5.810752474781525e-4,0.0028977033542628822,5.810752473682833e-4,5.810752481287691e-4,-0.05314368342793229,5.810752456285507e-4,-0.05314368342857832
1,0.7,1,1.8,1.8,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.79668,0.7705,0.73645,0.67187,0.73645,0.67187,0.65345,0.74839,0.67187,0.74307,0.2228888016800288,0.23064684346451178,0.23006375252759095,0.2465075045536412,0.2300637525277289,0.24650750455364126,0.24650750455368475,0.2132252594152096,0.24650750454687922,0.21322525941554632,0.024004414444859932,0.02664166573857415,0.003674646115728976,0.0018669043463428237,0.0036746461157728715,0.0018669043463426778,0.0018669043469648698,-0.052896197877528854,0.0018669043441723594,-0.05289619787802369
1,0.7,1,1.8,1.8,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.78736,0.75763,0.7351,0.6694,0.7351,0.6694,0.65151,0.74686,0.6694,0.74133,0.2212816110424454,0.2293168526724117,0.22902292503080673,0.24580553733760543,0.2290229250290159,0.2458055373361047,0.24580553733772398,0.21260168249444947,0.24580553733584648,0.21260168249294467,0.01727283412429493,0.019253409000490863,0.0018273609964561093,1.6056646931452348e-4,0.001827360995995714,1.6056646886666764e-4,1.6056646995211372e-4,-0.05421464874201738,1.605664688768441e-4,-0.054214648742990264
1,0.7,1,1.8,1.8,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.78086,0.75016,0.73495,0.67036,0.73495,0.67036,0.65178,0.74722,0.67036,0.74194,0.22200105975471682,0.22992289377793654,0.2297748129115615,0.24635737893282955,0.22977481291156146,0.24635737893282955,0.2463573789328942,0.21329681456405372,0.24635737892509718,0.21329681456429622,0.011585426237491057,0.012303856897063927,0.0017247313849343157,-4.0217257435823085e-4,0.00172473138493435,-4.0217257435829325e-4,-4.021725737359361e-4,-0.05428192888434336,-4.0217257659002384e-4,-0.05428192888485291
1,0.7,1,1.8,1.8,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.77296,0.74086,0.73549,0.67008,0.73549,0.67008,0.65228,0.74814,0.67008,0.743,0.22213221261320235,0.2303723585619963,0.23034169160536228,0.2471195315527913,0.23034169160530987,0.24711953155279137,0.2471195315528424,0.21346566593425254,0.24711953154800115,0.21346566593451857,0.007838083622980836,0.007596720298248715,0.0030417449712928047,7.84774078638237e-4,0.0030417449712785718,7.847740786381741e-4,7.847740792598665e-4,-0.05322552030504781,7.847740773160682e-4,-0.05322552030555376
1,0.7,1,1.8,1.8,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.76773,0.73248,0.73627,0.67147,0.73627,0.67147,0.65263,0.74921,0.67147,0.74368,0.22195658423901074,0.23024891623100885,0.23033951271368064,0.24680912317528703,0.23033951271368067,0.24680912317537582,0.24680912317559378,0.21338724787543917,0.2468091231721548,0.21338724787540303,0.0028484395583303073,0.0016740896275193185,0.003148223276379991,0.001031586500586822,0.003148223276379981,0.0010315865006139053,0.0010315865012858643,-0.05318957824442075,0.001031586499749395,-0.05318957824500708
1,0.7,1,1.8,1.8,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.75827,0.72224,0.73728,0.67213,0.73728,0.67213,0.65447,0.74812,0.67213,0.74302,0.22213301108068984,0.23047183780452232,0.23024052608971968,0.24605118082220323,0.23024052608811263,0.24605118082238553,0.24605118082230623,0.21337930129253627,0.24605118082077707,0.21337930129122096,-0.0019286461491267491,-0.004075020660434311,0.0033796114497077565,9.33640842824507e-4,0.003379611449257781,9.336408428882818e-4,9.336408434555721e-4,-0.05300770348175594,9.336408425069212e-4,-0.05300770348270297
1,0.7,1,1.8,1.8,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.75212,0.71216,0.73593,0.66981,0.73593,0.66981,0.65157,0.74977,0.66981,0.74481,0.22266513769716037,0.23196159722886567,0.23054686069350935,0.24756987342012504,0.23054686069278355,0.24756987342018152,0.24756987342020714,0.21357920953668685,0.2475698734113056,0.2135792095362365,-0.006616588586886625,-0.009898447949653675,0.003421907883127926,8.488141598317267e-4,0.0034219078829417077,8.488141598489425e-4,8.488141604445632e-4,-0.05267854799964523,8.488141573042442e-4,-0.05267854800032185
1,0.7,1,1.8,1.8,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.74284,0.7017,0.73346,0.66946,0.73346,0.66946,0.65116,0.74616,0.66946,0.74104,0.2220292402734271,0.2314627117824887,0.22961009576696953,0.24650890354301497,0.22961009576696964,0.24650890354314572,0.24650890354302402,0.21297763309784604,0.24650890353880103,0.21297763309837126,-0.012677694202592269,-0.016387880012268506,0.0022321461566207194,9.238971045312873e-5,0.0022321461566202545,9.238971049497678e-5,9.238971106214635e-5,-0.053745459092487936,9.238970921956167e-5,-0.0537454590929258
1,0.7,1,1.8,1.8,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.73684,0.69443,0.73588,0.67056,0.73588,0.67056,0.65288,0.74901,0.67056,0.74383,0.22320551807540343,0.2328962802539024,0.23045528587018724,0.24722419095679893,0.2304552858701872,0.24722419095679887,0.24722419095686107,0.21349761876363776,0.2472241909508991,0.2134976187638944,-0.016236776209906156,-0.020898865285950204,0.003488759966275478,0.0013744342473175056,0.003488759966274707,0.0013744342473170908,0.0013744342479315459,-0.0523321074226886,0.0013744342457484118,-0.05233210742319588
