K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.81262,0.79722,0.66908,0.6032,0.66908,0.6032,0.57761,0.8545,0.6032,0.84992,0.25131807771541825,0.2610448100067246,0.24929849065461293,0.26845623190543144,0.2492984906826349,0.2684562319119751,0.26845623208371405,0.23368925822637643,0.26845623184879697,0.23368925800705453,0.080311569440383,0.09041878755344296,0.0025637575408613833,-6.466611801187238e-4,0.0025637575513359477,-6.466611772665594e-4,-6.466611019285827e-4,0.06878464620803725,-6.466610941078207e-4,0.06878464613239081
1,0.7,1,1.8,1.8,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.8041,0.7893,0.66884,0.60218,0.66884,0.60218,0.5762,0.85459,0.60218,0.85021,0.2500126437927734,0.2593977238610901,0.24991223202500906,0.26915125530031925,0.2499122320567943,0.2691512553091166,0.2691512554713786,0.23395279898693164,0.26915125525914096,0.2339527987781669,0.07463285568671937,0.08421546994489829,0.0025190964242827,-4.483592725094699e-4,0.0025190964390785207,-4.4835926798362206e-4,-4.4835919565059323e-4,0.06883385899354459,-4.4835919917167477e-4,0.06883385892137268
1,0.7,1,1.8,1.8,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.79373,0.77728,0.66576,0.59853,0.66576,0.59853,0.57205,0.85162,0.59853,0.84673,0.24703695221005484,0.2565369153856143,0.2488910510348836,0.26800595178926934,0.24889105106289167,0.26800595179630216,0.2680059519502331,0.23269173292465695,0.26800595172155384,0.23269173272704763,0.06635086265013845,0.07567984042202108,1.0718057731576786e-4,-0.0021021962691690505,1.0718058851672598e-4,-0.0021021962655905307,-0.002102196197620469,0.06686488600038622,-0.0021021961911431917,0.06686488593258319
1,0.7,1,1.8,1.8,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.78737,0.76875,0.66707,0.60042,0.66707,0.60042,0.57481,0.85395,0.60042,0.84938,0.24541207174038082,0.2549422729866998,0.24891037110935965,0.26840508728205853,0.248910371146144,0.26840508729984985,0.2684050874485476,0.23239526283809706,0.26840508724065376,0.23239526265353536,0.06120316044816697,0.06980557515519784,0.0013270693703043884,-0.001032399963234674,0.0013270693833087048,-0.0010323999552593656,-0.0010323998927813387,0.06810414949695945,-0.0010323998894166719,0.068104149434734515
1,0.7,1,1.8,1.8,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.78081,0.76021,0.67012,0.60443,0.67012,0.60443,0.57702,0.85626,0.60443,0.85161,0.24372474658784204,0.252718322296248,0.24838414521101393,0.2674232693783944,0.2483841452274747,0.26742326938300015,0.2674232695218562,0.2322388750494351,0.2674232693076775,0.23223887486430086,0.05595120667113272,0.06308581419951721,0.0025217250482469835,-3.7045105954782055e-4,0.002521725055858925,-3.704510564486962e-4,-3.7045099218534195e-4,0.06850296409681818,-3.704509891833109e-4,0.06850296403357711
1,0.7,1,1.8,1.8,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.7723,0.75127,0.66796,0.60286,0.66796,0.60286,0.57631,0.85513,0.60286,0.85039,0.2424347062926716,0.251592694962726,0.24765176176511028,0.2667306792358276,0.2476517617826305,0.26673067923726035,0.2667306793639432,0.2326517387941373,0.26673067916052695,0.23265173862690905,0.04974457818920709,0.05640955384458102,0.00170241490926816,-0.001080889775559584,0.0017024149177924143,-0.0010808897738357236,-0.0010808897164101242,0.06846677504185694,-0.0010808897009941202,0.06846677498408744
1,0.7,1,1.8,1.8,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.76344,0.73953,0.66805,0.60149,0.66805,0.60149,0.57521,0.85334,0.60149,0.84864,0.24304261084974738,0.2519833546825437,0.24954916686842313,0.2686877060078958,0.24954916690337905,0.26868770602042624,0.26868770618271764,0.23352610426384401,0.26868770595808783,0.23352610405706375,0.043786273412628106,0.04918206705125676,0.002021395610632623,-0.0010437728738276373,0.0020213956281100393,-0.0010437728657888827,-0.0010437727922484616,0.06815138756412435,-0.0010437727913269242,0.06815138749050617
1,0.7,1,1.8,1.8,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.75497,0.72769,0.66676,0.59764,0.66676,0.59764,0.57186,0.85434,0.59764,0.84959,0.2408884949880523,0.2498520847965291,0.2482669351638561,0.2672139058279381,0.24826693518416662,0.267213905833148,0.26721390597221567,0.23211455848703075,0.2672139057549737,0.23211455830690864,0.037169803339476844,0.04197170881373549,7.925144644226555e-4,-0.0020080593190115893,7.925144723828872e-4,-0.002008059317174221,-0.002008059255561819,0.06735273942536121,-0.0020080592518588436,0.06735273936508643
1,0.7,1,1.8,1.8,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.74602,0.7183,0.66582,0.60189,0.66582,0.60189,0.57558,0.85358,0.60189,0.84882,0.24076912877834228,0.24963078224981422,0.24837451942450878,0.2673116208383623,0.24837451945389144,0.26731162085474414,0.2673116210045222,0.23282135911550528,0.26731162079577464,0.23282135892618228,0.03243779862782509,0.03656891079643284,0.0019139800768431972,2.127978547112302e-5,0.0019139800890552387,2.1279793814399753e-5,2.1279860187332744e-5,0.06790829914554254,2.1279861723807783e-5,0.06790829907911895
1,0.7,1,1.8,1.8,0.2513144,0,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.73836,0.70718,0.6681,0.60266,0.6681,0.60266,0.57498,0.85307,0.60266,0.84866,0.24026578795085707,0.24954543278586697,0.24841593950852736,0.26741497916050405,0.24841593953366622,0.26741497916907353,0.2674149793145324,0.23284378707215703,0.2674149791156581,0.23284378688538582,0.026355849217572537,0.029304522040325146,0.0017126172226915274,-8.953332025644421e-4,0.0017126172324089374,-8.953331989398351e-4,-8.953331335844111e-4,0.06747028729265898,-8.953331357874542e-4,0.06747028722754966
