K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.81644,0.79656,0.73552,0.66942,0.73552,0.66942,0.65058,0.74896,0.66942,0.7436,0.22185127535482305,0.22816438476355388,0.22988058678702256,0.24733189818510026,0.22988058678702256,0.24733189818510024,0.24733189818529716,0.21285633705480023,0.24733189817635884,0.21285633705491439,0.03360998197784271,0.03678062300490702,0.0019671929069779628,-2.3125649767204257e-4,0.0019671929069779662,-0.00023125649767209234,-2.3125649702025324e-4,-0.05383234355379764,-2.3125650033358725e-4,-0.05383234355434205
1,0.7,1,0.4,1.8,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.81029,0.78912,0.73589,0.67287,0.73589,0.67287,0.65496,0.74856,0.67287,0.7431,0.22131011152829635,0.22744404486161945,0.2296242939495476,0.24660306312841773,0.22962429395044387,0.2466030631284178,0.24660306312841304,0.21273814828145213,0.2466030631245042,0.21273814828177318,0.02847718790801514,0.030716711937208985,0.0031331427380405803,0.0012523485146249183,0.003133142738264217,0.0012523485146249118,0.001252348515225686,-0.053121693331649796,0.0012523485135752317,-0.053121693332140604
1,0.7,1,0.4,1.8,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.80241,0.77847,0.73654,0.67108,0.73654,0.67108,0.65241,0.74997,0.67108,0.74431,0.2195905458458763,0.22573446047667856,0.22905807299384298,0.2454231576389102,0.22905807299384295,0.2454231576389102,0.2454231576389599,0.21227809644848905,0.24542315763435824,0.21227809644873155,0.02156350208100419,0.022532548557843677,0.0024864165574287464,-1.2811019233977566e-4,0.002486416557428743,-1.281101923397986e-4,-1.2811019171416203e-4,-0.0537029230731363,-1.2811019367319355e-4,-0.05370292307365218
1,0.7,1,0.4,1.8,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.79102,0.76752,0.73584,0.67048,0.73584,0.67048,0.65172,0.74645,0.67048,0.74101,0.2200009968209672,0.22666085008790468,0.2298161536669085,0.24715614898014143,0.2298161536683727,0.24715614898011426,0.2471561489801789,0.21316681249653802,0.24715614897517804,0.2131668124969316,0.014623081064571304,0.015006336397064772,0.001958120447225877,-1.7811365081372445e-4,0.001958120447658025,-1.7811365082249364e-4,-1.7811365020196015e-4,-0.05400596876457027,-1.7811365180952994e-4,-0.05400596876504543
1,0.7,1,0.4,1.8,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.7858,0.75916,0.73809,0.67281,0.73809,0.67281,0.65503,0.75085,0.67281,0.74517,0.2194579545172173,0.22578019436222238,0.2297312585644376,0.246021614923963,0.2297312585656546,0.24602161492396302,0.24602161492411623,0.21307004658945472,0.24602161491828273,0.2130700465896204,0.009998589498094759,0.0092005717993689385,0.003649655479263057,0.001145952202986016,0.0036496554796104017,0.0011459522029860115,0.0011459522036426325,-0.05257876069815618,0.0011459522013281148,-0.052578760698703084
1,0.7,1,0.4,1.8,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.77562,0.74706,0.7367,0.67067,0.7367,0.67067,0.65284,0.748,0.67067,0.74244,0.21928739696434688,0.22585011775692598,0.22948036023820323,0.24606484328396278,0.22948036023820323,0.24606484328396275,0.24606484328432215,0.21320924817920153,0.24606484328106226,0.21320924817912817,0.003042349066752122,0.0015434962580820268,0.003067558281316558,8.022581671959747e-4,0.0030675582813165527,8.022581671960163e-4,8.022581678826371e-4,-0.052877556028938684,8.022581663853189e-4,-0.052877556029516375
1,0.7,1,0.4,1.8,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.76582,0.73525,0.73524,0.66998,0.73524,0.66998,0.65182,0.74881,0.66998,0.7433,0.21935459276851602,0.2261300771714258,0.22992033777256515,0.24710199181795126,0.2299203377749522,0.24710199181724066,0.24710199181734668,0.21280159296178303,0.24710199181284773,0.2128015929617161,-0.003918292448000389,-0.00608710037286782,0.0025198372798128353,6.081304491545897e-4,0.002519837280538596,6.081304489047726e-4,6.081304495413287e-4,-0.05344248572378979,6.081304476318555e-4,-0.053442485724398844
1,0.7,1,0.4,1.8,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.75453,0.72273,0.73474,0.66821,0.73474,0.66821,0.64958,0.74638,0.66821,0.74104,0.22003571419712936,0.227283669883879,0.23022710270619692,0.24722066216557906,0.23022710270567984,0.2472206621651466,0.2472206621658818,0.2134744486832462,0.2472206621589658,0.2134744486830085,-0.011061204149016922,-0.01427838933958976,0.0016936343152578906,-3.7188233827063294e-4,0.0016936343150770593,-3.718823384295675e-4,-3.7188233762333004e-4,-0.053566273700153655,-3.7188234029578496e-4,-0.0535662737008112
1,0.7,1,0.4,1.8,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.74721,0.71545,0.73666,0.67422,0.73666,0.67422,0.65576,0.74788,0.67422,0.74258,0.22021554857875208,0.2272420874298517,0.2299991687111498,0.24630701326314133,0.2299991687111498,0.24630701326314133,0.2463070132631588,0.2132479442396023,0.2463070132582112,0.2132479442398937,-0.01597312690279527,-0.020209150816549146,0.0035030388373801405,0.0015990940258911904,0.0035030388373801413,0.0015990940258912194,0.001599094026500413,-0.053023484342906844,0.0015990940243242775,-0.05302348434340153
1,0.7,1,0.4,1.8,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.73887,0.70315,0.73761,0.67168,0.73761,0.67168,0.65318,0.74825,0.67168,0.74322,0.2205875733732682,0.2283268002283989,0.22949794339463933,0.24616476300263626,0.22949794339487042,0.24616476300263626,0.24616476300279144,0.21289541463630232,0.24616476299683512,0.21289541463647282,-0.02272397653981555,-0.02775789725946961,0.002711282403940243,7.143998311796726e-4,0.002711282404007527,7.143998311796481e-4,7.143998318195995e-4,-0.052860502545960066,7.143998293921979e-4,-0.05286050254649289
