K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.83851,0.8301,0.671,0.60407,0.671,0.60407,0.57734,0.85511,0.60407,0.85054,0.25321949638214575,0.2623052023626249,0.24768664508926014,0.26666781369280446,0.24768664511969993,0.26666781369708153,0.26666781386004007,0.2328693104826645,0.26666781364239794,0.2328693102820241,0.09630595758977605,0.10704529722807966,0.002757583549958167,-9.161083409763508e-5,0.0027575835625473734,-9.161083251777298e-5,-9.161076511191535e-5,0.06889246280178402,-9.161076857686788e-5,0.06889246273294189
1,0.7,1,0.4,1.8,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.82816,0.81713,0.66504,0.59987,0.66504,0.59987,0.57244,0.85262,0.59987,0.84826,0.25094676544462585,0.25945989110208306,0.24855994117563995,0.2675289921340427,0.24855994119533614,0.26752899213547454,0.2675289923018674,0.23251496519555628,0.267528992051378,0.23251496498412585,0.08789656175052508,0.09787174140410843,2.75519089933119e-4,-0.00234930268559698,0.00027551910049771155,-0.0023493026845062006,-0.002349302611182321,0.06730160160807168,-0.00234930260003319,0.06730160153498804
1,0.7,1,0.4,1.8,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.82306,0.81174,0.66975,0.60322,0.66975,0.60322,0.57717,0.85393,0.60322,0.84957,0.2498195861925101,0.25806334196068115,0.24867765595722405,0.2677989276208233,0.24867765598283786,0.2677989276316866,0.2677989277882449,0.23372109716014483,0.26779892757944856,0.23372109696538132,0.08360708002590315,0.09288403971626237,0.0027149188970613408,9.342424536646419e-5,0.0027149189066804583,9.342424865290929e-5,9.342431582927492e-5,0.06942747215527251,9.342431596877663e-5,0.06942747208848046
1,0.7,1,0.4,1.8,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.81582,0.80393,0.66992,0.60319,0.66992,0.60319,0.57691,0.85606,0.60319,0.85166,0.24659915355025813,0.25426374469269925,0.24797295368319,0.2667497550588279,0.2479729537134081,0.26674975505882786,0.26674975522109873,0.23248629783465288,0.2667497550250624,0.23248629762856307,0.07648717106080521,0.08449043821178684,0.003006704655976765,8.623183506899543e-5,0.0030067046664767083,8.623183506900091e-5,8.623190643208835e-5,0.06875504175808454,8.623189898816074e-5,0.06875504168700654
1,0.7,1,0.4,1.8,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.80485,0.79176,0.66833,0.6029,0.66833,0.6029,0.57622,0.85344,0.6029,0.84869000000000006,0.24499408342578538,0.25310767779389337,0.2490811577600785,0.26895805060250916,0.24908115778568704,0.26895805062016437,0.2689580507804675,0.2330772040255042,0.26895805055944133,0.2330772038190029,0.06806134976931448,0.07580338787191544,0.001216447207205871,-9.87334054212748e-4,0.0012164472167717896,-9.873340468317883e-4,-9.873339759792746e-4,0.06736047505294304,-9.873339826517126e-4,0.06736047498265144
1,0.7,1,0.4,1.8,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.79923,0.78288,0.67169,0.60488,0.67169,0.60488,0.57908,0.85438,0.60488,0.84953,0.24363542026372592,0.2510506357686516,0.24845278123476866,0.26725163499588217,0.24845278125184742,0.267251635002399,0.26725163515063544,0.23268542965398406,0.26725163494212234,0.23268542947712212,0.06309723411554063,0.06961554577613287,0.0030629717545808243,2.107661072662066e-4,0.0030629717613264267,2.1076611077466877e-4,2.1076617138890825e-4,0.06875726464348386,2.1076617446073715e-4,0.06875726458096632
1,0.7,1,0.4,1.8,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.78974,0.77388,0.66947,0.60316,0.66947,0.60316,0.57684,0.85508,0.60316,0.8501,0.24186224105087753,0.24945880803635379,0.24882052289921092,0.2681471034605817,0.24882052294598955,0.268147103474825,0.26814710364348804,0.23293647936459821,0.2681471034159284,0.23293647915427296,0.0559055965031523,0.06189142065583243,0.002172441108769323,2.3710698486750757e-5,0.002172441125193288,2.371070373699544e-5,2.3710775826776986e-5,0.06809856358573496,2.371077409246005e-5,0.0680985635137493
1,0.7,1,0.4,1.8,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.7828,0.76295,0.66924,0.60401,0.66924,0.60401,0.57729,0.85439,0.60401,0.84972,0.2408857768026903,0.24811396591480192,0.2488361642590767,0.26789005849105063,0.24883616429512348,0.2678900585043792,0.2678900586614751,0.23347745084684782,0.2678900584378605,0.2334774506443412,0.04988196923162469,0.05452396579058785,0.0033883276299458624,5.967515827952745e-4,0.003388327643698384,5.96751588748679e-4,5.967516592559514e-4,0.0690376552697718,5.967516622486408e-4,0.0690376551997612
1,0.7,1,0.4,1.8,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.77195,0.75261,0.66981,0.60346,0.66981,0.60346,0.57742,0.85353,0.60346,0.84917,0.23999258497534298,0.24700468176373547,0.24909928829566452,0.2678751747528656,0.2490992882974251,0.2678751747564337,0.2678751749114594,0.23377392259160823,0.26787517467230965,0.23377392239608374,0.04279989474935178,0.04664619892737411,0.0032667207873295656,7.200555055632773e-4,0.0032667207883378,7.200555079475364e-4,7.20055576295147e-4,0.06887195012061324,7.200555759302688e-4,0.06887195005097073
1,0.7,1,0.4,1.8,0.2513144,0,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.76261,0.74021,0.66794,0.60235,0.66794,0.60235,0.57553,0.85509,0.60235,0.85071,0.2380651893649049,0.24526517777419304,0.24808552339642637,0.26771458718811725,0.24808552341644158,0.2677145871945767,0.26771458733627806,0.23269361076462408,0.26771458710396634,0.23269361057665,0.0361341864669121,0.03905929775585078,0.0029336284226445927,9.943166398103436e-6,0.0029336284331907634,9.94317049329841e-6,9.94323666273078e-6,0.06920513390148735,9.943238769473844e-6,0.06920513383503908
