K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.79917,0.77188,0.76216,0.69894,0.76216,0.69894,0.68469,0.65642,0.69894,0.65098,0.21313884527532906,0.21863391626559028,0.22276692525173727,0.237851295804254,0.22276692525173727,0.23785129580402742,0.2378512958042572,0.2340240729693288,0.23785129580173944,0.23402407297015765,0.0023520040351104493,-4.7795433824211986e-4,0.001962766294003265,-0.0014768088788748965,0.001962766294003265,-0.001476808878946994,-0.0014768088768900341,-0.12245393957159473,-0.0014768088796205403,-0.12245393957350824
1,0.7,1,0.4,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.7969,0.76964,0.75979,0.69481,0.75979,0.69481,0.67966,0.68167,0.69481,0.67623,0.21362591300646916,0.21979796727475676,0.22362764368334012,0.23973055454044884,0.22362764368334012,0.23973055454044886,0.23973055454038,0.2268042619745047,0.23973055453306166,0.22680426197542336,0.004020674846591507,0.0017674059236294055,0.0035625395850946468,5.48653658017872e-4,0.003562539585094648,5.486536580178489e-4,5.486536598294793e-4,-0.1072004811425898,5.486536559474288e-4,-0.10720048114427862
1,0.7,1,0.4,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.79171,0.76261,0.75346,0.68747,0.75346,0.68747,0.67179,0.69726,0.68747,0.69213,0.21564514867798032,0.221811689777737,0.22554183339115036,0.2410206093465041,0.22554183339098421,0.24102060934645572,0.24102060934641853,0.2233736953028222,0.24102060933964303,0.22337369530335519,0.003189336650700124,7.560567409166627e-4,0.0028219647162023125,-1.1101848141818539e-4,0.0028219647161524582,-1.1101848143244137e-4,-1.1101847983542923e-4,-0.09392207012053388,-1.1101848332565962e-4,-0.09392207012205002
1,0.7,1,0.4,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.78702,0.75982,0.74837,0.68302,0.74837,0.68302,0.66608,0.71739,0.68302,0.71217,0.21602566761667338,0.2222382906678924,0.22612117999085712,0.24234292298423482,0.22612117999082187,0.24234292298423482,0.24234292298418353,0.2183711804418635,0.2423429229781957,0.21837118044264117,0.0033388608449140813,0.0015572692994866835,0.0030349012325839187,6.752854989707117e-4,0.0030349012325782973,6.752854989707191e-4,6.752855002608747e-4,-0.07961906261108838,6.752854972077283e-4,-0.07961906261219182
1,0.7,1,0.4,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.78122,0.75379,0.7415,0.6764,0.7415,0.6764,0.65859,0.73424,0.6764,0.72872,0.21800652580449612,0.22441879056709577,0.22815480425263465,0.2442927023459899,0.22815480425263465,0.24429270234598996,0.24429270234658618,0.21496950984124988,0.24429270234173533,0.2149695098408163,0.0033693146782961263,0.0020125794686588422,0.0027371867403128427,9.106318490643887e-4,0.0027371867403128422,9.106318490644153e-4,9.106318501831398e-4,-0.06586864399012296,9.10631847890143e-4,-0.06586864399120933
1,0.7,1,0.4,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.77439,0.74649,0.73413,0.66805,0.73413,0.66805,0.64962,0.7486,0.66805,0.74306,0.2199470896724674,0.22660725660198383,0.23036516674868696,0.2470653447155526,0.23036516675010943,0.2470653447155526,0.24706534471551297,0.21338442353998038,0.24706534471162767,0.213384423540275,0.0029105818361237577,0.001775623165368439,0.0018623202597253178,-1.924489286404024e-4,0.0018623202601663672,-1.9244892864040598e-4,-1.9244892809511686e-4,-0.05218354591030484,-1.92448929843979e-4,-0.05218354591075898
1,0.7,1,0.4,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.76916,0.74096,0.72771,0.6619,0.72771,0.6619,0.64253,0.76363,0.6619,0.75841,0.22119094617976856,0.22774856435585536,0.2319398414262128,0.24881286460204274,0.2319398414262128,0.24881286460204274,0.24881286460239052,0.21183491235655572,0.2488128645969028,0.21183491235641405,0.003808339006967074,0.002511862096441885,0.003110012870638857,8.155395934481359e-4,0.003110012870638856,8.155395934481143e-4,8.155395937142494e-4,-0.03758466242042596,8.155395919565925e-4,-0.03758466242060483
1,0.7,1,0.4,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.76186,0.73306,0.71898,0.65285,0.71898,0.65285,0.63272,0.77721,0.65285,0.77213,0.2226425715020324,0.22951467079168858,0.23378787623154032,0.25155711947946646,0.23378787623133757,0.2515571194794665,0.2515571194804806,0.21146371711116785,0.2515571194738398,0.21146371711007253,0.0016587370408075951,6.87773387907794e-4,6.124961207665603e-4,-0.0011866229595977906,6.124961207019538e-4,-0.001186622959597792,-0.001186622959536113,-0.025269505389500086,-0.0011866229604813863,-0.02526950538956647
1,0.7,1,0.4,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.75744,0.72927,0.71380999999999994,0.64737,0.71380999999999994,0.64737,0.62663,0.79269,0.64737,0.78769,0.2250925275689606,0.2319130922307218,0.23609654125749344,0.2537431512171672,0.23609654125749344,0.2537431512171672,0.25374315122014535,0.21201394311583474,0.25374315120946594,0.21201394311223562,0.003911945071913993,0.0027968423851754166,0.00283503720978861,4.1050903705813427e-4,0.0028350372097886082,4.1050903705813194e-4,4.1050903749927537e-4,-0.009660140920962875,4.1050903906849777e-4,-0.009660140921354273
1,0.7,1,0.4,1.8,0,0,0,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.74946,0.72221,0.70648,0.63815,0.70648,0.63815,0.61591,0.80576,0.63815,0.80093,0.2265416013489961,0.23373567491743866,0.23774850282670737,0.25546168678875386,0.23774850282646637,0.25546168678875386,0.2554616867995878,0.21365645918876613,0.2554616867889891,0.213656459176984,0.0036500672467206946,0.00253766122863415,0.002570597633325119,4.097509180220391e-4,0.0025705976332307786,4.097509180220683e-4,4.097509204996137e-4,0.004357384709560395,4.097509198032043e-4,0.004357384707101579
