K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0_1,0.5,0.0157,0.02879,0.01333,0.02498,0.01333,0.02498,0.02339,0.00531,0.02498,0.00514,0.20951554499798247,0.21433177653692118,0.22126616613426991,0.23075567722452367,0.2212661661342699,0.23075567722452336,0.23075567722516133,0.22084256026555912,0.23075567722426082,0.22084256026473464,-0.03956559689045469,0.01282104086646499,-0.0571852839385419,-0.002751744518770822,-0.05718528393854187,-0.0027517445187707256,-0.0027517445189241484,-0.11202971523123942,-0.002751744518573759,-0.11202971523082939
1,0.7,1,1.8,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0_1,0.5,0.01585,0.02799,0.01359,0.02529,0.01359,0.02529,0.02364,0.0062,0.02529,0.006,0.20898422365268798,0.21507221530587833,0.22034040220535217,0.23284611358384522,0.22034040220535211,0.23284611358384494,0.232846113584575,0.21531934979437603,0.23284611358372603,0.2153193497934919,-0.035394381145335455,0.011353256428009769,-0.0509857097135919,-0.0023769994007674564,-0.05098570971359189,-0.0023769994007673233,-0.0023769994009270583,-0.10069540383647438,-0.0023769994008728357,-0.10069540383606818
1,0.7,1,1.8,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0_1,0.5,0.01839,0.02898,0.0159,0.02596,0.0159,0.02596,0.02407,0.00801,0.02596,0.00781,0.2090409755885109,0.21607584079003606,0.2195456286784085,0.2334708808909001,0.21954562867840846,0.23347088089089973,0.23347088089172932,0.21000728516341396,0.23347088089089135,0.21000728516246386,-0.030364693638677213,0.010592398315600183,-0.04443436422842017,-0.002505785359058327,-0.04443436422842016,-0.0025057853590582796,-0.0025057853592219464,-0.08773416280133436,-0.002505785359051957,-0.08773416280094193
1,0.7,1,1.8,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0_1,0.5,0.01899,0.02832,0.0169,0.02575,0.0169,0.02575,0.02392,0.00943,0.02575,0.00916,0.20946631972944285,0.2167185518793151,0.21964875393736968,0.23444056418686005,0.21964875393736955,0.23444056418685968,0.234440564187777,0.2067103451070477,0.23444056418685924,0.20671034510603178,-0.0267408228387791,0.008911710560837787,-0.03919087076343125,-0.002799190115747602,-0.03919087076343118,-0.0027991901157475626,-0.002799190115905905,-0.07595054684559843,-0.002799190115756703,-0.07595054684522685
1,0.7,1,1.8,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0_1,0.5,0.01902,0.02652,0.01718,0.02492,0.01718,0.02492,0.023,0.01077,0.02492,0.01043,0.2097470822732443,0.21810868834634795,0.21890214691795615,0.23550925038365117,0.218902146917956,0.2355092503836509,0.2355092503846584,0.20300651999735986,0.2355092503836509,0.20300651999628236,-0.022302960055429154,0.007253385449568881,-0.03281218860337264,-0.0027382953931152513,-0.032812188603372636,-0.002738295393115337,-0.00273829539326177,-0.06357683766315639,-0.00273829539311533,-0.0635768376628216
1,0.7,1,1.8,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0_1,0.5,0.02011,0.02622,0.01919,0.02479,0.01919,0.02479,0.0231,0.01303,0.02479,0.01258,0.20978238356125137,0.21823211812485263,0.21907996559647508,0.23624637434556278,0.21907996559647494,0.23624637434556234,0.23624637434663742,0.19939674599407722,0.2362463743455624,0.19939674599295426,-0.01902803693435111,0.004808631341922188,-0.02769394486385111,-0.0033799285838217456,-0.02769394486385108,-0.0033799285838217847,-0.003379928583952641,-0.05201188630693753,-0.0033799285838218163,-0.05201188630664467
1,0.7,1,1.8,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0_1,0.5,0.0218,0.02647,0.02028,0.02536,0.02028,0.02536,0.0237,0.01595,0.02536,0.01558,0.21048910595120077,0.21990291849655902,0.2190958485815694,0.2379918059391258,0.21909584858156905,0.2379918059391255,0.23799180594025993,0.19783314888941186,0.2379918059391255,0.19783314888823786,-0.01411948989417654,0.003938319645361025,-0.020926668744133414,-0.003382559377738459,-0.02092666874413329,-0.0033825593777384367,-0.003382559377836018,-0.03868033649770744,-0.0033825593777384666,-0.03868033649747758
1,0.7,1,1.8,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0_1,0.5,0.02176,0.02535,0.0209,0.02547,0.0209,0.02547,0.02355,0.0184,0.02547,0.01773,0.21009216305619968,0.2200724474226858,0.21840302035377043,0.2382107947024108,0.21840302035376963,0.23821079470240977,0.23821079470358403,0.19608340753304623,0.2382107947024098,0.19608340753184011,-0.010779747349623092,9.560225340972696e-4,-0.015377945227176662,-0.003924858907307714,-0.015377945227176504,-0.00392485890730778,-0.0039248589073728165,-0.026798879971377806,-0.003924858907307788,-0.026798879971213756
1,0.7,1,1.8,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0_1,0.5,0.02301,0.02467,0.02279,0.02533,0.02279,0.02533,0.02311,0.02122,0.02533,0.02058,0.21105791820333064,0.22143861193449862,0.21902201179433045,0.2393874941576695,0.21902201179432956,0.23938749415766883,0.2393874941588615,0.1953489579473776,0.2393874941576688,0.19534895794613666,-0.007196181401984731,-0.0014691379688811586,-0.009502821696048248,-0.004596921606377058,-0.009502821696048323,-0.0045969216063772265,-0.0045969216064021285,-0.014251178971190945,-0.00459692160637723,-0.01425117897109811
1,0.7,1,1.8,1,0,0,0,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0_1,0.5,0.02438,0.02451,0.02401,0.02479,0.02401,0.02479,0.02262,0.025,0.02479,0.02407,0.21237733012903762,0.22289795186313985,0.22026977447285728,0.24079376304179087,0.22026977447285612,0.24079376304179007,0.24079376304296748,0.19605407910549422,0.2407937630417901,0.1960540791042463,-0.0027613455756065964,-0.0033642154721795266,-0.0034287265050135366,-0.005144594225760187,-0.0034287265050135986,-0.005144594225760408,-0.005144594225732958,-4.797519550409857e-4,-0.005144594225760421,-4.7975195503838626e-4
