K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.01389,0.02268,0.01284,0.02478,0.01284,0.02478,0.02332,0.0055,0.02478,0.00534,0.20920490038152403,0.21055389614668255,0.22099583902577824,0.2314419296050269,0.22099583902577824,0.2314419296050269,0.23144192960566293,0.22068716017513787,0.23144192960482074,0.22068716017431833,-0.04852264767925225,-0.008098719974624333,-0.05673374578388178,-0.0025266197408713165,-0.05673374578388179,-0.002526619740871317,-0.0025266197410228823,-0.1119714592352281,-0.0025266197409079577,-0.11197145923482102
1,0.7,1,0.4,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.01521,0.02379,0.01447,0.02585,0.01447,0.02585,0.02432,0.00649,0.02585,0.00627,0.2092223202122443,0.21179789718571906,0.22072117993381726,0.23254091376582817,0.22072117993384846,0.23254091376582817,0.23254091376655758,0.21535174885360664,0.23254091376574185,0.21535174885271838,-0.04420390467384079,-0.0074891724254493525,-0.051307502121203025,-0.0024017194479858503,-0.05130750212127295,-0.0024017194479858547,-0.0024017194481459987,-0.10060219283096054,-0.002401719447896743,-0.1006021928305516
1,0.7,1,0.4,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.01661,0.02405,0.01571,0.02579,0.01571,0.02579,0.02411,0.00819,0.02579,0.00791,0.20877392298105613,0.21274145217692858,0.21996290504771387,0.23372742099551777,0.21996290504771387,0.2337274209955178,0.23372742099634045,0.21086383265110967,0.23372742099551427,0.21086383265015946,-0.03834627720396148,-0.0065794667851215025,-0.04493263640263257,-0.0027270534840087724,-0.04493263640263257,-0.002727053484008785,-0.002727053484169322,-0.08839311833802496,-0.0027270534840324752,-0.08839311833763192
1,0.7,1,0.4,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.01748,0.02464,0.01705,0.0263,0.01705,0.0263,0.02471,0.00981,0.0263,0.00953,0.20889455531077727,0.2135722520952535,0.22012103360660734,0.23512070460633602,0.2201210336066073,0.23512070460633605,0.23512070460725565,0.20698481914758338,0.23512070460633605,0.2069848191465661,-0.033317778920394586,-0.005989473832027711,-0.03884187226658503,-0.002502452704367861,-0.03884187226658503,-0.00250245270436785,-0.002502452704528014,-0.075639960570715,-0.002502452704367876,-0.07563996057034508
1,0.7,1,0.4,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.01845,0.02398,0.01775,0.02511,0.01775,0.02511,0.02334,0.01109,0.02511,0.01075,0.20892090387112322,0.2142598412773212,0.2199122903604853,0.23620034879617421,0.2199122903604853,0.23620034879617424,0.23620034879718266,0.20346807108671666,0.2362003487961742,0.20346807108563725,-0.029430982917685443,-0.006672706836425633,-0.034131189090839974,-0.003844221192199644,-0.03413118909083998,-0.003844221192199674,-0.0038442211923522076,-0.06469469084332588,-0.0038442211921996803,-0.06469469084298571
1,0.7,1,0.4,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.01984,0.02451,0.01936,0.02584,0.01936,0.02584,0.02397,0.01379,0.02584,0.01329,0.20860814668160865,0.21465300217235833,0.21946370899453987,0.2367819745690681,0.21946370899453987,0.23678197456906808,0.2367819745701499,0.20035860335615938,0.2367819745690681,0.20035860335503197,-0.022798981105473307,-0.004555867552100222,-0.02659670250093211,-0.0020686042329108438,-0.02659670250093211,-0.0020686042329108464,-0.002068604233034808,-0.051193786562627776,-0.0020686042329108377,-0.051193786562340055
1,0.7,1,0.4,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.02031,0.02491,0.0208,0.02603,0.0208,0.02603,0.02405,0.01572,0.02603,0.01514,0.20875534309541607,0.21555077138016854,0.21965365681653143,0.2377269829210545,0.21965365681653143,0.23772698292105457,0.23772698292219094,0.1979983969150729,0.23772698292105457,0.19799839691389498,-0.017613257787256347,-0.004250823001151429,-0.020831320290858248,-0.003294131946682261,-0.020831320290858248,-0.003294131946682284,-0.003294131946779587,-0.03877145002512365,-0.003294131946682293,-0.03877145002489577
1,0.7,1,0.4,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.02207,0.02446,0.02146,0.02527,0.02146,0.02527,0.02313,0.01876,0.02527,0.01807,0.20834720542343402,0.21572664307191622,0.21918864912581396,0.23876825531088916,0.21918864912581396,0.23876825531088913,0.23876825531206342,0.19640983592201447,0.23876825531088913,0.19640983592080283,-0.012273564874742106,-0.003577902886612647,-0.014928682340459087,-0.003545503775493852,-0.014928682340459087,-0.003545503775493865,-0.003545503775554274,-0.025875717597323024,-0.0035455037754938646,-0.02587571759716415
1,0.7,1,0.4,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.02402,0.02525,0.02339,0.02543,0.02339,0.02543,0.02307,0.02261,0.02543,0.02186,0.20967090237957392,0.21723615297603288,0.22028490259702765,0.24019916279701206,0.22028490259702765,0.2401991627970121,0.24019916279819975,0.19577854527049118,0.24019916279701206,0.1957785452692535,-0.006273259134399617,-0.0023119824204584066,-0.007968216408883524,-0.003345782329949058,-0.007968216408883523,-0.00334578232994907,-0.003345782329962048,-0.012508480442416247,-0.0033457823299490887,-0.012508480442336675
1,0.7,1,0.4,1,0,0,0,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.0248,0.02502,0.02442,0.02561,0.02442,0.02561,0.02319,0.02533,0.02561,0.02439,0.20932220326133902,0.21762549889094632,0.21991150648311691,0.24115964802017467,0.21991150648311691,0.2411596480201747,0.241159648021344,0.19572411281056293,0.2411596480201747,0.19572411280931706,-7.239576303984901e-4,-0.001535409107135797,-0.0016967117018803195,-0.0034905219129603114,-0.0016967117018803146,-0.0034905219129603357,-0.00349052191291672,3.7327651994544404e-4,-0.003490521912960344,3.732765199404697e-4
