K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.61912,0.67099,0.5587,0.58827,0.5587,0.58827,0.57114,0.54185,0.58827,0.53516,0.2388418068685254,0.2300804808167891,0.2538201652622076,0.2499284474356831,0.2538201652622076,0.24992844743568332,0.24992844743530412,0.26743629075307895,0.2499284474348581,0.2674362907539869,-0.10015773398429022,-0.051702674364779246,-0.1167269609727102,-0.06690539593865963,-0.11672696097271025,-0.06690539593866028,-0.06690539593701711,-0.17671378374259844,-0.06690539593892333,-0.17671378374398694
1,0.7,1,1.8,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.63479,0.67705,0.57716,0.59441,0.57716,0.59441,0.57705,0.57563,0.59441,0.56936,0.23600705263281785,0.23020650752483546,0.25007003395567623,0.24959141809024937,0.250070033955321,0.24959141808995738,0.24959141808992105,0.25648297100105977,0.24959141808494625,0.2564829710015257,-0.08833713949425202,-0.04504042492203799,-0.10331636088832921,-0.05896797463240618,-0.10331636088844216,-0.05896797463250483,-0.05896797463097851,-0.15713647501715944,-0.05896797463403787,-0.15713647501844832
1,0.7,1,1.8,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.64765,0.67936,0.59344,0.59705,0.59344,0.59705,0.5786,0.60763,0.59705,0.60143,0.23252788893148238,0.22965489081373233,0.24552623764227416,0.24845398249381884,0.24552623764227416,0.24845398249381903,0.24845398249355138,0.24591059930448506,0.24845398248932307,0.2459105993051478,-0.07852505717579074,-0.04058941883882181,-0.09197363840616556,-0.0533707606865124,-0.09197363840616554,-0.05337076068651267,-0.053370760685321574,-0.13871499390860895,-0.05337076068787177,-0.13871499390957023
1,0.7,1,1.8,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.65813,0.67951,0.60642,0.60224,0.60642,0.60224,0.58359,0.63452,0.60224,0.62789,0.2318059097871448,0.2318625719284084,0.24361837357534843,0.25008618328729126,0.24361837357502059,0.25008618328729126,0.25008618328722426,0.23862642309244408,0.25008618328205223,0.23862642309238036,-0.06960603030022505,-0.036813413136942044,-0.0809876192426204,-0.04784556204140257,-0.08098761924270237,-0.047845562041402896,-0.04784556204044613,-0.12180942343375965,-0.04784556204300657,-0.12180942343463785
1,0.7,1,1.8,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.67502,0.68522,0.62779,0.61126,0.62779,0.61126,0.5919,0.66844,0.61126,0.66241,0.22977940649764905,0.2321677893016025,0.2409846436170884,0.2503598316872521,0.2409846436170884,0.2503598316872456,0.25035983168726245,0.23038776315253798,0.25035983168470616,0.2303877631528929,-0.05697514901372321,-0.029674353090394463,-0.06669270956862938,-0.039344078725781315,-0.06669270956862945,-0.0393440787257834,-0.0393440787251477,-0.10086588810189007,-0.03934407872653123,-0.10086588810229744
1,0.7,1,1.8,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.68706,0.68739,0.64191,0.61539,0.64191,0.61539,0.59575,0.69709,0.61539,0.69095,0.2277763952909615,0.2325586457119995,0.23815688237930296,0.2506627277663083,0.23815688237927038,0.2506627277663083,0.250662727766451,0.2229623080359652,0.2506627277660224,0.22296230803604952,-0.046123568235711614,-0.02440122163278291,-0.054394123357618535,-0.03324641881260995,-0.054394123357626334,-0.03324641881261014,-0.033246418812271875,-0.08101835225311375,-0.033246418812684864,-0.08101835225328409
1,0.7,1,1.8,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.69769,0.6894,0.65621,0.61936,0.65621,0.61936,0.5988,0.72488,0.61936,0.71923,0.22710573879329266,0.2335703247693154,0.23670629398156162,0.2511411551432708,0.23670629398173987,0.2511411551432706,0.25114115514355745,0.21705888907396118,0.2511411551431775,0.21705888907390974,-0.035010010486887885,-0.018606916630395626,-0.041511361809259455,-0.02564277713940887,-0.041511361809203055,-0.025642777139408792,-0.02564277713935879,-0.0609764997587162,-0.02564277713936314,-0.06097649975861639
1,0.7,1,1.8,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.71136,0.693,0.67161,0.62422,0.67161,0.62422,0.60367,0.75216,0.62422,0.74665,0.22665205116621054,0.2343143977018512,0.23613840228223143,0.25224812936972096,0.23613840228223146,0.25224812936972085,0.25224812937290014,0.21396477581864468,0.25224812936517316,0.21396477581496492,-0.02360270652113719,-0.012987687601908155,-0.027998135246676988,-0.018315348531473544,-0.027998135246676825,-0.018315348531473354,-0.018315348530749977,-0.041061223629357026,-0.018315348532017606,-0.04106122362998101
1,0.7,1,1.8,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.72379,0.69679,0.68881,0.63226,0.68881,0.63226,0.61085,0.77969,0.63226,0.77451,0.22804140903437758,0.23644465270019666,0.23693640569232277,0.2538824867499336,0.2369364056923181,0.25388248674993336,0.253882486754222,0.21233254232113286,0.25388248674609604,0.21233254231614382,-0.010630948039805079,-0.005722674075613675,-0.013066841352628764,-0.009250897010018745,-0.013066841352629945,-0.009250897010018414,-0.009250897009219423,-0.018282349774473107,-0.00925089700859402,-0.018282349775208217
1,0.7,1,1.8,1.8,0,0,0,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.73907,0.70141,0.70534,0.63804,0.70534,0.63804,0.61581,0.80612,0.63804,0.80144,0.22985534288003726,0.23864167756876156,0.23858050573181605,0.25623264302025506,0.2385805057317866,0.2562326430202202,0.25623264303190546,0.2141023589638886,0.256232643019213,0.21410235895003465,0.003042856637199808,0.0018738430304370245,0.002394286890280667,-3.330564185682678e-4,0.002394286890269327,-3.3305641857949813e-4,-3.330564157170038e-4,0.0043927496992255165,-3.330564154296525e-4,0.004392749696395337
1,0.7,1,1.8,1.8,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.75348,0.70822,0.7257,0.65004,0.7257,0.65004,0.62761,0.83027,0.65004,0.82583,0.23133232840101892,0.24045000982085524,0.24015223063340946,0.2581748884573086,0.24015223063783236,0.25817488845730807,0.2581748884769831,0.21707246146190098,0.2581748884463267,0.21707246143795264,0.01690825872262537,0.01034797198928576,0.018892191485685324,0.01134082079271717,0.018892191486697817,0.011340820792718273,0.011340820798335812,0.027775811724743475,0.0113408208003451,0.027775811719143742
1,0.7,1,1.8,1.8,0.11111111111111105,0.11111111111111105,0.11111111111111105,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.76419,0.71088,0.7384,0.65499,0.7384,0.65499,0.63216,0.85297,0.65499,0.84908,0.23481113921610855,0.2435929580998252,0.2434770614852462,0.2608536512075641,0.24347706148523968,0.26085365120755877,0.26085365123273796,0.22270322436082413,0.26085365119062354,0.22270322432992884,0.030937963411472348,0.01803433200158151,0.03480875425169868,0.020714505769045256,0.034808754251697195,0.02071450576904486,0.02071450577702767,0.051616243639988416,0.020714505778550843,0.05161624363231942
1,0.7,1,1.8,1.8,0.16666666666666663,0.16666666666666663,0.16666666666666663,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.77717,0.71547,0.75584,0.66221,0.75584,0.66221,0.63919,0.8723,0.66221,0.86848,0.24019675143062602,0.2471891741222094,0.24949090530223253,0.26480340429303306,0.24949090530711346,0.26480340429301136,0.2648034043597458,0.23240401504833655,0.26480340427125787,0.23240401496688304,0.04612514271950264,0.02674892518758153,0.052265696092394884,0.031525746349154914,0.052265696094274255,0.031525746349146976,0.031525746374408165,0.07715265094235674,0.031525746371469605,0.07715265091708044
1,0.7,1,1.8,1.8,0.2222222222222222,0.2222222222222222,0.2222222222222222,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.7898,0.71864,0.77128,0.67128,0.77128,0.67128,0.64648,0.89149,0.67128,0.88815,0.24415918242154477,0.24954545391503982,0.25437932895284615,0.2674712356007262,0.25437932897998966,0.2674712356041903,0.2674712357411168,0.24312951841824554,0.2674712355966607,0.24312951824890291,0.060575702786983224,0.03526071103607235,0.06905544875388388,0.04257186898500101,0.06905544876491304,0.04257186898715144,0.042571869041402456,0.1016462367108142,0.04257186902524374,0.10164623665619989
1,0.7,1,1.8,1.8,0.2777777777777777,0.2777777777777777,0.2777777777777777,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.80306,0.72449,0.78623,0.67768,0.78623,0.67768,0.65324,0.91099,0.67768,0.90761,0.25128818897126626,0.25408916747831173,0.26239309099684793,0.27271802865836636,0.26239309103238667,0.27271802866718586,0.27271802892922853,0.2576662651409103,0.2727180286472877,0.257666264825976,0.07783022108626779,0.04570656570043627,0.08814834919644118,0.054724473085940764,0.08814834921063636,0.054724473090063674,0.05472447320180933,0.12966549886265283,0.05472447315598774,0.1296654987501332
1,0.7,1,1.8,1.8,0.33333333333333326,0.33333333333333326,0.33333333333333326,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.81611,0.72863,0.8035,0.69015,0.8035,0.69015,0.66435,0.9256,0.69015,0.92238,0.2586325657468864,0.258356476384241,0.27142806439306166,0.2779592066222011,0.27142806445066736,0.2779592066336531,0.27795920702515636,0.27395847076698954,0.27795920663442597,0.27395847030801074,0.09402809800759164,0.05515849000459884,0.10755980703091533,0.06783004535717684,0.10755980705532753,0.06783004536532136,0.06783004554615357,0.1568863765309686,0.06783004546020964,0.15688637634867056
1,0.7,1,1.8,1.8,0.38888888888888884,0.38888888888888884,0.38888888888888884,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.82758,0.73413,0.8165,0.69736,0.8165,0.69736,0.67098,0.93769,0.69736,0.93508,0.26841027506082066,0.26481505756711937,0.28235913134175666,0.28587511280025596,0.28235913145185626,0.285875112855361,0.28587511354062717,0.29388339111291,0.28587511293455786,0.29388339032496313,0.11130524029024422,0.066310015090829455,0.12691624420007983,0.08120951432885636,0.1269162442481845,0.08120951435683552,0.08120951469372102,0.18564752170837157,0.0812095144996683,0.18564752136719403
1,0.7,1,1.8,1.8,0.4444444444444444,0.4444444444444444,0.4444444444444444,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.83628,0.73545,0.82926,0.70343,0.82926,0.70343,0.67679,0.94813,0.70343,0.94567,0.2784890250432376,0.27068968475379807,0.29395094251487563,0.29240969908953507,0.29395094272795486,0.29240969916624904,0.2924097002788408,0.31459923071071466,0.29240969937636396,0.31459922944334834,0.12786215836676437,0.07534154962539744,0.14636465952016087,0.09355219719960094,0.14636465961992284,0.09355219724100985,0.09355219783246885,0.21381747458435987,0.09355219747034307,0.21381747398933446
1,0.7,1,1.8,1.8,0.5,0.5,0.5,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.85069,0.74275,0.8468,0.71473,0.8468,0.71473,0.68702,0.96087,0.71473,0.95897,0.29022033658765284,0.27726388558314363,0.3082710540438047,0.3007331994653553,0.30827105443818686,0.3007331995755127,0.3007332013221226,0.3386929130115309,0.3007332000301148,0.33869291105108473,0.1487296062983639,0.0889139998117044,0.17033175882639676,0.11089965994869445,0.17033175903182193,0.11089966001295301,0.1108996610064025,0.2462962669030274,0.11089966039397282,0.2462962659007101
