K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.60973,0.6515,0.55716,0.58619,0.55716,0.58619,0.56844,0.54246,0.58619,0.53617,0.24176760814569453,0.23224103276585362,0.2543604845308835,0.24994607439643662,0.2543604845308835,0.24994607439643665,0.2499460743960606,0.26760574756738464,0.2499460743930855,0.26760574756828553,-0.11008115045894432,-0.07180751158016066,-0.11665414008666816,-0.06629116594176657,-0.11665414008666816,-0.06629116594176654,-0.06629116594012606,-0.17631001126550924,-0.0662911659428006,-0.1763100112668951
1,0.7,1,0.4,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.6245,0.65656,0.57558,0.58966,0.57558,0.58966,0.57237,0.57345,0.58966,0.5674,0.23834950506978186,0.23176129697142506,0.2507712643770749,0.25026653748257577,0.2507712643770749,0.2502665374825758,0.2502665374822475,0.2574728956283136,0.250266537481139,0.2574728956291009,-0.09955591188835482,-0.06589333939568201,-0.1051380270333339,-0.060920531030419146,-0.1051380270333339,-0.06092053103041917,-0.060920531028986036,-0.15859486564462644,-0.06092053103081797,-0.15859486564581501
1,0.7,1,0.4,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.6422,0.66608,0.59148,0.59774,0.59148,0.59774,0.57932,0.60596,0.59774,0.5995,0.23350016679548477,0.23001177503759768,0.2455765717750133,0.2488444416591967,0.2455765717750133,0.24884444165919675,0.24884444165895775,0.24637457494682435,0.24884444165496034,0.24637457494745418,-0.08767198525948174,-0.058337760265627155,-0.09240651933817122,-0.053725683830499055,-0.09240651933817122,-0.053725683830499006,-0.0537256838292941,-0.139550222868616,-0.05372568383176217,-0.1395502228695902
1,0.7,1,0.4,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.65371,0.67106,0.60649,0.60186,0.60649,0.60186,0.58323,0.63439,0.60186,0.62834,0.2319730589225275,0.2310083634619141,0.24362656494753626,0.2502721087498944,0.24362656494753623,0.2502721087498945,0.2502721087497239,0.23881221522099838,0.2502721087465839,0.238812215221492,-0.07699088803686295,-0.05183999110945366,-0.08123269712201174,-0.0481752807912763,-0.08123269712201174,-0.048175280791276275,-0.04817528079036626,-0.12141825132747595,-0.04817528079222781,-0.12141825132817365
1,0.7,1,0.4,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.67179,0.67671,0.62416,0.60615,0.62416,0.60615,0.58709,0.66754,0.60615,0.66128,0.2294999038532503,0.2306826635422334,0.24098468338296233,0.2505320079584251,0.24098468338296233,0.2505320079584251,0.25053200795839176,0.23026004926108964,0.25053200795302905,0.23026004926137092,-0.0643318747036864,-0.043637803092462076,-0.0681718968015483,-0.04107871685429866,-0.0681718968015483,-0.04107871685429863,-0.041078716853676846,-0.10125975207186871,-0.041078716855955766,-0.10125975207230535
1,0.7,1,0.4,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.68811,0.68797,0.64163,0.6139,0.64163,0.6139,0.59392,0.69713,0.6139,0.69085,0.22630687245527334,0.22933788083197523,0.23798474980241333,0.24982549496085973,0.23798474980241333,0.2498254949608597,0.24982549496098497,0.22235216051041098,0.24982549495739056,0.22235216051047527,-0.05023697317803918,-0.0339857911431949,-0.05340165074806283,-0.032286178275205274,-0.053401650748062836,-0.032286178275205274,-0.032286178274872866,-0.08041450730492117,-0.03228617827618083,-0.08041450730509318
1,0.7,1,0.4,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.70145,0.69321,0.65651,0.61894,0.65651,0.61894,0.59876,0.72416,0.61894,0.71831,0.2267269534730279,0.23157452717377794,0.23813740172974798,0.25270023005126563,0.23813740172974798,0.25270023005126563,0.25270023005160297,0.21867809378563455,0.25270023005059183,0.2186780937854486,-0.03997883952465724,-0.028218029130765196,-0.0422137881344834,-0.027173535078456823,-0.042213788134483406,-0.02717353507845684,-0.02717353507839328,-0.062007603975093216,-0.02717353507864013,-0.062007603975028885
1,0.7,1,0.4,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.71812,0.70371,0.67341,0.627,0.67341,0.627,0.60592,0.75279,0.627,0.74724,0.22529999084529215,0.23135719687903683,0.23667531741492492,0.25308921716362653,0.23667531741492492,0.25308921716362653,0.2530892171653489,0.2144238226678188,0.25308921715825056,0.2144238226658167,-0.02557947005404611,-0.01773185150699453,-0.027098553537972334,-0.017374969548693532,-0.027098553537972327,-0.01737496954869351,-0.017374969548421267,-0.04045559230805436,-0.017374969548413267,-0.040455592308225895
1,0.7,1,0.4,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.73532,0.71311,0.69184,0.63487,0.69184,0.63487,0.61374,0.78079,0.63487,0.77585,0.2254462467792796,0.23200724595708744,0.23703344833659648,0.2541220188749728,0.23703344833659648,0.2541220188749728,0.2541220188795557,0.21303779547145565,0.2541220188684855,0.21303779546637544,-0.010778391421640061,-0.007376298048138937,-0.011843486503512114,-0.007782420737737616,-0.011843486503512118,-0.007782420737737616,-0.007782420736844909,-0.01770004582804333,-0.0077824207351908075,-0.017700045828866768
1,0.7,1,0.4,1.8,0,0,0,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.74998,0.72158,0.70582,0.6405,0.70582,0.6405,0.61816,0.80655,0.6405,0.80105,0.22653893505871894,0.2334637243248998,0.23776894431993506,0.25560694052031463,0.23776894431993506,0.2556069405203147,0.25560694052419447,0.2137920017830343,0.25560694051167326,0.2137920017783475,0.003981708652396805,0.00266529342077134,0.0030402804763957183,2.2927290903526843e-4,0.0030402804763957187,2.292729090352455e-4,2.2927290964489818e-4,0.0044774253510557124,2.2927291144141508e-4,0.004477425350483075
