K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.02285,0.04594,0.01376,0.02577,0.01376,0.02577,0.0243,0.00562,0.02577,0.00547,0.2060310709314759,0.22058183442745355,0.2219236982996114,0.2321287606325803,0.22192369829961134,0.23212876063258012,0.23212876063321697,0.22119311182673435,0.23212876063236243,0.22119311182591384,-0.012686669033478313,0.05741014179426577,-0.05666393251517747,-0.0016515129538004893,-0.05666393251517745,-0.0016515129538004591,-0.0016515129539483554,-0.112377881031897,-0.0016515129536567425,-0.1123778810314896
1,0.7,1,1.8,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01987,0.04007,0.01312,0.0252,0.01312,0.0252,0.02384,0.00553,0.0252,0.00534,0.20626615041418628,0.2173971352518439,0.22130383114323415,0.23125299722045445,0.22130383114323415,0.23125299722042603,0.23125299722108994,0.22126277011875595,0.23125299722013448,0.22126277011793366,-0.020814836960960818,0.04447365546307219,-0.05744090882730372,-0.0028858236458538947,-0.05744090882730372,-0.00288582364577416,-0.0028858236460080535,-0.11284134731643744,-0.0028858236456491566,-0.11284134731602584
1,0.7,1,1.8,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01817,0.03537,0.01326,0.02512,0.01326,0.02512,0.02357,0.0055,0.02512,0.00538,0.20783825464280553,0.21588931036575676,0.22209616770740706,0.23189814731385525,0.222096167707407,0.23189814731385502,0.23189814731449723,0.22171962953956434,0.2318981473136062,0.22171962953873733,-0.028454979773254976,0.03136354866739402,-0.057555872717829686,-0.0037357855869117025,-0.05755587271782967,-0.0037357855869116865,-0.0037357855870701283,-0.11327734602747173,-0.0037357855866187173,-0.11327734602705809
1,0.7,1,1.8,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01714,0.0316,0.01365,0.02541,0.01365,0.02541,0.0239,0.00526,0.02541,0.00512,0.20907324524692358,0.21553750182888712,0.2220642347102438,0.23210505139021484,0.22206423471024378,0.23210505139021453,0.2321050513908543,0.22164118406567085,0.23210505138997659,0.22164118406484604,-0.03480895957438217,0.02084411251250769,-0.05724762916077905,-0.00280832281228363,-0.05724762916077905,-0.002808322812283598,-0.002808322812436824,-0.11278711057467962,-0.002808322812079795,-0.1127871105742693
1,0.7,1,1.8,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01617,0.02826,0.01405,0.02604,0.01405,0.02604,0.02459,0.00573,0.02604,0.00555,0.21073187120757125,0.2154679999258198,0.22269718915971992,0.2331721327635745,0.22269718915971992,0.23317213276357418,0.23317213276422255,0.22107999675920678,0.23317213276337045,0.2210799967583807,-0.04142797478736377,0.009571109363475211,-0.056760434047113756,-0.0021182171804483662,-0.05676043404711377,-0.0021182171804483303,-0.0021182171806043287,-0.11224700199361076,-0.002118217180570487,-0.1122470019932002
1,0.7,1,1.8,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01433,0.025,0.01331,0.02548,0.01331,0.02548,0.02393,0.00563,0.02548,0.00549,0.21241005543071845,0.21500878651715358,0.22234374554931807,0.23190959569934141,0.22234374554931802,0.2319095956993413,0.2319095956999866,0.22115591986386954,0.23190959569924183,0.2211559198630468,-0.04941425049066443,-0.003364982236870117,-0.057432887573616656,-0.0030884823510589215,-0.057432887573616614,-0.0030884823510588777,-0.0030884823512147526,-0.11275623026376055,-0.0030884823511233453,-0.11275623026335133
1,0.7,1,1.8,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01305,0.02167,0.01345,0.02565,0.01345,0.02565,0.02409,0.00568,0.02565,0.00553,0.2134836468613539,0.21582752351249862,0.22133310084587407,0.23159712082128822,0.22133310084587401,0.2315971208212879,0.23159712082193237,0.2207659386494577,0.23159712082092818,0.22076593864863292,-0.055861855736560405,-0.014328222413710933,-0.05729195131717216,-0.0028710310069148203,-0.0572919513171721,-0.0028710310069148606,-0.002871031007070785,-0.11253805513437998,-0.0028710310067450733,-0.11253805513396944
1,0.7,1,1.8,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01186,0.01913,0.01341,0.02528,0.01341,0.02528,0.02376,0.00536,0.02528,0.00529,0.215508588053567,0.21752603918445548,0.22125478573405957,0.23158526612200958,0.2212547857340593,0.23158526612200916,0.23158526612265165,0.22122867846234756,0.23158526612158567,0.22122867846151992,-0.06312574000045511,-0.026609979816884594,-0.05774877131366821,-0.003684463087252772,-0.057748771313668075,-0.0036844630872527027,-0.003684463087410698,-0.11311301055417641,-0.0036844630865711468,-0.11311301055376224
1,0.7,1,1.8,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01115,0.01707,0.01375,0.02541,0.01375,0.02541,0.02397,0.00594,0.02541,0.00578,0.21873462174952582,0.21995254958240193,0.2227607508533384,0.2321703072222542,0.22276075085333794,0.2321703072222538,0.23217030722289883,0.22181490447884253,0.23217030722192014,0.22181490447801797,-0.06964773535997719,-0.03743221841417819,-0.057887864185853906,-0.0034922394320729814,-0.057887864185853684,-0.003492239432072885,-0.003492239432227111,-0.11318829663546685,-0.0034922394316171464,-0.11318829663505586
1,0.7,1,1.8,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.0106,0.01582,0.01383,0.02548,0.01383,0.02548,0.0239,0.00581,0.02548,0.00562,0.22042734578741688,0.22256436838366409,0.22204155971235198,0.23226907643927933,0.22204155971235112,0.2322690764392784,0.232269076439921,0.2210937510470964,0.23226907643912034,0.22109375104627244,-0.07452203212039361,-0.047064449345913535,-0.056089627356388484,-0.0018407802236673463,-0.056089627356388116,-0.0018407802236671568,-0.0018407802238175096,-0.111673367455663,-0.0018407802238230326,-0.11167336745525605
