K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.10619,0.11724,0.04418,0.02492,0.04418,0.02492,0.02224,0.09431,0.02492,0.0914,0.26941001382491137,0.28678939823522503,0.2369538781001142,0.2559561354721315,0.2369538781001142,0.2559561354721318,0.25595613547518337,0.2419767994381475,0.25595613547235396,0.24197679943796122,0.15941451396728729,0.17922080505190485,0.060416992845432206,-0.005732986335630145,0.0604169928454322,-0.0057329863356303835,-0.005732986336077811,0.12977732911057863,-0.005732986334833183,0.12977732911043968
1,0.7,1,1.8,1,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.09957,0.10563,0.04457,0.02521,0.04457,0.02521,0.02241,0.09369,0.02521,0.0909,0.26527515271735114,0.2792747597867083,0.23760239098593428,0.25640033223180286,0.23760239098593428,0.2564003322318031,0.2564003322433935,0.24224542867618087,0.2564003322409475,0.2422454286759955,0.1509405658594481,0.1646552203403261,0.060514955618293814,-0.006136193972441893,0.06051495561829382,-0.006136193972442114,-0.006136193974645986,0.12951112702599374,-0.006136193974080346,0.12951112702585557
1,0.7,1,1.8,1,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.09285,0.09387,0.04391,0.02506,0.04391,0.02506,0.02227,0.09339,0.02506,0.09056,0.26010256302602874,0.27140707682456755,0.2371009129195894,0.25675738784848473,0.23710091291958937,0.2567573878484847,0.25675738784886926,0.24182002482224477,0.2567573878486829,0.24182002482205228,0.14197102795488786,0.15052955787932087,0.060290657338595705,-0.006214469987116753,0.0602906573385957,-0.006214469987117095,-0.006214469986944832,0.1292342472666008,-0.006214469986301741,0.12923424726646346
1,0.7,1,1.8,1,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.08617,0.08468,0.04447,0.02517,0.04447,0.02517,0.02188,0.09336,0.02517,0.09051,0.2560954166617489,0.2648733652352102,0.23735733588500257,0.25608659979405785,0.23735733588500255,0.256086599794058,0.2560865997947483,0.24216315562451807,0.25608659979420256,0.24216315562432827,0.13302102770409172,0.13638903927229154,0.05960975294134191,-0.006002296633201202,0.05960975294134188,-0.006002296633201409,-0.0060022966331247365,0.1289134020514132,-0.006002296632972137,0.12891340205126983
1,0.7,1,1.8,1,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.0815,0.0761,0.04531,0.02566,0.04531,0.02566,0.02273,0.09465,0.02566,0.09165,0.25313292059760795,0.25919276085678833,0.2385379748037449,0.25693494345557827,0.2385379748037449,0.25693494345557866,0.2569349434585917,0.2427775394494008,0.2569349434555892,0.24277753944921104,0.12566353780234293,0.12310824052590642,0.060925320118924084,-0.005091486894805439,0.06092532011892407,-0.005091486894805471,-0.005091486895206707,0.12943517571954677,-0.005091486894667865,0.12943517571940572
1,0.7,1,1.8,1,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.07679,0.0684,0.0454,0.0265,0.0454,0.0265,0.02339,0.09548,0.0265,0.09273,0.2496618233932169,0.2542357088709461,0.23853427859559126,0.2567743901106709,0.2385342785955912,0.2567743901106709,0.2567743901157721,0.2429937752878339,0.2567743901106446,0.24299377528764768,0.11777366674518325,0.10988360201031189,0.06126366854601485,-0.004672563593159817,0.061263668546014796,-0.004672563593160005,-0.004672563593968852,0.1303863708975032,-0.004672563593168682,0.1303863708973668
1,0.7,1,1.8,1,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.07049,0.06078,0.04506,0.02554,0.04506,0.02554,0.02288,0.09426,0.02554,0.09149,0.24553414365816897,0.24886799968224244,0.23774075483753465,0.2568392426507196,0.2377407548375346,0.25683924265071995,0.256839242651529,0.24255200331379234,0.25683924265095087,0.2425520033136189,0.10930910827719584,0.09557750008621822,0.06035022288276078,-0.0057751791536381205,0.0603502228827607,-0.005775179153638295,-0.0057751791535970475,0.1300767495156713,-0.005775179152031678,0.13007674951553955
1,0.7,1,1.8,1,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.06618,0.0541,0.04486,0.02604,0.04486,0.02604,0.02298,0.09399,0.02604,0.0909,0.24204081595484198,0.24444651936111003,0.23791597480200297,0.25727272640276644,0.23791597480200283,0.2572727264027666,0.2572727264052041,0.24239043501946295,0.25727272640305576,0.2423904350191382,0.10046014736613439,0.08140441469139105,0.06008851469293383,-0.005963640823574447,0.060088514692933734,-0.005963640823574685,-0.005963640823871219,0.12930955048831633,-0.005963640822256412,0.12930955048815387
1,0.7,1,1.8,1,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.06181,0.04904,0.04574,0.02593,0.04574,0.02593,0.02312,0.0954,0.02593,0.09269,0.24034198818942895,0.24211198655243768,0.2388633338820283,0.257827825925812,0.23886333388202835,0.2578278259258123,0.2578278259283005,0.24356772279621094,0.25782782592595166,0.24356772279602057,0.09360829770903287,0.0687287138916486,0.06066770075981754,-0.005567711781849166,0.06066770075981723,-0.005567711781849314,-0.005567711782114447,0.13027634986682604,-0.00556771178134673,0.13027634986669218
1,0.7,1,1.8,1,0.2513144,0,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.05736,0.04317,0.0446,0.0255,0.0446,0.0255,0.02253,0.09457,0.0255,0.0919,0.2373978207797406,0.23950957538033626,0.23813646115310652,0.25718358770938404,0.2381364611531067,0.2571835877093846,0.2571835877115743,0.24321541490180537,0.25718358770957855,0.2432154149016258,0.08519598176625233,0.05463049515052499,0.06024888533221051,-0.00629180590513585,0.06024888533221023,-0.006291805905136162,-0.006291805905444703,0.12995107364292713,-0.0062918059043816695,0.12995107364279204
