K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0_1,0.5,0.00686,0.0254,0.00581,0.02533,0.00581,0.02533,0.02504,5e-4,0.02533,4.6e-4,0.22396651016983687,0.20804079040040482,0.2399515975355666,0.22399416909771577,0.23995159753486706,0.22399416909719977,0.2239941690977755,0.3035348894895191,0.22399416890012838,0.3035348894855562,-0.101344508929809,-2.066598499628784e-5,-0.12031211686472372,-8.98081735579287e-4,-0.12031211686400833,-8.980817350471563e-4,-8.980817356020386e-4,-0.24153047644591732,-8.980816634154521e-4,-0.24153047643971495
1,0.7,1,1.8,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0_1,0.5,0.00795,0.02531,0.00652,0.02537,0.00652,0.02537,0.02453,8.2e-4,0.02537,8e-4,0.2204694036704943,0.20908339449546523,0.2348950364405422,0.22486593739345104,0.23489503644022142,0.2248659373931279,0.2248659373935618,0.28454703126352554,0.22486593731693294,0.28454703126217673,-0.09112021235147624,-0.0011071118649597029,-0.10770537051651327,-0.0016191863790368502,-0.10770537051640632,-0.0016191863787625995,-0.001619186379076343,-0.2158145872526254,-0.0016191863511584585,-0.21581458725120523
1,0.7,1,1.8,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0_1,0.5,0.00958,0.02505,0.00817,0.02548,0.00817,0.02548,0.02455,0.00161,0.02548,0.00155,0.21739951512450026,0.21040024418299774,0.23048787515594799,0.22628597389170546,0.23048787515585817,0.22628597389170388,0.22628597389189956,0.2659610088686669,0.22628597386758806,0.26596100886804097,-0.08013906301546445,-0.001309719358142773,-0.09528263823658813,-0.0023685850274306284,-0.09528263823646,-0.0023685850274434393,-0.0023685850274964082,-0.18965827683783137,-0.002368585019124666,-0.18965827683710354
1,0.7,1,1.8,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0_1,0.5,0.0109,0.02514,0.0095,0.02521,0.0095,0.02521,0.02401,0.00249,0.02521,0.0024,0.21489752499481746,0.2122473686564398,0.2271288602233588,0.22933902473880036,0.2271288602233464,0.22933902473875456,0.22933902473911497,0.248761430223311,0.22933902473354326,0.2487614302226689,-0.068414195683421955,-7.546177630316357e-4,-0.0813009209072176,-0.001866596930822205,-0.0813009209071668,-0.0018665969307549446,-0.0018665969309203446,-0.16246545749170735,-0.0018665969285044145,-0.16246545749126734
1,0.7,1,1.8,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0_1,0.5,0.01342,0.02539,0.01159,0.0257,0.01159,0.0257,0.02426,0.00396,0.0257,0.00379,0.21343079567857817,0.2140191189908161,0.22408326496258182,0.23069345875785544,0.22408326496258177,0.23069345875785535,0.2306934587583246,0.23365317660367144,0.230693458756587,0.23365317660297724,-0.057834687461622035,-0.0012160842091343976,-0.06855217028653794,-0.002292845461509662,-0.06855217028653793,-0.002292845461509573,-0.002292845461639952,-0.13650631470782315,-0.0022928454608414778,-0.13650631470743413
1,0.7,1,1.8,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0_1,0.5,0.01407,0.02479,0.01335,0.02508,0.01335,0.02508,0.02377,0.00523,0.02508,0.00511,0.21067476014776648,0.21452011445336622,0.22063007708914573,0.23178521564481266,0.22063007708914562,0.2317852156448124,0.2317852156454727,0.21858116122985272,0.23178521564447988,0.21858116122901722,-0.044891585534730605,3.9234493460658454e-4,-0.053742409140171234,-0.0011624118792608975,-0.05374240914017116,-0.001162411879260753,-0.0011624118794147757,-0.10810670724751852,-0.00116241187902421,-0.1081067072471125
1,0.7,1,1.8,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0_1,0.5,0.01651,0.02456,0.01563,0.02455,0.01563,0.02455,0.02304,0.00832,0.02455,0.00805,0.21050542401280825,0.21665938920209615,0.21969692403786073,0.23396359010255105,0.21969692403786048,0.2339635901025506,0.233963590103421,0.20883367033241165,0.2339635901025506,0.20883367033142647,-0.0361683408682554,-0.0023582250354986104,-0.04285519685071499,-0.0037354449719282944,-0.042855196850714865,-0.003735444971928227,-0.003735444972093224,-0.08313324008481887,-0.0037354449719282238,-0.08313324008442952
1,0.7,1,1.8,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0_1,0.5,0.01894,0.02507,0.01804,0.02535,0.01804,0.02535,0.02364,0.01251,0.02535,0.01209,0.2098294152431572,0.21849771481243893,0.21875872899844537,0.2367285806157105,0.21875872899844506,0.23672858061571014,0.23672858061676805,0.20015284807633857,0.23672858061571014,0.20015284807523118,-0.023481672221782674,-8.958279281847961e-4,-0.028425817526883314,-0.0023999095472516854,-0.028425817526883335,-0.0023999095472517387,-0.0023999095473833214,-0.05471388058720511,-0.002399909547251764,-0.05471388058690464
1,0.7,1,1.8,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0_1,0.5,0.02158,0.0248,0.02164,0.02567,0.02164,0.02567,0.02358,0.01818,0.02567,0.01766,0.21150911625402347,0.22160423703033633,0.21975381583143427,0.23931376930147485,0.21975381583143372,0.2393137693014742,0.23931376930265255,0.1971705807442662,0.2393137693014742,0.19717058074305177,-0.01202209680649977,-9.931194233577458e-4,-0.014307164700596935,-0.002031195513123428,-0.014307164700596772,-0.002031195513123391,-0.002031195513179954,-0.02698680538292548,-0.0020311955131233905,-0.026986805382762522
1,0.7,1,1.8,1,0,0,0,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0_1,0.5,0.02461,0.02488,0.02463,0.02475,0.02463,0.02475,0.02272,0.02544,0.02475,0.02447,0.212274086694997,0.22283877278985803,0.22042541269962962,0.24100539136547955,0.22042541269962848,0.2410053913654788,0.2410053913666447,0.1961941867979711,0.2410053913654788,0.19619418679672251,-0.0018769771025241493,-0.0027082414483220987,-0.002516286873753844,-0.004395986685336523,-0.0025162868737536393,-0.004395986685336446,-0.00439598668530039,-7.868027479091765e-4,-0.0043959866853364536,-7.868027479022269e-4
