K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.02442,0.05034,0.01336,0.02568,0.01336,0.02568,0.02427,0.00536,0.02568,0.00521,0.20399348037624224,0.2199426575109086,0.2218439754591626,0.23204375736844668,0.2218439754591626,0.23204375736844665,0.23204375736908836,0.2208663934895,0.23204375736833752,0.22086639348868056,-0.003043802604532788,0.06667913075700192,-0.057368206226528135,-0.0029576944101662277,-0.05736820622652813,-0.002957694410166228,-0.0029576944103213588,-0.11227366962743181,-0.002957694410047496,-0.11227366962702429
1,0.7,1,0.4,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.02269,0.0445,0.0135,0.02537,0.0135,0.02537,0.0237,0.00559,0.02537,0.00543,0.2032698200336426,0.21571833917792535,0.2208546383701642,0.23134483079142565,0.2208546383701642,0.23134483079142565,0.2313448307920616,0.22022615073035573,0.23134483079123408,0.2202261507295364,-0.010815699432558099,0.05377893256124778,-0.05667668215116947,-0.002051082006399486,-0.05667668215116947,-0.002051082006399462,-0.002051082006553493,-0.11206952859525668,-0.002051082006452899,-0.11206952859484628
1,0.7,1,0.4,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.01964,0.03752,0.01324,0.02552,0.01324,0.02552,0.02406,0.00547,0.02552,0.00529,0.2049239758105983,0.213460288530593,0.22180197642385271,0.23178972687331684,0.22180197642385271,0.2317897268733169,0.23178972687395782,0.22110973103421364,0.2317897268727958,0.221109731033386,-0.019647595768588943,0.039180384737903654,-0.056703912926619825,-0.002735281165125736,-0.056703912926619825,-0.0027352811651257347,-0.002735281165282143,-0.11230593940249321,-0.0027352811648541733,-0.11230593940208175
1,0.7,1,0.4,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.0182,0.03331,0.01295,0.02567,0.01295,0.02567,0.02426,0.00546,0.02567,0.00525,0.206187301968243,0.2117821109478467,0.22249056019961366,0.23259832213373666,0.22249056019961366,0.23259832213373668,0.2325983221343829,0.22183155874796526,0.23259832213348156,0.22183155874713587,-0.029125745668304507,0.02476097393900623,-0.05791460979223765,-0.003661453631661746,-0.05791460979223765,-0.003661453631661789,-0.003661453631821144,-0.1130171260799704,-0.003661453631747596,-0.11301712607955586
1,0.7,1,0.4,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.01671,0.02954,0.01424,0.02607,0.01424,0.02607,0.02442,0.00561,0.02607,0.00545,0.2077431408539979,0.21140984010432357,0.22239580970730116,0.2326564539348803,0.22239580970730116,0.23265645393488027,0.23265645393552023,0.22073770979012852,0.23265645393475212,0.2207377097893089,-0.036176451087816947,0.012185624888004773,-0.056295675158824846,-0.001931055461972673,-0.05629567515882485,-0.0019310554619726878,-0.0019310554621247192,-0.11157572371363553,-0.001931055461975989,-0.11157572371322914
1,0.7,1,0.4,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.0145,0.02376,0.01314,0.02505,0.01314,0.02505,0.02359,0.00534,0.02505,0.00516,0.20801653302112288,0.20985855308930926,0.22011788716426786,0.23058990336646218,0.22011788716426786,0.23058990336646215,0.23058990336709906,0.2201863412135484,0.23058990336629673,0.22018634121272768,-0.045323902810493893,-0.002441565544795888,-0.05629750035187951,-0.0021203564470066404,-0.05629750035187951,-0.002120356447006636,-0.0021203564471588645,-0.11222820176695092,-0.002120356446863147,-0.11222820176654329
1,0.7,1,0.4,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.0135,0.02184,0.0135,0.02602,0.0135,0.02602,0.02445,0.00574,0.02602,0.00552,0.21124813870938067,0.21218422820137445,0.22145366853162307,0.23155936473749472,0.22145366853162307,0.23155936473749475,0.23155936473813168,0.22082563531730312,0.23155936473732913,0.2208256353164816,-0.05342179864370007,-0.016172976004201266,-0.05601272433642539,-0.0017755204829722829,-0.05601272433642539,-0.001775520482972276,-0.0017755204831221773,-0.11167915472025848,-0.001775520482857228,-0.1116791547198528
1,0.7,1,0.4,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.01165,0.01747,0.01254,0.02491,0.01254,0.02491,0.02333,0.00551,0.02491,0.00534,0.21254101323050498,0.21256855229389057,0.22049366224463918,0.23070551410106646,0.22049366224464043,0.23070551410106643,0.2307055141017031,0.21987686301754233,0.23070551410095458,0.21987686301672482,-0.06301342697882814,-0.03129811414029585,-0.05669306102801352,-0.0022715916837675386,-0.05669306102803133,-0.0022715916837675637,-0.0022715916839212607,-0.11180191037026865,-0.0022715916836147736,-0.11180191036986192
1,0.7,1,0.4,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.01072,0.01485,0.01356,0.0254,0.01356,0.0254,0.02389,0.00583,0.0254,0.00567,0.2162457749748531,0.21621079057570922,0.22126386153536962,0.23145672706807674,0.22126386153536962,0.23145672706807668,0.23145672706871967,0.2204574939443496,0.23145672706792123,0.22045749394352326,-0.07092221199129725,-0.04468653940902061,-0.05593078261467237,-0.0014806292849477158,-0.05593078261467237,-0.0014806292849477017,-0.0014806292850993137,-0.11119615726890396,-0.001480629284905774,-0.11119615726849544
1,0.7,1,0.4,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.00903,0.01241,0.01302,0.02469,0.01302,0.02469,0.02318,0.00563,0.02469,0.00535,0.2194302434770821,0.2200251726559644,0.22114484554058525,0.23084705183493215,0.22114484554058525,0.23084705183493215,0.23084705183556756,0.22099472933179817,0.23084705183471643,0.22099472933097505,-0.08142242988452048,-0.060856639755051546,-0.05751045997942676,-0.0031536755388534743,-0.05751045997942677,-0.003153675538853474,-0.0031536755390064682,-0.11253543757216385,-0.0031536755387616498,-0.11253543757175441
1,0.7,1,0.4,1,-0.2282587,0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.00893,0.01134,0.0141,0.02585,0.0141,0.02585,0.02425,0.0061,0.02585,0.0059,0.22352731666333692,0.22540446007218634,0.2215950873409816,0.23160986302327707,0.2215950873409816,0.23160986302327707,0.23160986302391745,0.22091635441201912,0.2316098630229747,0.22091635441119814,-0.08951493434237115,-0.0746555169179783,-0.05648498823531594,-0.001816523407126555,-0.05648498823531594,-0.0018165234071265716,-0.0018165234072776348,-0.11164331344194174,-0.0018165234071152888,-0.11164331344153582
1,0.7,1,0.4,1,-0.2282587,0.11111111111111105,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.00756,0.00886,0.01353,0.02572,0.01353,0.02572,0.02409,0.00541,0.02572,0.00515,0.22648386536249565,0.230085312655326,0.2208788150981995,0.23044887422089338,0.2208788150981995,0.23044887422089338,0.23044887422152918,0.2205153536971656,0.23044887422069274,0.2205153536963422,-0.0988326386859898,-0.08958181573147331,-0.05676391341610136,-0.0014866575357290195,-0.05676391341610136,-0.001486657535729,-0.0014866575358813959,-0.11242495553333698,-0.0014866575359209235,-0.11242495553292559
1,0.7,1,0.4,1,-0.2282587,0.16666666666666663,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.0067,0.00753,0.01377,0.02536,0.01377,0.02536,0.02387,0.00563,0.02536,0.00543,0.231178559310189,0.23761799989209337,0.22142652888883463,0.23195356438999654,0.22142652888883463,0.23195356438999656,0.2319535643906369,0.22083880671349848,0.2319535643897482,0.2208388067126768,-0.10798878644235663,-0.10496963597955489,-0.057122778097332,-0.0027953718117005384,-0.057122778097332,-0.0027953718117005354,-0.00279537181185746,-0.11244520514914819,-0.0027953718113847624,-0.11244520514873815
1,0.7,1,0.4,1,-0.2282587,0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.00582,0.00601,0.01294,0.02538,0.01294,0.02538,0.02382,0.00538,0.02538,0.00528,0.23625228077378985,0.2453259640069834,0.22167659089341712,0.2317624574389863,0.22167659089341712,0.23176245743898627,0.23176245743962798,0.22127664230244637,0.23176245743874058,0.2212766423016234,-0.11774853575710763,-0.12045283607109267,-0.05791098698229433,-0.00347553195892196,-0.05791098698229433,-0.0034755319589219675,-0.0034755319590773883,-0.11347065087278578,-0.003475531958698803,-0.11347065087237365
