K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.12493,0.1473,0.04461,0.02554,0.04461,0.02554,0.02248,0.09406,0.02554,0.09128,0.28050490883352436,0.30335647403256216,0.23772355956283042,0.2561138819794651,0.23772355956283042,0.2561138819794651,0.25611388198309587,0.2426565911566773,0.2561138819796112,0.24265659115649046,0.17881469750875228,0.20784648229506164,0.06086613598798874,-0.005519729270937004,0.06086613598798875,-0.005519729270936981,-0.0055197292714743796,0.1305022544344453,-0.0055197292698833545,0.13050225443430988
1,0.7,1,0.4,1,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.11611,0.13381,0.04502,0.02571,0.04502,0.02571,0.02282,0.09456,0.02571,0.09183,0.27481015993626823,0.29418691122229695,0.23722247661593027,0.25597970402017545,0.23722247661593027,0.2559797040201754,0.255979704020396,0.24297293675525503,0.25597970402029413,0.2429729367550725,0.16973644062637774,0.19356301398628425,0.060559293958845246,-0.00557962982071424,0.060559293958845246,-0.005579629820714239,-0.005579629820537091,0.1303749222483777,-0.005579629820170158,0.1303749222482434
1,0.7,1,0.4,1,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.1079,0.11839,0.04361,0.02526,0.04361,0.02526,0.02274,0.09335,0.02526,0.09056,0.26884670498714847,0.2846742209438856,0.23715483148229807,0.2564036347565501,0.23715483148229807,0.2564036347565501,0.25640363475759675,0.2419488057679972,0.2564036347569451,0.24194880576781214,0.16031879949736189,0.17843029177249886,0.06049577549912688,-0.005719208895989833,0.06049577549912687,-0.005719208895989849,-0.005719208896041226,0.1297018283018435,-0.005719208894373555,0.12970182830170834
1,0.7,1,0.4,1,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.09925,0.10492,0.04412,0.02525,0.04412,0.02525,0.02252,0.09345,0.02525,0.09062,0.2640658254115257,0.2759912817539699,0.23780699916908088,0.2568417467473797,0.23780699916908088,0.25684174674737964,0.2568417467498745,0.24244599035778022,0.2568417467474382,0.24244599035759679,0.15070352848405366,0.16296555131048907,0.0602159305449999,-0.006643171220442975,0.0602159305449999,-0.006643171220442977,-0.006643171220824547,0.12912815787406975,-0.006643171220554012,0.1291281578739339
1,0.7,1,0.4,1,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.09397,0.09576,0.0452,0.02586,0.0452,0.02586,0.023,0.09554,0.02586,0.09276,0.2593003769577612,0.26836252091287477,0.2380574594483985,0.25654008024880953,0.2380574594483985,0.2565400802488095,0.256540080250365,0.24315836690688844,0.2565400802490088,0.24315836690669876,0.14214380645710586,0.14902094852386302,0.060786037407514905,-0.006195281958614913,0.0607860374075149,-0.006195281958614928,-0.006195281958716885,0.1306775969439252,-0.00619528195824933,0.130677596943786
1,0.7,1,0.4,1,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.08504,0.08402,0.04367,0.02507,0.04367,0.02507,0.02221,0.09412,0.02507,0.09135,0.25359495994274,0.26047672523476,0.23716714175143863,0.25666936317207195,0.23716714175143863,0.25666936317207195,0.2566693631739134,0.24258263077639136,0.25666936317285927,0.24258263077620634,0.1313611578399797,0.13272115245269656,0.05926280088726299,-0.006852685603180174,0.05926280088726299,-0.0068526856031801905,-0.006852685603412177,0.12930816688405067,-0.0068526856012231544,0.12930816688391367
1,0.7,1,0.4,1,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.08127,0.07477,0.04513,0.02507,0.04513,0.02507,0.02231,0.0959,0.02507,0.09278,0.25004728339090615,0.2536882161829767,0.23810653742894763,0.25656808789332386,0.23810653742894763,0.25656808789332386,0.25656808790468677,0.24298381437934294,0.256568087903326,0.24298381437915562,0.12350361354552494,0.118537209772138,0.06122445849365782,-0.00543914316364571,0.06122445849365782,-0.0054391431636457025,-0.0054391431657226635,0.12994791338695927,-0.005439143165041601,0.1299479133868253
1,0.7,1,0.4,1,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.07528,0.06672,0.04521,0.02591,0.04521,0.02591,0.02265,0.09583,0.02591,0.0928,0.24555532606655628,0.24780137280551615,0.23820137446872505,0.25713505451181545,0.23820137446872505,0.2571350545118155,0.25713505451179053,0.24318314057141935,0.2571350545119796,0.24318314057123033,0.11409888434058946,0.1033551565193304,0.06166922072369587,-0.00479675146201117,0.06166922072369588,-0.004796751462011132,-0.004796751461745749,0.13064750982946152,-0.004796751461633259,0.13064750982932583
1,0.7,1,0.4,1,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.06776,0.05754,0.04545,0.02569,0.04545,0.02569,0.02276,0.09427,0.02569,0.09126,0.240701735745942,0.24142592305419888,0.2379550052229304,0.256835349160744,0.2379550052229304,0.256835349160744,0.2568353491724007,0.2423070464892065,0.2568353491688883,0.2423070464890212,0.10341007987801729,0.08669059109748077,0.06049202075480778,-0.005793798742967597,0.06049202075480778,-0.005793798742967641,-0.0057937987452751525,0.12959997973476217,-0.005793798744227461,0.1295999797346238
1,0.7,1,0.4,1,0.2513144,0,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.06204,0.0491,0.04426,0.02533,0.04426,0.02533,0.02249,0.09504,0.02533,0.0921,0.23682064908807673,0.23649560685985843,0.23741826708628153,0.25616960960584656,0.23741826708628153,0.25616960960584656,0.2561696096065153,0.24274277969742636,0.2561696096058897,0.24274277969724575,0.09465931449744341,0.07188061421980016,0.06144584770829177,-0.004780696425572462,0.06144584770829177,-0.004780696425572447,-0.004780696425512638,0.13072558918315325,-0.00478069642580138,0.1307255891830161
