K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.00727,0.02453,0.00607,0.0246,0.00607,0.0246,0.02429,3.9e-4,0.0246,3.8e-4,0.2210983310588815,0.2051054879233421,0.2409029383232617,0.22381608978727094,0.24090293832271598,0.2238160897868568,0.22381608978735354,0.30475528664990775,0.2238160895942772,0.30475528664635426,-0.09653223518683984,-0.0010840420471777972,-0.12131171307664118,-0.0019182606246026892,-0.12131171307636242,-0.0019182606244733654,-0.0019182606245868562,-0.24263107373049206,-0.0019182605551649153,-0.24263107372447035
1,0.7,1,0.4,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.00834,0.02509,0.00675,0.02527,0.00675,0.02527,0.02451,8.9e-4,0.02527,8.7e-4,0.21718755258531308,0.20562654961966784,0.2353857192819116,0.2249848626937678,0.23538571928168864,0.22498486269344875,0.22498486269388235,0.2844265849351491,0.2249848626189644,0.2844265849338435,-0.08587063195717878,-0.001000292518270209,-0.10794395218183993,-0.0015357547503025214,-0.10794395218177534,-0.0015357547503844194,-0.0015357547503444399,-0.21606637463768308,-0.001535754724710937,-0.21606637463619668
1,0.7,1,0.4,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.01059,0.02515,0.00858,0.02508,0.00858,0.02508,0.02426,0.00153,0.02508,0.00146,0.21364325352026795,0.2068336681760014,0.2297201827824461,0.22597323770568095,0.22972018278246345,0.22597323770565203,0.22597323770591254,0.26522376543556897,0.22597323768119182,0.26522376543492987,-0.07400907690914643,1.7554622681727826e-4,-0.09396560295946021,-0.0012638370723228934,-0.09396560295934722,-0.0012638370724282384,-0.0012638370722833309,-0.1885423906853571,-0.001263837065396494,-0.18854239068516152
1,0.7,1,0.4,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.01141,0.0245,0.00967,0.025,0.00967,0.025,0.02359,0.00228,0.025,0.00224,0.21176299945924734,0.20806084408649828,0.22673499917933398,0.2279600950301945,0.22673499917930368,0.22796009503018355,0.22796009503050293,0.24878811344225157,0.22796009502528586,0.2487881134416086,-0.06508359137004165,-0.0014472998244609606,-0.08231092692113436,-0.002611835951999717,-0.082310926921057,-0.0026118359519438058,-0.002611835952085794,-0.1632755587285052,-0.002611835950026183,-0.16327555872804037
1,0.7,1,0.4,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.01383,0.02545,0.01201,0.02573,0.01201,0.02573,0.02442,0.0038,0.02573,0.00366,0.21092934963425242,0.21009156578593663,0.22485175866429066,0.2309341128736004,0.22485175866429066,0.23093411287360038,0.2309341128740716,0.2340987491510509,0.230934112872649,0.23409874915034962,-0.054702085970551734,-0.0015441107755470528,-0.06942796923682718,-0.0030315751960149303,-0.06942796923682718,-0.003031575196014953,-0.0030315751961474072,-0.13725672816094686,-0.0030315751957557635,-0.13725672816055218
1,0.7,1,0.4,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.0153,0.0247,0.0138,0.02561,0.0138,0.02561,0.024140000000000002,0.00596,0.02561,0.00573,0.20847310758161358,0.21049537709734484,0.22129299868176197,0.23165870218936674,0.22129299868176197,0.23165870218936674,0.23165870219002804,0.21953570858516183,0.23165870218922363,0.2195357085843246,-0.04412765173683546,-0.0016976973236262987,-0.05608061087041259,-0.0030453775128629146,-0.0560806108704126,-0.0030453775128629224,-0.003045377513018314,-0.1097601707961724,-0.003045377512928389,-0.10976017079576166
1,0.7,1,0.4,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.01608,0.02412,0.01519,0.02477,0.01519,0.02477,0.02307,0.00853,0.02477,0.00833,0.20732498527032364,0.21195029673263252,0.21906389194414605,0.2336479128287585,0.21906389194414605,0.23364791282875852,0.23364791282963096,0.20849445482156506,0.23364791282872677,0.2084944548205837,-0.03385748985004398,-0.0021990240785565037,-0.0432579988059383,-0.0036709033395705176,-0.0432579988059383,-0.0036709033395705567,-0.003670903339737151,-0.08330216972531994,-0.0036709033396240412,-0.08330216972493026
1,0.7,1,0.4,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.01996,0.02597,0.01899,0.02644,0.01899,0.02644,0.02466,0.01257,0.02644,0.01213,0.20849620159592833,0.2148610032018168,0.21992857083489062,0.2375376007669643,0.21992857083489062,0.23753760076696434,0.23753760076802402,0.2010527932929335,0.23753760076696434,0.2010527932918186,-0.02179924478108646,-9.511474326570237e-4,-0.028278432662310615,-0.002426276595752986,-0.02827843266231062,-0.0024262765957529697,-0.002426276595883635,-0.05462455887368793,-0.0024262765957529936,-0.054624558873386526
1,0.7,1,0.4,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.02105,0.02351,0.02087,0.02471,0.02087,0.02471,0.02288,0.01781,0.02471,0.0171,0.20758052743156927,0.21473888693827303,0.21861501890192095,0.23794469355275547,0.21861501890192095,0.23794469355275547,0.23794469355392853,0.19558728337860987,0.2379446935527555,0.19558728337740314,-0.011559372514573965,-0.0013559906868248655,-0.015341868148333085,-0.0031765885409851566,-0.015341868148333082,-0.0031765885409851704,-0.003176588541054626,-0.027405823550754917,-0.0031765885409851713,-0.02740582355058467
1,0.7,1,0.4,1,0,0,0,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.02452,0.02538,0.02544,0.02587,0.02544,0.02587,0.02347,0.02553,0.02587,0.02467,0.21075549502179505,0.2189178264015839,0.22179810793304594,0.24275050797470188,0.22179810793304594,0.2427505079747019,0.24275050797587305,0.1968578943050752,0.24275050797470188,0.19685789430383074,-0.0016824969298519532,-0.0020984294439059187,-0.003056134111747852,-0.004538338823381895,-0.0030561341117478517,-0.004538338823381892,-0.00453833882334637,-6.13289742904089e-4,-0.004538338823381893,-6.132897429015253e-4
