K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.76896,0.82648,0.66791,0.6863,0.66791,0.6863,0.66892,0.664,0.6863,0.65758,0.2187833214485611,0.23191818839719378,0.23292547844998696,0.2418641138746381,0.23292547844963157,0.24186411387463827,0.2418641138746708,0.23039456824104523,0.2418641138680809,0.2303945682416032,-0.004106032731901397,0.05983816379866652,-0.04880590537851975,2.5777733534615e-4,-0.04880590537862682,2.577773353454671e-4,2.577773366968309e-4,-0.10911489574688765,2.5777733349199503e-4,-0.10911489574798303
1,0.7,1,1.8,1.8,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.75634,0.80955,0.66693,0.68308,0.66693,0.68308,0.66611,0.6638,0.68308,0.65808,0.21989294917764754,0.2304180320131563,0.23401447235217337,0.24383349428624512,0.23401447235217337,0.24383349428624507,0.24383349428612078,0.23068086579290903,0.24383349427659493,0.2306808657935944,-0.011512167607221685,0.047971000498981085,-0.04835498182124283,5.230658275308708e-4,-0.04835498182124283,5.230658275302618e-4,5.230658288392425e-4,-0.10857244472215344,5.230658246978202e-4,-0.1085724447232114
1,0.7,1,1.8,1.8,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.74692,0.79524,0.66746,0.68407,0.66746,0.68407,0.66674,0.66554,0.68407,0.65977,0.2196453344331955,0.22800362825581835,0.2331836818750566,0.24283452065090574,0.23318368187505661,0.24283452065090594,0.24283452065105426,0.2306058428340171,0.24283452064151695,0.23060584283447363,-0.019273363502703988,0.035805992963069876,-0.04880289270661123,1.1691828604194567e-4,-0.04880289270661125,1.1691828604132841e-4,1.1691828741648815e-4,-0.10875251804418808,1.1691828330430151e-4,-0.10875251804531172
1,0.7,1,1.8,1.8,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.73487,0.77915,0.66797,0.68631,0.66797,0.68631,0.66979,0.66423,0.68631,0.6585,0.2196691823857769,0.22598908464495449,0.23225300491318673,0.24217318377102479,0.23225300491282194,0.2421731837710249,0.24217318377095845,0.2300691576943884,0.24217318376704974,0.23006915769471667,-0.026607538165851492,0.02443853721914539,-0.04824023648359521,0.0012311656861653318,-0.04824023648370393,0.001231165686164772,0.001231165687490423,-0.1085416661170791,0.001231165684982578,-0.1085416661182431
1,0.7,1,1.8,1.8,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.72291,0.76125,0.66653,0.68478000000000006,0.66653,0.68478000000000006,0.66845,0.66445,0.68478000000000006,0.65872,0.22211383999794046,0.2263514716604922,0.23384728936348673,0.2426020993703491,0.23384728936362106,0.24260209937048227,0.24260209937023533,0.23090276157559253,0.24260209936440963,0.23090276157645945,-0.034177727769674385,0.012349152080887448,-0.04847680094556793,7.369927307365503e-4,-0.0484768009455299,7.36992730778131e-4,7.36992732042296e-4,-0.1087897269712176,7.369927289141442e-4,-0.10878972697221194
1,0.7,1,1.8,1.8,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.70912,0.7426,0.66465,0.68259,0.66465,0.68259,0.66565,0.66269,0.68259,0.65667,0.22335739274900204,0.22697843844351023,0.2332359728693127,0.24326691576091677,0.23323597286931275,0.24326691576091694,0.24326691576081994,0.2306211294474541,0.24326691575255016,0.23062112944811888,-0.041675714630667576,4.964343913842091e-4,-0.04888400212623236,2.03678283275614e-4,-0.048884002126232506,2.0367828327498796e-4,2.0367828458495678e-4,-0.10913168808601266,2.0367828088825216e-4,-0.10913168808707138
1,0.7,1,1.8,1.8,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.70156,0.72658,0.66809,0.68645,0.66809,0.68645,0.67033,0.66659,0.68645,0.66051,0.2245077333272467,0.22716119346759606,0.23292296650524671,0.2424087774995985,0.23292296650548877,0.2424087774999976,0.24240877749948772,0.2301054209719349,0.24240877749409212,0.23010542097267594,-0.04778782194506546,-0.009805461540333975,-0.04766446679316714,0.00170526137058198,-0.047664466793074234,0.001705261370716666,0.0017052613718966704,-0.10809454771837662,0.0017052613689277271,-0.10809454771941765
1,0.7,1,1.8,1.8,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.68576,0.70695,0.66791,0.68599,0.66791,0.68599,0.6692,0.66354,0.68599,0.65789,0.22663270757075385,0.229013108251306,0.23288639645783835,0.24269567768823155,0.2328863964574445,0.24269567768823164,0.24269567768812755,0.23053174484380992,0.2426956776803796,0.23053174484431807,-0.05467583890307405,-0.020925656372552778,-0.047065558479351496,0.002426836304682055,-0.04706555847946049,0.00242683630468154,0.0024268363059991864,-0.10823995973157756,0.002426836302493512,-0.10823995973269328
1,0.7,1,1.8,1.8,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.67611,0.68825,0.66861,0.6868,0.66861,0.6868,0.6701,0.66428,0.6868,0.65787,0.22845963176167874,0.23018891782016646,0.23328924557015326,0.2423367962627487,0.23328924557015354,0.24233679626274876,0.24233679626264013,0.23078180927221106,0.2423367962548238,0.23078180927288316,-0.06283265946947615,-0.03349866462798059,-0.04846616597854537,9.375759935880238e-4,-0.04846616597854593,9.375759935872348e-4,9.375759949005402e-4,-0.10903612429449083,9.375759913771807e-4,-0.10903612429554671
1,0.7,1,1.8,1.8,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.65984,0.66691,0.66362,0.68288,0.66362,0.68288,0.66621,0.66104,0.68288,0.65472,0.2307936955885583,0.2326498813898112,0.23342401003540744,0.24239531589610025,0.2334240100354081,0.24239531589610044,0.24239531589597982,0.23109652136187353,0.24239531588961807,0.23109652136254877,-0.07046930369730069,-0.04522560013900997,-0.04972672501521447,-3.7578246319036683e-4,-0.04972672501521559,-3.7578246319141585e-4,-3.757824618738597e-4,-0.10968279097819056,-3.7578246516000943e-4,-0.10968279097925217
