K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.66539,0.78319,0.60403,0.72608,0.60403,0.72608,0.71589,0.44182,0.72608,0.43644,0.22961683491650067,0.21645345860408374,0.2447640764594141,0.23181162617876147,0.24476407645941411,0.23181162617876133,0.23181162617925902,0.30807275665391626,0.23181162617814716,0.30807275665479106,-0.09170976760972534,0.0021641419738746394,-0.10880691409529979,0.0017850426281789669,-0.10880691409529983,0.0017850426281780939,0.0017850426300080225,-0.23920420588284413,0.0017850426280302662,-0.23920420588453215
1,0.7,1,1.8,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.67432,0.77748,0.61473,0.71652,0.61473,0.71652,0.70511,0.48781,0.71652,0.4828,0.22804272275143989,0.2188237505729538,0.24181885725441538,0.23409225838259035,0.24181885725441538,0.23409225838259015,0.23409225838293726,0.28954752761413166,0.23409225837898517,0.2895475276151383,-0.08218819864855212,0.0015387692420127882,-0.09739727923353446,3.7673860173332793e-4,-0.09739727923353446,3.7673860173249456e-4,3.7673860376529947e-4,-0.21329706442681706,3.7673860080143757e-4,-0.21329706442866903
1,0.7,1,1.8,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.68787,0.77116,0.63311,0.71006,0.63311,0.71006,0.69719,0.53906,0.71006,0.53342,0.22429203502539186,0.219422867671959,0.23725226012980052,0.23531183826497434,0.23725226012980052,0.23531183826497434,0.23531183826515778,0.2702497656174458,0.23531183826123103,0.270249765618517,-0.07002081076608255,0.0027016224773734852,-0.08317930946380456,0.0017570516280979481,-0.08317930946380456,0.0017570516280972601,0.0017570516301973938,-0.185312918558851,0.0017570516270415232,-0.18531291856073437
1,0.7,1,1.8,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.69294,0.76086,0.64138,0.70102,0.64138,0.70102,0.68574,0.5803,0.70102,0.57436,0.22440775449827013,0.22209849969204382,0.23627638432900017,0.23786061177361337,0.23627638432900014,0.23786061177361356,0.2378606117736213,0.25571504417569973,0.23786061176954568,0.25571504417673,-0.06138959349251641,0.001420597684996822,-0.07302501126618188,-3.5195005783533387e-4,-0.07302501126618194,-3.5195005783609005e-4,-3.519500558594631e-4,-0.16024189980830927,-3.5195005905572165e-4,-0.1602418998100416
1,0.7,1,1.8,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.70336,0.75344,0.65609,0.69187,0.65609,0.69187,0.67604,0.62741,0.69187,0.62149,0.22378022884594853,0.2248952976643883,0.23446310284302452,0.24071269129376674,0.23446310284302452,0.2407126912937668,0.24071269129366524,0.24162392089380968,0.2407126912863976,0.24162392089469467,-0.05016667744057635,0.0018659890658941944,-0.05963968133081175,2.713225718123645e-4,-0.059639681330811795,2.7132257181166605e-4,2.713225735006243e-4,-0.1328456285163938,2.7132256960025845e-4,-0.13284562851782475
1,0.7,1,1.8,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.71053,0.74183,0.66718,0.68189,0.66718,0.68189,0.66538,0.66687,0.68189,0.66077,0.2235241138281956,0.2268396724999526,0.2336163240560637,0.24316689845441275,0.2336163240560637,0.2431668984544129,0.24316689845429323,0.2300237337851624,0.2431668984485199,0.23002373378581373,-0.04010323636026584,0.0015431686730889226,-0.04758983874478767,2.1236501655706006e-4,-0.047589838744787685,2.1236501655646603e-4,2.1236501780840344e-4,-0.10617316878542045,2.1236501475842246e-4,-0.10617316878642032
1,0.7,1,1.8,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.72037,0.7337,0.67906,0.67292,0.67906,0.67292,0.65479,0.70747,0.67292,0.70187,0.2243145260410025,0.2299306415621631,0.2336484425947686,0.24618004460418516,0.23364844259467227,0.24618004460418522,0.24618004460418183,0.2208173392184501,0.24618004459950737,0.2208173392185216,-0.029278740896001,0.0017080294421957232,-0.03525298596867591,1.1257194523339498e-4,-0.03525298596870993,1.1257194523324128e-4,1.125719459806622e-4,-0.07863032890711195,1.1257194384024389e-4,-0.07863032890772054
1,0.7,1,1.8,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.72581,0.72329,0.68718,0.66135,0.68718,0.66135,0.64188,0.74314,0.66135,0.73808,0.22493006258440731,0.23204557268308448,0.2340133206305289,0.24903665266761138,0.23401332063052896,0.24903665266761138,0.24903665266778777,0.21424812708177088,0.24903665266681807,0.2142481270817754,-0.01911776914156025,0.0014338516687047312,-0.023137325303514887,1.3258227388376516e-5,-0.02313732530351504,1.3258227388242859e-5,1.3258227599870665e-5,-0.05141867544461716,1.3258226721930092e-5,-0.05141867544466052
1,0.7,1,1.8,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.73401,0.71431,0.69855,0.65152,0.69855,0.65152,0.63111,0.77657,0.65152,0.7713,0.22680344732180244,0.23526357166957115,0.23530132251235636,0.2518926602841678,0.23530132251233846,0.2518926602841678,0.25189266029336776,0.21255555974690457,0.25189266028642116,0.21255555973648144,-0.007008336557736724,0.002555928440793793,-0.009170902131796794,0.0010339386943452452,-0.009170902131801927,0.0010339386943454994,0.001033938696335379,-0.02275105055515929,0.0010339386961522275,-0.022751050557026833
1,0.7,1,1.8,1.8,0,0,0,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.73912,0.70158,0.70592,0.63765,0.70592,0.63765,0.6161,0.80601,0.63765,0.80129,0.22913576541040645,0.23868073938259093,0.23754975847539084,0.2557582905062895,0.2375497584753908,0.2557582905062893,0.25575829051420435,0.21327816227151664,0.25575829050325233,0.21327816226163687,0.0027356294150545943,0.00157381226381985,0.0018654347187823934,-6.296882157680418e-4,0.0018654347187831081,-6.296882157674594e-4,-6.296882137736139e-4,0.0039544188933230435,-6.29688213230559e-4,0.003954418891360276
