K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.79167,0.84983,0.6711,0.68715,0.6711,0.68715,0.6704,0.66646,0.68715,0.66045,0.2173611325863226,0.2324499280388088,0.23294003422806447,0.242809973641183,0.23294003422676635,0.242809973641183,0.24280997364106907,0.22985481360619894,0.24280997363724563,0.2298548136056755,0.007500507200872902,0.07128983667051106,-0.046938869363884195,0.002003740424419684,-0.04693886936426048,0.0020037404244197046,0.002003740425728386,-0.10805022846479632,0.0020037404233604083,-0.10805022846622275
1,0.7,1,0.4,1.8,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.77568,0.83194,0.66608,0.68363,0.66608,0.68363,0.66711,0.66355,0.68363,0.6576,0.21809054790408217,0.2292132368322272,0.23432985401421305,0.24337447812741952,0.23432985401421305,0.24337447812741952,0.24337447812730134,0.231474068838549,0.24337447811909838,0.23147406883922342,-0.0030396978032781745,0.056328366173462534,-0.048878168313570704,7.973558374409957e-4,-0.048878168313570704,7.973558374410061e-4,7.973558387524714e-4,-0.10917366643282325,7.973558350058643e-4,-0.109173666433876
1,0.7,1,0.4,1.8,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.76189,0.81373,0.66387,0.68241,0.66387,0.68241,0.66574,0.66337,0.68241,0.65739,0.21723205301582166,0.2254088357306825,0.23328021290837767,0.24243472656881657,0.23328021290844342,0.24243472656873064,0.24243472656870288,0.23065259987371084,0.24243472656245402,0.23065259987422176,-0.012641234437881956,0.041758378657885196,-0.04956432917095721,-1.2727686723451855e-4,-0.0495643291709453,-1.272768672595832e-4,-1.2727686593094225e-4,-0.10934013313028955,-1.2727686905602672e-4,-0.10934013313139056
1,0.7,1,0.4,1.8,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.75216,0.79717,0.66804,0.68548,0.66804,0.68548,0.66861,0.66526,0.68548,0.65946,0.21864172750913918,0.22420382821340015,0.23353521974874408,0.24265524382601655,0.2335352197484258,0.24265524382601655,0.24265524382589373,0.23072913257350347,0.24265524381943468,0.23072913257380762,-0.020291598151365366,0.028877600292463727,-0.04796286812907945,0.001098718445195253,-0.04796286812918521,0.001098718445195288,0.0010987184465010402,-0.10800269774094244,0.001098718443370951,-0.10800269774211288
1,0.7,1,0.4,1.8,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.73671,0.77792,0.66639,0.68298,0.66639,0.68298,0.66635,0.66382,0.68298,0.6577,0.21982233538388474,0.22318294239088685,0.23365087774140852,0.24271130254820314,0.23365087774135848,0.242711302548022,0.24271130254817752,0.2314712249588487,0.24271130254520992,0.23147122495925807,-0.03020394459294247,0.014322117875349198,-0.04934166686744649,-9.330254205417766e-5,-0.04934166686746381,-9.330254211446162e-5,-9.330254071920743e-5,-0.10939983399124707,-9.33025428339005e-5,-0.10939983399238239
1,0.7,1,0.4,1.8,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.72363,0.75756,0.66696,0.68476,0.66696,0.68476,0.66775,0.66351,0.68476,0.65779,0.22005897115129666,0.2224331789514029,0.23235156109363933,0.24208095261798523,0.23235156109485153,0.2420809526179853,0.24208095261786824,0.23005386062555128,0.2420809526132244,0.2300538606262334,-0.03858221120760775,0.0011132402802982368,-0.04847508284444445,0.0010183796840830279,-0.04847508284412752,0.0010183796840830329,0.0010183796853956678,-0.10894820656375985,0.0010183796826987053,-0.10894820656481588
1,0.7,1,0.4,1.8,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.70606,0.73428,0.66595,0.68247,0.66595,0.68247,0.6658,0.6625,0.68247,0.65652,0.2228654786367899,0.22381306075876697,0.23348292506131268,0.24314591885079817,0.23348292506131268,0.2431459188507982,0.24314591885068013,0.23103586181161923,0.24314591884312736,0.2310358618122978,-0.04907054149655803,-0.014829569051098468,-0.04946227713100758,-2.8913000682972447e-4,-0.04946227713100758,-2.891300068297282e-4,-2.891300055203097e-4,-0.10936556930760785,-2.8913000911841703e-4,-0.10936556930866356
1,0.7,1,0.4,1.8,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.69112,0.7125,0.66546,0.68469,0.66546,0.68469,0.66798,0.66271,0.68469,0.65695,0.22481252996028261,0.22489226478471994,0.23315860576622258,0.24222861949227148,0.23315860576622258,0.24222861949227148,0.2422286194921649,0.23108431276122673,0.24222861948994454,0.231084312762,-0.05856178211589526,-0.029154354521404833,-0.049742540941435064,1.259059628793705e-5,-0.049742540941435064,1.2590596287955454e-5,1.2590597596692297e-05,-0.10998768473871913,1.2590595697462535e-5,-0.10998768473973793
1,0.7,1,0.4,1.8,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.67617,0.68887,0.66573,0.68337,0.66573,0.68337,0.66682,0.66161,0.68337,0.65526,0.2274421676139246,0.2276805932563901,0.23321044434461155,0.24233607021296016,0.23321044434419463,0.24233607021244746,0.24233607021234946,0.2310366604488192,0.24233607020419998,0.23103666044967205,-0.067564194624318,-0.043578229761256,-0.049579197944959526,2.445649063599971e-5,-0.04957919794511818,2.4456490458923655e-5,2.445649176988861e-5,-0.10995016202843322,2.4456488049619125e-5,-0.10995016202942512
1,0.7,1,0.4,1.8,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.66514,0.67029,0.6699,0.68703,0.6699,0.68703,0.67074,0.6675,0.68703,0.6613,0.2293104373092814,0.23023036428798618,0.2324743245723304,0.2421972865620837,0.2324743245723304,0.24219728656185124,0.24219728656174158,0.22959260233835227,0.24219728655354827,0.22959260233903267,-0.07416662100910942,-0.05530931305870542,-0.04672453260688315,0.0026784207317871985,-0.046724532606883154,0.0026784207317079715,0.0026784207330155536,-0.10750616198440269,0.0026784207292577947,-0.10750616198545852
