K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.90872,0.9138,0.73563,0.58441,0.73563,0.58441,0.55558,0.90488,0.58441,0.90098,0.30334324258056194,0.3228593271971369,0.25963057912385706,0.27568472401031696,0.259630579235503,0.27568472405810557,0.2756847245357263,0.2651588735755376,0.2756847239560083,0.26515887294898327,0.18682998368781337,0.2129871177432213,0.059955584853508395,-5.400289466679604e-4,0.059955584903834444,-5.400289194925879e-4,-5.400286711229515e-4,0.13537427077608888,-5.400287432822361e-4,0.13537427052376216
1,0.7,1,0.4,1.8,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.90159,0.90331,0.73467,0.58154,0.73467,0.58154,0.55347,0.90454,0.58154,0.90067,0.29659247809383554,0.3132896047409916,0.25847529797881885,0.27545415883494945,0.2584752980875092,0.2754541588750388,0.275454159353539,0.2644794687915951,0.2754541587730085,0.2644794681771478,0.17649016528824052,0.19782196941935667,0.05894150464668809,-0.0016634149247081904,0.058941504693306064,-0.0016634149096093538,-0.0016634146606616643,0.13476204546806975,-0.001663414711798875,0.13476204521832694
1,0.7,1,0.4,1.8,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.89553,0.8943,0.73607,0.58297,0.73607,0.58297,0.5536,0.90503,0.58297,0.90137,0.29032111399270594,0.30364763021712815,0.25751841420766847,0.2733559666267216,0.2575184143314064,0.2733559666615062,0.2733559671345438,0.26352992278378745,0.2733559665720624,0.26352992215337484,0.16702134815993563,0.1835000905991305,0.059348247178790156,-4.7868150105452665e-4,0.05934824723253035,-4.786814833222703e-4,-4.7868122830885295e-4,0.1348867219242685,-4.786813098529392e-4,0.1348867216681573
1,0.7,1,0.4,1.8,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.88939,0.88233,0.73916,0.58707,0.73916,0.58707,0.55709,0.90712,0.58707,0.90339,0.2859678303287383,0.2966293733356606,0.258376521443607,0.2741706592888736,0.2583765215655474,0.27417065933934726,0.27417065981755795,0.26463444501182637,0.27417065926587203,0.2646344443888383,0.15925509143313493,0.17058240171781827,0.06182001084709032,0.0014376496610202165,0.06182001090309673,0.0014376496864302645,0.001437649936169547,0.13650706069031665,0.00143764987844229,0.13650706044086008
1,0.7,1,0.4,1.8,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.87676,0.86389,0.73489,0.58095,0.73489,0.58095,0.55187,0.90395,0.58095,0.89988,0.27987275969980713,0.2878531469011476,0.2577890347427579,0.2746611354175196,0.2577890348528396,0.27466113546629617,0.27466113593380104,0.26375172704874394,0.27466113533717834,0.26375172642882727,0.14663002741472117,0.1525578552189399,0.05842678376098301,-0.0023316546397823337,0.058426783810846546,-0.0023316546238839387,-0.0023316543736256676,0.13349889867170925,-0.002331654428157404,0.13349889841908555
1,0.7,1,0.4,1.8,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.86864,0.84978,0.73263,0.58295,0.73263,0.58295,0.55436,0.90504,0.58295,0.90148,0.2759562899838854,0.28136412443892755,0.2590478534337463,0.27542986318298657,0.2590478535275398,0.2754298632206168,0.2754298636810535,0.2645267705867887,0.27542986309905365,0.26452676997616914,0.13791816808787943,0.1391172280244873,0.059340367960376096,-5.090296071384112e-4,0.059340368006885275,-5.090295888217089e-4,-5.090293397407667e-4,0.13496615427995426,-5.09029418896656e-4,0.13496615403084714
1,0.7,1,0.4,1.8,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.86012,0.83465,0.73795,0.58845,0.73795,0.58845,0.55827,0.90465,0.58845,0.90105,0.27094781266603307,0.27422746505890233,0.2583854404720705,0.27432692694013316,0.2583854405822882,0.2743269269848348,0.27432692746023,0.2645673531775131,0.27432692688437915,0.26456735255278324,0.1287330543853553,0.12419552137396071,0.06093147173535924,7.132908706677344e-4,0.06093147178923529,7.132908914077266e-4,7.132911453416354e-4,0.13560881763373517,7.132910820075675e-4,0.13560881737950076
1,0.7,1,0.4,1.8,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.84993,0.81671,0.73568,0.58162,0.73568,0.58162,0.55243,0.90657,0.58162,0.90268,0.26552040605118526,0.26679300639666087,0.2580292972989525,0.274426878360286,0.25802929743018427,0.27442687842569063,0.27442687890176554,0.26353860778858973,0.2744268783225529,0.2635386071613282,0.11739776682882225,0.1070507229585985,0.05931077644751408,-0.0012937910778276901,0.059310776507483405,-0.0012937910478208155,-0.0012937907931657607,0.13455504763865322,-0.0012937908495256462,0.13455504738173385
1,0.7,1,0.4,1.8,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.83696,0.7953,0.73686,0.58522,0.73686,0.58522,0.55582,0.90563,0.58522,0.90166,0.2624724973972376,0.2630452990208318,0.25882452854031074,0.2746842356079621,0.25882452864724803,0.27468423565837513,0.27468423612218423,0.26462482017446565,0.2746842355515497,0.2646248195696107,0.10829091726616911,0.09277337251477204,0.06027486418127295,1.8322951060064432e-4,0.06027486423167767,1.8322953900897195e-4,1.8322978110401624e-4,0.13562378387421317,1.832297184250629e-4,0.13562378363021788
1,0.7,1,0.4,1.8,0.2513144,0,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.82665,0.77535,0.73624,0.58402,0.73624,0.58402,0.55449,0.90546,0.58402,0.90147,0.2588391606284754,0.25813449773769936,0.25922146586645567,0.2751947646468414,0.2592214659929967,0.2751947647058378,0.2751947652227221,0.26507158840388767,0.2751947646423007,0.26507158773295114,0.09818547554382397,0.07681257842953025,0.0598626758699606,-4.5378855721313994e-4,0.05986267592911357,-4.537885241008093e-4,-4.5378825650809986e-4,0.1354243356871061,-4.53788342068539e-4,0.135424335416909
