K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.67987,0.79455,0.60028,0.7247,0.60028,0.7247,0.71491,0.44127,0.7247,0.43607,0.22590021054876733,0.21278639640023142,0.24470784720954844,0.23106766885830216,0.24470784720954844,0.23106766885830218,0.2310676688587887,0.3078675512633537,0.23106766885788022,0.3078675512642338,-0.08682999274395474,0.0013575589591842262,-0.10989549197211139,5.423867640359149e-4,-0.10989549197211138,5.423867640358612e-4,5.423867658635829e-4,-0.23982402631544553,5.423867639197676e-4,-0.23982402631713143
1,0.7,1,0.4,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.68957,0.78734,0.61638,0.71653,0.61638,0.71653,0.70484,0.48912,0.71653,0.48375,0.22401408038151904,0.21501976543140058,0.24122338813175975,0.23377853505918672,0.24122338813175975,0.23377853505918672,0.23377853505955007,0.2893824723446641,0.23377853505850166,0.2893824723456711,-0.0767912773285251,0.0015258017009803634,-0.09662632241432464,0.001410600680298669,-0.09662632241432464,0.0014106006802986986,0.0014106006823350434,-0.2132842388677616,0.001410600680090572,-0.2132842388696181
1,0.7,1,0.4,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.7007,0.78322,0.62978,0.71134,0.62978,0.71134,0.69818,0.53868,0.71134,0.53326,0.22188840858339942,0.21629209444217734,0.23771540556483214,0.23525851899765765,0.23771540556483214,0.23525851899765768,0.2352585189978487,0.2709358474889234,0.2352585189946046,0.2709358474899899,-0.06596098689263688,0.00271753070287266,-0.08371288385136846,0.002096610638846717,-0.08371288385136845,0.002096610638846737,0.0020966106409425807,-0.18574866412384006,0.002096610637971034,-0.1857486641257194
1,0.7,1,0.4,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.70871,0.77391,0.64338,0.70159,0.64338,0.70159,0.68745,0.58178,0.70159,0.5759,0.22115917244235636,0.2188283089245031,0.2358455391959835,0.2384508248978296,0.2358455391959835,0.2384508248978296,0.23845082489784128,0.25517754863440184,0.23845082489293568,0.25517754863543535,-0.05709355926453523,0.001599162492218268,-0.07230435251572742,5.596809135996221e-4,-0.07230435251572742,5.596809135996066e-4,5.596809155830906e-4,-0.15942672201549588,5.596809122130185e-4,-0.15942672201723754
1,0.7,1,0.4,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.71705,0.76654,0.65742,0.69464,0.65742,0.69464,0.67951,0.62684,0.69464,0.62098,0.22076795431883,0.2209140059676762,0.23425714957863839,0.240335113711587,0.23425714957863839,0.24033511371158697,0.24033511371149982,0.241950744354992,0.240335113704631,0.24195074435586555,-0.04720996795675305,0.0017761047340184924,-0.06003749111372225,6.240117939756636e-4,-0.06003749111372225,6.240117939756684e-4,6.240117956649516e-4,-0.1332831321587174,6.240117917877778e-4,-0.13328313216014526
1,0.7,1,0.4,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.72179,0.75554,0.6656,0.68103,0.6656,0.68103,0.66451,0.66383,0.68103,0.65762,0.221148700645302,0.223374722527356,0.23380888268225702,0.24340882715761242,0.23380888268225702,0.24340882715761247,0.24340882715749212,0.23039026146476407,0.24340882715319906,0.23039026146541644,-0.03825387188232918,4.956617646315213e-4,-0.048599480985269165,-8.5678945565926e-4,-0.04859948098526917,-8.567894556592452e-4,-8.567894544055176e-4,-0.10745512439104095,-8.567894569208851e-4,-0.10745512439203984
1,0.7,1,0.4,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.73084,0.75075,0.67825,0.67295,0.67825,0.67295,0.6556,0.70621,0.67295,0.70029,0.22165052355637074,0.2256638098705578,0.2334566245554862,0.24610189503051266,0.2334566245554862,0.24610189503051272,0.24610189503047308,0.2210680110627622,0.2461018950273008,0.22106801106291013,-0.02686091812120659,0.002560238165121654,-0.03513687697022423,8.296097079334729e-4,-0.035136876970224225,8.296097079334871e-4,8.29609708678668e-4,-0.07911739584342106,8.296097070064028e-4,-0.07911739584400954
1,0.7,1,0.4,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.73623,0.73899,0.687,0.66039,0.687,0.66039,0.64162,0.74099,0.66039,0.73531,0.22275867709571018,0.22807008273108567,0.23454577931275364,0.24945004480215352,0.23454577931275364,0.24945004480215355,0.2494500448024391,0.21470204092797252,0.2494500447986067,0.21470204092785716,-0.017461606983414323,0.0013520181293658051,-0.02293256649245097,-1.867838436980331e-4,-0.022932566492450974,-1.867838436980308e-4,-1.8678384344823063e-4,-0.052202206871607884,-1.8678384421621846e-4,-0.052202206871689215
1,0.7,1,0.4,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.74381,0.73082,0.69753,0.65091,0.69753,0.65091,0.62974,0.77514,0.65091,0.76957,0.22461017712063727,0.23116498786460732,0.23591260966619393,0.2527472347987164,0.23591260966619393,0.2527472347987164,0.2527472348046698,0.21260235482343073,0.2527472347983508,0.21260235481583428,-0.0066153742033143595,0.0024727616241510026,-0.010016283899056433,1.9914384342402248e-4,-0.010016283899056426,1.9914384342400326e-4,1.9914384481670334e-4,-0.0239865758873191,1.9914384459961826e-4,-0.02398657588860688
1,0.7,1,0.4,1.8,0,0,0,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.7483,0.72051,0.70598,0.64012,0.70598,0.64012,0.61786,0.80505,0.64012,0.80043,0.22638307797343463,0.2333981560454623,0.23789974401820432,0.2557780914007703,0.23789974401820432,0.2557780914007703,0.25577809140901614,0.21346571314318555,0.25577809139386465,0.21346571313221102,0.003299263048376095,0.0022772582646601344,0.002304291698993676,5.367267044421735e-4,0.002304291698993675,5.367267044421668e-4,5.36726706813435e-4,0.004518985652967266,5.36726708252267e-4,0.004518985650631825
