K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0,0.1,-0.05,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.01772,0.01676,0.02455,0.02442,0.02458,0.02453,0.02445,0.01339,0.02439,0.01342,0.09643990017203993,0.10111369362244338,0.0998721918603846,0.1093487748653534,0.0998721918603846,0.1093487748653534,0.10934877486535338,0.09164585251056233,0.10934877486535338,0.09164585251056233,-0.012468214426690093,-0.01587307724865442,7.034043857093274e-4,-2.830596298521401e-4,7.034043857093277e-4,-2.830596298521413e-4,-2.8305962985214337e-4,-0.021145704546002713,-2.8305962985214337e-4,-0.021145704546002713
1,0,1,0.25,0,0.1,-0.04,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.0191,0.0174,0.02532,0.0251,0.02539,0.02502,0.0252,0.0142,0.02508,0.01399,0.09663762098835342,0.10117871277511918,0.10028366790521502,0.10953008052894826,0.10028366790521501,0.10953008052894826,0.10953008052894826,0.09191832593030139,0.10953008052894826,0.09191832593030139,-0.011318553043375392,-0.014632849920277574,0.001084923944558959,-1.0512880131696457e-4,0.0010849239445589586,-1.051288013169661e-4,-1.0512880131696793e-4,-0.020864199193466677,-1.0512880131696793e-4,-0.020864199193466677
1,0,1,0.25,0,0.1,-0.03,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.01924,0.01818,0.02582,0.02518,0.0257,0.02519,0.02513,0.01433,0.02511,0.01441,0.0964176335522388,0.10095553687418317,0.10007709628792169,0.10960583368684719,0.10007709628792169,0.10960583368684718,0.10960583368684718,0.09171369787963829,0.10960583368684718,0.09171369787963829,-0.010279129146986622,-0.013429944758344721,0.0013767547415183198,2.5509124373689654e-4,0.00137675474151832,2.5509124373689567e-4,2.550912437368931e-4,-0.020689420677068512,2.550912437368931e-4,-0.020689420677068512
1,0,1,0.25,0,0.1,-0.02,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.01948,0.01828,0.02458,0.02488,0.02455,0.02487,0.02491,0.01396,0.02476,0.01384,0.09657083757753546,0.10105846414029758,0.10019830369264672,0.10948306352407165,0.10019830369264672,0.10948306352407164,0.10948306352407164,0.09204293683567338,0.10948306352407164,0.09204293683567338,-0.010319488142362786,-0.013320739503879525,2.514916827132993e-4,-0.0010126814230334601,2.514916827132992e-4,-0.001012681423033461,-0.0010126814230334634,-0.021587473395852947,-0.0010126814230334634,-0.021587473395852947
1,0,1,0.25,0,0.1,-0.01,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.02059,0.01891,0.02601,0.02526,0.02591,0.02516,0.02509,0.01432,0.02544,0.01448,0.096336281226899,0.1006782879633993,0.10010903934825546,0.10945187986541441,0.10010903934825546,0.10945187986541441,0.10945187986541441,0.09197110728558187,0.10945187986541441,0.09197110728558187,-0.008626050727465851,-0.011321644038650585,0.0014283647443634512,4.4547831901184165e-4,0.0014283647443634514,4.454783190118414e-4,4.4547831901183856e-4,-0.020831139464201714,4.4547831901183856e-4,-0.020831139464201714
1,0,1,0.25,0,0.1,0,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.02125,0.02048,0.02636,0.02557,0.0263,0.02546,0.02555,0.01438,0.02576,0.01437,0.09624039962629559,0.10052680315097311,0.10020231766196316,0.10957364502849835,0.10020231766196316,0.10957364502849835,0.10957364502849835,0.09189668629459985,0.10957364502849835,0.09189668629459985,-0.007411210837756005,-0.009812457287658597,0.0016543002078122193,7.320131525572836e-4,0.0016543002078122195,7.320131525572817e-4,7.320131525572802e-4,-0.0204146796796615,7.320131525572802e-4,-0.0204146796796615
1,0,1,0.25,0,0.1,0.01,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.0216,0.02069,0.02632,0.02594,0.02643,0.02602,0.02598,0.01431,0.0257,0.01433,0.09624523359834662,0.10051063765714621,0.10023334983487212,0.10967401905364778,0.10023334983487212,0.10967401905364778,0.10967401905364778,0.09189035593756444,0.10967401905364778,0.09189035593756444,-0.006960144524141773,-0.009144829274085706,0.0012743424328676102,3.4750704405949183e-4,0.0012743424328676104,3.4750704405949124e-4,3.4750704405948907e-4,-0.020745907465635777,3.4750704405948907e-4,-0.020745907465635777
1,0,1,0.25,0,0.1,0.02,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.02179,0.02093,0.02599,0.02507,0.02593,0.02496,0.02508,0.01449,0.02485,0.01444,0.09633729748603258,0.10059808019050921,0.100404823221513,0.10985739599689777,0.100404823221513,0.10985739599689777,0.10985739599689777,0.09188088597249355,0.10985739599689777,0.09188088597249355,-0.005742179972219807,-0.007898758135829818,0.0016206470128250618,4.547579357823505e-4,0.001620647012825062,4.547579357823497e-4,4.547579357823472e-4,-0.020481257329673992,4.547579357823472e-4,-0.020481257329673992
1,0,1,0.25,0,0.1,0.03,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.02118,0.01984,0.02432,0.02418,0.02425,0.02407,0.0242,0.01339,0.0243,0.01355,0.09604759016240946,0.10029718538564909,0.10006501911490417,0.10949864676016807,0.10006501911490417,0.10949864676016806,0.10949864676016806,0.09213980567328482,0.10949864676016806,0.09213980567328482,-0.006179870292506727,-0.007979269591071609,3.849005445642353e-4,-6.940632238827232e-4,3.849005445642355e-4,-6.940632238827249e-4,-6.940632238827268e-4,-0.021793966427409932,-6.940632238827268e-4,-0.021793966427409932
1,0,1,0.25,0,0.1,0.04,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.02149,0.02123,0.0254,0.02455,0.0253,0.02464,0.02451,0.01384,0.02469,0.01409,0.09573152696999242,0.10004392220336582,0.10000350991972881,0.1095726063734459,0.10000350991972881,0.1095726063734459,0.1095726063734459,0.09173549781934046,0.1095726063734459,0.09173549781934046,-0.0045571941197465,-0.006292687339537543,0.0011242133023063553,-3.0365143472906866e-5,0.0011242133023063553,-3.0365143472908035e-5,-3.036514347290969e-5,-0.020868178104961353,-3.036514347290969e-5,-0.020868178104961353
1,0,1,0.25,0,0.1,0.05,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.02286,0.02185,0.02542,0.02519,0.02526,0.02514,0.02519,0.01383,0.0251,0.01377,0.09590178083185615,0.09998899707487513,0.10019048959622613,0.10949237630045501,0.10019048959622613,0.10949237630045501,0.10949237630045501,0.09159294242319699,0.10949237630045501,0.09159294242319699,-0.0039051290758621102,-0.005417330694822117,9.310151050923037e-4,-9.27951194829597e-5,9.310151050923045e-4,-9.279511948296024e-5,-9.279511948296235e-5,-0.02092579295585141,-9.279511948296235e-5,-0.02092579295585141
1,0,1,0.25,0,0.1,0.06,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.02324,0.02263,0.02547,0.02542,0.0254,0.02524,0.02507,0.01419,0.02526,0.01409,0.0959788398509443,0.10007693144582569,0.10026860240034328,0.10956524119915395,0.10026860240034328,0.10956524119915395,0.10956524119915394,0.09178382200246889,0.10956524119915394,0.09178382200246889,-0.0029166968956128264,-0.0043681605102629945,0.0010200682988587661,-3.886722393801988e-4,0.0010200682988587668,-3.8867223938019954e-4,-3.8867223938020165e-4,-0.02100148785848611,-3.8867223938020165e-4,-0.02100148785848611
1,0,1,0.25,0,0.1,0.07,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.02437,0.02391,0.02559,0.02496,0.02575,0.02484,0.02521,0.01447,0.02503,0.01404,0.0959994037428964,0.10010447044771631,0.10015702523702337,0.10949293237097336,0.10015702523702337,0.10949293237097336,0.10949293237097336,0.09187697550771154,0.10949293237097336,0.09187697550771154,-0.0017776972846476231,-0.0028152655345331703,0.001283105314432276,2.0577761221446598e-4,0.0012831053144322765,2.0577761221446552e-4,2.0577761221446316e-4,-0.020633598424525414,2.0577761221446316e-4,-0.020633598424525414
1,0,1,0.25,0,0.1,0.08,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.02501,0.02449,0.02624,0.02545,0.02629,0.02538,0.02539,0.01486,0.0252,0.01471,0.09617164442190797,0.1002283667880421,0.10044880121522907,0.10968929218015476,0.10044880121522907,0.10968929218015476,0.10968929218015476,0.09212090188763039,0.10968929218015476,0.09212090188763039,-0.0011964148996699857,-0.002079508498176216,0.0010590701657758352,-7.381455975738044e-5,0.0010590701657758358,-7.381455975738062e-5,-7.381455975738284e-5,-0.02084603626705906,-7.381455975738284e-5,-0.02084603626705906
1,0,1,0.25,0,0.1,0.09,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.02494,0.02447,0.02675,0.02531,0.02654,0.02554,0.02544,0.01404,0.02553,0.01405,0.09601350363767386,0.10004539904853714,0.10036472706221554,0.10972909465711081,0.10036472706221554,0.10972909465711081,0.10972909465711081,0.09203648656657185,0.10972909465711081,0.09203648656657185,-4.3449682241098505e-4,-0.0011760555567158098,0.0010730719598154841,-6.674424304109781e-5,0.0010730719598154848,-6.674424304109782e-5,-6.674424304110033e-5,-0.02118418309544187,-6.674424304110033e-5,-0.02118418309544187
1,0,1,0.25,0,0.1,0.1,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02593,0.02538,0.0261,0.02525,0.02608,0.02512,0.02529,0.01485,0.02523,0.01503,0.09631498790178136,0.10038749902157192,0.10050924654696348,0.1098100328432625,0.10050924654696348,0.1098100328432625,0.1098100328432625,0.09227020895985431,0.1098100328432625,0.09227020895985431,2.3629509096461074e-4,-4.088029480934811e-4,8.702743789203625e-4,-0.00038032008312174496,8.70274378920363e-4,-3.80320083121746e-4,-3.8032008312174816e-4,-0.02110700866360888,-3.8032008312174816e-4,-0.02110700866360888
1,0,1,0.25,0,0.1,0.11,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H0,0.5,0.026,0.026,0.0259,0.0255,0.0259,0.0256,0.02545,0.01435,0.02544,0.01435,0.09584818806256744,0.09998558059244528,0.10015770816302959,0.10945575471006737,0.10015770816302959,0.10945575471006737,0.10945575471006737,0.09168679921966856,0.10945575471006737,0.09168679921966856,0.0014850672493574209,0.001096658523436655,0.001332751216360665,2.58018507043766e-4,0.0013327512163606658,2.5801850704376553e-4,2.5801850704376347e-4,-0.02062825000810112,2.5801850704376347e-4,-0.02062825000810112
