K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0,-0.15,-0.15,-0.15,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02481,0.02561,0.02432,0.02537,0.02404,0.02517,0.02519,0.05414,0.02533,0.05442,0.09581588029394754,0.09990871063568375,0.10017063088197287,0.10955291913292935,0.10017063088197287,0.10955291913292935,0.10955291913292935,0.0948412575977015,0.10955291913292935,0.0948412575977015,-6.750860671600113e-4,1.5337550707042032e-4,-0.0014333998479255535,2.1879449595918458e-4,-0.0014333998479255552,2.1879449595918577e-4,2.1879449595918867e-4,0.03156858971085566,2.1879449595918867e-4,0.03156858971085566
1,0,1,0.25,0,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02479,0.02489,0.025,0.02517,0.02488,0.02506,0.0252,0.05045,0.02502,0.05062,0.0961029314851283,0.10011925169100852,0.10034992225224432,0.10941911041324347,0.10034992225224432,0.10941911041324347,0.10941911041324347,0.0941040457064615,0.10941911041324347,0.0941040457064615,-1.999550558857915e-4,5.553069386119622e-4,-9.603355014369321e-4,4.036803244395089e-4,-9.603355014369333e-4,4.0368032443951015e-4,4.036803244395129e-4,0.028413722775188412,4.036803244395129e-4,0.028413722775188412
1,0,1,0.25,0,-0.11666666666666667,-0.11666666666666667,-0.11666666666666667,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.0237,0.02476,0.02366,0.0246,0.02373,0.02461,0.02462,0.04514,0.02453,0.04529,0.09605484099364674,0.10020789821827941,0.10020930435002329,0.10951985231432713,0.10020930435002329,0.10951985231432713,0.10951985231432712,0.09268982131400222,0.10951985231432712,0.09268982131400222,-7.54328239561044e-4,-9.472983233530488e-5,-0.001360820060374596,6.14303976715399e-5,-0.0013608200603745975,6.143039767154058e-5,6.143039767154294e-5,0.02428965273100078,6.143039767154294e-5,0.02428965273100078
1,0,1,0.25,0,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02452,0.02467,0.02434,0.02505,0.02439,0.02497,0.02477,0.0423,0.02499,0.0423,0.0959001203146239,0.09991575351797623,0.10014974543578845,0.10939339028544731,0.10014974543578845,0.10939339028544731,0.10939339028544731,0.09171645057269572,0.10939339028544731,0.09171645057269572,-5.791062553956152e-4,-6.352985309667007e-5,-0.0010255672109726229,6.614209941067136e-5,-0.001025567210972624,6.614209941067162e-5,6.614209941067337e-5,0.020758162458850732,6.614209941067337e-5,0.020758162458850732
1,0,1,0.25,0,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02496,0.02517,0.02463,0.02551,0.02448,0.02561,0.02551,0.03896,0.0253,0.03901,0.09592693577529743,0.09996622081349466,0.10037500470181246,0.10980133709077937,0.10037500470181246,0.10980133709077937,0.10980133709077937,0.09124764614679924,0.10980133709077937,0.09124764614679924,-5.121997378373594e-4,6.473590036144017e-5,-9.966092421004335e-4,1.529891659218413e-4,-9.96609242100435e-4,1.5298916592184147e-4,1.5298916592184315e-4,0.017343531304985723,1.5298916592184315e-4,0.017343531304985723
1,0,1,0.25,0,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02401,0.02448,0.02405,0.02458,0.02405,0.02465,0.02463,0.03517,0.0243,0.03516,0.09550685161364073,0.0996303542770668,0.09952074822714145,0.10893579338972038,0.09952074822714145,0.10893579338972038,0.10893579338972037,0.09017093730690845,0.10893579338972037,0.09017093730690845,-6.082302651821584e-4,-2.7859577775338196e-4,-9.974042095692382e-4,-3.258507358066994e-4,-9.97404209569239e-4,-3.258507358066999e-4,-3.258507358066981e-4,0.01360833017769828,-3.258507358066981e-4,0.01360833017769828
1,0,1,0.25,0,-0.04999999999999999,-0.04999999999999999,-0.04999999999999999,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02468,0.02489,0.024,0.02511,0.02399,0.02508,0.02501,0.03209,0.02528,0.03222,0.09599161708416441,0.1000573396144747,0.10028085415956829,0.10964308003663671,0.10028085415956829,0.1096430800366367,0.1096430800366367,0.08999761406751851,0.1096430800366367,0.08999761406751851,-6.993324978914329e-4,-3.583486967110338e-4,-9.533604156398902e-4,-2.1881883446369488e-4,-9.533604156398909e-4,-2.1881883446369467e-4,-2.1881883446369375e-4,0.0100481041983824,-2.1881883446369375e-4,0.0100481041983824
1,0,1,0.25,0,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02466,0.02531,0.02446,0.02506,0.0245,0.02513,0.02498,0.03018,0.02494,0.03036,0.0961762131277291,0.10028216355461043,0.10044263121251064,0.10990571216701082,0.10044263121251062,0.10990571216701082,0.10990571216701082,0.08995826759000408,0.10990571216701082,0.08995826759000408,-1.1102540909094558e-4,9.953112900186078e-5,-3.048971324878626e-4,2.8130614913994493e-5,-3.0489713248786323e-4,2.8130614913993964e-5,2.8130614913994862e-5,0.007085271195280874,2.8130614913994862e-5,0.007085271195280874
1,0,1,0.25,0,-0.016666666666666663,-0.016666666666666663,-0.016666666666666663,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02512,0.02477,0.02475,0.02491,0.02459,0.02485,0.02489,0.02678,0.025,0.0268,0.09573683031818894,0.09989639889438943,0.10000489108924382,0.10951657525155105,0.10000489108924382,0.10951657525155105,0.10951657525155105,0.08924601455581503,0.10951657525155105,0.08924601455581503,-8.308054214962865e-5,1.3242845977309958e-5,-3.859960064571465e-4,-0.00020349963414929096,-3.8599600645714677e-4,-2.0349963414929031e-4,-2.0349963414929018e-4,0.0035655747240280556,-2.0349963414929018e-4,0.0035655747240280556
1,0,1,0.25,0,0,0,0,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02527,0.02572,0.02467,0.02471,0.02462,0.02454,0.02472,0.02504,0.02454,0.02528,0.09621363865325551,0.10024569014694663,0.1004674488409474,0.10974434304876689,0.1004674488409474,0.10974434304876689,0.10974434304876689,0.08970844406490297,0.10974434304876689,0.08970844406490297,6.469528823195807e-4,8.492656727467482e-4,4.931321684716996e-4,4.854092191726389e-4,4.93132168471699e-4,4.8540921917263904e-4,4.85409219172639e-4,4.0822838921519627e-4,4.85409219172639e-4,4.0822838921519627e-4
1,0,1,0.25,0,0.016666666666666663,0.016666666666666663,0.016666666666666663,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.0259,0.02586,0.02522,0.02521,0.02521,0.02528,0.02532,0.02438,0.02514,0.02402,0.0962137973553535,0.1002836486678777,0.10031653805194887,0.10977960002981509,0.10031653805194887,0.10977960002981507,0.10977960002981507,0.08988506769847183,0.10977960002981507,0.08988506769847183,6.7275616606955e-5,4.0346363181403635e-5,-5.25234379120587e-6,-9.840390212420397e-5,-5.2523437912060025e-6,-9.840390212420411e-5,-9.840390212420444e-5,-0.003354913627987581,-9.840390212420444e-5,-0.003354913627987581
1,0,1,0.25,0,0.033333333333333326,0.033333333333333326,0.033333333333333326,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02471,0.02454,0.0255,0.02588,0.02557,0.02581,0.02554,0.02124,0.02593,0.02087,0.09547607914104107,0.09948049941536274,0.0998881138022435,0.1093001422879878,0.0998881138022435,0.1093001422879878,0.1093001422879878,0.08942604190936781,0.1093001422879878,0.08942604190936781,3.4487042603723314e-5,-9.478651221047851e-5,1.3417631414546535e-4,-2.618997568343523e-4,1.3417631414546538e-4,-2.6189975683435236e-4,-2.618997568343531e-4,-0.007002607887731507,-2.618997568343531e-4,-0.007002607887731507
1,0,1,0.25,0,0.05000000000000002,0.05000000000000002,0.05000000000000002,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02608,0.02574,0.02619,0.02577,0.02616,0.02581,0.02568,0.01961,0.02584,0.01975,0.09602536008263528,0.10008009625194311,0.10031135961164707,0.10966556991188899,0.10031135961164707,0.10966556991188897,0.10966556991188897,0.09022967529321411,0.10966556991188897,0.09022967529321411,7.144612186016463e-4,4.020725598193172e-4,0.001057307421070695,5.168183868592432e-4,0.001057307421070695,5.168183868592426e-4,5.168183868592414e-4,-0.010026440440714898,5.168183868592414e-4,-0.010026440440714898
1,0,1,0.25,0,0.06666666666666668,0.06666666666666668,0.06666666666666668,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02569,0.02554,0.02595,0.02554,0.0259,0.0256,0.02572,0.0172,0.02535,0.01744,0.09594661071383159,0.10003373048013751,0.10032571745774099,0.10975036195077861,0.10032571745774098,0.10975036195077861,0.1097503619507786,0.09037168002839296,0.1097503619507786,0.09037168002839296,6.001089597695087e-4,2.660460329354081e-4,7.891789230967627e-4,1.2872009256228835e-4,7.891789230967631e-4,1.287200925622878e-4,1.2872009256228667e-4,-0.013616500595420925,1.2872009256228667e-4,-0.013616500595420925
1,0,1,0.25,0,0.08333333333333334,0.08333333333333334,0.08333333333333334,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02462,0.02424,0.026,0.02536,0.02596,0.0254,0.02523,0.0156,0.02541,0.01565,0.095897275924985,0.0999499410084666,0.10034242631758872,0.10971917679304348,0.1003424263175887,0.10971917679304348,0.10971917679304348,0.0911844693966941,0.10971917679304348,0.0911844693966941,3.8638969662455996e-4,8.965777088337634e-5,8.33881086073419e-4,6.186555042353274e-5,8.3388108607342e-4,6.186555042353304e-5,6.186555042353102e-5,-0.01734385264752375,6.186555042353102e-5,-0.01734385264752375
1,0,1,0.25,0,0.1,0.1,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H0,0.5,0.02552,0.02512,0.02589,0.02477,0.02579,0.02493,0.02502,0.01408,0.02486,0.01438,0.096226277933086607,0.10037654848462571,0.10058196497490333,0.10999656658781884,0.10058196497490333,0.10999656658781884,0.10999656658781884,0.09209059327934578,0.10999656658781884,0.09209059327934578,6.582665709431395e-4,8.577960941779861e-5,0.001172560714302309,9.123122508897665e-6,0.0011725607143023105,9.123122508897882e-6,9.123122508895556e-6,-0.020844297326888344,9.123122508895556e-6,-0.020844297326888344
