K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0.25,-0.15,-0.15,-0.15,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.73649,0.7051,0.69716,0.62646,0.69629,0.62568,0.62512,0.87965,0.6278,0.88095,0.09606295265421887,0.10000848630445927,0.10038002130163945,0.10942061939068441,0.10038002130163945,0.1094206193906844,0.1094206193906844,0.09481912753785132,0.1094206193906844,0.09481912753785132,-6.987217162945093e-4,8.584201019332543e-5,-0.001493194583228963,-2.8416062540006544e-6,-0.0014931945832289662,-2.841606254002139e-6,-2.8416062539927715e-6,0.03135671545539736,-2.8416062539927715e-6,0.03135671545539736
1,0,1,0.25,0.25,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.73523,0.70125,0.69442,0.62098,0.694,0.62005999999999994,0.61933,0.8698,0.62249,0.87142,0.09605142420673098,0.10012145763882568,0.10023099665924488,0.10945592738230357,0.10023099665924488,0.10945592738230357,0.10945592738230357,0.0936701599532059,0.10945592738230357,0.0936701599532059,-0.001484743449984593,-6.510683940810982e-4,-0.0022298466994469315,-5.858587281484687e-4,-0.002229846699446934,-5.858587281484689e-4,-5.858587281484602e-4,0.027105778143847046,-5.858587281484602e-4,0.027105778143847046
1,0,1,0.25,0.25,-0.11666666666666667,-0.11666666666666667,-0.11666666666666667,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.73635,0.70272,0.6964,0.62396,0.69602,0.6229,0.62232,0.86426,0.62487,0.86529,0.09610359141673248,0.1001286288595293,0.1002913477131445,0.10967423533469228,0.1002913477131445,0.10967423533469227,0.10967423533469227,0.09273629473647825,0.10967423533469227,0.09273629473647825,-9.023243137569009e-4,-2.9001760723134257e-4,-0.0016106394208661408,-4.6899212133267915e-4,-0.0016106394208661437,-4.6899212133267963e-4,-4.6899212133267166e-4,0.024257436162123676,-4.6899212133267166e-4,0.024257436162123676
1,0,1,0.25,0.25,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.73775,0.70363,0.69916,0.6258,0.69862,0.62554,0.62441,0.85617,0.62737,0.85752,0.09611096449198912,0.10027965991839528,0.1003546592146583,0.10960062392602297,0.1003546592146583,0.10960062392602297,0.10960062392602297,0.09207857023089326,0.10960062392602297,0.09207857023089326,-4.039006960318792e-4,1.1486894585085489e-4,-9.941865842384363e-4,8.48766186434035e-5,-9.94186584238439e-4,8.487661864340295e-5,8.487661864341059e-5,0.021177786044293618,8.487661864341059e-5,0.021177786044293618
1,0,1,0.25,0.25,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.73834,0.70445,0.69929,0.62362,0.69845,0.62318,0.62229,0.84704,0.62479,0.84833,0.0958981425738097,0.10002728811416375,0.10013021563863195,0.10967110121364565,0.10013021563863195,0.10967110121364565,0.10967110121364565,0.09105717456282629,0.10967110121364565,0.09105717456282629,-6.360151888272681e-4,-2.0308396222505753e-4,-0.0011584320655820602,-2.866887090331397e-4,-0.0011584320655820635,-2.8668870903314096e-4,-2.8668870903313294e-4,0.017160649900506735,-2.8668870903313294e-4,0.017160649900506735
1,0,1,0.25,0.25,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.73832,0.70373,0.70182,0.62627,0.70071,0.62547,0.62508,0.83628,0.6276,0.83819,0.09583363983345151,0.09996267750199354,0.10006412338352619,0.10952046708481078,0.10006412338352619,0.10952046708481078,0.10952046708481078,0.09044740839554233,0.10952046708481078,0.09044740839554233,-2.120440493719415e-4,1.6223861837252591e-4,-4.7615591534599336e-4,2.443908115855964e-4,-4.7615591534599634e-4,2.443908115855958e-4,2.443908115856031e-4,0.013839949881716402,2.443908115856031e-4,0.013839949881716402
1,0,1,0.25,0.25,-0.04999999999999999,-0.04999999999999999,-0.04999999999999999,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.73934,0.7037,0.70018,0.62506,0.69933,0.62424,0.62451,0.82807,0.62662,0.82915,0.09551733441857906,0.09962268544516122,0.09982695949646564,0.10932314442829126,0.09982695949646564,0.10932314442829126,0.10932314442829126,0.08973709169506172,0.10932314442829126,0.08973709169506172,-6.123727309133884e-4,-2.8794257404204856e-4,-8.97000622903086e-4,-3.414933813656363e-4,-8.970006229030886e-4,-3.4149338136563813e-4,-3.4149338136563157e-4,0.010187048137563246,-3.4149338136563157e-4,0.010187048137563246
1,0,1,0.25,0.25,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.74166,0.70589,0.70385,0.62655,0.70353,0.62626,0.62522,0.81979,0.62799,0.8211,0.09578429999266377,0.09990008425985587,0.10015088962747404,0.10957584863225396,0.10015088962747404,0.10957584863225396,0.10957584863225396,0.08953212784846239,0.10957584863225396,0.08953212784846239,2.3069683339101973e-4,3.709085969566547e-4,3.897394287154828e-5,3.5660290150963596e-4,3.8973942871546126e-5,3.566029015096351e-4,3.5660290150964165e-4,0.0074130640503266895,3.5660290150964165e-4,0.0074130640503266895
1,0,1,0.25,0.25,-0.016666666666666663,-0.016666666666666663,-0.016666666666666663,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.73975,0.70477,0.70157,0.62437,0.70119,0.62361,0.62327,0.8073,0.62591,0.80886,0.09571130583792054,0.09976007344506295,0.09991635900542326,0.10913977540755958,0.09991635900542326,0.10913977540755958,0.10913977540755956,0.08939575789141607,0.10913977540755956,0.08939575789141607,-3.2306674536373525e-4,-3.2757938555655114e-4,-3.534392415432299e-4,-4.081863218610052e-4,-3.5343924154323137e-4,-4.0818632186100594e-4,-4.0818632186100004e-4,0.0033909449919584593,-4.0818632186100004e-4,0.0033909449919584593
1,0,1,0.25,0.25,0,0,0,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.74004,0.70558,0.70241,0.62449,0.70136,0.62323,0.6233,0.79706,0.62584,0.79905,0.09583483191216513,0.09991336648707097,0.10021198563391893,0.10951743596164709,0.10021198563391893,0.10951743596164709,0.10951743596164709,0.08928195803144466,0.10951743596164709,0.08928195803144466,-1.026616429729828e-4,-1.7050115748694169e-4,-2.5284872699869975e-4,-4.93169762030938e-4,-2.528487269987017e-4,-4.93169762030939e-4,-4.931697620309332e-4,9.641682636939905e-5,-4.931697620309332e-4,9.641682636939905e-5
1,0,1,0.25,0.25,0.016666666666666663,0.016666666666666663,0.016666666666666663,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.74031,0.70381,0.70382,0.62461,0.70332,0.62423,0.6235,0.78704,0.62595,0.78797,0.09579170907164543,0.09971642520891603,0.10012848799441146,0.1095401209780627,0.10012848799441146,0.1095401209780627,0.1095401209780627,0.08939833931658821,0.1095401209780627,0.08939833931658821,2.49508981052384e-5,-8.73381822430515e-5,2.936584084854894e-4,1.8666456798960645e-4,2.9365840848548754e-4,1.8666456798960531e-4,1.8666456798961046e-4,-0.0033653778564410016,1.8666456798961046e-4,-0.0033653778564410016
1,0,1,0.25,0.25,0.033333333333333326,0.033333333333333326,0.033333333333333326,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.74081,0.70593,0.70353,0.62483,0.70265,0.62403,0.62394,0.77424,0.62601,0.77601,0.0956677995241744,0.09983479985923964,0.09989310773298483,0.10941680559861262,0.09989310773298483,0.10941680559861262,0.10941680559861262,0.08940018515683783,0.10941680559861262,0.08940018515683783,7.76258423570229e-5,-4.3411077639317963e-5,2.2331595192133535e-4,3.016918722740655e-6,2.2331595192133402e-4,3.016918722739366e-6,3.016918722744357e-6,-0.007227680032179042,3.016918722744357e-6,-0.007227680032179042
1,0,1,0.25,0.25,0.05000000000000002,0.05000000000000002,0.05000000000000002,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.74154,0.70506,0.70554,0.62622,0.70513,0.62565,0.62479,0.76362,0.62697,0.76456,0.09603872581659324,0.1002230692982263,0.10030098017924108,0.1097557222855611,0.10030098017924108,0.10975572228556109,0.10975572228556109,0.09009216925354388,0.10975572228556109,0.09009216925354388,5.951987896798343e-4,2.770108458958331e-4,9.905185155602652e-4,4.4806439529810385e-4,9.90518515560264e-4,4.480643952981028e-4,4.4806439529810764e-4,-0.010247283326506889,4.4806439529810764e-4,-0.010247283326506889
1,0,1,0.25,0.25,0.06666666666666668,0.06666666666666668,0.06666666666666668,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.73965,0.70425,0.70371,0.62452,0.70385,0.6233,0.62307,0.75,0.6254,0.75144,0.09581672437125698,0.09987740947051398,0.10015299744124256,0.1095132804813094,0.10015299744124256,0.1095132804813094,0.1095132804813094,0.09053903054695468,0.1095132804813094,0.09053903054695468,3.0138646165498e-4,6.0823588254988054e-6,4.982745397020015e-4,-1.1925712403610048e-4,4.982745397020006e-4,-1.1925712403610169e-4,-1.1925712403609708e-4,-0.01384770947486418,-1.1925712403609708e-4,-0.01384770947486418
1,0,1,0.25,0.25,0.08333333333333334,0.08333333333333334,0.08333333333333334,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.74244,0.70531,0.70498,0.62553,0.70483,0.62511,0.62404,0.738,0.62648,0.73986,0.09566715411554139,0.09969845490608996,0.09993895742973925,0.1092703836868882,0.09993895742973925,0.10927038368688818,0.10927038368688818,0.09096937059629404,0.10927038368688818,0.09096937059629404,7.052984071494113e-4,2.826022999706915e-4,0.0012280862762112418,3.2672981199144803e-4,0.0012280862762112407,3.2672981199144635e-4,3.2672981199145064e-4,-0.017193385646854457,3.2672981199145064e-4,-0.017193385646854457
1,0,1,0.25,0.25,0.1,0.1,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.74159,0.70529,0.70769,0.62722,0.70692,0.62632,0.62577,0.72588,0.6283,0.72782,0.09594392493848065,0.09998048356902854,0.10029958601799495,0.10960486302547706,0.10029958601799495,0.10960486302547706,0.10960486302547706,0.0918865732103588,0.10960486302547706,0.0918865732103588,9.96704754583185e-4,3.906590860519149e-4,0.001563849580592266,4.758512497462052e-4,0.001563849580592265,4.7585124974620316e-4,4.758512497462068e-4,-0.02067244836954301,4.758512497462068e-4,-0.02067244836954301
1,0,1,0.25,0.25,0.11666666666666667,0.11666666666666667,0.11666666666666667,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.74263,0.70344,0.70653,0.62208,0.70538,0.62184,0.62094,0.71161,0.62359,0.71359,0.09570492387500938,0.09983055249352038,0.10006818854703016,0.10922240982848996,0.10006818854703016,0.10922240982848996,0.10922240982848996,0.09253755194932942,0.10922240982848996,0.09253755194932942,4.5624519267651817e-4,-2.848837908806666e-4,8.538594882433855e-4,-4.8339507735135846e-4,8.538594882433853e-4,-4.833950773513592e-4,-4.8339507735135597e-4,-0.024368001798422263,-4.8339507735135597e-4,-0.024368001798422263
1,0,1,0.25,0.25,0.13333333333333333,0.13333333333333333,0.13333333333333333,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.74464,0.70417,0.71035,0.62594,0.70952,0.62556,0.62511,0.69984,0.62792,0.70219,0.09566328927034744,0.0998466228650797,0.09987811959375952,0.10941505804218711,0.09987811959375952,0.10941505804218711,0.10941505804218711,0.09346306025348511,0.10941505804218711,0.09346306025348511,0.001190855389803467,3.108320004463281e-4,0.0019237152740359394,3.3049030609359845e-4,0.001923715274035939,3.3049030609359704e-4,3.3049030609359997e-4,-0.027497268835403956,3.3049030609359997e-4,-0.027497268835403956
