K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0.25,0.1,-0.05,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H1,0.5,0.7353,0.68384,0.72513,0.62606,0.72467,0.6256,0.62516,0.77,0.62717,0.77202,0.09558249539794829,0.09969860259919709,0.10020164425793138,0.10931247961338252,0.10020164425793136,0.10931247961338252,0.10931247961338252,0.08963173099660275,0.10931247961338252,0.08963173099660275,-0.0017461020364566231,-0.006287028605393082,0.006561879118772427,1.470589447661022e-4,0.0065618791187724256,1.470589447661011e-4,1.4705894476610537e-4,-0.008340728867838338,1.4705894476610537e-4,-0.008340728867838338
1,0,1,0.25,0.25,0.1,-0.04,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H1,0.5,0.7354,0.68438,0.72428,0.625,0.7237,0.62394,0.62327,0.77028,0.62598,0.77192,0.09580144815205056,0.0999522703258373,0.10053546466648448,0.10977507906169688,0.10053546466648448,0.10977507906169688,0.10977507906169688,0.0897772201092613,0.10977507906169688,0.0897772201092613,-0.001439513532125709,-0.005989059067207687,0.006345803860015783,-8.420079319502557e-6,0.006345803860015781,-8.42007931950405e-6,-8.420079319499583e-6,-0.008330223840727924,-8.420079319499583e-6,-0.008330223840727924
1,0,1,0.25,0.25,0.1,-0.03,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H1,0.5,0.73739,0.68672,0.7247,0.62656,0.72472,0.62614,0.62532,0.76896,0.62761,0.77098,0.09580275598884065,0.10019015944437434,0.10034416672619086,0.109661968772599,0.10034416672619086,0.109661968772599,0.109661968772599,0.08986569399588673,0.109661968772599,0.08986569399588673,-8.68583894561451e-4,-0.0052908262605531695,0.006528943582424828,4.055704029962107e-4,0.006528943582424827,4.0557040299620944e-4,4.055704029962141e-4,-0.008475941024405855,4.055704029962141e-4,-0.008475941024405855
1,0,1,0.25,0.25,0.1,-0.02,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H1,0.5,0.74047,0.68918,0.72717,0.62949,0.72648,0.62887,0.6282,0.77174,0.63097,0.77372,0.09573288502742622,0.09981333748947703,0.10031729669510069,0.10942435702678881,0.10031729669510069,0.1094243570267888,0.1094243570267888,0.08958314434912189,0.1094243570267888,0.08958314434912189,1.918163654495553e-5,-0.004462440018656087,0.006908516840164323,5.953209037796691e-4,0.006908516840164322,5.953209037796682e-4,5.953209037796729e-4,-0.007813732376537789,5.953209037796729e-4,-0.007813732376537789
1,0,1,0.25,0.25,0.1,-0.01,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H1,0.5,0.73964,0.68802,0.72487,0.62532,0.72379,0.62488,0.62437,0.7696,0.62695,0.77166,0.09600107711273619,0.10006399717140214,0.10059930791347428,0.10965694189289188,0.10059930791347428,0.10965694189289187,0.10965694189289187,0.08979861055831519,0.10965694189289187,0.08979861055831519,5.8957460448271374e-5,-0.004434861664303389,0.006468067536854564,1.466193582127469e-4,0.006468067536854563,1.4661935821274577e-4,1.4661935821275092e-4,-0.00822946770860705,1.4661935821275092e-4,-0.00822946770860705
1,0,1,0.25,0.25,0.1,0,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H1,0.5,0.74256,0.69106,0.72623,0.62702,0.7259,0.62666,0.62645,0.76978,0.62808,0.77112,0.09584438386791988,0.10020140905317373,0.10027230859548036,0.10961774615221459,0.10027230859548036,0.10961774615221458,0.10961774615221458,0.08985472324303585,0.10961774615221458,0.08985472324303585,7.391666620236586e-4,-0.0036755958729111807,0.006790441889612561,6.235094005043945e-4,0.00679044188961256,6.235094005043922e-4,6.235094005043975e-4,-0.007826569757049342,6.235094005043975e-4,-0.007826569757049342
1,0,1,0.25,0.25,0.1,0.01,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H1,0.5,0.74162,0.69166,0.72349,0.62386,0.72294,0.62359,0.62299,0.76972,0.62492,0.77124,0.09598407250172289,0.10017323124956358,0.10044555606567115,0.10965016534950982,0.10044555606567115,0.10965016534950982,0.1096501653495098,0.08983973842112547,0.1096501653495098,0.08983973842112547,4.991941897574671e-4,-0.004036907090652761,0.006010601338792817,-3.9899745412160144e-4,0.006010601338792816,-3.9899745412160317e-4,-3.989974541215982e-4,-0.008575039832528844,-3.989974541215982e-4,-0.008575039832528844
1,0,1,0.25,0.25,0.1,0.02,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H1,0.5,0.74375,0.69322,0.72415,0.62479,0.72352,0.62462,0.62363,0.76988,0.62604,0.77181,0.09591779537233981,0.10007502937870416,0.10037078582030017,0.10958747583082072,0.10037078582030017,0.10958747583082072,0.10958747583082072,0.08969136306355202,0.10958747583082072,0.08969136306355202,0.00111106271966562,-0.003342460435969605,0.006185007983409423,-1.9321127646856355e-4,0.006185007983409422,-1.932112764685649e-4,-1.9321127646855992e-4,-0.008237369300404836,-1.9321127646855992e-4,-0.008237369300404836
1,0,1,0.25,0.25,0.1,0.03,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H1,0.5,0.74439,0.69279,0.72299,0.62372,0.72219,0.62312,0.62309,0.77026,0.62507,0.77182,0.09603330165868515,0.09998387145113524,0.10049923252243584,0.10947735186089622,0.10049923252243584,0.10947735186089622,0.10947735186089622,0.08980815143841273,0.10947735186089622,0.08980815143841273,0.001233466877226534,-0.0032253655492968892,0.005917371023927495,-3.883611904674727e-4,0.005917371023927494,-3.883611904674747e-4,-3.8836119046746997e-4,-0.008367181099725195,-3.8836119046746997e-4,-0.008367181099725195
1,0,1,0.25,0.25,0.1,0.04,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H1,0.5,0.74346,0.69447,0.72127,0.62325,0.72024,0.62252,0.62181,0.76689,0.62467,0.76897,0.09591463580668244,0.10016570033087516,0.10027204290843146,0.10956079191595425,0.10027204290843146,0.10956079191595425,0.10956079191595423,0.08984376093912708,0.10956079191595423,0.08984376093912708,0.0014425387279148516,-0.0030142683341323256,0.005823696848506115,-6.109989790278236e-4,0.005823696848506113,-6.109989790278246e-4,-6.109989790278199e-4,-0.008792162133980316,-6.109989790278199e-4,-0.008792162133980316
