K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0,0.1,-0.05,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.03577,0.03733,0.02471,0.025,0.02463,0.02488,0.025,0.04582,0.02487,0.04596,0.09716453703917795,0.10170302678276406,0.10036308582300398,0.10947921060460626,0.10036308582300398,0.10947921060460626,0.10947921060460626,0.0928069287365294,0.10947921060460626,0.0928069287365294,0.01578475517470334,0.019127114629746273,3.828000976079176e-4,3.209666323443104e-4,3.8280009760791755e-4,3.2096663234431195e-4,3.2096663234431396e-4,0.025237509129389,3.2096663234431396e-4,0.025237509129389
1,0,1,0.25,0,0.1,-0.04,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.03345,0.03564,0.02347,0.02411,0.02351,0.02408,0.02419,0.04432,0.02421,0.04452,0.09630964323009626,0.10087796000008983,0.09970350702058717,0.10918068560659212,0.09970350702058717,0.10918068560659212,0.10918068560659212,0.09224158532788525,0.10918068560659212,0.09224158532788525,0.013807975313261651,0.01686784703441533,-4.6677231525088086e-4,-5.702013741336287e-4,-0.00046677231525088097,-5.702013741336271e-4,-5.702013741336249e-4,0.024482722721213226,-5.702013741336249e-4,0.024482722721213226
1,0,1,0.25,0,0.1,-0.03,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.03471,0.03641,0.0248,0.02497,0.02479,0.02483,0.02493,0.04686,0.02469,0.04684,0.09713366516834487,0.10168439400348661,0.10035269656888679,0.10960280113114655,0.10035269656888679,0.10960280113114655,0.10960280113114655,0.09305609436917592,0.10960280113114655,0.09305609436917592,0.0134716510443054,0.016392634888269544,-6.720260468194247e-5,-1.8162404282548987e-5,-6.720260468194205e-5,-1.8162404282547377e-5,-1.8162404282545148e-5,0.024953154584326134,-1.8162404282545148e-5,0.024953154584326134
1,0,1,0.25,0,0.1,-0.02,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.03374,0.03571,0.02578,0.02601,0.02588,0.02618,0.02617,0.04727,0.02582,0.04753,0.09702791080694617,0.10139522133574641,0.10042181616810932,0.10973834815590058,0.10042181616810932,0.10973834815590058,0.10973834815590058,0.0931280385544395,0.10973834815590058,0.0931280385544395,0.012193970612428466,0.014915098328807764,7.666756300832422e-5,2.855010983046937e-4,7.66675630083245e-5,2.855010983046951e-4,2.8550109830469746e-4,0.025036692789456378,2.8550109830469746e-4,0.025036692789456378
1,0,1,0.25,0,0.1,-0.01,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.03241,0.03467,0.02487,0.02586,0.02513,0.02584,0.02579,0.04618,0.02582,0.04661,0.09667789401729579,0.10121498874425867,0.10026339541968914,0.1098103071573662,0.10026339541968914,0.1098103071573662,0.1098103071573662,0.09301167090978547,0.1098103071573662,0.09301167090978547,0.011256954920381658,0.013680968949623298,-2.1267405073095822e-4,-6.522072353032608e-5,-2.1267405073095824e-4,-6.522072353032463e-5,-6.522072353032265e-5,0.025013733429526966,-6.522072353032265e-5,0.025013733429526966
1,0,1,0.25,0,0.1,0,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.03302,0.03362,0.02584,0.02503,0.02573,0.02508,0.02514,0.04722,0.02522,0.04749,0.09669457903958355,0.10103229670043838,0.10041210300888477,0.10975039938199026,0.10041210300888477,0.10975039938199026,0.10975039938199026,0.09307026061631504,0.10975039938199026,0.09307026061631504,0.010461329764956106,0.012582426292546314,1.5390124819426602e-4,4.4026036005360506e-5,1.5390124819426594e-4,4.402603600536153e-5,4.402603600536416e-5,0.02512443241170275,4.402603600536416e-5,0.02512443241170275
1,0,1,0.25,0,0.1,0.01,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.03121,0.03253,0.0249,0.02501,0.02489,0.02519,0.02498,0.04665,0.02514,0.04696,0.09651523015066274,0.10075535622022792,0.10026423169095378,0.1094714364623335,0.10026423169095378,0.1094714364623335,0.1094714364623335,0.09292770355489698,0.1094714364623335,0.09292770355489698,0.009467562128246575,0.011344363097200057,2.4692088839506143e-4,1.3197507691998614e-4,2.4692088839506165e-4,1.3197507691998825e-4,1.319750769199902e-4,0.025117921603326113,1.319750769199902e-4,0.025117921603326113
1,0,1,0.25,0,0.1,0.02,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.02998,0.03108,0.02424,0.02425,0.02433,0.0241,0.02431,0.04598,0.02429,0.04598,0.09598157982465337,0.10010320730978907,0.10004732543961231,0.10940333103930215,0.10004732543961231,0.10940333103930214,0.10940333103930214,0.0928137721076995,0.10940333103930214,0.0928137721076995,0.008537292459228865,0.010412372890985589,3.7066178758744003e-4,5.529164159398507e-4,3.7066178758743943e-4,5.52916415939851e-4,5.529164159398536e-4,0.02528253782311195,5.529164159398536e-4,0.02528253782311195
1,0,1,0.25,0,0.1,0.03,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.02972,0.03078,0.02503,0.02487,0.02488,0.02469,0.02474,0.04625,0.02474,0.0466,0.0962575281000502,0.10049482644636457,0.10013364782557739,0.10939897699738332,0.10013364782557739,0.10939897699738332,0.10939897699738332,0.09294802021521524,0.10939897699738332,0.09294802021521524,0.007566472754078361,0.00926487913674406,2.753454225411692e-4,4.074896416157321e-4,2.7534542254116864e-4,4.074896416157332e-4,4.0748964161573567e-4,0.025339491624502088,4.0748964161573567e-4,0.025339491624502088
1,0,1,0.25,0,0.1,0.04,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.02954,0.03018,0.02529,0.02505,0.02506,0.02519,0.02531,0.04619,0.0253,0.04599,0.09629963374858781,0.10049912817794802,0.10033669629843002,0.10974926341932693,0.10033669629843002,0.10974926341932693,0.10974926341932692,0.092915029027468,0.10974926341932692,0.092915029027468,0.006454911317616369,0.007806269910121398,3.4814683096458444e-4,3.967986232453834e-4,3.481468309645842e-4,3.9679862324538414e-4,3.9679862324538674e-4,0.025156816644088344,3.9679862324538674e-4,0.025156816644088344
1,0,1,0.25,0,0.1,0.05,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.02805,0.02872,0.02462,0.02532,0.02473,0.02545,0.02538,0.04667,0.02542,0.04684,0.0960758295299438,0.10025700594901293,0.10020823460187327,0.1096983178260898,0.10020823460187327,0.1096983178260898,0.1096983178260898,0.09276209459355247,0.1096983178260898,0.09276209459355247,0.005196702402333204,0.00612961352779767,1.766323382894996e-4,1.8566245738698655e-5,1.7663233828949903e-4,1.8566245738699437e-5,1.8566245738701738e-5,0.025159730982801103,1.8566245738701738e-5,0.025159730982801103
1,0,1,0.25,0,0.1,0.06,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.02677,0.02757,0.02444,0.02471,0.02449,0.02464,0.02462,0.04558,0.02466,0.04588,0.09589128931387701,0.1000196989054539,0.10007177450307843,0.10959108977776495,0.10007177450307843,0.10959108977776495,0.10959108977776495,0.09258431292251479,0.10959108977776495,0.09258431292251479,0.003377418434669015,0.00419708111919335,-0.0010238075592265837,-0.001140419398310419,-0.0010238075592265837,-0.0011404193983104184,-0.0011404193983104163,0.024256373103155118,-0.0011404193983104163,0.024256373103155118
1,0,1,0.25,0,0.1,0.07,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.02736,0.02733,0.02518,0.02501,0.02509,0.0251,0.02513,0.04683,0.02519,0.04664,0.09626921545101488,0.10026806613152175,0.10038916179463826,0.10952018111483183,0.10038916179463826,0.10952018111483183,0.10952018111483183,0.09321569072253993,0.10952018111483183,0.09321569072253993,0.003148659452116866,0.003776913917520579,1.4211516697276627e-4,2.2259628987894743e-4,1.4211516697276608e-4,2.2259628987894765e-4,2.2259628987894966e-4,0.02493874738501312,2.2259628987894966e-4,0.02493874738501312
1,0,1,0.25,0,0.1,0.08,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.02599,0.02602,0.02449,0.02518,0.02452,0.02532,0.02528,0.04561,0.02514,0.04557,0.0959880391323586,0.10012321605410213,0.1002217895702283,0.10964227359228881,0.1002217895702283,0.1096422735922888,0.1096422735922888,0.09274689709583744,0.1096422735922888,0.09274689709583744,0.002034565830106455,0.0024504250817152596,-2.7117064257721738e-5,3.9408767305247334e-5,-2.711706425772225e-5,3.9408767305247206e-5,3.940876730524962e-5,0.024864431234499617,3.940876730524962e-5,0.024864431234499617
