K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0,-0.15,-0.15,-0.15,250,250,125,125,125,125,250,linear,continuous,EQ,H0,0.5,0.02507,0.02567,0.02495,0.02519,0.02492,0.02523,0.02518,0.00868,0.02536,0.00889,0.09558822012949346,0.0997420232364202,0.0998393520139933,0.1093119669117596,0.0998393520139933,0.1093119669117596,0.1093119669117596,0.09651225742385001,0.1093119669117596,0.09651225742385001,2.1654000316214273e-4,3.1247669300134214e-4,1.0958849792458859e-4,2.2073824571804872e-4,1.0958849792458845e-4,2.2073824571804856e-4,2.2073824571804536e-4,-0.03722139545978076,2.2073824571804536e-4,-0.03722139545978076
1,0,1,0.25,0,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,250,250,125,125,125,125,250,linear,continuous,EQ,H0,0.5,0.02436,0.02468,0.02461,0.02448,0.02465,0.02445,0.02455,0.00997,0.02443,0.00998,0.09574958694389715,0.09982986927754817,0.10001622206974645,0.10949624608219341,0.10001622206974645,0.10949624608219341,0.10949624608219341,0.09541494938059282,0.10949624608219341,0.09541494938059282,2.1984648070167827e-4,2.110918667360185e-4,2.743773416945837e-4,1.2339270007840058e-4,2.743773416945833e-4,1.2339270007840058e-4,1.2339270007839776e-4,-0.03321339765659729,1.2339270007839776e-4,-0.03321339765659729
1,0,1,0.25,0,-0.11666666666666667,-0.11666666666666667,-0.11666666666666667,250,250,125,125,125,125,250,linear,continuous,EQ,H0,0.5,0.02478,0.02518,0.02461,0.02565,0.02459,0.02562,0.02561,0.01063,0.02565,0.0105,0.09604282698253593,0.10027077030272634,0.10033250615157419,0.11004861406390176,0.10033250615157417,0.11004861406390176,0.11004861406390176,0.09425828814682967,0.11004861406390176,0.09425828814682967,-7.969539687890577e-5,-2.9762954292569314e-5,-2.063072921464992e-4,-1.748541467852143e-4,-2.063072921464991e-4,-1.7485414678521525e-4,-1.74854146785218e-4,-0.0293262425994349,-1.74854146785218e-4,-0.0293262425994349
1,0,1,0.25,0,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,250,250,125,125,125,125,250,linear,continuous,EQ,H0,0.5,0.02426,0.02483,0.02526,0.0248,0.02512,0.02473,0.02517,0.012070000000000001,0.02483,0.01216,0.0958737803497305,0.10007919832305265,0.10003491188902922,0.10944891514577483,0.10003491188902922,0.10944891514577483,0.10944891514577483,0.09294043656766085,0.10944891514577483,0.09294043656766085,-3.4194533185734116e-4,-4.027826927364892e-4,-2.7497531784985007e-4,-3.2001938535220555e-4,-2.749753178498506e-4,-3.200193853522056e-4,-3.200193853522079e-4,-0.0252983946859276,-3.200193853522079e-4,-0.0252983946859276
1,0,1,0.25,0,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,250,250,125,125,125,125,250,linear,continuous,EQ,H0,0.5,0.0259,0.02517,0.02585,0.0255,0.02579,0.02534,0.02525,0.01491,0.02545,0.01489,0.09594671800389884,0.09994244295379949,0.10021189280812821,0.10955424203143549,0.10021189280812821,0.10955424203143549,0.10955424203143549,0.09176357612012306,0.10955424203143549,0.09176357612012306,5.362307340905948e-4,4.89526352082696e-4,6.13801463282571e-4,4.331433685210686e-4,6.138014632825708e-4,4.331433685210684e-4,4.331433685210666e-4,-0.020319434321996687,4.331433685210666e-4,-0.020319434321996687
1,0,1,0.25,0,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,250,250,125,125,125,125,250,linear,continuous,EQ,H0,0.5,0.02598,0.0253,0.02518,0.02498,0.02516,0.02494,0.02514,0.01651,0.02517,0.01643,0.09596028982095506,0.09985034535688904,0.1001672296345559,0.10921721711010088,0.1001672296345559,0.10921721711010088,0.10921721711010088,0.09102126150733078,0.10921721711010088,0.09102126150733078,2.8929017578786716e-4,4.2266083078232666e-4,2.443488254384877e-4,3.0851990744789324e-4,2.443488254384879e-4,3.085199074478932e-4,3.0851990744789145e-4,-0.016468117482443746,3.0851990744789145e-4,-0.016468117482443746
1,0,1,0.25,0,-0.04999999999999999,-0.04999999999999999,-0.04999999999999999,250,250,125,125,125,125,250,linear,continuous,EQ,H0,0.5,0.02511,0.02502,0.02506,0.02525,0.02513,0.02535,0.02518,0.01706,0.02503,0.01695,0.09582422276288635,0.09990519446439952,0.10012105524417715,0.1095001880754832,0.10012105524417715,0.10950018807548319,0.10950018807548319,0.09008178461272807,0.10950018807548319,0.09008178461272807,4.58103231610965e-4,4.662009717123016e-4,4.909742146589404e-4,4.6357542559607117e-4,4.909742146589405e-4,4.6357542559607133e-4,4.635754255960699e-4,-0.011990355840868482,4.635754255960699e-4,-0.011990355840868482
1,0,1,0.25,0,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,250,250,125,125,125,125,250,linear,continuous,EQ,H0,0.5,0.02444,0.02476,0.0248,0.02443,0.02471,0.02434,0.02476,0.01983,0.02432,0.01988,0.09585579921388414,0.0998469479815428,0.10013871897256416,0.10946303051390431,0.10013871897256416,0.10946303051390431,0.10946303051390431,0.08974580807309965,0.10946303051390431,0.08974580807309965,-2.7760700415089004e-6,-5.4961846346970417e-5,-1.9683812996296385e-4,-4.0135723085313823e-4,-1.9683812996296394e-4,-4.013572308531386e-4,-4.0135723085313937e-4,-0.008406437549058055,-4.0135723085313937e-4,-0.008406437549058055
1,0,1,0.25,0,-0.016666666666666663,-0.016666666666666663,-0.016666666666666663,250,250,125,125,125,125,250,linear,continuous,EQ,H0,0.5,0.02494,0.02541,0.02466,0.02509,0.02482,0.02523,0.02508,0.0222,0.02485,0.02197,0.0957597334439404,0.10002829164870138,0.09995394712411404,0.10948748766852064,0.09995394712411404,0.10948748766852064,0.10948748766852064,0.08941088206469186,0.10948748766852064,0.08941088206469186,4.5559601322412634e-4,5.456026444242853e-4,3.291082008373035e-4,3.197324242596974e-4,3.291082008373035e-4,3.1973242425969734e-4,3.197324242596968e-4,-0.003667972645134223,3.197324242596968e-4,-0.003667972645134223
1,0,1,0.25,0,0,0,0,250,250,125,125,125,125,250,linear,continuous,EQ,H0,0.5,0.02495,0.02472,0.02493,0.025,0.02496,0.02524,0.02502,0.02519,0.02512,0.02532,0.09612631451596511,0.10032992682302751,0.10025458679993267,0.10963505393238641,0.10025458679993267,0.10963505393238641,0.10963505393238641,0.08976961165352862,0.10963505393238641,0.08976961165352862,3.2461887782218304e-4,3.144327244000248e-4,2.0139126266936254e-4,2.090989526787148e-4,2.0139126266936237e-4,2.0909895267871484e-4,2.0909895267871498e-4,2.284879354922751e-4,2.0909895267871498e-4,2.284879354922751e-4
1,0,1,0.25,0,0.016666666666666663,0.016666666666666663,0.016666666666666663,250,250,125,125,125,125,250,linear,continuous,EQ,H0,0.5,0.0249,0.0252,0.02499,0.02518,0.02523,0.02513,0.02527,0.02803,0.02515,0.02817,0.09579678884837955,0.09993865922954821,0.10003819537112559,0.10954739381085442,0.10003819537112559,0.1095473938108544,0.1095473938108544,0.08942706977333405,0.1095473938108544,0.08942706977333405,-2.6912518419668013e-5,-2.087187841281042e-5,1.9201282606588578e-4,2.2259034491537767e-4,1.9201282606588576e-4,2.2259034491537843e-4,2.2259034491537862e-4,0.00425699707038283,2.2259034491537862e-4,0.00425699707038283
1,0,1,0.25,0,0.033333333333333326,0.033333333333333326,0.033333333333333326,250,250,125,125,125,125,250,linear,continuous,EQ,H0,0.5,0.02439,0.02434,0.02449,0.02488,0.02454,0.02497,0.02497,0.03088,0.02523,0.03095,0.09587970535138954,0.10001480342288052,0.10005894034250379,0.10934970968946639,0.10005894034250379,0.10934970968946639,0.10934970968946638,0.0898140051623821,0.10934970968946638,0.0898140051623821,4.717103993335249e-4,4.253946256913241e-4,5.03094307482026e-4,4.689322884196624e-4,5.030943074820261e-4,4.689322884196627e-4,4.6893228841966356e-4,0.008616307277953343,4.6893228841966356e-4,0.008616307277953343
