K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0,-0.15,-0.15,-0.15,250,250,125,125,125,125,250,stepwise,continuous,EQ,H0,0.5,0.01131,0.025,0.00981,0.02502,0.00975,0.02515,0.02528,0.00227,0.02494,0.0023,0.10028348653122943,0.0997219426117964,0.10642252662232914,0.10939555031330568,0.10642252662232914,0.10939555031330568,0.10939555031330567,0.11679843688876228,0.10939555031330567,0.11679843688876228,-0.030289116630955834,-2.062300451568342e-4,-0.03704629314877507,-1.3639844876431686e-4,-0.03704629314877507,-1.3639844876431881e-4,-1.3639844876432554e-4,-0.07521066152665255,-1.3639844876432554e-4,-0.07521066152665255
1,0,1,0.25,0,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,250,250,125,125,125,125,250,stepwise,continuous,EQ,H0,0.5,0.01266,0.02574,0.01087,0.0249,0.01071,0.02493,0.02491,0.00349,0.02525,0.00348,0.09985162919752427,0.10044244401810692,0.10552071881561564,0.10967565491337737,0.10552071881561564,0.10967565491337737,0.10967565491337737,0.1116816073763952,0.10967565491337737,0.1116816073763952,-0.026412516616299692,2.6983832963839774e-4,-0.0325577304175119,4.8148520416825784e-5,-0.0325577304175119,4.81485204168243e-5,4.814852041681841e-5,-0.06636382625622188,4.814852041681841e-5,-0.06636382625622188
1,0,1,0.25,0,-0.11666666666666667,-0.11666666666666667,-0.11666666666666667,250,250,125,125,125,125,250,stepwise,continuous,EQ,H0,0.5,0.01405,0.02536,0.01232,0.02467,0.01241,0.02484,0.02492,0.00476,0.02458,0.00479,0.09867542894521207,0.09996709667615884,0.10390927991537571,0.10909547214652716,0.10390927991537571,0.10909547214652716,0.10909547214652716,0.10653814340910744,0.10909547214652716,0.10653814340910744,-0.02299457061747239,3.8310403887703787e-4,-0.028207065410015737,5.315245907829784e-4,-0.028207065410015737,5.315245907829767e-4,5.315245907829714e-4,-0.05781259364665008,5.315245907829714e-4,-0.05781259364665008
1,0,1,0.25,0,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,250,250,125,125,125,125,250,stepwise,continuous,EQ,H0,0.5,0.01455,0.02474,0.01311,0.02506,0.01311,0.02498,0.02481,0.0058,0.02499,0.00595,0.09777999913198157,0.09994447229849153,0.10278740048565273,0.10920696015723066,0.10278740048565273,0.10920696015723066,0.10920696015723066,0.10221121065780277,0.10920696015723066,0.10221121065780277,-0.019954507991366784,-1.1429019786652741e-4,-0.024562220064812318,-2.147414388601705e-4,-0.024562220064812318,-2.1474143886017068e-4,-2.1474143886017616e-4,-0.0498470745932691,-2.1474143886017616e-4,-0.0498470745932691
1,0,1,0.25,0,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,250,250,125,125,125,125,250,stepwise,continuous,EQ,H0,0.5,0.01656,0.02488,0.01538,0.02574,0.01534,0.02579,0.02589,0.00783,0.02576,0.00798,0.09732336189167004,0.10010965703630312,0.102259075793857,0.10984851197898055,0.102259075793857,0.10984851197898055,0.10984851197898055,0.09837143224755888,0.10984851197898055,0.09837143224755888,-0.01610389798395358,4.37189667275417e-4,-0.019857747300513984,4.937594044371698e-4,-0.019857747300513984,4.937594044371684e-4,4.937594044371649e-4,-0.04092721438254754,4.937594044371649e-4,-0.04092721438254754
1,0,1,0.25,0,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,250,250,125,125,125,125,250,stepwise,continuous,EQ,H0,0.5,0.01795,0.02545,0.0168,0.02486,0.0167,0.02479,0.02488,0.00965,0.02484,0.00973,0.09682906859221373,0.09996028849253301,0.10152900543495011,0.10946970231805843,0.10152900543495011,0.10946970231805843,0.10946970231805843,0.0952809865836366,0.10946970231805843,0.0952809865836366,-0.01312921743232778,1.5880889989150683e-4,-0.016152157300007193,2.76981470425887e-4,-0.016152157300007193,2.7698147042588595e-4,2.76981470425883e-4,-0.03319969075169071,2.76981470425883e-4,-0.03319969075169071
1,0,1,0.25,0,-0.04999999999999999,-0.04999999999999999,-0.04999999999999999,250,250,125,125,125,125,250,stepwise,continuous,EQ,H0,0.5,0.01915,0.02455,0.01832,0.0246,0.01839,0.02464,0.02472,0.01259,0.02475,0.01255,0.09650596518923917,0.09987747481839084,0.10101930645050584,0.10942699607227674,0.10101930645050584,0.10942699607227672,0.10942699607227672,0.09297172248841228,0.10942699607227672,0.09297172248841228,-0.010560362147996077,-6.45667492881223e-4,-0.01276533733225993,-5.350866970105031e-4,-0.01276533733225993,-5.350866970105035e-4,-5.350866970105062e-4,-0.02543029956762386,-5.350866970105062e-4,-0.02543029956762386
1,0,1,0.25,0,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,250,250,125,125,125,125,250,stepwise,continuous,EQ,H0,0.5,0.02112,0.02483,0.02028,0.02534,0.02035,0.02545,0.02543,0.01639,0.02559,0.01644,0.09639180263554674,0.10016285707918862,0.1006254639651762,0.10958507584030024,0.1006254639651762,0.10958507584030022,0.10958507584030022,0.09130179740516284,0.10958507584030022,0.09130179740516284,-0.007048005565539898,-3.47855854270822e-4,-0.008590189136072865,-1.8968903361091767e-4,-0.008590189136072865,-1.8968903361091748e-4,-1.8968903361091903e-4,-0.016767090770767948,-1.8968903361091903e-4,-0.016767090770767948
1,0,1,0.25,0,-0.016666666666666663,-0.016666666666666663,-0.016666666666666663,250,250,125,125,125,125,250,stepwise,continuous,EQ,H0,0.5,0.02226,0.02476,0.02218,0.02469,0.02205,0.02486,0.02475,0.01996,0.02489,0.02,0.09569779880117264,0.09985532129820293,0.09994292807850938,0.10936631996000547,0.09994292807850938,0.10936631996000547,0.10936631996000547,0.08982341994254636,0.10936631996000547,0.08982341994254636,-0.003590055004488659,-1.2188053813111967e-4,-0.004298315087712359,-1.0651172434380978e-4,-0.004298315087712359,-1.0651172434381028e-4,-1.0651172434381098e-4,-0.008555291591650842,-1.0651172434381098e-4,-0.008555291591650842
1,0,1,0.25,0,0,0,0,250,250,125,125,125,125,250,stepwise,continuous,EQ,H0,0.5,0.02453,0.0237,0.02463,0.02395,0.02456,0.02388,0.02417,0.02423,0.02388,0.02436,0.0957087549807799,0.09985975975744749,0.09984248977587312,0.10933976109981687,0.09984248977587312,0.10933976109981686,0.10933976109981686,0.08923965102249433,0.10933976109981686,0.08923965102249433,1.0238220438600532e-4,5.4277012763435215e-5,6.401301159407974e-5,-5.440997679581163e-5,6.401301159407959e-5,-5.440997679581183e-5,-5.440997679581195e-5,9.447474939861236e-5,-5.440997679581195e-5,9.447474939861236e-5
1,0,1,0.25,0,0.016666666666666663,0.016666666666666663,0.016666666666666663,250,250,125,125,125,125,250,stepwise,continuous,EQ,H0,0.5,0.02674,0.02484,0.02666,0.02479,0.02665,0.02478,0.02491,0.03047,0.02474,0.03028,0.09578638050346443,0.09984402089755601,0.10000522412463429,0.10932432874775623,0.10000522412463429,0.10932432874775622,0.10932432874775622,0.08964086611252924,0.10932432874775622,0.08964086611252924,0.0030744579288204984,-1.6381443529167467e-4,0.003792628687018953,-1.5494136763737865e-4,0.003792628687018952,-1.549413676373781e-4,-1.549413676373772e-4,0.00813941110114055,-1.549413676373772e-4,0.00813941110114055
