K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0.25,-0.15,-0.15,-0.15,250,250,125,125,125,125,250,stepwise,continuous,EQ,H1,0.5,0.62777,0.70268,0.5638,0.62416,0.56311,0.62361,0.6226,0.49447,0.62484,0.49724,0.10018623221117223,0.09958888332248322,0.10646655543735616,0.10928906982042837,0.10646655543735614,0.10928906982042837,0.10928906982042837,0.116536372759887,0.10928906982042837,0.116536372759887,-0.03035437173563226,-4.156002868285237e-4,-0.03704743776754269,-2.2737740216519312e-4,-0.03704743776754269,-2.273774021651963e-4,-2.273774021651974e-4,-0.07516396878343426,-2.273774021651974e-4,-0.07516396878343426
1,0,1,0.25,0.25,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,250,250,125,125,125,125,250,stepwise,continuous,EQ,H1,0.5,0.64163,0.70366,0.57985,0.62474,0.57898,0.62469,0.62359,0.53251,0.62598,0.53507,0.0998953543148935,0.10040058152882846,0.10564045958505093,0.1097575926837742,0.10564045958505093,0.1097575926837742,0.1097575926837742,0.11186586283470881,0.1097575926837742,0.11186586283470881,-0.026718315952791966,-9.93724319418048e-5,-0.032832770210596204,-1.0327818188952216e-4,-0.03283277021059621,-1.0327818188952507e-4,-1.0327818188952521e-4,-0.06671902682222401,-1.0327818188952521e-4,-0.06671902682222401
1,0,1,0.25,0.25,-0.11666666666666667,-0.11666666666666667,-0.11666666666666667,250,250,125,125,125,125,250,stepwise,continuous,EQ,H1,0.5,0.65657,0.70578,0.59908,0.62544,0.59849,0.62518,0.625,0.5703,0.62654,0.57264,0.09918234766945135,0.10070115191453059,0.1045952438535643,0.1101897643829091,0.1045952438535643,0.1101897643829091,0.1101897643829091,0.10707276486497186,0.1101897643829091,0.10707276486497186,-0.022897540724153058,4.349570881824834e-4,-0.02814845915977349,3.880398026110085e-4,-0.028148459159773494,3.8803980261100605e-4,3.8803980261100637e-4,-0.058093428856796046,3.8803980261100637e-4,-0.058093428856796046
1,0,1,0.25,0.25,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,250,250,125,125,125,125,250,stepwise,continuous,EQ,H1,0.5,0.66691,0.70241,0.61093,0.62336,0.60975,0.62281,0.62198,0.60418,0.62491,0.60664,0.0981835684567666,0.10018410143521782,0.10333995365824618,0.10972734091843772,0.10333995365824618,0.10972734091843772,0.10972734091843772,0.10272747486964853,0.10972734091843772,0.10272747486964853,-0.02021000102409121,-1.9000122381431682e-4,-0.024773883142371465,-2.3538710474404434e-4,-0.02477388314237147,-2.3538710474404643e-4,-2.3538710474404524e-4,-0.050241446319456304,-2.3538710474404524e-4,-0.050241446319456304
1,0,1,0.25,0.25,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,250,250,125,125,125,125,250,stepwise,continuous,EQ,H1,0.5,0.68222,0.70411,0.6289,0.62472,0.62856,0.62445,0.62365,0.64226,0.62581,0.64381,0.09726350210848361,0.09990158898627788,0.10195170413221134,0.10932478235821357,0.10195170413221134,0.10932478235821357,0.10932478235821357,0.09859402121696605,0.10932478235821357,0.09859402121696605,-0.016525165645440505,4.558511895530342e-5,-0.02024137983702208,8.830390459981271e-5,-0.020241379837022084,8.83039045998102e-5,8.830390459981248e-5,-0.04161675618756042,8.830390459981248e-5,-0.04161675618756042
1,0,1,0.25,0.25,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,250,250,125,125,125,125,250,stepwise,continuous,EQ,H1,0.5,0.69038,0.70247,0.64248,0.62416,0.64214,0.62311,0.62287,0.67465,0.62562,0.67603,0.097170849961553,0.10033738660095107,0.10175557102715833,0.10978022462165837,0.10175557102715833,0.10978022462165837,0.10978022462165837,0.09574726328370028,0.10978022462165837,0.09574726328370028,-0.013200646566906392,2.051670022064903e-4,-0.016332725809004956,-2.376142395358269e-5,-0.016332725809004956,-2.3761423953583924e-5,-2.376142395358104e-5,-0.03327279092402843,-2.376142395358104e-5,-0.03327279092402843
1,0,1,0.25,0.25,-0.04999999999999999,-0.04999999999999999,-0.04999999999999999,250,250,125,125,125,125,250,stepwise,continuous,EQ,H1,0.5,0.70614,0.70477,0.65923,0.62592,0.65877,0.62572,0.62498,0.71034,0.62722,0.71201,0.09625088715489968,0.0997906135133229,0.1006505631671882,0.10924355869545559,0.1006505631671882,0.10924355869545559,0.10924355869545559,0.09259263692689426,0.10924355869545559,0.09259263692689426,-0.009886188211092474,4.52621122995237e-5,-0.012044311819218355,1.4217891961790485e-4,-0.012044311819218358,1.4217891961790317e-4,1.4217891961790672e-4,-0.02492892619121895,1.4217891961790672e-4,-0.02492892619121895
1,0,1,0.25,0.25,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,250,250,125,125,125,125,250,stepwise,continuous,EQ,H1,0.5,0.71733,0.70452,0.67411,0.62651,0.67338,0.62594,0.62545,0.73992,0.62771,0.74232,0.0961369684855506,0.10000037499733709,0.10044322782440492,0.10943516293605669,0.10044322782440492,0.10943516293605669,0.10943516293605669,0.09085773028391654,0.10943516293605669,0.09085773028391654,-0.00644285347825645,2.961113374546602e-4,-0.00799379938517129,1.5170147709108053e-4,-0.007993799385171292,1.5170147709107838e-4,1.5170147709108237e-4,-0.016433521247032564,1.5170147709108237e-4,-0.016433521247032564
1,0,1,0.25,0.25,-0.016666666666666663,-0.016666666666666663,-0.016666666666666663,250,250,125,125,125,125,250,stepwise,continuous,EQ,H1,0.5,0.72882,0.7044,0.68824,0.62422,0.6874,0.62357,0.62277,0.7701,0.62534,0.77183,0.09600964083408638,0.10017232786285152,0.10012998282838932,0.10970497055401426,0.10012998282838932,0.10970497055401426,0.10970497055401426,0.08986989092722199,0.10970497055401426,0.08986989092722199,-0.003369924553198242,-3.6921413334800124e-5,-0.004187399793081612,-1.304017002303623e-4,-0.004187399793081615,-1.3040170023036334e-4,-1.3040170023035822e-4,-0.008418417108105727,-1.3040170023035822e-4,-0.008418417108105727
1,0,1,0.25,0.25,0,0,0,250,250,125,125,125,125,250,stepwise,continuous,EQ,H1,0.5,0.74233,0.70633,0.70564,0.62826,0.70514,0.62778,0.62717,0.80021,0.62883,0.80139,0.09573806479397987,0.0999964711256333,0.10019041899249159,0.10978876602206003,0.10019041899249159,0.10978876602206003,0.10978876602206003,0.08945806261322631,0.10978876602206003,0.08945806261322631,4.7007703684770556e-4,4.0317791670300783e-4,5.496843080735883e-4,6.0427492863882e-4,5.496843080735858e-4,6.042749286388181e-4,6.042749286388243e-4,5.084866540292852e-4,6.042749286388243e-4,5.084866540292852e-4
