K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n01,n11,n02,n12,n22,n03,n23,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.2282587,-0.5,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.026,0.0275,0.02347,0.02472,0.02347,0.02472,0.02562,0.01562,0.02438,0.01409,0.19768581553774098,0.20200432441157426,0.19901292791408565,0.208241533417052,0.1990129279140855,0.20824153341705184,0.2076603264472126,0.1931562890719749,0.2076603264463613,0.19315628907112478,0.008299912502822237,0.011803304221755219,9.899909670259036e-4,3.547513626376584e-4,9.89990967025881e-4,3.547513626376185e-4,3.548940894227937e-4,-0.03877912063069469,3.5489408942233116e-4,-0.03877912063060314
1,0.7,1,1.8,1,-0.2282587,-0.4444444444444444,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02656,0.02762,0.02444,0.02496,0.02444,0.02496,0.02562,0.01668,0.02463,0.01502,0.19906598678929593,0.2031101871860846,0.20042409127179361,0.20906085221529372,0.20042409127179342,0.20906085221529352,0.20847896910052238,0.19476732211962394,0.20847896909966956,0.1947673221187668,0.006259322085038968,0.009297204371186809,3.996240323661492e-4,2.2421787004905052e-4,3.996240323661419e-4,2.242178700490383e-4,2.2488564370336757e-4,-0.03923629095901062,2.2488564370038642e-4,-0.039236290958917154
1,0.7,1,1.8,1,-0.2282587,-0.3888888888888889,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02584,0.02664,0.0246,0.02477,0.0246,0.02477,0.02552,0.01566,0.02445,0.01408,0.19903868075714287,0.20320843692992874,0.20048082147210694,0.20936691307401964,0.20048082147210677,0.2093669130740194,0.208779239502295,0.19494433573294034,0.20877923950143912,0.19494433573208156,0.003982733738316139,0.006081508842256156,-4.3823152149162454e-4,-8.315782111957043e-4,-4.3823152149165707e-4,-8.315782111957358e-4,-8.336373855509287e-4,-0.04010139577455577,-8.336373855491469e-4,-0.04010139577445945
1,0.7,1,1.8,1,-0.2282587,-0.33333333333333337,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02578,0.02621,0.02488,0.02501,0.02488,0.02501,0.02559,0.01651,0.02468,0.01475,0.19904524184001635,0.20314396217082434,0.20050132708963972,0.2092828883980582,0.20050132708963952,0.20928288839805786,0.20869712182122852,0.19445979665510685,0.20869712182037425,0.19445979665425228,0.0032366510013506376,0.004712872774933156,2.780275351389902e-4,5.65977230254056e-5,2.780275351390179e-4,5.6597723025460264e-5,5.63138645581807e-5,-0.039363397298028985,5.631386455678467e-5,-0.039363397297936045
1,0.7,1,1.8,1,-0.2282587,-0.2777777777777778,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02511,0.02594,0.02471,0.02488,0.02471,0.02488,0.02569,0.01576,0.02465,0.01442,0.19903704205269646,0.20318795464264977,0.2005780899936754,0.20932736883782105,0.20057808999367502,0.20932736883782047,0.20873653755211927,0.19465347934926838,0.20873653755126798,0.19465347934841298,0.002042827065266643,0.0027486418118818057,6.970110743156707e-4,5.313449959308079e-4,6.970110743156869e-4,5.313449959306896e-4,5.319655968447184e-4,-0.03908189010043844,5.319655968405215e-4,-0.039081890100346225
1,0.7,1,1.8,1,-0.2282587,-0.2222222222222222,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02422,0.0245,0.02423,0.0248,0.02423,0.0248,0.0255,0.0157,0.02457,0.01404,0.19881636635037991,0.20293994260639628,0.20021639350620007,0.20886648181601744,0.20021639350619966,0.20886648181601672,0.20828045930082595,0.19468392398853968,0.2082804592999635,0.19468392398768491,-4.2093876034699315e-4,-3.5290807692094675e-4,-4.069016906327794e-4,-5.229838980492609e-4,-4.069016906326713e-4,-5.229838980491805e-4,-5.232470710296336e-4,-0.04006322278634031,-5.232470710722893e-4,-0.040063222786240284
1,0.7,1,1.8,1,-0.2282587,-0.16666666666666669,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02427,0.02384,0.02457,0.02471,0.02457,0.02471,0.02546,0.01646,0.02446,0.01493,0.1994478535516387,0.2035351194070578,0.20080635647179323,0.20947053472162652,0.20080635647179243,0.20947053472162552,0.20888315944647853,0.19478118984756515,0.20888315944562424,0.1947811898467082,-0.0013379458277411117,-0.0020890234872491466,2.3626072059487204e-4,2.5807050170897885e-5,2.3626072059480636e-4,2.580705017098014e-5,2.4540581532374917e-5,-0.03946296809634592,2.4540581533512577e-5,-0.039462968096250134
1,0.7,1,1.8,1,-0.2282587,-0.11111111111111116,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.0236,0.02351,0.02453,0.02548,0.02453,0.02548,0.02629,0.01579,0.0252,0.01395,0.19935167710797605,0.203583643239871,0.2007483947782596,0.20928007902954238,0.20074839477825845,0.20928007902954152,0.20868917870158946,0.19476745589578645,0.2086891787007332,0.19476745589492744,-0.0030163174052109396,-0.004788446493642048,-1.3349581806160047e-4,-5.368954571638442e-4,-1.3349581806186412e-4,-5.368954571639318e-4,-5.355298228422341e-4,-0.0396109269608872,-5.355298228396977e-4,-0.03961092696078975
1,0.7,1,1.8,1,-0.2282587,-0.05555555555555558,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02317,0.02232,0.02458,0.02458,0.02458,0.02458,0.02539,0.01624,0.02425,0.01478,0.19871758933533143,0.20317840691788214,0.19997394759927012,0.2085537879893532,0.19997394759926884,0.20855378798935195,0.20797864993599663,0.19437435921069007,0.2079786499351449,0.19437435920983112,-0.0032949967292805267,-0.005427214185195032,8.453215491070783e-4,8.870702332282794e-4,8.453215491072343e-4,8.870702332283023e-4,8.848611839884033e-4,-0.03875528965120329,8.848611839847102e-4,-0.03875528965110961
1,0.7,1,1.8,1,-0.2282587,0,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02299,0.02207,0.02441,0.02484,0.02441,0.02484,0.02551,0.01624,0.02445,0.01442,0.1994699367725071,0.20387778372346388,0.20062448386315973,0.20916292551103585,0.200624483863158,0.2091629255110347,0.2085741791338153,0.19516280960022636,0.20857417913296197,0.19516280959936785,-0.00682126467884487,-0.009899857943964467,-0.0013041347079711543,-0.0014500441090168521,-0.001304134707971029,-0.0014500441090168302,-0.0014475842702420857,-0.04077378614113966,-0.0014475842702366753,-0.04077378614103808
1,0.7,1,1.8,1,-0.2282587,0.05555555555555558,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02206,0.02224,0.02408,0.02496,0.02408,0.02496,0.0257,0.01575,0.02465,0.01406,0.1989979192346378,0.20398108123921455,0.2000621659249138,0.20894680568149707,0.20006216592491152,0.20894680568149523,0.20835967235307365,0.19478853581296734,0.2083596723522213,0.1947885358121104,-0.0072092030324217155,-0.011124737370470837,-1.8794832837775938e-4,-4.2736888213560856e-4,-1.879483283778034e-4,-4.273688821357559e-4,-4.234680094102408e-4,-0.03972400063564959,-4.2346800940828777e-4,-0.03972400063555205
