K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n01,n11,n02,n12,n22,n03,n23,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,0.2513144,-0.5,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.03068,0.03485,0.02437,0.02511,0.02437,0.02511,0.02593,0.045,0.02478,0.03937,0.21209966850067172,0.21729350049286608,0.2132104608978785,0.22285208795381564,0.2132104608978785,0.22285208795381553,0.22222544350988563,0.2078033492901377,0.22222544350956736,0.20780334928963465,0.024301899512866033,0.03481839435347161,7.623523845118504e-4,2.7530057585404774e-4,7.623523845119039e-4,2.753005758541041e-4,2.760582221231207e-4,0.04805387966975106,2.7605822211760033e-4,0.04805387966978187
1,0.7,1,1.8,1,0.2513144,-0.4444444444444444,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.03051,0.03483,0.02457,0.02564,0.02457,0.02564,0.02666,0.0467,0.02534,0.0412,0.21376768311204566,0.2187629156156182,0.21514613640300814,0.22500713295738412,0.2151461364030081,0.22500713295738403,0.2243695322666359,0.20925589557889734,0.22436953226633377,0.2092558955784085,0.021558331373668645,0.03147251658753693,-7.848341221491452e-5,-3.815011719004366e-4,-7.848341221489286e-5,-3.815011719004099e-4,-3.8088362850300376e-4,0.04783400873402108,-3.808836284951632e-4,0.047834008734065195
1,0.7,1,1.8,1,0.2513144,-0.3888888888888889,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02933,0.0317,0.02333,0.02403,0.02333,0.02403,0.0249,0.04497,0.0237,0.03968,0.21148290861499416,0.21629256708977151,0.2129302580752065,0.22276254097324444,0.21293025807520638,0.22276254097324424,0.22213613791974102,0.20707179914169607,0.2221361379194336,0.20707179914120238,0.018805057018918846,0.027892609872250285,-9.061126474447271e-4,-0.0011125253581872052,-9.061126474447216e-4,-0.001112525358187165,-0.0011081197624418385,0.04699131358325007,-0.001108119762448577,0.04699131358328189
1,0.7,1,1.8,1,0.2513144,-0.33333333333333337,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02908,0.03248,0.0243,0.02502,0.0243,0.02502,0.02595,0.04615,0.02482,0.04039,0.21302096051585329,0.2180665623364734,0.21432310550183115,0.22417969316517264,0.21432310550183106,0.22417969316517253,0.2235493544149674,0.20886675083090042,0.2235493544146619,0.2088667508304061,0.019212475408334068,0.027467657706051016,0.0014095644738624368,0.0011302060498641832,0.001409564473862439,0.0011302060498641906,0.0011266990565963026,0.048817312701775493,0.00112669905659509,0.04881731270180928
1,0.7,1,1.8,1,0.2513144,-0.2777777777777778,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02932,0.03171,0.02515,0.02521,0.02515,0.02521,0.02606,0.04548,0.02494,0.04009,0.21255569774836,0.2173671831298794,0.2140609003092882,0.223981014382556,0.2140609003092881,0.22398101438255577,0.22335525033977247,0.2085082042325769,0.22335525033957734,0.20850820423207833,0.01722669582887758,0.024821669179397862,0.001162180093773512,8.376076240748285e-4,0.0011621800937735287,8.376076240749064e-4,8.310577419058588e-4,0.048349627919555375,8.310577422941936e-4,0.048349627919587815
1,0.7,1,1.8,1,0.2513144,-0.2222222222222222,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02888,0.0304,0.02514,0.02501,0.02514,0.02501,0.02593,0.04551,0.02469,0.04037,0.21285136356577936,0.21733137745374348,0.2146339877375727,0.22432638367676483,0.21463398773757258,0.22432638367676477,0.2236927709205688,0.20863085333236625,0.22369277092025677,0.208630853331861,0.014228679244860157,0.020810832897053065,3.673207524203864e-5,-4.5921224041759964e-4,3.673207524201505e-5,-4.592122404174456e-4,-4.54490623277897e-4,0.047616488461493654,-4.5449062328340643e-4,0.04761648846152421
1,0.7,1,1.8,1,0.2513144,-0.16666666666666669,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02771,0.02971,0.02416,0.02472,0.02416,0.02472,0.02558,0.04442,0.02445,0.0389,0.21261354155453505,0.21725449057447452,0.21438359019656156,0.22405940638123145,0.21438359019656114,0.22405940638123123,0.22342944446417143,0.2081551184735454,0.22342944446384666,0.2081551184730352,0.01118566025251473,0.016919879033717944,-0.001252525121186258,-0.0016902141431073602,-0.0012525251211864383,-0.0016902141431075807,-0.0016841890861268782,0.04626163202069114,-0.001684189086125203,0.04626163202072447
1,0.7,1,1.8,1,0.2513144,-0.11111111111111116,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02744,0.02899,0.02476,0.02516,0.02476,0.02516,0.02625,0.04553,0.02492,0.03978,0.21224473407473696,0.2166663385444214,0.21402457762323687,0.22368953976089323,0.21402457762323657,0.22368953976089323,0.2230517240340202,0.20821632719233132,0.22305172403372003,0.20821632719184022,0.011242557426990422,0.01622229079558436,6.227691389454065e-4,-3.7093862662838182e-6,6.227691389455478e-4,-3.7093862662023286e-6,-2.3794702316318438e-6,0.048336058950561346,-2.37947023265123e-6,0.04833605895059583
1,0.7,1,1.8,1,0.2513144,-0.05555555555555558,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02654,0.02799,0.02404,0.02441,0.02404,0.02441,0.02526,0.04472,0.02416,0.03895,0.21228372196360426,0.21673109501099197,0.21409250244103253,0.22385807704269156,0.21409250244103198,0.22385807704269114,0.22323085639755805,0.20775756357559777,0.223230856397235,0.20775756357508762,0.008134744933162723,0.012448611805026965,-7.941308336447681e-4,-0.0010310685013839745,-7.941308336447519e-4,-0.0010310685013840632,-0.0010261703089661986,0.0465437074783974,-0.00102617030897189,0.046543707478429744
1,0.7,1,1.8,1,0.2513144,0,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H0_1,1.5,0.02669,0.02777,0.02466,0.02506,0.02466,0.02506,0.02589,0.04534,0.02476,0.04015,0.21225270127820176,0.2168381330601532,0.21393203570276134,0.22391188644888416,0.21393203570276084,0.22391188644888413,0.22328347431687665,0.20825017307913912,0.22328347431674303,0.20825017307863758,0.007234822765770877,0.01076112095806579,-1.2650998618626415e-4,-5.397694489589148e-4,-1.2650998618609483e-4,-5.397694489589001e-4,-5.402137185268439e-4,0.04788449145345588,-5.40213718129219e-4,0.04788449145348999
