K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n01,n11,n02,n12,n22,n03,n23,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.5,-0.5,-0.5,105,105,105,105,105,105,105,linear,mult,binary,EQ,H0_1,1.5,0.02528,0.02564,0.02547,0.02558,0.02547,0.02558,0.02573,0.00835,0.02547,0.00774,0.19403300432437295,0.19781364345767574,0.19545448774639831,0.2035614235748987,0.1954544877463983,0.20356142357489865,0.20269706338185645,0.20447296652861577,0.20269706337727095,0.20447296652818941,0.001822554644012723,0.001857335655240695,0.001815879071418767,0.0015923334787774099,0.0018158790714187967,0.001592333478777404,0.0015861068727384107,-0.08514165279788279,0.001586106872827975,-0.08514165279741417
1,0.7,1,1.8,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,105,105,105,105,105,105,105,linear,mult,binary,EQ,H0_1,1.5,0.02438,0.02419,0.02401,0.02428,0.02401,0.02428,0.02475,0.00927,0.02408,0.00855,0.19428792119898597,0.19828222329712486,0.19562640105832746,0.2038710352396395,0.1956264010583274,0.20387103523963948,0.203069528201171,0.2011608405693691,0.20306952819962484,0.2011608405689492,5.862195882415812e-4,5.246637629492694e-4,5.79409156257967e-4,1.8959260501429608e-4,5.79409156257998e-4,1.895926050143017e-4,1.8226569334728175e-4,-0.0767373339004314,1.8226569379483403e-4,-0.07673733390029383
1,0.7,1,1.8,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,105,105,105,105,105,105,105,linear,mult,binary,EQ,H0_1,1.5,0.02421,0.02476,0.02412,0.02438,0.02412,0.02438,0.02487,0.01077,0.02415,0.00982,0.1957628844477975,0.1997591519301072,0.19708883430709148,0.205406580741729,0.1970888343070914,0.20540658074172877,0.204692413877246,0.19924145687843478,0.2046924138766244,0.19924145687797878,1.7432945342457372e-5,1.913340376743879e-4,-5.5957650341076516e-5,9.954251935625463e-5,-5.5957650341073894e-5,9.954251935625118e-5,9.845856702569252e-5,-0.06781129754499884,9.845856700842823e-5,-0.06781129754490262
1,0.7,1,1.8,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,105,105,105,105,105,105,105,linear,mult,binary,EQ,H0_1,1.5,0.02433,0.02453,0.02448,0.02415,0.02448,0.02415,0.02482,0.01216,0.02384,0.011,0.19607614792823333,0.19991983590637694,0.19752513360667748,0.20582640713604722,0.19752513360667728,0.20582640713604694,0.20516570900047063,0.19611032950378518,0.20516570899983472,0.19611032950319282,0.0016856894791895099,0.0015586407576836923,0.0016775395612312499,0.0013669057353520682,0.00167753956123129,0.001366905735352103,0.0013599131571027441,-0.056273756429751576,0.001359913157123311,-0.05627375642962533
1,0.7,1,1.8,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,105,105,105,105,105,105,105,linear,mult,binary,EQ,H0_1,1.5,0.02396,0.02403,0.02411,0.02439,0.02411,0.02439,0.0251,0.01394,0.02412,0.01265,0.19768524809177662,0.20169045719655954,0.1990601807403145,0.20760241028569495,0.19906018074031434,0.20760241028569473,0.2069800646048256,0.1955978635930448,0.20698006460412124,0.19559786359232015,-2.553096586494542e-4,-1.479793568985587e-4,-2.813700078359143e-4,-3.7122812546909153e-4,-2.813700078358974e-4,-3.712281254690987e-4,-3.6919583804627116e-4,-0.04865393925015151,-3.6919583804691377e-4,-0.04865393925004962
1,0.7,1,1.8,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,105,105,105,105,105,105,105,linear,mult,binary,EQ,H0_1,1.5,0.02392,0.02402,0.02419,0.02407,0.02419,0.02407,0.02484,0.01627,0.02389,0.01449,0.19867448875988866,0.20270629368544815,0.2001880495132256,0.2086710585123544,0.20018804951322514,0.20867105851235368,0.20808887650029548,0.1942183175130226,0.2080888764994248,0.1942183175121508,1.5978167250340022e-4,-2.0043960040682915e-5,4.484392513465211e-5,-4.164077856393592e-4,4.484392513461302e-5,-4.1640778563939153e-4,-4.172530141792359e-4,-0.03859681374316741,-4.172530141783482e-4,-0.038596813743072625
1,0.7,1,1.8,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,105,105,105,105,105,105,105,linear,mult,binary,EQ,H0_1,1.5,0.02458,0.02527,0.02454,0.02514,0.02454,0.02514,0.02581,0.01906,0.02492,0.01711,0.20023536740772632,0.20448738900955948,0.2016273520544873,0.21043349442195486,0.20162735205448593,0.21043349442195347,0.20988046549000586,0.1938554799834232,0.20988046548898268,0.19385547998241515,3.5497896298453113e-4,2.657316737438372e-4,2.702748271384361e-4,-8.904299556996743e-5,2.7027482713853863e-4,-8.904299556994709e-5,-9.167189147406273e-5,-0.028484154822285775,-9.167189147416418e-5,-0.028484154822208292
1,0.7,1,1.8,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,105,105,105,105,105,105,105,linear,mult,binary,EQ,H0_1,1.5,0.02459,0.02528,0.02461,0.02544,0.02461,0.02544,0.02618,0.02218,0.02523,0.01983,0.20303558598534868,0.2072306736877085,0.20455167593864174,0.21327848517065467,0.20455167593864063,0.21327848517065304,0.2127467751304029,0.19512426686702625,0.21274677512924411,0.1951242668658954,8.175698182886809e-4,9.098993757202961e-4,5.970989610420164e-4,3.083571569179221e-4,5.970989610421678e-4,3.0835715691810453e-4,3.058684506333341e-4,-0.017844825917626483,3.058684506315575e-4,-0.01784482591757838
1,0.7,1,1.8,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,105,105,105,105,105,105,105,linear,mult,binary,EQ,H0_1,1.5,0.0252,0.0255,0.02528,0.02602,0.02528,0.02602,0.02664,0.02476,0.02582,0.02207,0.20330002644044265,0.20771309288628706,0.20474948902727433,0.21358098390437324,0.2047494890272726,0.2135809839043717,0.21306166419616765,0.19495156423639037,0.2130616641949322,0.19495156423518023,9.586718857266278e-4,9.312898736000296e-4,8.765246760339295e-4,7.465887798556424e-4,8.765246760339228e-4,7.465887798555348e-4,7.427873572485417e-4,-0.007953592954992513,7.427873572445319e-4,-0.00795359295497281
1,0.7,1,1.8,1,0,0,0,105,105,105,105,105,105,105,linear,mult,binary,EQ,H0_1,1.5,0.02446,0.02461,0.02467,0.02496,0.02467,0.02496,0.02557,0.02676,0.02481,0.02372,0.20434483945958515,0.20889059652975547,0.20585892510928025,0.21498918543096301,0.20585892510927858,0.21498918543096157,0.2144721410177245,0.19544047313956042,0.21447214101647616,0.19544047313833043,3.484247802268046e-4,4.025608133567011e-4,2.2635707332047255e-4,2.1303839348004458e-4,2.2635707332053034e-4,2.130383934801044e-4,2.1553866850312437e-4,0.0013221001586505314,2.1553866849885058e-4,0.0013221001586447775
