K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n01,n11,n02,n12,n22,n03,n23,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.2282587,-0.5,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.80677,0.79917,0.79064,0.76145,0.79064,0.76145,0.76638,0.78599,0.76003,0.7687,0.21624988842630014,0.21957156617943896,0.21745738985719604,0.22474706561016006,0.21745738985719607,0.22474706561016022,0.22406251854309328,0.2103366851726748,0.22406251854215212,0.210336685172844,0.013720834813632014,0.017616124032416344,0.006018124838821294,0.006683844867792562,0.006018124838821193,0.006683844867792326,0.005045505350800609,-0.034644658988708145,0.005045505349711894,-0.03464465898944074
1,0.7,1,1.8,1.8,-0.2282587,-0.4444444444444444,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.80203,0.79406,0.78788,0.75857,0.78788,0.75857,0.76363,0.78419,0.757,0.76727,0.21651218802002528,0.21980477657188516,0.2177643690608855,0.22504784340687253,0.21776436906723826,0.22504784340687253,0.2243922109743037,0.21113659416660532,0.22439221097225942,0.21113659416019065,0.010741866500069473,0.013844530154652448,0.004601069320927519,0.0048176498529141866,0.004601069322215812,0.004817649852914019,0.0031952876052021247,-0.03541752143620151,0.003195287603851549,-0.03541752143851888
1,0.7,1,1.8,1.8,-0.2282587,-0.3888888888888889,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.80316,0.79295,0.79027,0.76171,0.79027,0.76171,0.76679,0.78726,0.76018,0.76971,0.2157179621307319,0.21904228436637257,0.2169827330786295,0.2242316124785182,0.21698273307866,0.22423161247751913,0.2235588257644562,0.2101816935014529,0.2235588257625244,0.21018169350115004,0.010026970690452925,0.012828989457500233,0.005480826666106335,0.006186758027131967,0.00548082666611446,0.006186758026821795,0.004545546961276532,-0.035263382724213914,0.004545546959879602,-0.035263382725095785
1,0.7,1,1.8,1.8,-0.2282587,-0.33333333333333337,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.79747,0.78804,0.78695,0.75969,0.78695,0.75969,0.7647,0.78319,0.75832,0.76646,0.21612389119307207,0.21966437970677158,0.21742631043010915,0.22496307385035555,0.21742631043010927,0.2249630738503234,0.2242871113564308,0.21097777583880614,0.2242871113570632,0.21097777583382554,0.0074719390408373425,0.009547330296870075,0.004537121230053721,0.005243298633489892,0.004537121230053449,0.0052432986334782355,0.003617930269299173,-0.03567871024409312,0.0036179302686491876,-0.03567871024604791
1,0.7,1,1.8,1.8,-0.2282587,-0.2777777777777778,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.79752,0.78623,0.7896,0.76205,0.7896,0.76205,0.76707,0.78658,0.76049,0.7697,0.21607458218719325,0.21943320913420317,0.21754459175045304,0.2247654767465812,0.21754459175045324,0.2247654767465812,0.2240842310393543,0.21048422113805362,0.22408423103788,0.21048422113816384,0.006952620036474538,0.008256295145930612,0.005588685731370739,0.006046067823149605,0.005588685731370473,0.006046067823149212,0.004410893229734408,-0.03465640990741769,0.004410893228520183,-0.03465640990817788
1,0.7,1,1.8,1.8,-0.2282587,-0.2222222222222222,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.79505,0.78083,0.79045,0.76035,0.79045,0.76035,0.76557,0.78488,0.75878,0.76766,0.2156761098625429,0.21931919343124304,0.21712288592427473,0.2246625862533883,0.21712288592424533,0.2246625862533638,0.2240023865159752,0.21079855717745238,0.22400238651608043,0.21079855717723237,0.003981485558529065,0.004604344372096702,0.004265057353854103,0.004884203224015356,0.0042650573538450965,0.004884203224007726,0.0032603112900189218,-0.03620798948445502,0.003260311289212787,-0.03620798948531221
1,0.7,1,1.8,1.8,-0.2282587,-0.16666666666666669,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.79326,0.7797,0.79001,0.76212,0.79001,0.76212,0.76723,0.78519,0.76062,0.76766,0.21653220032505485,0.2201149207021752,0.21789516467792022,0.22530972998311521,0.21789516467792047,0.2253097299831154,0.22463953580006688,0.21113714132628045,0.2246395357960932,0.21113714132421074,0.0041578967969063,0.0042674913950803426,0.005844005729226097,0.00633398001357144,0.0058440057292256445,0.006333980013570894,0.004700490217095173,-0.035145055318189546,0.004700490215162321,-0.03514505531944237
1,0.7,1,1.8,1.8,-0.2282587,-0.11111111111111116,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.79067,0.77449,0.78993,0.75979,0.78993,0.75979,0.76461,0.78419,0.75811,0.7671,0.21618451143044592,0.21984101590185057,0.2177499574670945,0.22524080566095575,0.2177499574672377,0.22524080566112464,0.22458275518317322,0.21113215835708662,0.22458275518283022,0.2111321583570117,0.0021231872906836862,0.0015248354933243672,0.005350903821422599,0.0059051128804402725,0.005350903821464034,0.005905112880491436,0.004275494437407781,-0.035350187779745135,0.00427549443648804,-0.035350187780536085
1,0.7,1,1.8,1.8,-0.2282587,-0.05555555555555558,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.78825,0.77316,0.78932,0.76122,0.78932,0.76122,0.76606,0.78528,0.75973,0.76797,0.21634984302113003,0.22000073203130932,0.21780041210290724,0.22514166160623278,0.2178004121028324,0.22514166160599206,0.22446358034145983,0.2106349282643791,0.22446358033789038,0.21063492826431893,7.41500278236766e-4,-2.4405829525324716e-4,0.005390781563761009,0.006123840660921898,0.005390781563743099,0.006123840660820406,0.004489660526820603,-0.03516892170080278,0.004489660524950605,-0.03516892170160429
1,0.7,1,1.8,1.8,-0.2282587,0,-0.2282587,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.78823,0.77061,0.79149,0.76168,0.79149,0.76168,0.76648,0.78536,0.76006,0.76782,0.21634287479546777,0.22002134826468245,0.2178853959111672,0.2249636182976768,0.21788539591116776,0.22496361829767708,0.22428893659171353,0.21108826313147097,0.22428893659014812,0.2110882631313346,4.608504121989529e-5,-0.0020056193521364504,0.006036553938518642,0.00624090259260307,0.0060365539385174435,0.006240902592602055,0.004611186302844235,-0.03462656676494847,0.0046111863015429475,-0.03462656676578238
