K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n01,n11,n02,n12,n22,n03,n23,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,0.2513144,-0.5,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.7637,0.76532,0.72004,0.68982,0.72004,0.68982,0.69617,0.84404,0.68814,0.82497,0.2368353659787895,0.24149014310621597,0.23704359355623053,0.24568630005869094,0.23704359362248323,0.2456863001841305,0.24496499015422696,0.23245785889116727,0.24496498988321616,0.23245785839640393,0.03152859609740049,0.041782600506169165,0.0069707871213855075,0.0075885526958381876,0.006970787146789581,0.00758855273868964,0.0059679080867534534,0.05385687666615403,0.0059679079737859145,0.05385687649726711
1,0.7,1,1.8,1.8,0.2513144,-0.4444444444444444,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.75975,0.76084,0.71974,0.68879,0.71974,0.68879,0.69538,0.84122,0.68726,0.82259,0.2374548559651346,0.2415960154723726,0.23813883772062674,0.24655243883078276,0.23813883776348035,0.24655243887803052,0.24584375022395888,0.2335453634461286,0.24584374992745447,0.23354536298976655,0.029134155147052133,0.03864962368437396,0.0065693447673960455,0.006998102371752138,0.006569344785152363,0.0069981023914320265,0.005388364171488518,0.053710984458513085,0.0053883640514826555,0.05371098429882863
1,0.7,1,1.8,1.8,0.2513144,-0.3888888888888889,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.75687,0.75577,0.71826,0.68678,0.71826,0.68678,0.69362,0.84128,0.68494,0.82371,0.2368357439625348,0.2412422898456852,0.23751803709457936,0.24616704687381144,0.23751803717585354,0.24616704698041422,0.24544729093726406,0.23306700648318884,0.2454472906678508,0.23306700596438004,0.026348880608894287,0.034953183946239946,0.005739853988735559,0.005836021594479222,0.005739854019115626,0.005836021634538418,0.004212024726191842,0.05275320046990125,0.004212024613000427,0.052753200290618134
1,0.7,1,1.8,1.8,0.2513144,-0.33333333333333337,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.757,0.75524,0.72098,0.69155,0.72098,0.69155,0.69783,0.84444,0.68985,0.82574,0.23581186494098513,0.24010672489599355,0.2366921752637662,0.24505245270243475,0.2366921753420786,0.24505245283254132,0.24433967630165035,0.23252198052784445,0.24433967600266843,0.23252198000157942,0.025379090029286632,0.03343418371756906,0.006886224372445404,0.007259875858561169,0.006886224403255945,0.007259875906009784,0.005637153187913667,0.05329155409959352,0.005637153065649866,0.05329155391647808
1,0.7,1,1.8,1.8,0.2513144,-0.2777777777777778,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.75342,0.74968,0.72056,0.69063,0.72056,0.69063,0.69707,0.84272,0.68933,0.82437,0.23669706463797432,0.24086814156076322,0.23770659187997398,0.24614926041179763,0.23770659196784483,0.24614926052376754,0.24541535650249624,0.23344263227789913,0.24541535623226768,0.23344263176028954,0.024368973357070587,0.03178997268757392,0.0077660588036251544,0.008082699642164331,0.007766058837327461,0.008082699684535889,0.0064426042601413115,0.05440431774290491,0.0064426041489116384,0.05440431756303997
1,0.7,1,1.8,1.8,0.2513144,-0.2222222222222222,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.74806,0.74337,0.71809,0.68596,0.71809,0.68596,0.69293,0.84368,0.68462,0.82458,0.2369168393108056,0.24117318215080125,0.23815676290994944,0.2468924888282838,0.23815676298794528,0.2468924889474774,0.24617434493413387,0.2333066475652031,0.24617434464172225,0.2333066470176021,0.021103350125127065,0.027876555519522204,0.006179424985849525,0.006627027149505016,0.006179425015594651,0.00662702719389648,0.004993519790620576,0.05319154593812359,0.0049935196691128165,0.053191545749333456
1,0.7,1,1.8,1.8,0.2513144,-0.16666666666666669,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.7475,0.7432,0.72093,0.69026,0.72093,0.69026,0.69687,0.84451,0.6887,0.82562,0.23502477588336712,0.23915139241350986,0.23624191387767435,0.24480562132556136,0.23624191393810043,0.2448056214212064,0.24408460178157762,0.23154665062907068,0.24408460150058028,0.23154665016424406,0.019318215660986755,0.025313733038167818,0.0063510034892609426,0.006625725146930853,0.0063510035138324835,0.00662572518263445,0.004988210771297056,0.05283393524181903,0.004988210662163721,0.05283393508072784
1,0.7,1,1.8,1.8,0.2513144,-0.11111111111111116,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.74103,0.73524,0.717,0.68708,0.717,0.68708,0.69355,0.84186,0.68556,0.82323,0.2355421552033196,0.23960147322871306,0.237045335899699,0.24580408486678523,0.23704533597720698,0.2458040849330644,0.245076247960685,0.23213117082020984,0.24507624767713984,0.23213117034267353,0.016155130376720395,0.02178958833440478,0.005004423831541219,0.00589184210650333,0.005004423858466904,0.005891842131541444,0.004256058925501021,0.05189293824560405,0.00425605881216002,0.05189293808042218
1,0.7,1,1.8,1.8,0.2513144,-0.05555555555555558,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.73942,0.73271,0.71812,0.68908,0.71812,0.68908,0.69571,0.84311,0.68762,0.82491,0.2357041471654076,0.23991666221969177,0.23698630172718324,0.245550431234054,0.23698630180026534,0.24555043131912868,0.244849146713457,0.23241160240700684,0.24484914643307146,0.2324116019598144,0.015668575681881625,0.020357851455156558,0.0062821993402576055,0.006647923578386884,0.0062821993693168154,0.006647923613470386,0.005034909758805225,0.05288940324910959,0.005034909653525015,0.052889403091636505
1,0.7,1,1.8,1.8,0.2513144,0,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.73906,0.72973,0.71942,0.68948,0.71942,0.68948,0.69616,0.84282,0.68782,0.82416,0.23652182961496054,0.24037078041349486,0.23818031283570823,0.24646863645753483,0.23818031290592695,0.24646863654278287,0.24575314135338452,0.233187729042224,0.2457531410814626,0.23318772858437023,0.014140098522397412,0.017944457884923503,0.0065729330597137274,0.006777268261798907,0.00657293308553932,0.0067772682943074685,0.005159927879425424,0.0530205036039366,0.005159927770193478,0.05302050344492974
1,0.7,1,1.8,1.8,0.2513144,0.05555555555555558,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.73552,0.72453,0.71979,0.68829,0.71979,0.68829,0.69515,0.84237,0.68672,0.82361,0.2360995783314844,0.24018554628616476,0.23756399153469562,0.2463021038347304,0.23756399162338004,0.2463021039581065,0.24556930489400325,0.23350500881859682,0.2455693046031348,0.23350500827288062,0.012851294957445528,0.016210246176956027,0.006844516488337682,0.007131297774051011,0.006844516521919326,0.007131297818478291,0.00550812165887433,0.05353777780816532,0.005508121542658842,0.053537777622612234
1,0.7,1,1.8,1.8,0.2513144,0.11111111111111105,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.72971,0.71884,0.71775,0.68695,0.71775,0.68695,0.69352,0.84187,0.68509,0.82289,0.23584423731041781,0.23964465539737242,0.23745884733781958,0.2456528647492925,0.23745884740039022,0.2456528648297055,0.2449408783049053,0.2325737883649029,0.24494087804773734,0.2325737878512123,0.009609986563700677,0.012317953829442025,0.0054406011214219,0.00615498357004291,0.005440601145397279,0.006154983597437023,0.004518963575983892,0.05241234082958188,0.0045189634657441195,0.052412340655648794
1,0.7,1,1.8,1.8,0.2513144,0.16666666666666663,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.73223,0.71904,0.7219,0.6896,0.7219,0.6896,0.69663,0.84441,0.688,0.8259,0.23570692034961263,0.23969255302662631,0.237381228590702,0.24584120646997942,0.2373812286670557,0.24584120654841485,0.24512428627733376,0.23278978357599553,0.24512428600138872,0.23278978311289786,0.010163628612226982,0.011746586056550106,0.00752391549489221,0.007515535986090876,0.007523915522369275,0.00751553601515027,0.0058933187212423695,0.05418478895981145,0.005893318609914604,0.05418478879965958
1,0.7,1,1.8,1.8,0.2513144,0.2222222222222222,0.2513144,105,105,105,105,105,105,105,linear,mult,binary,DIFF,H1_1,1.5,0.7269,0.71443,0.7186,0.6882,0.7186,0.6882,0.69516,0.84396,0.6864,0.82477,0.23530069180637878,0.23939146221582513,0.236862249155962,0.24543477009912534,0.2368622492155539,0.24543477016831444,0.24470412048198756,0.2323842673874421,0.244704120188603,0.23238426687345642,0.006815651001555178,0.008149818204347773,0.005600685182749624,0.0061317327235374626,0.005600685204279904,0.006131732749552502,0.0044995593008425785,0.052868304361375344,0.004499559184488055,0.05286830418568644
