K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n01,n11,n02,n12,n22,n03,n23,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.5,-0.5,-0.5,105,105,105,105,105,105,105,linear,mult,binary,EQ,H1_1,1.5,0.82419,0.8127,0.8193,0.79304,0.8193,0.79304,0.79579,0.73572,0.79145,0.72063,0.20778030111277598,0.21074794473760897,0.2092659712503326,0.21586133487151116,0.2092659712499291,0.21586133487064108,0.21488676501959497,0.21630099920145518,0.2148867650105723,0.21630099920197138,0.004681135514047033,0.005280408350166775,0.004845550373087532,0.005183254068202449,0.0048455503729912495,0.005183254067909344,0.0027327870486675756,-0.08416472965145458,0.002732787044100882,-0.08416472965347102
1,0.7,1,1.8,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,105,105,105,105,105,105,105,linear,mult,binary,EQ,H1_1,1.5,0.81866,0.80684,0.81329,0.78714,0.81329,0.78714,0.7901,0.74785,0.78562,0.73153,0.20954464838891215,0.21265190532949393,0.21108119471471987,0.21786489987117713,0.21108119471471992,0.21786489987118748,0.21697637850126145,0.2142617887012119,0.21697637849141055,0.2142617887020139,0.00586801916443719,0.006474666639779069,0.005958608277718498,0.006358722993823004,0.005958608277718051,0.006358722993825294,0.004133410291291782,-0.0734412371010204,0.004133410286659782,-0.07344123710281115
1,0.7,1,1.8,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,105,105,105,105,105,105,105,linear,mult,binary,EQ,H1_1,1.5,0.81245,0.80113,0.80759,0.77907,0.80759,0.77907,0.78301,0.75717,0.77746,0.74053,0.21106712975990577,0.2144600142054632,0.2125961001087998,0.21997572883227914,0.21259610010880006,0.2199757288322794,0.21916804087295483,0.21297499446866905,0.2191680408647991,0.2129749944695841,0.004015421298916543,0.004500666672263973,0.0040671696060650695,0.00414096912887826,0.004067169606064422,0.004140969128877614,0.0021029632223123107,-0.06501369634055877,0.002102963218407503,-0.06501369634209381
1,0.7,1,1.8,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,105,105,105,105,105,105,105,linear,mult,binary,EQ,H1_1,1.5,0.8066,0.79407,0.80142,0.77242,0.80142,0.77242,0.77659,0.76823,0.77079,0.75186,0.21288020990024203,0.2160354078676782,0.21445282174481217,0.22141771244435624,0.2144528217448124,0.2214177124443564,0.22064935342712574,0.21144270497110676,0.220649353426711,0.21144270497163986,0.005454600285384642,0.006080118415740115,0.00559251562251458,0.005643463290472748,0.0055925156225139685,0.00564346329047225,0.0037598434304725527,-0.053645491820239026,0.0037598434289227616,-0.053645491821582986
1,0.7,1,1.8,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,105,105,105,105,105,105,105,linear,mult,binary,EQ,H1_1,1.5,0.80415,0.79184,0.7981,0.76818,0.7981,0.76818,0.77259,0.78062,0.76666,0.76389,0.21353442968003658,0.2169691407375996,0.2150139694222956,0.22237898432474193,0.2150139694222958,0.22237898432474218,0.22164594275640992,0.2100015266735715,0.22164594275534494,0.21000152667409747,0.005324183051445057,0.006132170410738003,0.0053507386633974115,0.005711901571791383,0.0053507386633970845,0.005711901571790765,0.003962803639010262,-0.04405288550456099,0.003962803637585201,-0.04405288550555935
1,0.7,1,1.8,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,105,105,105,105,105,105,105,linear,mult,binary,EQ,H1_1,1.5,0.79353,0.78089,0.78879,0.75914,0.78879,0.75914,0.76433,0.78616,0.75729,0.76897,0.21716499283659138,0.22062309183538226,0.21845794134717875,0.22556613731555225,0.218457941347179,0.22556613731555228,0.22490357633108943,0.2116820770211107,0.22490357633158983,0.21168207702089964,0.005733891407962862,0.006501651962317726,0.005652698904725191,0.005850722636081876,0.005652698904724649,0.005850722636081565,0.004221910945498776,-0.0337087780801707,0.004221910944858498,-0.033708778080967935
1,0.7,1,1.8,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,105,105,105,105,105,105,105,linear,mult,binary,EQ,H1_1,1.5,0.7879,0.77597,0.78316,0.75351,0.78316,0.75351,0.75868,0.79432,0.75209,0.77745,0.21772755502578803,0.22141666991162737,0.2191227377776506,0.22685939605571298,0.21912273777765065,0.22685939605571298,0.22622416875925558,0.21071931655318585,0.2262241687586787,0.21071931655240322,0.005373877222381524,0.006293451070558667,0.005407662303579442,0.006281148715439411,0.005407662303579158,0.0062811487154391795,0.004755111364661619,-0.024085671502999992,0.004755111364097444,-0.024085671503591647
1,0.7,1,1.8,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,105,105,105,105,105,105,105,linear,mult,binary,EQ,H1_1,1.5,0.78038,0.7671,0.77495,0.74605,0.77495,0.74605,0.75084,0.80125,0.74495,0.7832,0.2201650028279841,0.2235819112797815,0.22159215334700452,0.2289828774813763,0.22159215334700463,0.22898287748137627,0.2283585604598396,0.21238471060444636,0.2283585604455917,0.2123847105912006,0.005272711958286143,0.00612170915350559,0.005203991543897204,0.005901003159883778,0.005203991543897238,0.005901003159883862,0.004412950057344007,-0.014367222890901506,0.004412950053772414,-0.014367222894180782
1,0.7,1,1.8,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,105,105,105,105,105,105,105,linear,mult,binary,EQ,H1_1,1.5,0.77117,0.75767,0.76596,0.73724,0.76596,0.73724,0.74185,0.80716,0.7364,0.78995,0.2237100012467297,0.22751036900142593,0.22515373125310534,0.23297853740757804,0.2251537312561543,0.23297853740757313,0.2323703893119914,0.21496226830623738,0.23237038929675075,0.21496226828093534,0.005498070753263455,0.0062668387704293135,0.0055561410808790835,0.005905178295307654,0.005556141082070408,0.005905178295305658,0.0044572757961428245,-0.0039574264836088925,0.004457275791952928,-0.00395742649006141
1,0.7,1,1.8,1.8,0,0,0,105,105,105,105,105,105,105,linear,mult,binary,EQ,H1_1,1.5,0.7642,0.75081,0.75837,0.72948,0.75837,0.72948,0.73409,0.81409,0.72896,0.79537,0.22537196563001585,0.22928156989204904,0.2268791309627613,0.23487697751110875,0.22687913097697288,0.23487697751482883,0.23426140742963503,0.21707999932944516,0.23426140740357854,0.21707999928931868,0.005970008752915701,0.006708326321937312,0.005953540578281556,0.006376135851653807,0.005953540582106483,0.0063761358530258876,0.004939762772368092,0.0068871180847641525,0.0049397627657502595,0.006887118074579903
