K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n01,n11,n02,n12,n22,n03,n23,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0,0.1,-0.05,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02807,0.02949,0.02499,0.02512,0.02504,0.02501,0.02501,0.03967,0.02509,0.03944,0.09307668380912247,0.09485912076999424,0.09377026849096673,0.09793450128059324,0.09377026849096673,0.09793450128059324,0.09793450128059324,0.09116773747308592,0.09793450128059324,0.09116773747308592,0.005191018720966032,0.007243812714896229,1.2180264413007566e-4,5.482552943595668e-5,1.2180264413007512e-4,5.482552943597108e-5,5.482552943595834e-5,0.018072460814270577,5.482552943595834e-5,0.018072460814270577
1,0,1,0.25,0,0.1,-0.04,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02858,0.029760000000000002,0.02567,0.02518,0.02562,0.02537,0.02537,0.03935,0.02519,0.03966,0.09307063750305548,0.09467267878791717,0.09383454788546598,0.09780380168546744,0.09383454788546598,0.09780380168546744,0.09780380168546744,0.0910195361381147,0.09780380168546744,0.0910195361381147,0.004622179085295755,0.006596582142984425,-9.063597499076381e-5,-2.8283606893249844e-5,-9.06359749907638e-5,-2.8283606893235086e-5,-2.8283606893247866e-5,0.017716086404124382,-2.8283606893247866e-5,0.017716086404124382
1,0,1,0.25,0,0.1,-0.03,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02698,0.02825,0.02442,0.02445,0.02439,0.02447,0.02456,0.03832,0.02451,0.03827,0.09256055042940979,0.09409882461963834,0.0932815260648136,0.09719600780817293,0.0932815260648136,0.09719600780817292,0.09719600780817293,0.09064363133683846,0.09719600780817293,0.09064363133683846,0.004528535016991553,0.006334594575736851,1.2479324610597476e-4,1.1140964029109384e-5,1.2479324610597457e-4,1.1140964029123983e-5,1.1140964029111129e-5,0.017950637147371225,1.1140964029111129e-5,0.017950637147371225
1,0,1,0.25,0,0.1,-0.02,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02783,0.02923,0.02491,0.02524,0.02488,0.02528,0.02512,0.03997,0.02548,0.04017,0.09276230081615028,0.09437935767477912,0.09355159755913373,0.09754565170127186,0.09355159755913373,0.09754565170127186,0.09754565170127187,0.09074782730858695,0.09754565170127187,0.09074782730858695,0.00382707812907491,0.005464591237183023,-1.911815790023508e-4,-1.0047383241454616e-4,-1.9118157900235063e-4,-1.0047383241453147e-4,-1.0047383241454432e-4,0.01779120444906582,-1.0047383241454432e-4,0.01779120444906582
1,0,1,0.25,0,0.1,-0.01,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02615,0.02721,0.02405,0.02394,0.02417,0.02394,0.02373,0.03803,0.02384,0.03852,0.09234016334245504,0.09395528031868154,0.0930760625447941,0.09705455582511435,0.09307606254479409,0.09705455582511434,0.09705455582511435,0.0904226887335754,0.09705455582511435,0.0904226887335754,0.0037020019327992444,0.005243048602621406,1.8563496396349425e-5,3.0127411212221678e-5,1.8563496396350177e-5,3.012741121223675e-5,3.012741121222377e-5,0.017927549962051266,3.012741121222377e-5,0.017927549962051266
1,0,1,0.25,0,0.1,0,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02783,0.02854,0.02519,0.02534,0.02503,0.02526,0.02526,0.03871,0.02526,0.03889,0.09285855760074921,0.09450946453957207,0.09358583030918552,0.09766227491306281,0.0935858303091855,0.0976622749130628,0.09766227491306281,0.090737756219655,0.09766227491306281,0.090737756219655,0.0029958669610876177,0.004449916287292014,-3.630139020293352e-4,-3.254031692756615e-4,-3.630139020293349e-4,-3.2540316927564666e-4,-3.254031692756595e-4,0.017545938152479207,-3.254031692756595e-4,0.017545938152479207
1,0,1,0.25,0,0.1,0.01,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02732,0.02801,0.02586,0.02518,0.02597,0.02509,0.02493,0.03893,0.02513,0.03924,0.09255095651868032,0.094159018089646,0.09332122068345208,0.09730467053087846,0.09332122068345208,0.09730467053087845,0.09730467053087846,0.09069994583010353,0.09730467053087846,0.09069994583010353,0.002993178037095014,0.004333704131766469,-5.36416801355069e-5,2.778445390476379e-5,-5.364168013550695e-5,2.7784453904778615e-5,2.77844539047659e-5,0.01781643992335149,2.77844539047659e-5,0.01781643992335149
1,0,1,0.25,0,0.1,0.02,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02595,0.02663,0.02395,0.02452,0.02386,0.0244,0.02437,0.0383,0.02451,0.03845,0.0924932792832138,0.09403926520063678,0.09325580987126503,0.09729157150042937,0.09325580987126503,0.09729157150042936,0.09729157150042937,0.09056988329286349,0.09729157150042937,0.09056988329286349,0.002825809110206568,0.0039137576484422456,1.0362402909399286e-4,-2.807516228200822e-5,1.0362402909399324e-4,-2.807516228199343e-5,-2.8075162282006065e-5,0.017913894291468436,-2.8075162282006065e-5,0.017913894291468436
1,0,1,0.25,0,0.1,0.03,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02609,0.02684,0.02461,0.02508,0.0247,0.02505,0.02507,0.03853,0.02513,0.03862,0.09288713645197527,0.0944321351383614,0.0937319618901227,0.09781230524068958,0.0937319618901227,0.09781230524068958,0.09781230524068958,0.09097268495652114,0.09781230524068958,0.09097268495652114,0.0023444156300984165,0.0033717740956185245,-8.948744964591168e-5,-7.08493870711732e-5,-8.948744964591152e-5,-7.084938707115816e-5,-7.084938707117092e-5,0.017942729346863084,-7.084938707117092e-5,0.017942729346863084
1,0,1,0.25,0,0.1,0.04,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02731,0.02723,0.02563,0.0254,0.02566,0.02533,0.02516,0.03963,0.02539,0.03975,0.09275566726414967,0.09426445115279627,0.09353434733561582,0.09743985883976296,0.09353434733561582,0.09743985883976294,0.09743985883976296,0.09091448403227764,0.09743985883976296,0.09091448403227764,0.002050381092486213,0.0028834149491913544,4.299561833001346e-6,-8.00267923127131e-5,4.299561833001847e-6,-8.002679231269818e-5,-8.002679231271129e-5,0.017782710231721618,-8.002679231271129e-5,0.017782710231721618
