K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n01,n11,n02,n12,n22,n03,n23,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0,-0.15,-0.15,-0.15,105,105,105,105,105,105,105,linear,continuous,EQ,H0,1.5,0.02511,0.0251,0.02495,0.02517,0.02493,0.02516,0.02511,0.01188,0.02509,0.01172,0.09238391557845022,0.09401190448850466,0.09311644714164523,0.0972676460426299,0.09311644714164523,0.097267646042629885,0.0972676460426299,0.09280899188127281,0.0972676460426299,0.09280899188127281,-1.342208801079429e-4,-5.575158087072927e-5,-1.416583660561097e-4,-6.437919677043033e-5,-1.4165836605610968e-4,-6.437919677045257e-5,-6.437919677043336e-5,-0.026961610972140452,-6.437919677043336e-5,-0.026961610972140452
1,0,1,0.25,0,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,105,105,105,105,105,105,105,linear,continuous,EQ,H0,1.5,0.025,0.02523,0.02491,0.02487,0.02504,0.02499,0.02472,0.01251,0.02485,0.0126,0.09275789330161822,0.09423702715837995,0.09359467154805015,0.09760248621096433,0.09359467154805015,0.09760248621096433,0.09760248621096435,0.09210271577765158,0.09760248621096435,0.09210271577765158,1.9555320090457174e-4,2.6560885162380633e-4,2.0778132465096603e-4,3.218057905142089e-4,2.0778132465096595e-4,3.21805790514189e-4,3.218057905142059e-4,-0.02360384367421329,3.218057905142059e-4,-0.02360384367421329
1,0,1,0.25,0,-0.11666666666666667,-0.11666666666666667,-0.11666666666666667,105,105,105,105,105,105,105,linear,continuous,EQ,H0,1.5,0.02435,0.02425,0.02459,0.0244,0.02471,0.0244,0.02441,0.01395,0.02447,0.01395,0.09240666684891394,0.0939333639267745,0.09321452028963834,0.0971535727345631,0.09321452028963834,0.09715357273456308,0.0971535727345631,0.0912714138383353,0.0971535727345631,0.0912714138383353,2.042129236787536e-4,1.608594548202882e-4,1.5138995098456313e-4,5.7335494280595985e-5,1.5138995098456267e-4,5.733549428057829e-5,5.733549428059323e-5,-0.020750453295653407,5.733549428059323e-5,-0.020750453295653407
1,0,1,0.25,0,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,105,105,105,105,105,105,105,linear,continuous,EQ,H0,1.5,0.02612,0.02584,0.02576,0.02525,0.02562,0.02512,0.02528,0.01602,0.02532,0.01622,0.09307613737065114,0.09469605945024487,0.09380061634753997,0.0978887337878232,0.09380061634753996,0.09788873378782319,0.0978887337878232,0.091223429993327,0.0978887337878232,0.091223429993327,3.6408147534204174e-5,1.3416901828706442e-4,-2.684226305362013e-5,4.526745095322791e-5,-2.684226305362053e-5,4.526745095321228e-5,4.526745095322534e-5,-0.018032159859711454,4.526745095322534e-5,-0.018032159859711454
1,0,1,0.25,0,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,105,105,105,105,105,105,105,linear,continuous,EQ,H0,1.5,0.025,0.02494,0.02501,0.02506,0.0249,0.02516,0.02529,0.01699,0.02508,0.0171,0.09282602333365833,0.09445346795571881,0.09359837618046897,0.09765734020891731,0.09359837618046897,0.0976573402089173,0.09765734020891731,0.09053355519037513,0.09765734020891731,0.09053355519037513,-1.4019913837854455e-4,-1.5519421305956627e-4,-1.6911833403843382e-4,-1.9185916409619904e-4,-1.6911833403843396e-4,-1.918591640962111e-4,-1.9185916409620056e-4,-0.015030417930656223,-1.9185916409620056e-4,-0.015030417930656223
1,0,1,0.25,0,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,105,105,105,105,105,105,105,linear,continuous,EQ,H0,1.5,0.02423,0.02475,0.024140000000000002,0.02457,0.02418,0.02451,0.02436,0.01789,0.0246,0.01777,0.09266373700620452,0.09414453488937886,0.09347140120184919,0.09735978127933696,0.09347140120184919,0.09735978127933696,0.09735978127933696,0.08994280435502086,0.09735978127933696,0.08994280435502086,-2.6945283637915717e-4,-2.516692516260362e-4,-2.65400447794461e-4,-1.9268624719532656e-4,-2.654004477944609e-4,-1.9268624719533627e-4,-1.9268624719532773e-4,-0.01224848767618525,-1.9268624719532773e-4,-0.01224848767618525
1,0,1,0.25,0,-0.04999999999999999,-0.04999999999999999,-0.04999999999999999,105,105,105,105,105,105,105,linear,continuous,EQ,H0,1.5,0.02495,0.02514,0.02511,0.02463,0.02511,0.02466,0.02481,0.01981,0.02466,0.01965,0.09272982841715853,0.09423866810926873,0.09354841620206979,0.09745647080390595,0.09354841620206979,0.09745647080390595,0.09745647080390595,0.08957871866596748,0.09745647080390595,0.08957871866596748,1.707786247668417e-4,9.54091911266858e-5,1.5897021251637462e-4,7.678103352686346e-5,1.58970212516375e-4,7.678103352685628e-5,7.678103352686245e-5,-0.008717860904252073,7.678103352686245e-5,-0.008717860904252073
1,0,1,0.25,0,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,105,105,105,105,105,105,105,linear,continuous,EQ,H0,1.5,0.02467,0.0247,0.02416,0.02472,0.02417,0.02466,0.02475,0.02121,0.02474,0.02127,0.09269925481580446,0.09424093676815164,0.093520204298039325,0.09753804735699417,0.093520204298039325,0.09753804735699417,0.09753804735699417,0.0891976940136327,0.09753804735699417,0.0891976940136327,2.2647142658854783e-4,2.6206068466813e-4,2.2641617731343098e-4,2.5684375028378566e-4,2.2641617731343087e-4,2.568437502837804e-4,2.5684375028378484e-4,-0.005785271766327337,2.5684375028378484e-4,-0.005785271766327337
1,0,1,0.25,0,-0.016666666666666663,-0.016666666666666663,-0.016666666666666663,105,105,105,105,105,105,105,linear,continuous,EQ,H0,1.5,0.02501,0.02541,0.02515,0.02538,0.02521,0.02538,0.02527,0.02271,0.0254,0.02299,0.09296196551819279,0.09450061990169463,0.09379700306427531,0.09783366768301671,0.09379700306427531,0.09783366768301671,0.09783366768301671,0.08920989421131198,0.09783366768301671,0.08920989421131198,4.8784337185078054e-4,4.329060101267329e-4,5.360904679149369e-4,4.1790904258704023e-4,5.360904679149365e-4,4.1790904258703763e-4,4.179090425870398e-4,-0.002562147962189943,4.179090425870398e-4,-0.002562147962189943
1,0,1,0.25,0,0,0,0,105,105,105,105,105,105,105,linear,continuous,EQ,H0,1.5,0.02525,0.02495,0.02514,0.02539,0.025,0.0254,0.02538,0.02557,0.02544,0.02521,0.09271075625454105,0.09426755732017522,0.09349576324010013,0.09748905572270522,0.09349576324010013,0.0974890557227052,0.09748905572270522,0.08894064582564591,0.09748905572270522,0.08894064582564591,1.0756924018157402e-4,1.7399187079844566e-4,1.38804000116935e-4,2.900479452544492e-4,1.3880400011693556e-4,2.9004794525444946e-4,2.900479452544495e-4,1.6741982598557294e-4,2.900479452544495e-4,1.6741982598557294e-4
1,0,1,0.25,0,0.016666666666666663,0.016666666666666663,0.016666666666666663,105,105,105,105,105,105,105,linear,continuous,EQ,H0,1.5,0.02494,0.02511,0.02514,0.02466,0.02493,0.0247,0.02464,0.0271,0.02472,0.02699,0.0928012924062513,0.09439888171373689,0.09360252384411058,0.09766143398072363,0.09360252384411058,0.09766143398072363,0.09766143398072363,0.08911048779101938,0.09766143398072363,0.08911048779101938,2.3307923761254633e-5,5.330660421136358e-6,-1.2142132767786031e-5,-4.80354934333263e-5,-1.214213276778581e-5,-4.8035493433323637e-5,-4.803549343332593e-5,0.003031677279741911,-4.803549343332593e-5,0.003031677279741911
1,0,1,0.25,0,0.033333333333333326,0.033333333333333326,0.033333333333333326,105,105,105,105,105,105,105,linear,continuous,EQ,H0,1.5,0.02531,0.02517,0.02591,0.02508,0.02576,0.02512,0.02507,0.02958,0.02515,0.02978,0.09309179618220444,0.09458142596611,0.0938761646303786,0.09773011745061445,0.0938761646303786,0.09773011745061444,0.09773011745061445,0.08963246003585915,0.09773011745061445,0.08963246003585915,7.541334495248959e-5,3.9041350005438275e-5,8.41323666465729e-5,6.444743615343222e-5,8.413236664657294e-5,6.444743615343706e-5,6.444743615343268e-5,0.005980798097187756,6.444743615343268e-5,0.005980798097187756
