K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n01,n11,n02,n12,n22,n03,n23,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0.25,0.1,-0.05,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.78536,0.77882,0.76293,0.72652,0.76245,0.72603,0.72576,0.85105,0.72757,0.85234,0.09296794483650402,0.09467759968098484,0.09358604391892943,0.09760116093485001,0.09358604391892943,0.09760116093485,0.09760116093485001,0.09092018061664144,0.09760116093485001,0.09092018061664144,0.005184700198779257,0.0073058830686305596,1.491008006259969e-4,1.409495274478847e-4,1.4910080062599214e-4,1.4094952744789343e-4,1.4094952744789094e-4,0.018012543038852753,1.4094952744789094e-4,0.018012543038852753
1,0,1,0.25,0.25,0.1,-0.04,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.78228,0.77489,0.76027,0.72349,0.75994,0.72264,0.72256,0.851,0.72434,0.85243,0.09289542489697832,0.09465114267518847,0.09359066670270484,0.09777359435571512,0.09359066670270484,0.0977735943557151,0.09777359435571512,0.09086207362562734,0.09777359435571512,0.09086207362562734,0.004629701052935606,0.006458255771799173,-8.528621039615857e-5,-3.2920041180060423e-4,-8.528621039616286e-5,-3.29200411800595e-4,-3.2920041180059767e-4,0.01782400704167112,-3.2920041180059767e-4,0.01782400704167112
1,0,1,0.25,0.25,0.1,-0.03,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.78155,0.77332,0.75955,0.72363,0.75891,0.72285,0.72284,0.85049,0.72493,0.85209,0.09304046114861102,0.09467795044519622,0.09372564529444939,0.09784805539962202,0.09372564529444939,0.097848055399622,0.09784805539962202,0.09093811859092338,0.09784805539962202,0.09093811859092338,0.004293042817976235,0.006186933342361512,-9.00565755601719e-5,-2.53402252439503e-5,-9.005657556017574e-5,-2.5340225243940817e-5,-2.534022524394351e-5,0.017621564308507774,-2.534022524394351e-5,0.017621564308507774
1,0,1,0.25,0.25,0.1,-0.02,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.78125,0.77302,0.76127,0.72576,0.76049,0.72499,0.72524,0.85188,0.72715,0.85337,0.09259978146098861,0.09428830375098203,0.09329860144646711,0.09734310079952085,0.09329860144646711,0.09734310079952085,0.09734310079952087,0.09059590415367519,0.09734310079952087,0.09059590415367519,0.003945858504510859,0.00558300310372898,-8.066224895927607e-5,-6.565734552657065e-5,-8.066224895928047e-5,-6.565734552656168e-5,-6.565734552656461e-5,0.017706443677924247,-6.565734552656461e-5,0.017706443677924247
1,0,1,0.25,0.25,0.1,-0.01,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.77954,0.77199,0.76088,0.72616,0.76052,0.72536,0.72478,0.8516,0.72729,0.85312,0.09257940979859285,0.09418677662882508,0.0933658774176105,0.09738726334259222,0.0933658774176105,0.09738726334259222,0.09738726334259223,0.09056976170566448,0.09738726334259223,0.09056976170566448,0.003515336911687172,0.004996079924155828,-1.5751529374759732e-4,-1.1939190624695334e-4,-1.575152937476014e-4,-1.1939190624694355e-4,-1.193919062469462e-4,0.017725977403225783,-1.193919062469462e-4,0.017725977403225783
1,0,1,0.25,0.25,0.1,0,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.77916,0.76922,0.76127,0.72534,0.76086,0.72517,0.72451,0.84955,0.72684,0.85145,0.09270133461908085,0.09425619543115794,0.09348738345988507,0.09737967283021705,0.09348738345988507,0.09737967283021703,0.09737967283021705,0.09075443254146048,0.09737967283021705,0.09075443254146048,0.003274047939147844,0.004686111449358761,-8.902820103255311e-5,-3.6941486629053105e-5,-8.902820103255744e-5,-3.6941486629043875e-5,-3.6941486629046376e-5,0.017697014978960535,-3.6941486629046376e-5,0.017697014978960535
1,0,1,0.25,0.25,0.1,0.01,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.77902,0.76977,0.76194,0.72707,0.76161,0.72652,0.72611,0.85195,0.72792,0.85371,0.09311345523312178,0.09463588825803355,0.09382863588405531,0.09781665428565424,0.09382863588405531,0.09781665428565423,0.09781665428565424,0.0912128158745984,0.09781665428565424,0.0912128158745984,0.0037554496168065313,0.0049932758348472635,6.771420859834293e-4,5.922767680315161e-4,6.771420859834251e-4,5.922767680315253e-4,5.922767680315226e-4,0.018479038671929685,5.922767680315226e-4,0.018479038671929685
1,0,1,0.25,0.25,0.1,0.02,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.77545,0.76601,0.76095,0.72487,0.76035,0.72465,0.72425,0.85103,0.72601,0.85251999999999994,0.09276035479825055,0.09433832445361852,0.09355523847920487,0.09756866550581632,0.09355523847920487,0.09756866550581632,0.09756866550581633,0.09086514673614864,0.09756866550581633,0.09086514673614864,0.0027628755695013594,0.0038233487864382516,1.1365156658405035e-4,4.2270082300114234e-5,1.1365156658404696e-4,4.2270082300123734e-5,4.2270082300120766e-5,0.017932861810902482,4.2270082300120766e-5,0.017932861810902482
1,0,1,0.25,0.25,0.1,0.03,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.77315,0.76374,0.7584,0.72313,0.75811,0.72272,0.72239,0.84936,0.72421,0.85059,0.09301516235608903,0.09462450193458831,0.09375499901576373,0.09784093378099418,0.09375499901576373,0.09784093378099416,0.09784093378099418,0.09093656358771117,0.09784093378099418,0.09093656358771117,0.001986245870885503,0.0029606411902353327,-3.4384208646493115e-4,-3.767677693363932e-4,-3.4384208646493473e-4,-3.767677693363832e-4,-3.767677693363862e-4,0.017487111945908164,-3.767677693363862e-4,0.017487111945908164
1,0,1,0.25,0.25,0.1,0.04,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.77409,0.76235,0.7611,0.72376,0.76076,0.72318,0.72281,0.85177,0.72474,0.85335,0.0925478967917144,0.09415544481471462,0.09332860368281275,0.09752684528207924,0.09332860368281275,0.09752684528207922,0.09752684528207925,0.09056783463097488,0.09752684528207925,0.09056783463097488,0.0017670475159216065,0.0025653454855257374,-1.9002182416744424e-4,-2.502459568316612e-4,-1.9002182416744828e-4,-2.50245956831652e-4,-2.502459568316546e-4,0.01773971524936386,-2.502459568316546e-4,0.01773971524936386
1,0,1,0.25,0.25,0.1,0.05,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.77219,0.76092,0.76065,0.72454,0.75985,0.72416,0.72374,0.85019,0.72516,0.85202,0.09315716309950313,0.09470964043090416,0.09398696837043849,0.09796251533949527,0.09398696837043848,0.09796251533949527,0.09796251533949527,0.09113803428528859,0.09796251533949527,0.09113803428528859,0.001632079070324029,0.0023371825337637083,-1.9211557972878265e-5,-4.6000855675572275e-5,-1.921155797288199e-5,-4.600085567556241e-5,-4.600085567556515e-5,0.017762717909198995,-4.600085567556515e-5,0.017762717909198995
1,0,1,0.25,0.25,0.1,0.06,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.77389,0.76177,0.7625,0.72724,0.76222,0.72733,0.72664,0.85138,0.72848,0.8533,0.09256256785694252,0.09408969313246401,0.09337231634526982,0.09730221729837511,0.09337231634526982,0.09730221729837511,0.09730221729837511,0.0906703116344542,0.09730221729837511,0.0906703116344542,0.001551330342617978,0.0021013994723526664,1.670241459121823e-4,8.073575010145504e-5,1.670241459121783e-4,8.073575010146447e-5,8.073575010146166e-5,0.01806393486882705,8.073575010146166e-5,0.01806393486882705
1,0,1,0.25,0.25,0.1,0.07,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.77014,0.75808,0.75972,0.72396,0.75886,0.72371,0.72314,0.85193,0.72568,0.85328,0.09254745331482131,0.09408137359683272,0.09342806740145751,0.09752313942551379,0.09342806740145751,0.09752313942551377,0.09752313942551379,0.0905667219926603,0.09752313942551379,0.0905667219926603,4.623124427036357e-4,8.167330167459461e-4,-4.990906630180317e-4,-5.614153763121102e-4,-4.990906630180354e-4,-5.614153763121001e-4,-5.61415376312103e-4,0.01757587905493848,-5.61415376312103e-4,0.01757587905493848
1,0,1,0.25,0.25,0.1,0.08,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.76941,0.75695,0.76027,0.725,0.75938,0.72427,0.72391,0.85185,0.72562,0.85356,0.09237479569541814,0.09388695396196699,0.0932295013091923,0.09733083412010325,0.0932295013091923,0.09733083412010324,0.09733083412010325,0.09056218829250413,0.09733083412010325,0.09056218829250413,4.793813462122294e-4,8.120807162815189e-4,-1.982187882426517e-4,-3.0337950289963816e-4,-1.982187882426556e-4,-3.033795028996285e-4,-3.033795028996311e-4,0.01774690091891544,-3.033795028996311e-4,0.01774690091891544
1,0,1,0.25,0.25,0.1,0.09,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.76986,0.75671,0.76167,0.72656,0.76068,0.72632,0.72553,0.85062,0.72736,0.85233,0.09280084515748306,0.09430356539180916,0.09362231736082023,0.09763126010369852,0.09362231736082023,0.0976312601036985,0.09763126010369852,0.09093607271169607,0.09763126010369852,0.09093607271169607,5.088474751133522e-4,7.085989937881228e-4,1.8737357172385767e-4,3.0688850296774027e-4,1.8737357172385336e-4,3.068885029677496e-4,3.0688850296774726e-4,0.017964875711908936,3.0688850296774726e-4,0.017964875711908936
1,0,1,0.25,0.25,0.1,0.1,0.1,105,105,105,105,105,105,105,linear,continuous,EQ,H1,1.5,0.76862,0.75429,0.76126,0.72477,0.76109,0.72444,0.72427,0.85162,0.72561,0.85286,0.09255869907196422,0.0941539394912318,0.09338727897865456,0.09744734398608025,0.09338727897865455,0.09744734398608024,0.09744734398608025,0.09064209630022176,0.09744734398608025,0.09064209630022176,-1.527881177930009e-5,-7.362686667398794e-5,-2.3095734639967926e-5,-1.4602369126334673e-4,-2.309573463997173e-5,-1.4602369126333678e-4,-1.460236912633397e-4,0.017832430997331956,-1.460236912633397e-4,0.017832430997331956
1,0,1,0.25,0.25,0.1,0.11,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.76618,0.75186,0.7601,0.72454,0.75895,0.72378,0.72311,0.85079,0.72533,0.85215,0.09267232049194284,0.09425289577290162,0.09349583220614162,0.097594286343057,0.09349583220614162,0.09759428634305699,0.097594286343057,0.09068936699475566,0.097594286343057,0.09068936699475566,-6.690314945716534e-4,-7.979204476908453e-4,-3.691376813629952e-4,-3.552042771144268e-4,-3.691376813629986e-4,-3.552042771144166e-4,-3.5520427711441954e-4,0.017541971457786167,-3.5520427711441954e-4,0.017541971457786167
1,0,1,0.25,0.25,0.1,0.12,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.76499,0.74994,0.76035,0.7239,0.75968,0.72381,0.7233,0.85079,0.72539,0.85244,0.09294222231941457,0.0944757196912394,0.0937857078370775,0.09771892225813278,0.0937857078370775,0.09771892225813278,0.09771892225813278,0.09120704461196168,0.09771892225813278,0.09120704461196168,-7.80617070436972e-4,-0.0011237622211658614,-1.133367399960811e-4,-2.475525032153624e-4,-1.1333673999608545e-4,-2.4755250321535275e-4,-2.475525032153558e-4,0.01790821999172441,-2.475525032153558e-4,0.01790821999172441
1,0,1,0.25,0.25,0.1,0.13,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.76262,0.7484,0.75853,0.72339,0.7587,0.72282,0.72226,0.85034,0.72478,0.85243,0.09251664305442012,0.09396684009798371,0.09333018204016408,0.0972099906241166,0.09333018204016408,0.0972099906241166,0.0972099906241166,0.09062108518098,0.0972099906241166,0.09062108518098,-0.0015142543301456988,-0.0018709586320984697,-5.195299151998865e-4,-5.911871207470327e-4,-5.195299151998904e-4,-5.91187120747023e-4,-5.91187120747026e-4,0.017597795545546562,-5.91187120747026e-4,0.017597795545546562
1,0,1,0.25,0.25,0.1,0.14,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.76247,0.74639,0.75886,0.7229,0.75826,0.72306,0.72289,0.85169,0.72449,0.8532,0.09263522675064054,0.09419925138624559,0.0934599351756427,0.0974440502425594,0.09345993517564269,0.09744405024255938,0.0974440502425594,0.09057280921885615,0.0974440502425594,0.09057280921885615,-0.0016272190808033027,-0.0022784861123955192,-2.791583725010465e-4,-4.3288603749523354e-4,-2.7915837250105035e-4,-4.3288603749522345e-4,-4.328860374952265e-4,0.017710676578043157,-4.328860374952265e-4,0.017710676578043157
1,0,1,0.25,0.25,0.1,0.15,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.76199,0.74633,0.76012,0.72532,0.76,0.72517,0.72502,0.85015,0.72686,0.85197,0.09253854075755724,0.09408936988606197,0.09330317571440357,0.09726263386418377,0.09330317571440357,0.09726263386418377,0.09726263386418378,0.09070415557350897,0.09726263386418378,0.09070415557350897,-0.0017742827004783997,-0.002525028111276129,3.105902126889365e-6,2.7909465866653146e-5,3.105902126885906e-6,2.790946586666319e-5,2.790946586666061e-5,0.01783680847369748,2.790946586666061e-5,0.01783680847369748
1,0,1,0.25,0.25,0.1,0.16,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.76185,0.74537,0.76082,0.72461,0.76038,0.72438,0.72402,0.85169,0.72552,0.85295,0.09255030484844097,0.09411571493030253,0.09335777955784688,0.09734537603750358,0.09335777955784688,0.09734537603750357,0.09734537603750358,0.09057916066874498,0.09734537603750358,0.09057916066874498,-0.002169540399433481,-0.002960887015884873,-1.996103591521664e-4,-1.4460234723001294e-4,-1.9961035915217016e-4,-1.4460234723000294e-4,-1.4460234723000565e-4,0.0177613033079826,-1.4460234723000565e-4,0.0177613033079826
1,0,1,0.25,0.25,0.1,0.17,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.75987,0.74186,0.7611,0.72436,0.76084,0.72384,0.72379,0.8514,0.72618,0.85277,0.09270764126607411,0.09427031707199299,0.09353018249178935,0.09759341866564608,0.09353018249178935,0.09759341866564607,0.09759341866564608,0.09061416697562795,0.09759341866564608,0.09061416697562795,-0.0026242384105813793,-0.0036495050205293113,-2.509629491211281e-4,-3.3149906253767514e-4,-2.5096294912113257e-4,-3.3149906253766533e-4,-3.314990625376679e-4,0.017643975868935447,-3.314990625376679e-4,0.017643975868935447
