K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n01,n11,n02,n12,n22,n03,n23,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0.25,-0.15,-0.15,-0.15,105,105,105,105,105,105,105,linear,continuous,EQ,H1,1.5,0.76987,0.75626,0.76233,0.72639,0.76233,0.72597,0.72559,0.70561,0.72748,0.70848,0.09261156417006311,0.0941013442675668,0.09348102584163998,0.09746983708872597,0.09348102584163998,0.09746983708872596,0.09746983708872597,0.0929081497891193,0.09746983708872597,0.0929081497891193,1.7859783233130643e-4,0.00021947459196703934,1.7861232553023344e-4,2.0037302545963768e-4,1.7861232553022978e-4,2.0037302545960993e-4,2.003730254596389e-4,-0.026757863545092176,2.003730254596389e-4,-0.026757863545092176
1,0,1,0.25,0.25,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,105,105,105,105,105,105,105,linear,continuous,EQ,H1,1.5,0.769,0.75584,0.76109,0.72636,0.76059,0.72547,0.72426,0.71856,0.72723,0.72026,0.09268761407928429,0.09421665638445965,0.09351552334297518,0.09756773699869829,0.09351552334297517,0.09756773699869827,0.09756773699869829,0.09210979896317664,0.09756773699869829,0.09210979896317664,1.078504172401227e-4,1.1784956129963722e-4,7.890375236349757e-5,6.923817737030969e-5,7.89037523634929e-5,6.923817737028467e-5,6.923817737031158e-5,-0.023712374883394415,6.923817737031158e-5,-0.023712374883394415
1,0,1,0.25,0.25,-0.11666666666666667,-0.11666666666666667,-0.11666666666666667,105,105,105,105,105,105,105,linear,continuous,EQ,H1,1.5,0.76957,0.75532,0.7605,0.72751,0.7603,0.72642,0.72634,0.72761,0.7285,0.72968,0.09287074046969547,0.09439576764168169,0.09369013626423936,0.0976828864223981,0.09369013626423936,0.0976828864223981,0.0976828864223981,0.09163463143499002,0.0976828864223981,0.09163463143499002,2.047411705054286e-4,2.0336975152883394e-4,1.8516656198094226e-4,2.600549802555071e-4,1.8516656198093762e-4,2.6005498025548384e-4,2.600549802555092e-4,-0.020751788650780555,2.600549802555092e-4,-0.020751788650780555
1,0,1,0.25,0.25,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,105,105,105,105,105,105,105,linear,continuous,EQ,H1,1.5,0.76451,0.75181,0.75744,0.72298,0.75755,0.72317,0.72276,0.73581,0.72429,0.73788,0.09308860397531486,0.09464648390628755,0.09392400460108971,0.09794159884021421,0.09392400460108971,0.09794159884021421,0.09794159884021421,0.09122781296740892,0.09794159884021421,0.09122781296740892,-4.919052149128015e-4,-5.244749430281951e-4,-4.529806982172397e-4,-5.560145659005778e-4,-4.52980698217244e-4,-5.560145659005978e-4,-5.560145659005751e-4,-0.018487392648721273,-5.560145659005751e-4,-0.018487392648721273
1,0,1,0.25,0.25,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,105,105,105,105,105,105,105,linear,continuous,EQ,H1,1.5,0.76767,0.75431,0.76019,0.72556,0.75952,0.72504,0.72482,0.75015,0.72638,0.75187,0.09291335436959006,0.09444425562967453,0.09368780188143985,0.09771262207495474,0.09368780188143985,0.09771262207495474,0.09771262207495475,0.09048372512394695,0.09771262207495475,0.09048372512394695,3.233228969704272e-4,2.921099520648636e-4,3.019041947198834e-4,2.654929418544426e-4,3.019041947198794e-4,2.654929418544249e-4,2.6549294185444566e-4,-0.014638619742552454,2.6549294185444566e-4,-0.014638619742552454
1,0,1,0.25,0.25,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,105,105,105,105,105,105,105,linear,continuous,EQ,H1,1.5,0.76944,0.75641,0.76144,0.727,0.76048,0.72647,0.72566,0.76139,0.72766,0.76389,0.09257548883902601,0.09416595879928114,0.09340556227481583,0.09753696102757188,0.09340556227481582,0.09753696102757187,0.09753696102757188,0.08974511376293083,0.09753696102757188,0.08974511376293083,2.079499486339512e-4,2.377093254414872e-4,1.7336261303700922e-4,2.0869969728265473e-4,1.7336261303700485e-4,2.0869969728263936e-4,2.0869969728265782e-4,-0.01171205207302784,2.0869969728265782e-4,-0.01171205207302784
1,0,1,0.25,0.25,-0.04999999999999999,-0.04999999999999999,-0.04999999999999999,105,105,105,105,105,105,105,linear,continuous,EQ,H1,1.5,0.7668,0.75404,0.76003,0.72409,0.75998,0.7238,0.72336,0.76865000000000006,0.725,0.7709,0.09297532396709413,0.09447680753874195,0.0937132203389943,0.09763989408912324,0.09371322033899429,0.09763989408912324,0.09763989408912326,0.08978702506756299,0.09763989408912326,0.08978702506756299,1.001375547281419e-4,8.186099057212444e-5,1.3597140431732157e-4,1.8560532585782573e-4,1.3597140431731805e-4,1.8560532585781343e-4,1.8560532585782966e-4,-0.008835879854653344,1.8560532585782966e-4,-0.008835879854653344
1,0,1,0.25,0.25,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,105,105,105,105,105,105,105,linear,continuous,EQ,H1,1.5,0.76549,0.75163,0.75766,0.72189,0.75725,0.72159,0.72125,0.77742,0.7229,0.77954,0.09299377186536259,0.0945722096631746,0.09382400100984245,0.09788143192241254,0.09382400100984245,0.09788143192241253,0.09788143192241254,0.0895075688995466,0.09788143192241254,0.0895075688995466,-4.3751135118995366e-4,-4.7605626215663314e-4,-3.934606178470885e-4,-4.52682312722473e-4,-3.934606178470925e-4,-4.526823127224837e-4,-4.5268231272246927e-4,-0.006326604641891653,-4.5268231272246927e-4,-0.006326604641891653
1,0,1,0.25,0.25,-0.016666666666666663,-0.016666666666666663,-0.016666666666666663,105,105,105,105,105,105,105,linear,continuous,EQ,H1,1.5,0.76793,0.75449,0.76131,0.72579,0.76085,0.72553,0.72495,0.78946,0.72729,0.79114,0.09275153911011778,0.09425086652966369,0.09360126340505309,0.09763727045372055,0.09360126340505309,0.09763727045372053,0.09763727045372055,0.08917391657208903,0.09763727045372055,0.08917391657208903,3.233137264718229e-4,3.2563288055169565e-4,2.86190506317331e-4,2.5602032647618553e-4,2.8619050631732706e-4,2.560203264761778e-4,2.5602032647619003e-4,-0.0027174719200184455,2.5602032647619003e-4,-0.0027174719200184455
1,0,1,0.25,0.25,0,0,0,105,105,105,105,105,105,105,linear,continuous,EQ,H1,1.5,0.76981,0.75531,0.76277,0.72659,0.7621,0.72621,0.72553,0.80021,0.72775,0.80237,0.09231558919945003,0.09389389568725655,0.09313937737021982,0.09723650530329025,0.09313937737021982,0.09723650530329025,0.09723650530329025,0.08878704404810088,0.09723650530329025,0.08878704404810088,2.7918766711169745e-4,3.2361970620975824e-4,2.784199913514391e-4,3.55527477358943e-4,2.7841999135143596e-4,3.5552747735893814e-4,3.555274773589482e-4,3.038928728356298e-4,3.555274773589482e-4,3.038928728356298e-4
