K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H1,0.5,0.7735,0.75097,0.71547,0.65932,0.71547,0.65932,0.63575,0.88296,0.65932,0.87941,0.2342026852149757,0.24131324712485222,0.2456203763822718,0.2635050302180316,0.24562037638593817,0.2635050302180316,0.26350503028310296,0.23431931053504726,0.26350503019398075,0.23431931045639387,0.033786673567671635,0.03707923576599662,0.02393494987576603,0.02971748257396431,0.023934949878580324,0.0297174825739643,0.029717482599613553,0.0855639341270668,0.029717482596039867,0.08556393410133306
1,0.7,1,0.4,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H1,0.5,0.77124,0.7491,0.71494,0.65914,0.71494,0.65914,0.63602,0.87639,0.65914,0.87257,0.2337233549288806,0.24083482907693585,0.24491979690931887,0.2629717445888521,0.2449197969199916,0.2629717445893017,0.26297174464975165,0.2309844830467593,0.26297174457364336,0.23098448297350324,0.032016180201294424,0.03489021901524897,0.0231028846555978,0.028319485078602616,0.02310288465868922,0.028319485078346827,0.02831948509968393,0.07745741730305893,0.028319485101846266,0.07745741728164358
1,0.7,1,0.4,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H1,0.5,0.76907,0.74568,0.71276,0.65693,0.71276,0.65693,0.63325,0.86732,0.65693,0.86338,0.23232117479201272,0.2394585546330834,0.24334619327914356,0.2613635703842643,0.2433461932817507,0.2613635703866271,0.2613635704186211,0.22750604569089553,0.2613635703681142,0.22750604565099322,0.02731112629102009,0.029701303740789754,0.019208876313879557,0.023444967441471235,0.019208876314862518,0.023444967442363525,0.023444967454522223,0.06721820303130104,0.023444967454141184,0.06721820301908499
1,0.7,1,0.4,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H1,0.5,0.76583,0.74114,0.71465,0.65523,0.71465,0.65523,0.63185,0.86065,0.65523,0.85668,0.23219597828087263,0.23885887844482478,0.24354502452871032,0.2609146913478381,0.24354502453400312,0.2609146913478381,0.2609146913838843,0.2250761160479861,0.26091469133462536,0.2250761160052676,0.024803239669578,0.026524819673015294,0.01831842036843959,0.02116117547569675,0.01831842037022442,0.021161175475696743,0.02116117548750726,0.05883780411965623,0.02116117549124168,0.05883780410742054
1,0.7,1,0.4,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H1,0.5,0.76224,0.73821,0.71213,0.6513,0.71213,0.6513,0.62923,0.85067,0.6513,0.84666,0.2307951887385468,0.2376739882563094,0.24241713720152275,0.2601692854478644,0.24241713720510122,0.2601692854478644,0.26016928547831875,0.222278968657376,0.2601692854413495,0.22227896861915916,0.02050025046937155,0.021848203683810217,0.014682523845489077,0.01682133392432247,0.014682523846479901,0.016821333924322467,0.016821333934816794,0.04932201576682044,0.016821333936208133,0.049322015756291936
1,0.7,1,0.4,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H1,0.5,0.76089,0.73453,0.71227,0.65118,0.71227,0.65118,0.62803,0.84285,0.65118,0.83871,0.23001432600857952,0.23693307339089617,0.24140427267269615,0.2586734729294672,0.24140427267269615,0.2586734729294672,0.2586734729431325,0.21980168910402131,0.2586734729175128,0.2198016890880225,0.017320497549947404,0.017993847841116323,0.012906561336174446,0.014116984434018659,0.012906561336174445,0.014116984434018652,0.014116984438120362,0.03989482026589185,0.014116984439887115,0.03989482026176518
1,0.7,1,0.4,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H1,0.5,0.75703,0.72988,0.70997,0.64724,0.70997,0.64724,0.62537,0.83289,0.64724,0.82872,0.22924322276420372,0.2361990067652912,0.24066624166251335,0.2586190669689725,0.24066624166588982,0.2586190669716389,0.25861906698332277,0.21762148276785734,0.2586190669566452,0.2176214827538108,0.013260392638240933,0.013930119215740609,0.009582122614866594,0.010549993872780777,0.009582122615779577,0.01054999387367307,0.010549993877120413,0.030640118011082792,0.010549993883104273,0.03064011800763032
1,0.7,1,0.4,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H1,0.5,0.75584,0.73062,0.70914,0.64562,0.70914,0.64562,0.62386,0.82504,0.64562,0.82074,0.2277993875138556,0.23473508822831893,0.23931007663868614,0.25743889597361963,0.23931007664225787,0.25743889597361963,0.2574388959848465,0.21567452792457856,0.2574388959604586,0.21567452791178493,0.010992746572659223,0.011069004351149212,0.00804369377127668,0.007760672587837233,0.00804369377223029,0.0077606725878372265,0.007760672590815256,0.022773312651422205,0.007760672595346538,0.022773312648450752
1,0.7,1,0.4,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H1,0.5,0.75242,0.72463,0.7077,0.64224,0.7077,0.64224,0.62036,0.81482,0.64224,0.80999,0.22706492917602178,0.23393638610603648,0.23853733940403973,0.2561872400621545,0.23853733940403973,0.2561872400621545,0.25618724007181354,0.21486107964980755,0.25618724005808136,0.2148610796386975,0.006975653002097276,0.006295842510231301,0.0049585494547548245,0.0033757756038701394,0.004958549454754825,0.003375775603870138,0.0033757756062340128,0.013441337331190812,0.0033757756084355182,0.013441337328844186
1,0.7,1,0.4,1.8,0,0,0,250,250,125,125,125,125,250,inv_u,add,binary,125,EQ,H1,0.5,0.74883,0.72075,0.70547,0.63947,0.70547,0.63947,0.61714,0.80527,0.63947,0.80078,0.2261877547733198,0.23310625970355783,0.23754608314997372,0.255308881677992,0.23754608314997372,0.255308881677992,0.25530888168490007,0.2131010903792332,0.25530888166877713,0.21310109037076513,0.00224944544238892,0.0011365183786436741,9.19024306388219e-4,-0.0013860308151325633,9.190243063882165e-4,-0.0013860308151325688,-0.001386030813535751,0.0029507228447586977,-0.0013860308121146662,0.0029507228432031113
